Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,-0.28613664539032807,0.016930544709595367,0.719165654212237,0.023541926134029337,0.0003985776329621753,0.3985776329621753
BRK.B,25,0.004165358758545471,0.0075852480725787895,0.28481894224151777,0.02663182445971845,0.00020200899515233602,0.20200899515233603
DD,25,0.21858133600647692,0.009409746235148116,0.38122843820914537,0.0246826975431089,0.00023225792027956865,0.23225792027956865
UHS,25,-0.08820239989188833,-0.005374787140721138,-0.12178453458379215,0.044133577051387346,-0.0002372085824098222,-0.2372085824098222
IT,25,0.39633864821433307,0.00949848982878176,0.22504336020721719,0.04220737648085092,0.00040090633620292496,0.40090633620292493
RHI,25,-0.32300924182658997,0.009326295136251394,0.22742254287079897,0.04100866615298447,0.0003824589236867362,0.38245892368673623
SHW,25,0.07930382757623175,0.006016021150247816,0.16772184331320256,0.03586903787489112,0.00021578889049438492,0.21578889049438493
IPG,25,-0.2524677338183309,-0.0013106222822882256,-0.03559185907109374,0.03682365339979275,-4.826190066102695e-05,-0.04826190066102695
NTAP,25,-0.6348321727488586,0.021002517346008946,0.38864070409964147,0.05404096154741482,0.001134996232294582,1.1349962322945821
CPRT,25,0.5143310477337071,0.008334030118864891,0.3043518768906909,0.02738287735895281,0.00022820972465069622,0.22820972465069622
SNPS,25,0.09173739174866552,0.013404827233342388,0.4834443983100901,0.02772775376072159,0.0003716857487311326,0.37168574873113264
CERN,25,0.06559134750116419,0.0014404018458304042,0.032529288145118684,0.04428015268592804,6.378121366246288e-05,0.06378121366246288
ZION,25,-0.5757398189836611,0.02103376365349843,0.45250432537352125,0.04648301126433661,0.0009777126728369614,0.9777126728369614
VRSN,25,0.702317027017779,0.006543368600382627,0.22784735685750052,0.028718211572122638,0.00018791384386017228,0.1879138438601723
MOS,25,-0.610258500897264,-0.0019078352169515876,-0.032679098112063466,0.058380901774254035,-0.00011138114040231328,-0.11138114040231328
LH,25,0.23400690879375127,0.0052460022734187395,0.15915163587644404,0.032962289357122455,0.00017292024490455073,0.17292024490455074
PNW,25,0.9957938228979106,0.0035850535455711065,0.32537316540513084,0.011018282780349328,3.950113374779643e-05,0.03950113374779643
ISRG,25,0.5389749328326408,0.011691770481755353,0.35420219816286247,0.033008746253967255,0.00038593068509188696,0.38593068509188694
AJG,25,0.30946897554073705,0.008128734377540093,0.40913463687196594,0.0198681158840235,0.00016150263660341218,0.1615026366034122
ACN,25,0.3512031757984019,0.005651366164692222,0.21929639460165745,0.025770447229457136,0.00014563823352154047,0.14563823352154048
