Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,0.34004435411911904,-0.000533968827442142,-0.012169603930797544,0.043877256028918926,-2.3429086953140498e-05,-0.0234290869531405
BRK.B,25,0.7832291500153391,-0.005452045164221013,-0.20701361782282368,0.026336649837631666,-0.00014358860438904185,-0.14358860438904184
DD,25,1.2435022098073347,-0.015555706977015322,-0.2323663960898961,0.06694473572244608,-0.0010413726925521014,-1.0413726925521014
UHS,25,1.6032714256765606,-0.01841355826343735,-0.48289773090684407,0.03813138286829,-0.0007021344401106947,-0.7021344401106947
IT,25,1.159775684127675,-0.00821133127334136,-0.1647318041629284,0.04984666631356701,-0.0004093074899724041,-0.40930748997240407
RHI,25,1.069749568089334,-0.009983748384910307,-0.22015772446971096,0.045348163045189266,-0.0004527446495610576,-0.4527446495610576
SHW,25,0.8845888429711031,0.005918350072789397,0.18394272862550282,0.0321749607446502,0.0001904226812650965,0.19042268126509648
IPG,25,1.3730593171828198,-0.01140423025939206,-0.21629839543281287,0.052724525471269476,-0.0006012826287915388,-0.6012826287915388
NTAP,25,0.7617042954182147,-0.015013248250435514,-0.2074200470040085,0.07238089310694917,-0.0010866723168028647,-1.0866723168028647
CPRT,25,0.822338383405672,0.0036629117065543316,0.07310948190587178,0.050101732512211186,0.00018351822253763212,0.18351822253763211
SNPS,25,1.0372911227670873,0.011063253222023638,0.3148753784347175,0.03513533918409362,0.0003887111544353171,0.3887111544353171
CERN,25,0.8852668765713465,-0.0037094803517680255,-0.15141241679246673,0.024499181971663665,-9.08792341582758e-05,-0.0908792341582758
ZION,25,1.2328069024681698,-0.016067827780940916,-0.21893412931809322,0.07339115116947202,-0.0011792363776360769,-1.1792363776360768
VRSN,25,0.6884725247591449,-0.0037929736872621064,-0.09450174957622591,0.04013654460653834,-0.00015223685759022172,-0.1522368575902217
MOS,25,2.4629809147659616,-0.033193769288144416,-0.37355331235552336,0.08885952336718347,-0.002949582517704766,-2.9495825177047656
LH,25,1.685356011164227,-0.001612995943825372,-0.0312078922406896,0.05168551375995553,-8.336852404933872e-05,-0.08336852404933871
PNW,25,1.2698842292951567,-0.008322688086627823,-0.20544753477015776,0.04051004114475621,-0.00033715243682426547,-0.3371524368242655
ISRG,25,1.3493004854809767,0.005259419795249273,0.14125019664432706,0.0372347785716198,0.00019583333149130066,0.19583333149130067
AJG,25,1.3292405513353671,0.0006033051277714802,0.012843051756356725,0.04697521579891412,2.834038856965674e-05,0.02834038856965674
ACN,25,0.7442881509099541,0.003097509315203719,0.08562628433718598,0.036174748667197804,0.00011205162097179852,0.11205162097179852
GILD,25,-0.057719759282190655,0.0050897024010101545,0.11552880769676208,0.044055699201618295,0.00022423039800465778,0.22423039800465777
GPC,25,1.2712124297235101,-0.006495603353890229,-0.15213106887382766,0.042697414814573224,-0.00027734547087198417,-0.2773454708719842
FLT,25,1.182890200689655,-0.007590851247766933,-0.14045635516970834,0.05404419927168964,-0.00041024147747607007,-0.4102414774760701
RTX,25,1.6541689037557976,-0.020173590061649392,-0.38869092196790206,0.051901366668180945,-0.0010470368948032362,-1.0470368948032363
TTWO,25,0.40890323211763585,0.008237691098106629,0.20066779574015853,0.041051385787749826,0.0003381686352686877,0.33816863526868773
LVS,25,1.313144943902207,-0.016636395988136297,-0.29354819005918636,0.05667347492342569,-0.0009428423708498221,-0.9428423708498221
TDG,25,1.8980984077659104,-0.00784469278799933,-0.09661858810091788,0.08119237656221562,-0.0006369292508581387,-0.6369292508581387
QCOM,25,0.8595526668711293,0.006464551519414337,0.15382647052202858,0.042024961617308815,0.0002716725294765029,0.2716725294765029
MXIM,25,1.047529076930127,-0.0008273484501951285,-0.017034208848723004,0.04856981956383328,-4.0184164942394494e-05,-0.04018416494239449
KO,25,1.062899142720355,-0.00752505487945699,-0.29600472133187217,0.025422077207410857,-0.0001913025261355594,-0.1913025261355594
MMC,25,1.1570825185200446,0.00161655809683131,0.0570282470381634,0.028346620855266805,4.582395946138883e-05,0.04582395946138883
ADM,25,0.794483042752171,5.413848029751228e-05,0.0013597059107380812,0.039816316065085434,2.1555948428091497e-06,0.0021555948428091496
ADSK,25,1.1429528653761871,0.011251058814865555,0.199156807914067,0.05649346830122025,0.0006356113345127719,0.6356113345127719
