Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,1.2975789501402422,-0.009064058356628359,-0.15776804172507217,0.05745180238988742,-0.0005207464895554202,-0.5207464895554201
SLB,25,0.08642028052486736,-0.012371404565951755,-0.4071017061820865,0.030388977442453488,-0.00037595433428617395,-0.375954334286174
PNW,25,-0.05304176307212932,0.01070134648538448,0.4564893681301127,0.023442706955519466,0.00025086852968634655,0.25086852968634654
PNR,25,0.2997668557372731,0.003558486901784577,0.12906323990918625,0.02757165327856687,9.8113367052326e-05,0.098113367052326
GPN,25,0.6563748687269165,0.007490163019659076,0.2085413025737707,0.03591692833610003,0.00026902364840280163,0.26902364840280163
ITW,25,0.279165437431493,0.008418687190547999,0.31442318963197124,0.026775019999008266,0.00022541051789231738,0.2254105178923174
HES,25,0.23622368982312522,-0.011223350103862684,-0.21447965393855115,0.05232827402396964,-0.0005872985397018746,-0.5872985397018746
LNC,25,0.24238627785127043,0.003388806027521576,0.07843194403881118,0.04320696202359415,0.00014642001333645168,0.1464200133364517
JBHT,25,0.4113221309575565,-0.0004113969019545862,-0.011323667776285757,0.0363307110454213,-1.4946341969893587e-05,-0.014946341969893587
DTE,25,-0.07223948371771924,0.01026999962547297,0.5051415291809204,0.020330935059181585,0.00020879869544331015,0.20879869544331014
ALB,25,0.21927392145122904,0.014932915360436293,0.27806153227294794,0.05370363616416382,0.000801951853387124,0.8019518533871239
K,25,0.044366144923544404,-0.0020343802972049114,-0.06864016020865359,0.029638338416180347,-6.029565171576872e-05,-0.06029565171576872
SWK,25,0.15539828553844218,0.012285313119455504,0.530783104134964,0.023145637123241355,0.00028435139940831335,0.28435139940831333
JNPR,25,1.0356741823010696,-0.009229188264311163,-0.2371138732064505,0.0389230209920087,-0.0003592278885509837,-0.3592278885509837
APTV,25,0.5903423375836986,0.010576543035876088,0.2739498453849019,0.03860758899504379,0.00040833482651749664,0.40833482651749664
CDW,25,0.9922547487985829,-0.001739203413909974,-0.04487697098207046,0.03875491985866942,-6.74026889240053e-05,-0.0674026889240053
PVH,25,0.2594573714645381,0.006266039214101584,0.12602675952294054,0.04971991057947485,0.00031154690941261363,0.31154690941261365
CCL,25,0.2231017305409427,0.009154098711149515,0.3607530394958949,0.02537497320588392,0.00023228500951943547,0.23228500951943548
TT,25,0.26055336153186837,0.00316349221092836,0.10140214754377058,0.031197487307286345,9.869300809713672e-05,0.09869300809713671
SCHW,25,0.9119318903287192,-0.003431742747946418,-0.09687150680394457,0.03542571867795783,-0.00012157195316387176,-0.12157195316387176
LYV,25,-0.3247958970279079,0.024486114557420016,0.8420534181640752,0.029079051315778717,0.000712032981739253,0.712032981739253
DLR,25,0.12169242335076522,0.010890916339887629,0.2790767086442268,0.03902481290107091,0.00042501597248533076,0.42501597248533074
KEYS,25,0.2391287545114594,0.004683868324319445,0.13704140945194407,0.034178489137343004,0.00016008754264349714,0.16008754264349714
QRVO,25,0.17184916597805747,0.014867472041769024,0.2534803835257821,0.058653343643283604,0.0008720269467727899,0.8720269467727899
HD,25,0.8432467269021837,0.0025892660101213445,0.11928501253890117,0.021706549339355893,5.620403040141614e-05,0.05620403040141614
MPWR,25,0.5648631712258841,0.010004496497538946,0.26266601713412524,0.03808827882150566,0.00038105405206704016,0.3810540520670402
PGR,25,0.2688122568359204,0.015043823695644347,0.46121613491553126,0.032617730727047364,0.0004906953904097018,0.49069539040970184
DLTR,25,0.8263035663940709,-0.0032757712818266413,-0.06077442991089767,0.05390048555995178,-0.0001765656626738016,-0.1765656626738016
CNP,25,0.020339968503567205,0.010096712602415618,0.4350500474983793,0.02320816342964135,0.0002343261561789811,0.23432615617898112
ABMD,25,0.7185153078496581,0.014410957033462731,0.3588806487270309,0.04015529141674029,0.0005786761792728191,0.5786761792728191
CL,25,0.0513610499020527,0.004272511887754349,0.14263255936528496,0.02995467449204467,0.0001279817028610728,0.1279817028610728
CVX,25,0.018363201621305805,0.0026712326051686664,0.09697310335972072,0.02754611858980894,7.358209012294036e-05,0.07358209012294036
DPZ,25,0.41037416763561213,-0.0025094082593886922,-0.056618149908736634,0.044321622367273265,-0.00011122104523794213,-0.11122104523794213
DVN,25,0.12495746590550609,-0.011543293730602554,-0.24770600287165462,0.04660078317352506,-0.0005379265282481208,-0.5379265282481208
FRC,25,0.794954090992599,-0.004382090913762563,-0.11841296408547419,0.03700685096100991,-0.0001621673853432069,-0.1621673853432069
WAB,25,0.1727913936846105,-0.006445053872803607,-0.13179387563698744,0.0489025293599821,-0.00031517943624144473,-0.31517943624144473
DOV,25,0.10777980353877044,0.008996916742989632,0.3170695780562801,0.028375212778668637,0.00025528942693429723,0.25528942693429724
ABT,25,0.45513450838547953,0.010680849165538292,0.38954542695002453,0.027418751258780807,0.000292855546502451,0.292855546502451
FMC,25,-0.3127953215774667,0.024563789347307352,0.5829755607754136,0.0421351957098084,0.001035000071523302,1.0350000715233019
CLX,25,0.12914245537185293,0.0074931449878893955,0.24405331199911032,0.030702902273732353,0.00023006129828607552,0.23006129828607552
RJF,25,0.47312952103451844,0.001660559297308687,0.04419463316247664,0.037573777141758954,6.239348496775245e-05,0.06239348496775245
LMT,25,0.03573774119842455,0.007734635464992344,0.3662157540111152,0.02112043346108367,0.00016335885368410876,0.16335885368410877
LHX,25,0.013591491004380606,0.013232858220421485,0.5671280901668311,0.02333310313817959,0.00030876364567000215,0.30876364567000214
PENN,25,-0.1832905146824102,0.03417542286778202,0.6596891760357447,0.05180534122622962,0.0017704694432161383,1.7704694432161383
HPE,25,0.6237303076143799,-0.006373915670707696,-0.16055209287374164,0.03969998494955871,-0.0002530443561968519,-0.2530443561968519
BIIB,25,0.37783819076662245,-0.0017344632632116525,-0.03653431698171046,0.047474905965258545,-8.234348032116868e-05,-0.08234348032116869
BBY,25,1.2973318051359075,-0.005415292510666371,-0.09145617536638954,0.059211884697471275,-0.0003206496757446569,-0.3206496757446569
PH,25,0.13752074004361076,0.008900440640037682,0.31859450857757354,0.027936578944111154,0.0002486478625777879,0.2486478625777879
CAH,25,0.4402893376613539,-0.011989552135854273,-0.25753825174763534,0.04655445183188931,-0.0005581670273945534,-0.5581670273945534
ADSK,25,-0.010941732966726148,0.018428147378581197,0.3027888185362229,0.060861386717213334,0.0011215626040896314,1.1215626040896314
LDOS,25,0.4235867694732742,0.003391965058110638,0.10966053976019488,0.030931500661296855,0.00010491856943804503,0.10491856943804503
SBAC,25,-0.054533566990701235,0.023463360251323385,0.9388715764759092,0.02499102203029089,0.0005863733529454743,0.5863733529454743
MSI,25,0.4230520496191887,0.0023696978501610783,0.08705183616670611,0.027221687152273924,6.450717352250096e-05,0.06450717352250096
TSLA,25,0.32862690582472337,0.016747350294597466,0.21967740548218298,0.07623610747695109,0.0012767527970130809,1.276752797013081
J,25,0.5799868918193338,-0.005029491033152786,-0.12472942041453464,0.0403232133720931,-0.00020280524008284878,-0.20280524008284878
TROW,25,0.3815685545333523,0.007965338750918743,0.228324201581043,0.03488609046155569,0.00027787952822148627,0.27787952822148626
OMC,25,0.5320340779032593,-0.013125521680396173,-0.39397910477360176,0.03331527363091678,-0.00043728034633092906,-0.43728034633092905
CHD,25,-0.16682054515791778,0.006374127172665515,0.21927242298937696,0.02906944286821841,0.00018529232568055873,0.18529232568055873
UNH,25,0.481222405564706,0.007276501346195227,0.37139301287436377,0.019592456222801233,0.00014256453408048424,0.14256453408048425
COST,25,0.45934105032981476,0.0024021690226169587,0.05874773350259926,0.04088956082894119,9.822363637169434e-05,0.09822363637169435
WELL,25,-0.19574801231802713,0.008196956143366387,0.26054576796995754,0.031460714972394194,0.0002578821008676654,0.25788210086766544
NOC,25,0.007923738823927476,0.008672059277232894,0.3542915952601949,0.024477180360047934,0.00021226755902185648,0.21226755902185648
OKE,25,-0.2384373248362038,0.002034494410547768,0.061731727457507005,0.03295703027180328,6.705089387623736e-05,0.06705089387623736
BRK.B,25,0.23053609451430354,0.003836347405112057,0.16228555757887214,0.023639487471012695,9.068928641759854e-05,0.09068928641759855
ZION,25,0.5253306404154569,0.001730229284614965,0.04828963724747914,0.03583023984520174,6.199453025494602e-05,0.06199453025494602
KIM,25,-0.1554504703029433,-0.008272657834619659,-0.2237411062408654,0.036974242121221315,-0.0003058752537632457,-0.3058752537632457
WDC,25,-1.0461019943606233,0.025429029365506502,0.43327869884402725,0.05868977504167706,0.0014924240129897766,1.4924240129897766
WEC,25,-0.0687780980819293,0.011170406882080668,0.5370506070831481,0.020799542416961136,0.00023233935175855146,0.23233935175855147
ADP,25,0.5905208541698732,4.119388403645528e-06,0.00011550741571855256,0.03566341068250461,1.4691144039995754e-07,0.00014691144039995755
EXR,25,-0.35968237303331885,0.014553070623837976,0.32413767944204597,0.0448978059227452,0.0006534009404490818,0.6534009404490818
FRT,25,-0.04683547188155172,0.00031264574926539947,0.009975282551489838,0.031342044463563076,9.798956974820143e-06,0.009798956974820142
BWA,25,0.80529907796251,0.006003892822494732,0.14806384150784607,0.04054935196434559,0.00024345396321554715,0.24345396321554716
MTB,25,0.47015934265866,7.334158475286873e-05,0.0019568521660574714,0.03747936917515451,2.74879633084365e-06,0.00274879633084365
ZTS,25,-0.05641541045888279,0.016062354202634233,0.5290604859805506,0.03036014714435642,0.00048765543707674706,0.4876554370767471
COO,25,0.45617286362925497,0.01089553068525815,0.3461322558389844,0.031477940877970616,0.0003429688707446707,0.3429688707446707
RSG,25,0.19128873956773607,0.00428452554201726,0.20551483803226506,0.020847767407162134,8.93227919500211e-05,0.0893227919500211
MHK,25,0.19849076840340138,0.012509075977444557,0.6376335711891857,0.0196179695402724,0.0002454026715024605,0.2454026715024605
DISCA,25,1.453317056978266,-0.03331359893805763,-0.6373090614811182,0.052272281929643685,-0.001741377835781227,-1.7413778357812268
SPGI,25,0.3240503071080025,0.01020851921652888,0.3646281329097869,0.027997069603662706,0.00028580862305548733,0.2858086230554873
VTR,25,-0.5292053912320024,0.012469312926562063,0.3580963306088362,0.03482111337293434,0.00043419535909841324,0.4341953590984132
CERN,25,0.7235258854775964,0.00563650923476108,0.15617787270617547,0.0360903189235091,0.0002034234158978316,0.2034234158978316
FLT,25,0.17735211833030037,0.006123160852259907,0.13427333401435837,0.04560221057447738,0.00027922967056615266,0.27922967056615267
CFG,25,0.27119449590961553,0.0039184463399772745,0.07718533183801886,0.05076672272654766,0.0001989266788604818,0.19892667886048182
EQIX,25,-0.11847779919833328,0.016349564071850797,0.6601818425956556,0.024765243478325233,0.0004049009350038635,0.4049009350038635
CHTR,25,0.7295674158338912,-0.0015655377836073184,-0.04105401240809762,0.0381336120826652,-5.9699610540836934e-05,-0.05969961054083693
CSCO,25,0.8921647126432523,-0.00047597007547652004,-0.016708041985468845,0.02848748380513265,-1.3559189816865129e-05,-0.013559189816865129
DXCM,25,1.19179399366454,-0.01796688642636106,-0.14496531405900207,0.12393920947909227,-0.002226801700483823,-2.226801700483823
PTC,25,0.10638399960482188,0.01045645836274872,0.2318016886118727,0.04510950038960652,0.0004716856125883177,0.4716856125883177
SNPS,25,0.1061115417918159,0.015550987724764195,0.5663285540427372,0.027459303638768428,0.00042701929381706063,0.4270192938170606
AMAT,25,0.16583901831502196,0.020792432247920538,0.489536388858474,0.04247372150700665,0.0008831319767514812,0.8831319767514813
HOLX,25,0.7103896542629882,-0.004530291264226942,-0.10617534261143315,0.04266801644150393,-0.0001932985421468368,-0.19329854214683678
RMD,25,0.1922009119559833,0.0126099479454733,0.3373151439094777,0.0373832843652502,0.0004714012698766309,0.4714012698766309
AOS,25,0.5955181101067759,0.0024707180963132146,0.09497823850301164,0.026013517783180104,6.42720691356687e-05,0.0642720691356687
ESS,25,-0.09550860693180621,0.008541672098836653,0.33052692766459474,0.025842590675409036,0.0002207389357337976,0.2207389357337976
LKQ,25,0.9887220860817784,-0.005072467082285539,-0.16918223741379163,0.02998226740481702,-0.00015208406446321702,-0.152084064463217
IEX,25,0.4075272865665714,0.008319629246407093,0.2511503113424729,0.03312609569120662,0.0002755968345318426,0.2755968345318426
GILD,25,0.7587737419638744,-0.008211296957132679,-0.18357423896087055,0.044730115748337344,-0.00036729226333651494,-0.36729226333651493
HWM,25,0.8308548630481423,-0.001914971220042484,-0.02604051989261506,0.07353813318395223,-0.00014082340862291967,-0.14082340862291967
ARE,25,-0.3339226049901371,0.012279242667975308,0.5393783228450673,0.022765547201092168,0.0002795436785514568,0.27954367855145684
AXP,25,0.49049531012165715,0.005769620131497466,0.263708807328202,0.02187875403158915,0.00012623209971273811,0.1262320997127381
DHR,25,0.06984621960765693,0.007336091606200884,0.28015656640828507,0.026185685026956177,0.00019210058412887337,0.19210058412887338
HSY,25,-0.06885761381800777,0.007333972532532143,0.2530443127724972,0.02898295738077246,0.00021256021334213496,0.21256021334213496
NWS,25,0.6691264145814149,0.004591013149585892,0.12154736928183096,0.03777139050159732,0.00017340895047097697,0.17340895047097696
KLAC,25,-0.046543701258144186,0.012721287027464974,0.29719873100930566,0.042803974916927404,0.0005445216508346447,0.5445216508346447
EW,25,1.2496278147729118,-0.0018703498215556901,-0.04364120025053465,0.04285743313241658,-8.015839241155026e-05,-0.08015839241155026
AJG,25,0.14710206058659525,0.010499929334338996,0.5242266061630562,0.020029371288860304,0.00021030698314427156,0.21030698314427157
PSA,25,-0.330386248978556,0.006220625054523161,0.19173573374112077,0.03244374396544242,0.0002018203665739657,0.2018203665739657
NXPI,25,-0.050572803040492456,0.0064514953620246705,0.4972838672011316,0.012973466037287102,8.369825596894231e-05,0.08369825596894231
HBAN,25,0.23807948846675311,0.0021215398686814037,0.05676951866581038,0.03737110897787315,7.928429763339544e-05,0.07928429763339544
CSX,25,0.4034570707640536,0.01127313851397643,0.20180229439755173,0.05586229109847621,0.0006297433452611948,0.6297433452611948
MGM,25,0.34430055146699917,0.0026082284397299545,0.05679399170986203,0.04592437265290946,0.00011978125483007503,0.11978125483007504
FE,25,-0.30890948857831785,0.0091798501098609,0.31617277250761194,0.02903428412590427,0.0002665303763229149,0.2665303763229149
MTCH,25,0.15800998757914309,0.01954690190642477,0.3381724907760348,0.057801572982973094,0.0011298416771352274,1.1298416771352273
CDNS,25,-0.1062874160367667,0.022926671257285737,0.7074938233659452,0.03240547196328965,0.0007429496026395316,0.7429496026395316
PCAR,25,0.3504711896377531,4.7597699097282585e-05,0.0012799501700542825,0.03718715010230748,1.7700227808551126e-06,0.0017700227808551126
WFC,25,0.2978618270607409,-0.0010416334524606784,-0.029604262981334784,0.03518525197257634,-3.665013548789359e-05,-0.036650135487893594
ALLE,25,0.6653819096326484,0.0012005125344744308,0.03839411999166665,0.0312681351919252,3.753778822754726e-05,0.03753778822754726
GM,25,0.7893685441720307,-0.001123075858478522,-0.030486346954472256,0.03683864977839761,-4.137259822506352e-05,-0.04137259822506352
POOL,25,0.6347384352902862,0.0008398533259831292,0.02409571155812941,0.034854887931283336,2.9272993555857538e-05,0.029272993555857538
DE,25,0.48682470577606074,0.009296373505310174,0.24596724260625788,0.03779516901033738,0.0003513580078164206,0.3513580078164206
TRMB,25,0.25146073277416964,0.012909703975172642,0.4391634810744524,0.029396123611161624,0.0003794952538376796,0.37949525383767957
LLY,25,0.5549045377446407,0.003986172416574135,0.11850524301286336,0.03363709752606852,0.00013408327033202842,0.1340832703320284
BA,25,0.31859408366549413,0.019762432725266836,0.6202934497872581,0.031859812048708164,0.0006296273922522409,0.6296273922522408
NOW,25,0.3456069971398064,0.013435333387862066,0.3059651952804288,0.043911312773820786,0.0005899631266149684,0.5899631266149684
PSX,25,0.3055154233565124,0.0017853888711282092,0.07259814968184063,0.02459275999392032,4.3907640003472383e-05,0.04390764000347239
TXT,25,0.0467274961592737,0.004894995918539697,0.16915831187652974,0.028937365620629985,0.0001416482866062747,0.1416482866062747
MAA,25,0.02330665311765288,0.006664093095730954,0.20765399085787015,0.03209229482274784,0.00021386604035443613,0.21386604035443613
ZBH,25,0.483918374234424,0.00028117771423065603,0.007426602646634636,0.0378608803526161,1.064563579630895e-05,0.01064563579630895
AVY,25,0.17733612236478877,0.016639373682186643,0.7091501655973736,0.023463822599787413,0.00039042331225039886,0.39042331225039884
CZR,25,-0.22044456425205897,0.029136411738901163,0.5147785590673826,0.056599893732340395,0.001649117808163521,1.649117808163521
GPC,25,1.2751744109178789,-0.01730419957584898,-0.5535571977533197,0.031260002843572825,-0.0005409293279467907,-0.5409293279467907
MET,25,0.23499682737847608,0.0007657632306837304,0.027020772035499675,0.028339798347644427,2.170157553961764e-05,0.02170157553961764
TXN,25,0.325300844255847,0.009563278063120122,0.4182267160412708,0.022866253389169935,0.00021867633942239498,0.21867633942239498
USB,25,0.24706549481861242,0.0010044772171965304,0.0342133250727983,0.029359239859301244,2.949068755287637e-05,0.029490687552876368
KEY,25,0.33729848306786847,-0.001010711854003257,-0.02587585897638547,0.03906003100904366,-3.9478436358575226e-05,-0.039478436358575224
DRI,25,-0.28942237001650556,0.009416591301311538,0.31295752355769996,0.030089039542055943,0.0002833361880165429,0.2833361880165429
BSX,25,0.16966727818757096,0.008047675983456688,0.22366627761268215,0.035980730172443194,0.0002895612580760065,0.2895612580760065
PM,25,-0.3195255088676285,0.011950805985375082,0.3709706766379089,0.032214961283961084,0.00038499475213098867,0.38499475213098866
NLSN,25,0.6974322846877977,-0.014920099990058718,-0.3659100848118679,0.04077531778805677,-0.0006083718185242269,-0.608371818524227
APD,25,0.27298099870425513,0.002350324473049437,0.11306033003670991,0.020788232904382135,4.885909254662091e-05,0.04885909254662091
MAR,25,0.16525074092063385,0.016784355009219938,0.48337121333781,0.034723530376001066,0.0005828120610042342,0.5828120610042341
FTNT,25,-0.08609507708037467,0.01533021173377574,0.3327123354193908,0.04607647538661796,0.0007063621236229597,0.7063621236229597
MMM,25,0.17863401428444864,0.011468827712513879,0.5038254220583314,0.02276349546963919,0.00026107060767588207,0.2610706076758821
SO,25,0.05584351334618366,0.004823912224761938,0.22039078139211526,0.021887994562618848,0.00010558576454613988,0.10558576454613988
PHM,25,0.190644217153219,0.022549368553988768,0.6453065785974561,0.03494365205914803,0.0007879572889040775,0.7879572889040775
DHI,25,0.19306636279496894,0.022586365224746892,0.6905171977547084,0.03270934496372995,0.0007387852116130401,0.7387852116130401
TTWO,25,-0.23446727067453352,0.03736870178344299,0.7460347990703954,0.05008975697917397,0.0018717891909598842,1.8717891909598843
HIG,25,0.2824142809558787,0.004411402268535871,0.21108693537542336,0.02089850923596992,9.219173105257554e-05,0.09219173105257554
NSC,25,0.36094457275617287,0.005936127162355138,0.18089308616834981,0.03281566635902616,0.00019479796842459895,0.19479796842459896
L,25,0.12512819527641883,0.0030673601594138054,0.13837174970186916,0.022167531783204523,6.799580382434082e-05,0.06799580382434081
ADI,25,-0.031045423773979668,0.009710184112448101,0.2672909462849199,0.036328144471071945,0.0003527529712777221,0.3527529712777221
HST,25,0.1174595568092311,0.0035652167626896688,0.1042141669119485,0.03421048086199214,0.00012196777982884848,0.12196777982884847
CMG,25,0.3660017392594774,-0.016204985196202577,-0.2298570942241837,0.07050026126405987,-0.0011424556901125042,-1.1424556901125043
TRV,25,0.038364066172796724,0.0065666778433532205,0.21494598283645397,0.030550363196829834,0.00020061439311101612,0.20061439311101611
O,25,-0.13464101936725253,0.0048016369872885935,0.1368499373127445,0.03508687750667627,0.00016847444880452097,0.16847444880452098
ECL,25,0.30354733778358467,0.0017644443290576357,0.10345720491728377,0.017054823107470828,3.0092285915058027e-05,0.030092285915058026
MTD,25,0.0028984207072918064,0.01696197482904967,0.4588050491244009,0.03696989573549916,0.0006270824408981274,0.6270824408981274
PAYX,25,0.5750603707881641,-0.0011080348752131796,-0.04475043065791163,0.024760317586290874,-2.7435295406964506e-05,-0.027435295406964506
UPS,25,0.5633479210363165,-0.005169925906103405,-0.27073195937205613,0.01909610493749865,-9.872544762204341e-05,-0.09872544762204341
DISH,25,0.9234801413452766,-0.015600446297076614,-0.4243289529132255,0.036764981955560494,-0.0005735501266107122,-0.5735501266107121
CMA,25,0.5027635931478074,0.00402103850363905,0.09605748325987559,0.041860752199393586,0.00016832369638505466,0.16832369638505468
CMS,25,-0.1698002558059119,0.012284394166446637,0.5694725140888733,0.021571531307531203,0.0002649931933555573,0.2649931933555573
CF,25,-0.6294131113106003,0.019582091660473658,0.2931192376845869,0.06680589037811674,0.0013081990688438372,1.3081990688438372
HBI,25,0.6476132609943819,-0.012636635578273808,-0.23283963903326682,0.05427183975520747,-0.0006858134611490295,-0.6858134611490295
NFLX,25,-0.050881823619713856,0.019584332445164075,0.33707422318899305,0.05810094957686337,0.0011378683118930073,1.1378683118930073
UAL,25,0.9502876255085537,-0.016180073725894834,-0.2678421045949601,0.06040900010983295,-0.0009774220754846864,-0.9774220754846864
WRB,25,0.40548342373357094,-0.0005512120802325417,-0.02094907869940133,0.02631199625252703,-1.4503490189426266e-05,-0.014503490189426265
MLM,25,0.15360845852847493,-0.004060335677809676,-0.1192562463229207,0.034047153109407334,-0.00013824287049797525,-0.13824287049797526
BLL,25,1.1116247122016232,-0.038916274227380025,-0.2896428616310955,0.13435951436271149,-0.005228771705996885,-5.228771705996885
UNP,25,0.3551346923799585,0.0032495161527865855,0.10419475916810217,0.031186944321681214,0.000101342479329359,0.101342479329359
FCX,25,0.5544292170854265,-0.009974370087177432,-0.15410966372342025,0.0647225478674613,-0.0006455666454151155,-0.6455666454151155
A,25,0.3886983604816242,0.013909468606805413,0.5899553166034669,0.023577156125799498,0.000327945712969558,0.327945712969558
CBOE,25,0.052232418932366825,0.022200076330551727,0.9242203023649116,0.024020329648402845,0.0005332531516795579,0.5332531516795579
BMY,25,0.6403728210316749,-0.0024022816405519553,-0.05612170916558922,0.04280485530944777,-0.00010282931803636925,-0.10282931803636926
DGX,25,0.3759085668699698,0.0001612375969762183,0.0051305614562052295,0.03142689125791627,5.067196426859342e-06,0.005067196426859342
ROP,25,0.4729703934234415,0.008801298324386926,0.3882260231083707,0.0226705522054355,0.0001995302931386258,0.1995302931386258
PEAK,25,-0.1759477773045009,0.0018359479599102783,0.046741460282513796,0.0392787890838985,7.211381268632956e-05,0.07211381268632956
NDAQ,25,0.3847586211933419,0.004294037309379858,0.1589600437200893,0.02701331233238193,0.00011599617100517904,0.11599617100517905
JKHY,25,0.444930983725185,0.0066470213870982306,0.2306021813446038,0.028824624937806444,0.00019159789843668443,0.19159789843668443
KMI,25,-0.011783003201350386,-0.008807543225966552,-0.2549161179123711,0.034550750647294085,-0.0003043072298156345,-0.30430722981563446
FIS,25,0.2497938548799,0.005414142247593104,0.31149390179176134,0.017381214259573355,9.410436643722379e-05,0.0941043664372238
PPL,25,-0.0650023539685335,0.006573421483929035,0.3576609840312472,0.018378916844211182,0.00012081236683508302,0.12081236683508302
SRE,25,0.014821991368600365,0.00981554593023588,0.5290365250287529,0.018553626197553012,0.00018211397011450928,0.18211397011450928
PKI,25,0.3383893140973213,0.01051047710698667,0.39301044066383417,0.0267435060738677,0.0002810870083499454,0.28108700834994543
IP,25,0.36635672830150295,0.001094338811241236,0.028671676411314177,0.03816793952129695,4.176865756326349e-05,0.041768657563263485
IT,25,0.40821536483034515,0.0014062516292615759,0.046741398699172376,0.03008578408858089,4.2308182892178875e-05,0.04230818289217887
REGN,25,0.21333912986479886,-0.004599160589849622,-0.06971536082602542,0.06597054846100303,-0.00030340914657260977,-0.30340914657260976
BKNG,25,0.5940530278409284,-0.0013137491617329763,-0.0328777841615955,0.039958567623531185,-5.249553471946454e-05,-0.05249553471946454
AAP,25,1.6937033906090995,-0.04321217854638505,-0.7396519813603339,0.0584223116213536,-0.0025245553608744782,-2.524555360874478
MCO,25,0.384638460023133,0.012821191046205667,0.46219519009015503,0.02773977601044439,0.0003556569678088604,0.35565696780886036
VLO,25,0.41312720533759073,0.009045940421674066,0.2622328525370601,0.034495831983506524,0.00031204724091887873,0.31204724091887875
IRM,25,-0.20920767073267516,0.013994176166344392,0.4622656260641067,0.030273019184869455,0.00042364596356018666,0.4236459635601867
