Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.305686395903524,0.008406703037776613,0.135961556632012,0.06183147093946455,0.000519798814576993,0.5197988145769931
SLB,25,2.8036688078216967,-0.045688875143756025,-0.4943371122056715,0.0924245297705808,-0.004222772800908428,-4.2227728009084275
PNW,25,0.6891608587263672,-0.006790057886881047,-0.14075853795350146,0.048239048128818254,-0.00032754592920271683,-0.3275459292027168
PNR,25,1.0150088611076975,-0.0019132506580525274,-0.03838915170962506,0.04983831558780786,-9.535319009460292e-05,-0.09535319009460293
GPN,25,0.9231292265199511,-0.005414063189125315,-0.10841905530381063,0.04993645419575082,-0.0002703591184566569,-0.2703591184566569
ITW,25,0.9947073554448649,-0.0007619449700462556,-0.029004300546691526,0.026270068772031446,-2.0016346763618575e-05,-0.020016346763618575
HES,25,2.0581671243102226,-0.027139407267149147,-0.301524763003357,0.09000722526675858,-0.0024427427435005982,-2.4427427435005984
LNC,25,3.160487042850629,-0.036340467682945965,-0.3608129274629592,0.10071830834463838,-0.003660150429479318,-3.660150429479318
JBHT,25,1.1675542415596933,-0.004679512490307106,-0.10876487464675051,0.043024115142920476,-0.00020133188419570747,-0.20133188419570747
DTE,25,1.1755259480470623,-0.008771536468962855,-0.20698474069425152,0.042377696247279266,-0.0003717175081036404,-0.3717175081036404
ALB,25,1.4174611670143284,0.01680753112088499,0.2369042022219439,0.07094653013009386,0.0011924360130803572,1.192436013080357
K,25,0.5152174994372593,-0.004903869664411165,-0.1563552189125347,0.03136364554069919,-0.00015380322993237925,-0.15380322993237924
SWK,25,1.5803704394529312,-0.007805052185984748,-0.2087970348837441,0.037381048970980435,-0.00029176103798535377,-0.29176103798535374
JNPR,25,0.9844964138473007,-0.013336018437060832,-0.27719650907033827,0.04811034050099395,-0.0006416003879345298,-0.6416003879345298
APTV,25,1.5225591261009146,-0.004248486679563191,-0.08797214976688245,0.04829354165859609,-0.00020517446844547555,-0.20517446844547554
CDW,25,1.32526497515687,-0.013198772879968243,-0.29226202905644955,0.0451607515440158,-0.0005960665027181397,-0.5960665027181397
PVH,25,2.717457781552464,-0.032142309388818645,-0.26367106148331154,0.12190306060892094,-0.003918245889535848,-3.918245889535848
CCL,25,3.3065843065071445,-0.06111022923965395,-0.37521488120246926,0.1628672856572507,-0.009952857162154794,-9.952857162154794
TT,25,0.7255254750292199,0.00748406214409382,0.13377695491807762,0.05594433023742327,0.0004186908441065827,0.4186908441065827
SCHW,25,1.703881895538783,-0.015657097088257958,-0.2337291246243499,0.06698821601040131,-0.0010488410018440494,-1.0488410018440495
LYV,25,2.110634682263998,-0.02200093375835407,-0.21739777128914559,0.10120128475968673,-0.0022265227622581952,-2.2265227622581953
DLR,25,0.11166889456794538,0.005148860363772056,0.10990453476165785,0.04684847968228084,0.00024121628013907629,0.24121628013907628
KEYS,25,0.5768478275174626,-0.0013371966966937337,-0.03579982610681659,0.03735204446814674,-4.9947030477563264e-05,-0.04994703047756326
QRVO,25,1.1731753469145698,0.0032066749895805075,0.0644818071061664,0.04972991815041507,0.00015946768476682172,0.15946768476682172
HD,25,0.7779164700825353,0.0023948803034904483,0.08324181269459531,0.028770160403365917,6.890109047828185e-05,0.06890109047828184
MPWR,25,0.8806711602760412,0.02038572987948606,0.2919842722447797,0.06981790396708784,0.001423288931024951,1.423288931024951
PGR,25,0.6058238492595097,0.003167854250830938,0.06002361948854694,0.052776794832164256,0.00016718919385430383,0.16718919385430384
