Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.6820925525605768,0.0042146534663172145,0.06863337594562637,0.06140822024631577,0.00025881436832150573,0.25881436832150573
SLB,25,0.34977804958775954,-0.013036347513585858,-0.44319985127113815,0.02941415137256118,-0.000383453099109926,-0.38345309910992603
PNW,25,0.25910631797902006,0.008697604894239402,0.3825080754782075,0.022738356264415466,0.00019776923873233914,0.19776923873233915
PNR,25,0.13084592498194095,0.006762214133557463,0.2407161050045933,0.028092071917782267,0.00018996460576333995,0.18996460576333996
GPN,25,0.12756517638621578,0.015314186742592873,0.40052303186072863,0.038235470932712755,0.0005855451420545448,0.5855451420545448
ITW,25,0.3641649741438635,0.010168730657470043,0.3891232091137245,0.026132418779724203,0.0002657335279992274,0.2657335279992274
HES,25,0.4464842720733706,-0.0104467127037913,-0.20249608132410254,0.05158970304749229,-0.0005389428062110585,-0.5389428062110585
LNC,25,0.2531906592790814,0.005228977435139772,0.12126949341470697,0.043118654889224,0.0002254664734493315,0.22546647344933152
JBHT,25,-0.2258457238394804,0.006048213254708773,0.16370231102001012,0.03694641338306746,0.0002234597871374182,0.2234597871374182
DTE,25,0.18048559281525994,0.00841865291872049,0.4213673982239117,0.019979364692678185,0.00016819933688419633,0.16819933688419633
ALB,25,0.40374096339934484,0.01570833011300091,0.2956819748568282,0.053125761624823506,0.0008345170011073232,0.8345170011073232
K,25,0.24698820875251112,-0.0027189558889069397,-0.09333471791539298,0.029131238081971243,-7.920655133412581e-05,-0.07920655133412581
SWK,25,0.1810570739277638,0.013369724292646648,0.5810957413195204,0.023007782267148287,0.0003076077054970172,0.3076077054970172
JNPR,25,0.58392350463566,0.0011682285600244447,0.02759521650471554,0.04233445893873726,4.945632400541501e-05,0.04945632400541501
APTV,25,0.3740564718398163,0.016293340062135894,0.4117335104530958,0.03957253817938147,0.0006447688216785183,0.6447688216785183
CDW,25,1.1054697205053208,0.005442716184824506,0.15095307889971965,0.03605568183501697,0.0001962408430783298,0.1962408430783298
PVH,25,-0.5276609826699664,0.012301584407907311,0.2532008242915386,0.04858429842133181,0.0005976638479289712,0.5976638479289712
CCL,25,0.359195481299318,0.010205691005675368,0.41667180787296115,0.024493356192668007,0.00024997162499431496,0.24997162499431497
TT,25,0.4986591330117825,0.0039886102104138565,0.13469894859038622,0.029611294313388076,0.00011810791084194944,0.11810791084194944
SCHW,25,0.2082900084206408,0.00728043174269462,0.18311073515153004,0.03975972100526945,0.00028946793488744574,0.2894679348874457
LYV,25,-0.4373563639039372,0.022519596645249704,0.7993606004799144,0.02817201227046911,0.0006344223530159896,0.6344223530159896
DLR,25,0.5198753405730977,0.009815419889185077,0.2629444190222849,0.037328877051971986,0.0003663986022568702,0.3663986022568702
KEYS,25,0.06772670011390626,0.007426108189257762,0.215292940573209,0.03449304082839893,0.00025614905296817564,0.25614905296817564
QRVO,25,0.22317219249115167,0.015949863377326814,0.272436113938286,0.05854533434190697,0.0009337900841333358,0.9337900841333359
HD,25,0.2359812352366818,0.01227379153527444,0.45105406168853635,0.02721135353338152,0.00033398648066137836,0.33398648066137837
MPWR,25,0.2558156887477141,0.01599428821540593,0.4060926894471225,0.039385806814649774,0.0006299479457898075,0.6299479457898075
PGR,25,0.3950301433057105,0.01650309186418082,0.5178034134518507,0.031871346220307226,0.0005259757545088424,0.5259757545088424
DLTR,25,-0.21146267539807242,0.008467782072276905,0.15043933922418118,0.05628701984431356,0.00047662621753957274,0.47662621753957274
CNP,25,0.2831117983996295,0.008918083070650661,0.39940690168686976,0.02232831489136943,0.00019912576702887878,0.19912576702887877
ABMD,25,0.43587162474949204,0.02146771457297497,0.5157052194309666,0.04162787919164872,0.0008936554287645986,0.8936554287645986
CL,25,0.9104595666192649,0.0003007751137790683,0.013696499820467481,0.021959998373424022,6.605021009354765e-06,0.006605021009354765
CVX,25,0.5550999776059871,8.250366797415759e-05,0.0033563631357846433,0.024581269855614134,2.0280449265507574e-06,0.0020280449265507572
DPZ,25,0.7347458407918804,-0.000952014350078933,-0.022668377693857607,0.041997462850502,-3.9982187300584796e-05,-0.039982187300584796
DVN,25,-0.11363063616955368,-0.00935172072497541,-0.2006752474572662,0.046601266690685705,-0.0004358020315213918,-0.4358020315213918
FRC,25,0.21813874550185994,0.004769834463927414,0.11888280788916729,0.04012215515951021,0.00019137603844687493,0.19137603844687492
WAB,25,0.006040546839663208,-0.00424517057865821,-0.08658350353539218,0.04902978518215007,-0.00020813980153319575,-0.20813980153319575
DOV,25,0.01724121100838384,0.010300521406150674,0.3619548466200392,0.02845802868047685,0.0002931325336001016,0.2931325336001016
ABT,25,0.7981717996641882,0.012493196620633501,0.548626775265442,0.022771758842045065,0.00028449206061131844,0.28449206061131843
FMC,25,-0.14956266780414776,0.021287151715803736,0.501041385267576,0.04248581522748974,0.0009044019945171787,0.9044019945171786
CLX,25,0.8022114818569699,0.005076566210242228,0.20280848123957207,0.025031330934555052,0.0001270732088197532,0.1270732088197532
RJF,25,0.24399639868755385,0.006526291785662045,0.16990276513464805,0.03841192213964237,0.00025068741193143805,0.25068741193143806
LMT,25,0.19644052372553547,0.0071959899386341095,0.34814291356978483,0.020669643580700607,0.00014873854724187468,0.14873854724187469
LHX,25,0.3154912347025165,0.011802279430604391,0.5307183840542061,0.022238309026428864,0.0002624627371940453,0.26246273719404534
PENN,25,0.06457972073160156,0.03148050333282258,0.60632071312146,0.051920547412531354,0.0016344849658621661,1.634484965862166
HPE,25,0.22953380823338126,0.0005096057674040286,0.01231540616260679,0.04137953394922062,2.1087249153013626e-05,0.021087249153013625
BIIB,25,1.2897727338780496,-0.0034225041110135133,-0.08901113551481647,0.03845029154182417,-0.00013159628087156135,-0.13159628087156136
BBY,25,-0.6206894342377758,0.014492158852917792,0.22867859488928635,0.06337348215706022,0.000918418570482668,0.918418570482668
PH,25,0.5545402946355533,0.007852813166249476,0.31188021254726117,0.02517894002351781,0.00019772551172888656,0.19772551172888655
CAH,25,1.2289099089523965,-0.01256155839909944,-0.32540385713877434,0.038602979416259155,-0.00048491358031657296,-0.48491358031657295
ADSK,25,0.4406861604879536,0.01604354324207262,0.26714525216414,0.060055505804816285,0.0009635031043041133,0.9635031043041133
LDOS,25,0.5483246432855448,0.006068919770178152,0.20448756376682287,0.029678674137359962,0.0001801174922248989,0.1801174922248989
SBAC,25,-0.13549037592233265,0.023449090677616337,0.9443475295482845,0.024830997004707454,0.0005822643003790047,0.5822643003790048
MSI,25,0.37848496623399475,0.005904333952082152,0.21647507584231393,0.027274890326787656,0.00016104006099576943,0.16104006099576942
TSLA,25,1.3024955315788909,0.014359254719450484,0.20296070940854308,0.07074893836001772,0.001015902027042196,1.015902027042196
J,25,0.031560319379998335,0.002297131172563748,0.05466142614015257,0.04202472080903772,9.653629618872896e-05,0.09653629618872897
TROW,25,0.6075703729106777,0.009798267744126267,0.2964298409473204,0.03305425564718213,0.0003238744469138882,0.3238744469138882
OMC,25,0.7464163538687816,-0.01005698111199939,-0.3265429786600738,0.03079833825632047,-0.0003097383061247832,-0.3097383061247832
CHD,25,0.8642169989506199,-0.00017880113012502287,-0.008146529908070434,0.02194813400830848,-3.924351164821004e-06,-0.003924351164821004
UNH,25,0.11825793909242169,0.012886791168742692,0.5921306689078536,0.021763424604423105,0.0002804607079938771,0.28046070799387707
COST,25,-0.01651664260857624,0.008416065923852478,0.20060901243269152,0.04195258140097889,0.00035307569074642566,0.35307569074642564
WELL,25,0.49067845288034073,0.003172123488153366,0.10663430153782809,0.02974768383537513,9.436332661235366e-05,0.09436332661235367
NOC,25,0.09411444828767228,0.008295251845184596,0.34015452132607943,0.02438671640419734,0.00020229395424991144,0.20229395424991145
OKE,25,0.4026086494933377,-0.0030931043293687148,-0.09644515780675718,0.032071121036125305,-9.919932332454724e-05,-0.09919932332454724
BRK.B,25,0.36942214168579635,0.004931853135580843,0.21784652477126826,0.022639117795241987,0.00011165280408524826,0.11165280408524826
ZION,25,0.48812820445145244,0.006027071780693355,0.16849126971607295,0.03577082534216556,0.00021559333199187676,0.21559333199187675
KIM,25,0.04468804980330931,-0.010506918738412795,-0.28322763982401,0.03709708114978295,-0.0003897760170730745,-0.3897760170730745
WDC,25,0.12466801792457574,0.011289846236057546,0.18091821633890834,0.06240303748578107,0.0007045206978774034,0.7045206978774033
WEC,25,0.07700120546894007,0.009890541260820026,0.4760673222163702,0.020775509679542392,0.00020548103570007986,0.20548103570007986
ADP,25,0.2712641060749835,0.006246494831181601,0.16810687593525694,0.03715787826303616,0.00023210649450773054,0.23210649450773055
EXR,25,0.8923439079469979,0.005367229223072525,0.1313327696206847,0.0408674029990699,0.00021934471964768973,0.21934471964768973
FRT,25,0.33319560048867547,-0.001988134567430671,-0.06528106894232003,0.030454994068606845,-6.054862645869332e-05,-0.06054862645869332
BWA,25,0.2808453097810536,0.014970152315653634,0.3456524364830707,0.043309841724164556,0.0006483549273775944,0.6483549273775944
MTB,25,0.22644128707966238,0.004990096742040985,0.13009145233091238,0.03835837522474363,0.00019141200323897882,0.1914120032389788
ZTS,25,0.2888288656819227,0.013863755518595302,0.46703161795298864,0.029684832858555686,0.00041154326536138055,0.41154326536138053
COO,25,0.4914205903262342,0.01428282757680225,0.46179164025307173,0.03092916010557262,0.0004417558608832046,0.4417558608832046
RSG,25,0.2086021896621103,0.005692040034902757,0.2751094433502661,0.02069009324283979,0.00011776883906411509,0.11776883906411509
MHK,25,0.28321176357666145,0.013629757529846602,0.7172885330867982,0.019001778086695387,0.0002589896279576106,0.2589896279576106
DISCA,25,0.5080197540104041,-0.01713826818078014,-0.29028150635440364,0.059040165513872214,-0.001011846190014389,-1.0118461900143891
SPGI,25,0.44411592659504806,0.012131001842218101,0.4493846772971081,0.0269946939784014,0.0003274726823821013,0.32747268238210125
VTR,25,0.4363541474066137,0.003416288339550608,0.09725192900843602,0.03512823215315622,0.00012000816989385434,0.12000816989385434
CERN,25,0.6621511194671174,0.011606054005302315,0.3217415751781094,0.03607259645843856,0.000418660502608115,0.418660502608115
FLT,25,0.9285142332393848,0.0036859842777743667,0.09047170354828862,0.040741846712403273,0.00015017380642941175,0.15017380642941175
CFG,25,0.21055961109940693,0.006347531785510422,0.1248279647228087,0.050850238563175054,0.0003227735055805415,0.3227735055805415
EQIX,25,-0.10605102636156441,0.01535994913331235,0.620109992616015,0.024769717173100853,0.0003804615958253625,0.3804615958253625
CHTR,25,-0.06968310039391934,0.008207468088019193,0.2005862482744533,0.04091740165950598,0.0003358282683650589,0.3358282683650589
CSCO,25,0.7549803767142698,0.007198045033021246,0.24572094952995524,0.029293574873410416,0.0002108564711169878,0.2108564711169878
DXCM,25,0.7791026276441939,-0.00654763353676779,-0.052339305582898094,0.12509974031652482,-0.0008191072551374195,-0.8191072551374194
PTC,25,0.1805238686910568,0.010910838834610402,0.24256865894965562,0.044980414542650844,0.0004907740537888293,0.4907740537888293
SNPS,25,0.40328222723442064,0.014867879272568156,0.5713881585274667,0.026020628972928662,0.00038687157016579246,0.38687157016579243
AMAT,25,0.5623709816541531,0.020070513936855855,0.49309523466684074,0.040703118841569165,0.0008169325139832141,0.8169325139832141
HOLX,25,0.49252805247388465,0.0021331542701293286,0.048813052329330954,0.043700489281788914,9.321988531818897e-05,0.09321988531818898
RMD,25,0.566595374136742,0.012206841214949358,0.34501492667541067,0.03538061768102436,0.0004318855821190941,0.4318855821190941
AOS,25,0.42215167182522156,0.00800949825727423,0.2953374959650468,0.027119815014014184,0.0002172161110923461,0.2172161110923461
ESS,25,0.21155964226867446,0.006231749697805376,0.24458301217909562,0.025479078216774045,0.0001587792379777412,0.15877923797774118
LKQ,25,0.161678243876086,0.006868304195356781,0.19089981120845487,0.035978580344727895,0.0002471118343246756,0.2471118343246756
IEX,25,0.1443956016434238,0.012845503142174012,0.37776068516815414,0.034004340966440276,0.000436802868731965,0.436802868731965
GILD,25,0.8140512643155524,-0.002559984986495117,-0.05859494456483453,0.043689519727466035,-0.00011184451456949528,-0.11184451456949529
HWM,25,1.6140362915897306,0.0005944683438464833,0.008973577017534654,0.06624653052900457,3.938146528915284e-05,0.039381465289152845
ARE,25,0.20573931580350957,0.006921167461117877,0.2968432138709484,0.0233159025967386,0.000161373266379141,0.16137326637914098
AXP,25,0.3103669838135465,0.010521669048423863,0.4566484028954479,0.023041072697746533,0.0002424305414463638,0.2424305414463638
DHR,25,0.15696738715786404,0.007438707663725176,0.2862396221216545,0.025987693837031603,0.0001933148573080705,0.1933148573080705
HSY,25,0.501094264693387,0.003894196172813814,0.14553918680287,0.02675702852516571,0.00010419711807857036,0.10419711807857036
NWS,25,0.4523891858539441,0.01092610555701396,0.28107309673371744,0.03887282590893114,0.0004247285991804087,0.42472859918040873
KLAC,25,0.5677687619066597,0.0092301573102205,0.22578127631652062,0.040880968788930175,0.0003773377729160399,0.3773377729160399
EW,25,0.6213216720618474,0.0110987012934176,0.23163920270851435,0.0479137432854307,0.0005317803245744885,0.5317803245744885
AJG,25,0.22037163173890703,0.011277106892305051,0.5741076747357955,0.01964284295188142,0.00022151443963712767,0.22151443963712766
PSA,25,0.9060650296885753,-0.002656869573980446,-0.10143314492063768,0.026193307681224,-6.959220222015236e-05,-0.06959220222015236
NXPI,25,0.1235307530132231,0.005169786291598289,0.40652926569213965,0.01271688591175946,6.574358245843346e-05,0.06574358245843347
HBAN,25,0.3108314116450655,0.003612687723319295,0.0975408451132035,0.03703769143199957,0.0001338056131364731,0.1338056131364731
CSX,25,0.3233343214275863,0.014835564559266518,0.26491420403739874,0.05600139340649374,0.0008308122872909201,0.8308122872909202
MGM,25,0.2787840716315177,0.005633766397975673,0.12236959503879165,0.046038939625400795,0.0002593726310600137,0.25937263106001374
FE,25,-0.0394114357491717,0.005392641399805046,0.18156943986160548,0.02970015991631293,0.00016016231194553946,0.16016231194553945
MTCH,25,-0.18500156775974236,0.022528483350687842,0.39014957642773546,0.05774319571729851,0.001300866623332669,1.3008666233326691
CDNS,25,0.45709206140739317,0.01922769581506409,0.6238458582263366,0.030821228612033385,0.0005926212083987278,0.5926212083987279
PCAR,25,0.41456379595032467,0.002461595875371054,0.06704706305409099,0.03671444748273513,9.037613249002796e-05,0.09037613249002796
WFC,25,0.02934457819829045,0.002654202826882103,0.07434254414180547,0.03570234053087175,9.476125316334728e-05,0.09476125316334728
ALLE,25,0.8184777143169985,0.005623658723434479,0.19561755332317007,0.02874823157686627,0.00016167024329055856,0.16167024329055857
GM,25,0.6328784721848874,0.005845473211009571,0.15531545480875633,0.037636133623709524,0.0002200010108633706,0.22000101086337062
POOL,25,0.3437457277846391,0.007284076939103582,0.20018747063461492,0.036386277902469656,0.0002650404477691935,0.2650404477691935
DE,25,0.08234049224230214,0.015161826688684047,0.3883639639370273,0.039040251147355466,0.0005919215217789021,0.5919215217789021
TRMB,25,0.6211184823796835,0.012994051150616998,0.4922233684150952,0.02639868804371561,0.000343025902749222,0.343025902749222
LLY,25,1.0905914288371885,0.005597902422805095,0.21739271686425657,0.02575018383113779,0.0001441470164560028,0.1441470164560028
BA,25,0.5063380933315303,0.02129773118777648,0.6988423009376722,0.03047573273569764,0.0006490639635554082,0.6490639635554082
NOW,25,-0.07186433754245004,0.01826274435209729,0.41088760230055194,0.04444705620185308,0.0008117252246177431,0.8117252246177431
PSX,25,0.13251921745069442,0.005054808615389039,0.200593083824777,0.025199316541763418,0.00012737772235722126,0.12737772235722125
TXT,25,0.22231792691330207,0.004366490265358196,0.15309512786811383,0.028521418846978442,0.00012453849774953516,0.12453849774953515
MAA,25,0.8753339655181709,0.002509000950055875,0.0987543838668464,0.025406476672861823,6.374487410978274e-05,0.06374487410978275
ZBH,25,0.43782678598369806,0.00429947663390124,0.11349428563664435,0.03788275867620467,0.00016287603575606145,0.16287603575606144
AVY,25,0.42432925799860316,0.016768590020545447,0.7707718520878679,0.021755581726450784,0.0003648104306293235,0.3648104306293235
CZR,25,0.6880598523026084,0.022787973470279284,0.4170103599503002,0.05464606076691999,0.0012452729830118422,1.2452729830118423
GPC,25,0.7873483198387503,-0.004850530958905572,-0.1322251726342638,0.03668386935914382,-0.00017793624401897458,-0.1779362440189746
MET,25,-0.0071505032794184,0.0038358315997091084,0.13344924961246643,0.028743747985457212,0.0001102561768166918,0.11025617681669181
TXN,25,0.2819425174399039,0.012327462842654402,0.5368937711616832,0.022960711233399725,0.00028304731457065265,0.28304731457065263
USB,25,0.29503747535712754,0.0026920294909577097,0.09267544608598868,0.029047925903263706,7.819787318274026e-05,0.07819787318274027
KEY,25,0.25972509092947205,0.002021455073656379,0.051521827444024164,0.03923492573807842,7.931163969776987e-05,0.07931163969776987
DRI,25,-0.1331825526288593,0.0063582999905005735,0.20833326400026755,0.030519850111369675,0.00019405436267320073,0.19405436267320073
BSX,25,0.5823565523523005,0.007273439848118415,0.2157624530002671,0.03371040580498689,0.00024519060887823397,0.24519060887823396
PM,25,0.766274632697688,0.003925132710000704,0.1400309512958516,0.028030465219848758,0.00011002329591096542,0.11002329591096542
NLSN,25,0.964655976323141,-0.01082733640400084,-0.2894973358913076,0.03740046992372319,-0.0004049474695318666,-0.40494746953186656
APD,25,0.156247486940353,0.005078953399214698,0.23914665994627082,0.021237818668911324,0.00010786589132037256,0.10786589132037255
MAR,25,0.2759050049136684,0.01751312346392519,0.5100595272759239,0.034335450133551215,0.000601320977378329,0.601320977378329
FTNT,25,0.7080711992561773,0.010614275178005023,0.24516251400024436,0.04329485370669043,0.000459543491034283,0.459543491034283
MMM,25,0.4347459183872734,0.011561772101191999,0.5533077200041687,0.020895736103419795,0.0002415917387143894,0.24159173871438938
SO,25,0.22809975274053954,0.004383655975843654,0.2056744736697364,0.021313563601882596,9.343133044991645e-05,0.09343133044991644
PHM,25,-0.42096829595979457,0.027153448389529336,0.8016578403778412,0.03387161831627723,0.0009197312398208704,0.9197312398208705
DHI,25,-0.10463429988548845,0.025611386568270184,0.7793345466167045,0.03286314802732142,0.0008416707879780145,0.8416707879780145
TTWO,25,-0.18465936362509164,0.035281895223227645,0.7035520215008095,0.05014823942650991,0.0017693249290754562,1.7693249290754562
HIG,25,0.1414498477469721,0.007337137936546861,0.34207960631318185,0.02144862716495745,0.00015737153605885885,0.15737153605885884
NSC,25,0.1487668512095848,0.009838393921724678,0.29394970236937623,0.033469650904295815,0.00032928761001907084,0.32928761001907086
L,25,0.16749384031973014,0.003830047496939781,0.17411813691415573,0.02199683252312815,8.424891334581053e-05,0.08424891334581053
ADI,25,0.7349738177085501,0.005567955337490764,0.17191665453199556,0.03238752727388903,0.00018033230535277812,0.1803323053527781
HST,25,0.5163330964238451,0.0024531086595297458,0.07598422305945063,0.03228444749129586,7.919725770903125e-05,0.07919725770903124
CMG,25,0.23927630411686468,-0.01269818004165333,-0.17962355196904103,0.07069329106598404,-0.0008976761376928682,-0.8976761376928682
TRV,25,0.35459899793867555,0.005256816518673421,0.17813929376549456,0.029509584368250494,0.00015512647056620618,0.15512647056620618
O,25,0.42717487515246966,0.0008889296874807235,0.026246690247949036,0.03386825840070201,3.0106500355652428e-05,0.03010650035565243
ECL,25,0.2980454547861747,0.004165830923328206,0.24685405180613265,0.016875683801211617,7.030124543139624e-05,0.07030124543139624
MTD,25,0.6610347616574428,0.013634334206358909,0.40250808720444725,0.03387344165195264,0.00046184182420232054,0.46184182420232056
PAYX,25,0.3996517596124153,0.004281185989138998,0.16525774853336156,0.02590611349321832,0.00011090889012021101,0.110908890120211
UPS,25,0.2631154023048966,0.0007631449858235765,0.03548284657136742,0.021507434142541144,1.6413290523811067e-05,0.016413290523811068
DISH,25,0.3077945749448558,-0.005245727846642064,-0.12872814697935203,0.04075043391623961,-0.00021376568595716532,-0.21376568595716533
CMA,25,0.3481882065047689,0.0087389312261324,0.20614336303967223,0.04239249373481209,0.00037046508725277147,0.37046508725277144
CMS,25,0.13762625463802625,0.00939177576607408,0.43419316260684565,0.021630409170165055,0.00020314795265462273,0.20314795265462274
CF,25,-0.20947028698972722,0.012523073458133114,0.18451027251455088,0.06787195795369885,0.0008499655152014928,0.8499655152014929
HBI,25,-0.4422278503500383,-0.002025135799239181,-0.03683542750803591,0.05497793662900704,-0.0001113377876357052,-0.1113377876357052
NFLX,25,0.73490688862189,0.015186368355320033,0.2725062655118974,0.055728510780450324,0.0008463136926053421,0.8463136926053422
UAL,25,0.7877577548732695,-0.007922582897006777,-0.12997968440553775,0.060952470636013,-0.0004829010013911844,-0.4829010013911844
WRB,25,0.6098683708711365,0.001578745362079425,0.06587666760033409,0.02396516732840048,3.783489677116962e-05,0.03783489677116962
