Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FE,25,0.4991748627282554,-0.001639652890784436,-0.04565167975356706,0.03591659495631854,-5.889074874726139e-05,-0.05889074874726139
ATVI,25,1.1822164270914126,0.008713380392793691,0.1835792826558954,0.04746385467213216,0.0004135706206665656,0.4135706206665656
AZO,25,0.5563407336448067,-0.003980369453750077,-0.06615816447545997,0.06016444811171438,-0.0002394767314655994,-0.2394767314655994
CMI,25,0.16270991821753392,0.009132929521369498,0.3001762692367698,0.030425221635910608,0.00027787140487281795,0.277871404872818
DE,25,-0.005027033876118627,0.018775011874450756,0.520053323246987,0.036102089988056876,0.0006778171682182576,0.6778171682182577
APD,25,0.45315393294018763,0.0034849223271022555,0.21433652816463658,0.016259115312465128,5.666175397133989e-05,0.056661753971339886
PHM,25,-0.09395189696837032,0.020822846181759405,0.7220052144060317,0.028840298887438963,0.0006005371075691084,0.6005371075691084
DG,25,0.3236589112791277,0.012055434191394149,0.3049306070550168,0.039535008662541574,0.00047661169518746754,0.47661169518746754
MGM,25,1.4898404678690889,-0.009584593442955853,-0.22048357118532494,0.043470782840775164,-0.00041664978017585144,-0.4166497801758514
KEYS,25,1.164404390760033,-0.006079179261101327,-0.2553942249418544,0.023803119520362584,-0.00014470343053770438,-0.14470343053770438
KMX,25,0.15557617735739435,0.00040477234344116165,0.009223032571184158,0.043887120675015934,1.7764292682511255e-05,0.017764292682511253
MO,25,0.08010149703765523,-0.0002081424650787635,-0.005630580639174989,0.03696643000379109,-7.694283866150642e-06,-0.007694283866150642
BAX,25,0.7377245421141112,0.007656882649206951,0.357406805803331,0.02142343829182782,0.00016403675294305223,0.16403675294305223
HWM,25,0.968290750033137,0.00023288540621305143,0.003161294415414481,0.07366773720204657,1.7156140903094937e-05,0.017156140903094936
AAP,25,0.7401370683811129,-0.02144381509343877,-0.2930373951251284,0.07317774267097261,-0.0015692099827915808,-1.5692099827915809
PXD,25,0.34600603661930934,-0.0027817531062851453,-0.04483735470085449,0.06204097286390832,-0.00017258266898112937,-0.17258266898112937
AON,25,0.3671951735536822,0.00415890337377554,0.20240889045661367,0.020547039037630617,8.54531499746997e-05,0.0854531499746997
IVZ,25,0.28459441059827717,0.007503486991718147,0.20490361322470393,0.0366195933474808,0.00027477464232483057,0.27477464232483056
BLK,25,0.027898334070015032,0.01771581131402624,0.6443298154861825,0.02749494263377938,0.0004870952157900112,0.4870952157900112
FIS,25,0.4837744009534015,0.004092885331562213,0.19722626349723,0.020752232785770423,8.49365091660442e-05,0.0849365091660442
HES,25,-0.04641953737796182,0.0005308251414040785,0.007896824698100373,0.067220074105453,3.5682105342219724e-05,0.03568210534221972
HST,25,-0.17174624256613844,0.009146525114376192,0.36612530732398174,0.02498195271238788,0.00022849805789001417,0.22849805789001418
PVH,25,0.04373144118399037,0.02052285728728311,0.6865098524753401,0.029894483252183628,0.0006135202134616396,0.6135202134616397
LMT,25,0.154468197390247,0.01020565349231151,0.6272238765404242,0.016271149543290325,0.00016605771416040372,0.1660577141604037
SLB,25,0.053208616511331276,-0.0030533161408022817,-0.06645436437939127,0.04594605891301206,-0.00014028784328535225,-0.14028784328535226
HCA,25,-0.11812421527250055,0.007670288196825073,0.17708792540477628,0.04331344544972684,0.00033222660939686644,0.33222660939686643
REG,25,-0.06938514282466493,-0.0010386298377569514,-0.02658546655812088,0.039067579855569176,-4.057675412694656e-05,-0.04057675412694656
ZION,25,-0.6043144270303901,0.016219330887233763,0.42873249205247965,0.037830887996350905,0.0006135916901706953,0.6135916901706953
IT,25,0.34853824178060727,0.008914394709170183,0.3050916087864711,0.02921874759069244,0.00026046744893104773,0.26046744893104773
TXN,25,0.9450800797868981,0.0027282873460938873,0.10728255388143283,0.025430857556850782,6.93826868726721e-05,0.0693826868726721
CE,25,-0.04411385092649501,0.012395861862759022,0.5306657095175766,0.023359078305677572,0.0002895559079185502,0.28955590791855024
O,25,0.11952996341469942,-0.003244066488523986,-0.08625042038825781,0.03761218176005129,-0.0001220164184080555,-0.1220164184080555
GM,25,0.835697466490309,-0.002680458921745091,-0.06593586528446448,0.04065251756659132,-0.00010896740340276874,-0.10896740340276874
PCAR,25,-0.07294616687651538,0.007502792103435969,0.21493551398273025,0.03490717734082236,0.000261901294505961,0.261901294505961
AMP,25,-0.04418387213538623,0.018418735390283453,0.4803716143363471,0.038342680625976795,0.0007062236886040145,0.7062236886040145
PNR,25,0.23285953253561772,0.005246530740091852,0.19639184314512823,0.026714606146930494,0.00014015900235931757,0.14015900235931758
KIM,25,-0.2166579954414998,-0.012109145586013607,-0.2612106203004273,0.04635778427418634,-0.0005613531588211345,-0.5613531588211346
SEE,25,0.05132566590506229,-0.00018061206061442355,-0.00601375943351014,0.030033136943923785,-5.424346750157246e-06,-0.005424346750157246
CTAS,25,0.05293908092335098,0.013806532220129852,0.4402903040096937,0.03135779301609576,0.00043294237962888894,0.43294237962888893
IQV,25,0.7077311485436002,0.003735810985239464,0.1462897358606899,0.02553706836135814,9.54016605151729e-05,0.0954016605151729
DISCA,25,-0.23908746157344252,-0.00047982249696226125,-0.006930913508224695,0.0692293297835662,-3.3217789879774574e-05,-0.03321778987977458
AME,25,0.1970051980279174,0.0136108988127538,0.6609395332760196,0.020593258728661426,0.0002802927607806696,0.2802927607806696
PKI,25,0.8991489266203211,0.007314723099752401,0.2789246603499111,0.026224727102207735,0.00019182661711922178,0.19182661711922178
ANET,25,1.5367961742821978,0.02408391221397342,0.41475476959042823,0.058067836658651006,0.0013985006805422985,1.3985006805422986
COST,25,0.13921063181414708,0.008316165416946903,0.18784932875999608,0.04427040262449898,0.00036815999130017385,0.36815999130017385
TFX,25,0.6958130259374249,0.012166385702828077,0.32957076625407195,0.036915852219273584,0.0004491324966482843,0.44913249664828425
COG,25,-0.30406865639049235,0.011911894198861654,0.3006412452938126,0.03962162339774877,0.0004719685859011248,0.4719685859011248
SNPS,25,1.0022577353498325,0.002901358835198634,0.12006473050223646,0.024164955212593344,7.011120630823698e-05,0.07011120630823699
DVN,25,-0.25560351288081207,0.001059284638826786,0.015417209873182874,0.06870793402568484,7.27812590789322e-05,0.0727812590789322
HPE,25,0.16414674809082735,0.007791376639654182,0.16017996785682787,0.04864139220341381,0.00037898340693393544,0.37898340693393545
BIO,25,1.0763805594046547,-0.0002977694823291209,-0.007047043548496541,0.04225452564326055,-1.2582108226856258e-05,-0.012582108226856258
ILMN,25,0.6214769434947227,0.008766836336555735,0.1907142409304157,0.045968441023522814,0.0004029977990998391,0.40299779909983907
TTWO,25,1.0611196062822883,0.017966282676546097,0.3888517975345172,0.04620341937586461,0.0008301036931297907,0.8301036931297907
ABMD,25,0.8578770086277101,0.020288473854881577,0.6025807930679431,0.03366930059550368,0.0006830987248440251,0.6830987248440251
DTE,25,0.3163399643704991,0.0007711313739079345,0.033347841507965735,0.02312387666001519,1.7831546778915133e-05,0.017831546778915134
DAL,25,-0.035162605313881774,0.005188637849106724,0.11216856278467092,0.0462575049576708,0.00024001344102861263,0.24001344102861263
ANSS,25,1.367825947988493,0.004186365861107606,0.1359468411119771,0.030794138553461258,0.00012891553036242778,0.12891553036242778
XRAY,25,0.5022462863500348,-0.0018693402065385351,-0.043720701394169614,0.04275640936510276,-7.992627511340735e-05,-0.07992627511340734
ETN,25,0.20894242634851556,0.005980816324469371,0.20448478478990126,0.029248221722777006,0.0001749282419412844,0.1749282419412844
MAR,25,0.8833398131045083,0.010459399582614338,0.3765169135269516,0.027779361847620265,0.00029055544571429204,0.29055544571429204
ADBE,25,1.3339886914672339,0.0053174017158356505,0.19357450677802598,0.027469535138390788,0.00014606655327808687,0.14606655327808687
NDAQ,25,-0.29742588838543366,0.011392322130786031,0.41825907906243276,0.027237477202701726,0.00031029811432311887,0.3102981143231189
ULTA,25,-0.08214553673121491,-0.006074073077728857,-0.1275094577221444,0.04763625527264698,-0.00028934609567540434,-0.28934609567540437
EVRG,25,-0.11736735309249405,0.00029370321007453804,0.009903525530139125,0.029656429842152592,8.710188643990541e-06,0.00871018864399054
AMD,25,0.7932873745232268,-0.0038703854793432245,-0.03580663443009619,0.10809129483808978,-0.00041835497798474995,-0.41835497798474997
IPGP,25,1.2156254783003109,0.020915882637626802,0.42731940293878007,0.04894671876302167,0.001023763825144287,1.0237638251442869
PNC,25,-0.17285789734761264,0.013415388390279209,0.43412680683298704,0.03090200415898354,0.0004145623878307876,0.4145623878307876
AJG,25,0.2484970751630052,0.005307697720331248,0.30550004375954193,0.017373803469923295,9.2214897070795e-05,0.092214897070795
BF.B,25,-0.13965952499348086,0.01811851744386161,0.5146169494625725,0.035207774370399646,0.0006379126740896297,0.6379126740896297
TSLA,25,0.7723285890244463,0.001909485618520319,0.02449803462645982,0.07794444116173806,0.000148833789441942,0.148833789441942
MCO,25,0.4022352257334468,0.013398421507086724,0.5631609047576759,0.02379146242911157,0.0003187680418952542,0.31876804189525415
XRX,25,-0.22883360685100057,0.010116369326596156,0.29077094416190746,0.03479154134796614,0.00035196408171756654,0.35196408171756655
