Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BF.B,25,0.1977827913674701,-0.004337851047518239,-0.15488898358896566,0.028006194804852915,-0.00012148670147123107,-0.12148670147123107
EXPD,25,0.3448832411773739,0.005510075131939888,0.20606595355776713,0.026739376577291946,0.00014733597392211227,0.14733597392211226
PHM,25,0.9155068411603218,-0.0025605887713575607,-0.0755609131207877,0.03388774255896482,-8.677257308314104e-05,-0.08677257308314104
CXO,25,0.867076898232592,0.009825236741436745,0.15584761102944011,0.06304387135957269,0.0006194209612044853,0.6194209612044853
COP,25,1.1573026941537394,-0.003998363606843538,-0.05833693212386442,0.06853914769384814,-0.00027404443378315656,-0.27404443378315657
KHC,25,0.17363567197898272,0.0075268047622686594,0.19980765986490767,0.03767025131748013,0.0002835366270122667,0.2835366270122667
ALB,25,0.7584134986893847,0.013367433495208473,0.2630584811456796,0.050815443915703674,0.0006792720670726649,0.6792720670726649
CBOE,25,0.34601258420571457,0.004412942489773748,0.12999870181240122,0.03394605044704205,0.000149801968377755,0.149801968377755
ENPH,25,2.480786703044714,-0.06840689926412816,-0.5397775352706674,0.12673165293888347,-0.008669319416166653,-8.669319416166653
ETSY,25,1.4145789435252882,0.004424764224437598,0.05098657425238458,0.08678292843396235,0.000383993997026525,0.383993997026525
GS,25,1.0444454758753694,0.005221273478004722,0.1175060389673801,0.044434086314952354,0.0002320025163956333,0.2320025163956333
ZBH,25,0.795078994215422,-0.004509987533167061,-0.08990415518400728,0.05016439478171445,-0.00022624079507440294,-0.22624079507440295
DTE,25,-0.16151769855241693,0.01136266557975914,0.43335725011557746,0.026220088799088253,0.0002979301004956282,0.29793010049562824
ODFL,25,0.9419862360145225,0.009048692697987429,0.18144738220539047,0.04986951361880055,0.00045125390373462515,0.45125390373462515
AVGO,25,0.8840032195011083,0.0038562312019619393,0.07614509159782955,0.050643201302181605,0.00019529189302871223,0.19529189302871222
POOL,25,0.581152666152731,0.008049813525527333,0.2269062889642677,0.03547637909143622,0.0002855782362469784,0.2855782362469784
SNA,25,0.6275033027787587,-0.0028519406904199502,-0.08568971019867415,0.033282183867907135,-9.49188144389228e-05,-0.0949188144389228
INTC,25,0.947309547142936,-0.002237674988033924,-0.07359749742240272,0.030404226589269688,-6.803477736932476e-05,-0.06803477736932476
ADM,25,0.6947358396106179,0.005852537213855464,0.10543549532375984,0.05550822515590343,0.00032486395339999285,0.32486395339999286
ED,25,-0.2491010500289499,0.008773218734913237,0.3040966385906734,0.028850100992804304,0.0002531082465342097,0.2531082465342097
VRTX,25,1.6042048717575532,-0.031169381182281262,-0.4246572097426945,0.0733989214528283,-0.0022877989611315265,-2.2877989611315264
HSIC,25,0.6093835814257442,-0.004778347636440199,-0.13990147523075322,0.03415509113509205,-0.00016320489899776668,-0.1632048989977667
AES,25,0.6129314262842901,0.005984170347162104,0.15367811342382912,0.03893963957416858,0.0002330214364689196,0.2330214364689196
CB,25,0.23364930287988672,0.005292107003253851,0.24655339264338122,0.02146434468621748,0.0001135916088341861,0.1135916088341861
XEL,25,-0.171749180319049,0.007977334041962344,0.2883953288652229,0.027661106971987152,0.00022066189028599505,0.22066189028599506
EVRG,25,0.12061209723573083,0.011666982973830342,0.3337800315441935,0.03495410711016605,0.00040780897251974937,0.40780897251974935
CVX,25,0.5593612908256975,0.00915619945898683,0.27989028818749906,0.03271353042751192,0.00029953160960193384,0.2995316096019338
KEY,25,0.9513517208861856,0.007829546937118409,0.1402738750338377,0.055816144918144725,0.00043701512648561724,0.43701512648561724
NI,25,-0.06166397009896576,0.00675178970870752,0.22562914521504454,0.029924279960695976,0.00020204244547910975,0.20204244547910974
ADBE,25,0.4119210152653465,0.0019391575254891842,0.05669947077327866,0.03420062831350219,6.632040577058624e-05,0.06632040577058625
AMCR,25,0.6312306429587333,0.0011571138924661283,0.024490832493924412,0.04724681746744136,5.466994886638773e-05,0.054669948866387735
NVR,25,0.2825843865798811,0.0011173759017573353,0.03155353501444988,0.035412067181874715,3.9568590500438604e-05,0.0395685905004386
SCHW,25,1.4682029395759537,-0.0012630749064679384,-0.02628099360812212,0.04806039396005127,-6.070387760590402e-05,-0.060703877605904025
FISV,25,0.3027342196668798,0.005150121261456484,0.1811718824593572,0.028426713856173708,0.00014640102342401983,0.14640102342401984
GILD,25,0.5750170169926105,-0.015338872732658331,-0.28029774984309375,0.0547234957870507,-0.000839396737363735,-0.839396737363735
AWK,25,-0.05205451056151223,0.008641379709265994,0.30098979125764086,0.028709876415274022,0.0002480929435104833,0.24809294351048328
SPGI,25,1.0501426434196095,-0.0013080291805194115,-0.04180584668855544,0.031288187756701766,-4.092586259133609e-05,-0.04092586259133609
WAT,25,0.7913408684951773,-0.004230546188815532,-0.1267039099628535,0.03338923155612029,-0.00014125468630722397,-0.14125468630722396
DLTR,25,0.049002224893531114,-0.0010927427621648354,-0.021153570882544357,0.05165760278641901,-5.644847155564541e-05,-0.056448471555645405
FANG,25,0.6679299559937693,0.012740930271467742,0.21634856026755078,0.05889075598983175,0.0007503230157004675,0.7503230157004676
DHI,25,0.9352788280720316,-0.00996085588201322,-0.24142474813860684,0.041258636319647275,-0.00041097133026840284,-0.4109713302684028
UDR,25,0.2112383187516995,-0.0014495939741632354,-0.03877339576263561,0.03738630433706175,-5.419496148323755e-05,-0.05419496148323755
GL,25,0.6291465550651167,0.006651000430299209,0.31122735007290614,0.021370231211174685,0.00014213341698111643,0.14213341698111642
HRL,25,0.06287832186928889,-0.00399167646068673,-0.07938716352970634,0.050281132152971565,-0.00020070601163169527,-0.20070601163169527
DISCK,25,0.26671523331077707,0.0009896673256250437,0.022018112606826717,0.04494787283984538,4.448344110594431e-05,0.044483441105944314
BAX,25,0.34723196041816956,0.005049073543613867,0.16580844925609675,0.030451243988268668,0.00015375057039129816,0.15375057039129816
IRM,25,0.7160774223970765,0.004874262345789209,0.10276076451513402,0.047433107069492025,0.0002312014077326129,0.23120140773261288
AMAT,25,0.746486206663935,0.01826904449641604,0.31816869645369017,0.05741936494709535,0.0010489969331744363,1.0489969331744364
NCLH,25,1.4108808435346298,-0.02205810710912106,-0.3380409347920114,0.0652527692324981,-0.0014393525728972024,-1.4393525728972023
VTR,25,0.4845237911567773,0.0018990282034534321,0.04365217752584205,0.04350363054235288,8.261462135254624e-05,0.08261462135254624
PEG,25,0.13188553326840535,0.005780807120649142,0.2019164587645343,0.028629697430413308,0.0001655027587677637,0.16550275876776369
SWK,25,1.0436830706595168,-0.0026554584724854044,-0.1227866420203272,0.021626607168276465,-5.742855723611332e-05,-0.057428557236113315
PAYC,25,0.8527551569835039,0.004039599788013719,0.04819161222494762,0.0838237112541032,0.0003386142462125985,0.3386142462125985
XYL,25,0.8324330869280218,0.00766366251856839,0.17651350648298902,0.043416861809988196,0.0003327321765270699,0.3327321765270699
CAH,25,0.9357159744244562,-0.013389166426565527,-0.4097422926715893,0.032677042780392254,-0.0004375183641146734,-0.4375183641146734
SYY,25,0.36311381739523696,0.011363605186276507,0.3219855420147423,0.03529228398011802,0.00040104758127201243,0.40104758127201245
NWSA,25,0.7625606898000108,-0.009589193039468962,-0.20785382156927648,0.04613431192686991,-0.0004423908228098309,-0.4423908228098309
CI,25,0.6483704368965117,-0.0076157198962043485,-0.15084340669061125,0.05048758883989302,-0.0003844993348393579,-0.3844993348393579
TTWO,25,0.724248516548675,0.00987036216709362,0.23370613665798978,0.042234073560242474,0.0004168656018312663,0.4168656018312663
FCX,25,2.9523378111644476,0.008398680906285535,0.058538747817049874,0.1434721653516366,0.0012049769357222314,1.2049769357222315
COG,25,0.4888074183374656,0.006884241647300194,0.10836433883880703,0.06352866377508719,0.00043734667295778636,0.43734667295778634
CTAS,25,0.7105700895468873,0.006617363684977104,0.21446955795962847,0.030854559257415683,0.00020417583994599667,0.20417583994599667
XOM,25,0.47309616670843757,0.004263457921777111,0.14123416324264865,0.030187157440457506,0.0001287016755254514,0.12870167552545142
MRK,25,0.49313916660474155,0.002562843177025578,0.08548779214525958,0.029979054467459326,7.683161519560631e-05,0.07683161519560631
BA,25,0.7945463567972219,-7.052050521799864e-05,-0.0023988519155819783,0.02939760673008858,-2.073134078805884e-06,-0.002073134078805884
BRK.B,25,0.5858385281321786,0.004770786999302659,0.24539140130486375,0.019441541039881986,9.275145123947807e-05,0.09275145123947807
APD,25,0.6591416794957977,0.003970582420204567,0.12749898294613501,0.031142071320537777,0.00012365216091408411,0.12365216091408411
PPL,25,0.05595075490368396,0.0020148171480833714,0.06286602605860761,0.03204937983840483,6.457364008385551e-05,0.06457364008385551
EXPE,25,0.7770043161474388,-0.007355756413073908,-0.13859522729076984,0.053073663190736635,-0.00039039693838058563,-0.39039693838058565
DISH,25,0.8471824222166082,-0.005103589656498413,-0.09033331848606731,0.056497311756409936,-0.00028833909589997994,-0.2883390958999799
BKNG,25,1.0283848268942606,-0.00021825788014332836,-0.00536374801980462,0.040691300064330506,-8.881196892316856e-06,-0.008881196892316857
MMM,25,0.5163788340343957,0.005273727195000423,0.2151566671151218,0.02451110284292822,0.00012926486964220273,0.12926486964220274
DLR,25,0.401859163941388,0.008942052157587548,0.23233079164644696,0.0384884504297444,0.0003441657312074973,0.34416573120749727
DVA,25,0.47926900757374197,-0.0059142542387584825,-0.1481109218922064,0.03993124992539589,-0.00023616356413019696,-0.23616356413019696
HAL,25,0.9488279313250543,0.01208372462624704,0.29160865416420434,0.04143815505366557,0.0005007272546882219,0.5007272546882219
ORCL,25,0.40868679887247394,0.0007794485900596256,0.03213724053178053,0.024253749766997842,1.890455105954544e-05,0.01890455105954544
LIN,25,0.6041853982122732,0.0026280936546198277,0.10501874155663576,0.025024996640266518,6.576803487716695e-05,0.06576803487716695
IP,25,1.1822254464994846,0.007455081297181651,0.3331735196714096,0.022375971849546088,0.00016681468924181417,0.16681468924181417
VFC,25,0.495557489397784,-0.0074858066088035,-0.1586429486180794,0.047186507021027446,-0.00035322906610436,-0.35322906610436
NEM,25,0.6149468754633087,0.021840115224692022,0.2460284391088602,0.08877069376125428,0.0019387621803216427,1.9387621803216428
O,25,0.028083687064564874,0.005425824616312543,0.12603025453362593,0.04305176274054804,0.0002335913140533127,0.23359131405331268
FITB,25,1.0278188490354996,0.00646664675017611,0.12828242955590094,0.05040945024632679,0.0003259801076135734,0.3259801076135734
INCY,25,1.4041870457960988,-0.01026137725350903,-0.11457652392080316,0.0895591601347745,-0.0009190003286503477,-0.9190003286503478
DUK,25,-0.10796594653779153,0.006109127789842031,0.21641477527183675,0.0282287925219912,0.00017245330086978136,0.17245330086978136
TSN,25,0.5260049287695766,0.003172802905454872,0.05015588997990748,0.06325882975510755,0.00020070779884268032,0.2007077988426803
COO,25,0.5618463687028954,0.007556617088915258,0.20414378184457738,0.0370161511687307,0.0002797168804875009,0.2797168804875009
T,25,0.212937627909982,0.009807927170043824,0.3358859202430031,0.02920017356770445,0.00028639317570468395,0.286393175704684
MDLZ,25,0.30650560124906945,-0.0005003786898873169,-0.012985938767118597,0.038532346321724115,-1.9280764970748687e-05,-0.01928076497074869
L,25,0.40060148348248864,0.006160502200571788,0.2870102747743014,0.021464396023509167,0.00013223145893677258,0.13223145893677257
DVN,25,2.021407286259688,0.0006692449622203844,0.00709298749704495,0.09435304411564271,6.314529944455157e-05,0.06314529944455158
MDT,25,0.25917798902532013,-0.003257961981180636,-0.10822168960254464,0.03010451964985798,-9.807938048094269e-05,-0.09807938048094268
HPQ,25,1.3117903654962304,0.0025161284949674744,0.050366018905480724,0.04995686674560007,0.00012569789593789738,0.12569789593789737
PKG,25,1.2647308102752057,0.004994172205708596,0.14761651458050642,0.033832069669853214,0.0001689631820067777,0.1689631820067777
UNH,25,0.4512352591109809,0.010527709094818682,0.43834013919339426,0.024017214381030917,0.0002528462462713892,0.25284624627138924
CE,25,0.7184642322760176,0.0031122623373010415,0.08429068397263664,0.036922969308344655,0.00011491396675968335,0.11491396675968335
ROK,25,0.7973028060784861,0.006876997424612534,0.19978839580578558,0.03442140569213873,0.00023671591829638126,0.23671591829638125
ADP,25,0.3351663412248795,0.007908763233766072,0.2586888693942159,0.03057249139588572,0.00024179059591641056,0.24179059591641056
CMG,25,0.07163504573840089,-0.007512028540795956,-0.12401901300628311,0.06057158784528771,-0.0004550154966551307,-0.45501549665513075
AZO,25,0.05078940297060921,0.0029359814148568007,0.10330246567812555,0.028421213332940794,8.344415413319448e-05,0.08344415413319449
CNC,25,0.027745952276833442,-0.006194076804586585,-0.10406513970925413,0.0595211501362715,-0.00036867857544139494,-0.36867857544139493
WEC,25,-0.18132341124469872,0.008060406624235234,0.27981021366441183,0.028806691931204553,0.00023219365046458484,0.23219365046458484
GPS,25,0.8027154962646066,-0.009010965180700405,-0.08547775704491613,0.10541883049136865,-0.0009499254109478811,-0.9499254109478811
GE,25,0.6266569591134775,-0.0018314199582700895,-0.07417186134733154,0.02469157339457786,-4.522064031592064e-05,-0.045220640315920636
HCA,25,0.45111003781043296,0.0012132210252193036,0.025987213180443926,0.04668530699291315,5.663959601262002e-05,0.056639596012620017
MCHP,25,0.7660263990276448,0.009483313763242556,0.26544579198173957,0.03572599020102352,0.0003388007745788351,0.3388007745788351
NTRS,25,1.013042132193581,0.0029120877567419545,0.0775719350966092,0.03754048101436684,0.00010932117514414146,0.10932117514414147
AME,25,0.917073801503546,-0.009205885328408055,-0.3444497657001386,0.026726350966434553,-0.0002460397222437843,-0.2460397222437843
NWS,25,0.7447853437146669,-0.00955704381230765,-0.21680759146602943,0.04408076187592858,-0.0004212817725281502,-0.4212817725281502
SBAC,25,0.6244815694960839,-0.005015119705052891,-0.10005518825755175,0.05012353474507976,-0.00025137552678695273,-0.25137552678695274
AJG,25,0.8902488964086243,0.00529699180403851,0.21790162595171159,0.024309097194219,0.00012876508860135358,0.12876508860135358
ABC,25,1.1552809815218799,-0.01732546637744521,-0.3737472389590632,0.04635610533391227,-0.0008031411443520057,-0.8031411443520057
FTI,25,1.2082257078565817,-0.0005303319083020726,-0.011143605012789673,0.0475906950841674,-2.5238864141408564e-05,-0.025238864141408565
KR,25,0.5115676567458307,-0.009977806767320753,-0.19436128484929793,0.051336390243855674,-0.0005122245819849622,-0.5122245819849622
MSI,25,1.003544190875344,0.0023875127414442485,0.07029175075820286,0.03396576007413832,8.109368494984358e-05,0.08109368494984358
RMD,25,0.14074447712248586,0.00701525406354146,0.17493936591656167,0.04010106031187643,0.00028131912630521226,0.2813191263052123
RF,25,1.2991230421186848,0.008255804333865907,0.1478750202069884,0.05582960747738074,0.0004609183153697924,0.4609183153697924
ACN,25,0.3307187313015013,0.0040656180089638306,0.12933484512621812,0.031434823345527545,0.00012780198390217344,0.12780198390217345
NOV,25,1.347575938112145,-0.0050244587335535485,-0.0784395899013284,0.06405513771647674,-0.00032184239612852687,-0.3218423961285269
TAP,25,0.48986635376653975,-0.00030781233097268825,-0.008059912082110259,0.03819053208482348,-1.1755516702116755e-05,-0.011755516702116756
DD,25,0.8537120111852039,0.0010668833753981477,0.0286175463049828,0.03728074252167403,3.977420441887284e-05,0.03977420441887284
PEP,25,0.2406437742965667,0.0019345416230697775,0.08506189052874873,0.022742753670822215,4.399680359942855e-05,0.04399680359942855
MOS,25,1.4478370839994879,-0.007151132525843963,-0.10956301475156283,0.06526958519769974,-0.00046675145365561427,-0.46675145365561427
PFG,25,1.179062151298661,0.004113051606952342,0.12062723222923769,0.03409720616929996,0.0001402435686272245,0.1402435686272245
CAG,25,0.30929652326808926,0.007045111741891014,0.19243732185245152,0.03660990328732983,0.0002579208595190618,0.2579208595190618
WM,25,0.28734432250820546,0.011169486362994422,0.4303248339142206,0.025955941843739623,0.000289914538462326,0.289914538462326
CNP,25,0.330146908033724,0.011761488497839256,0.3791148834088616,0.03102354724795892,0.00036488309411904154,0.3648830941190415
ANSS,25,0.3695635730941473,-0.0014404951537759405,-0.06236635251871927,0.023097312823346143,-3.3271567187277004e-05,-0.033271567187277
ALLE,25,1.0010509616816614,-0.0065004398485045784,-0.23749071459699717,0.02737134316823842,-0.00017792576983791057,-0.17792576983791056
LEG,25,0.7670307655323918,0.003378644754555839,0.10145647530461795,0.03330142057874205,0.00011251366995762471,0.11251366995762471
AMP,25,1.549748007610901,-0.007301676247478496,-0.1389816159273795,0.052536993463176876,-0.0003836081172840116,-0.3836081172840116
VRSK,25,0.5761474200855918,-0.0007274436464264232,-0.02736912704117389,0.026578986071863486,-1.933471454643349e-05,-0.019334714546433488
UNP,25,1.0551894900972032,0.004874488982117178,0.13155264148249918,0.037053524180019184,0.00018061699536411595,0.18061699536411596
WHR,25,1.615093153297738,-0.0017519668914808741,-0.03926333261747255,0.04462094210263834,-7.817441323050735e-05,-0.07817441323050735
WU,25,0.6763639646310844,0.005178830336228122,0.1765248577206323,0.0293376831065012,0.00015193488326659571,0.1519348832665957
ANET,25,1.2066695451908718,0.0005549576256049533,0.009000165444011297,0.06166082491008225,3.4219144984942e-05,0.034219144984941996
ETR,25,0.24783126632512426,0.0028987331922777325,0.09480863544596926,0.03057456927464903,8.862751879602005e-05,0.08862751879602004
HST,25,1.2703871423648991,0.0017663768300213989,0.03846514630116969,0.04592148996889906,8.111465588112339e-05,0.08111465588112339
MTB,25,0.6174111772947054,0.007910952719019485,0.21948796621940855,0.03604276286888273,0.00028513259291856234,0.28513259291856236
BLL,25,0.6987312926435487,-0.0029042467585620475,-0.10607840719566354,0.027378302854841247,-7.951334732110274e-05,-0.07951334732110274
KIM,25,0.4061545173287492,-0.0028838153846777845,-0.09207759974868464,0.03131940224928573,-9.031937404540218e-05,-0.09031937404540218
BWA,25,1.8809318254395755,-0.015030333856259823,-0.2430626697313998,0.06183727790396332,-0.0009294349316588873,-0.9294349316588874
TRV,25,0.6538251884409729,0.0006308012522164173,0.023072937039556027,0.02733944322454387,1.724575502094192e-05,0.01724575502094192
ES,25,-0.07515202630348214,0.0053674770769935745,0.18007406716128993,0.029807051962601572,0.00015998866814202027,0.15998866814202026
VZ,25,0.1653104578608726,0.006953799384509297,0.19695650451770594,0.035306269277764146,0.0002455127135730358,0.2455127135730358
SBUX,25,0.08945520862375855,-0.0013814114540304985,-0.04513092512986527,0.030608977105066104,-4.2283591569095604e-05,-0.042283591569095606
CVS,25,0.2592592415581394,-0.009064678172132887,-0.25635379553858356,0.03536003105820437,-0.00032052730169924613,-0.32052730169924615
RL,25,0.5557209511069074,-0.011248974266948472,-0.1461301495061775,0.07697914704776876,-0.0008659364442319932,-0.8659364442319932
GWW,25,0.7208897380813997,0.0016916596401188953,0.04051050016223021,0.04175854737276501,7.06412492204995e-05,0.07064124922049951
KSU,25,0.7874207200328066,-1.686243370944713e-05,-0.00033011593403392444,0.05108033866585264,-8.613388246090491e-07,-0.0008613388246090491
PFE,25,0.4830788910006991,-0.0011936223483583184,-0.03877406607053769,0.03078403864549267,-3.6744516499986185e-05,-0.03674451649998618
BBY,25,1.0827366238087255,0.007892810103024403,0.13140660524069675,0.060064028657974895,0.00047407397222001157,0.4740739722200116
MU,25,1.021934637735098,0.010540325240603995,0.11361988423404555,0.09276831526154333,0.000977808214879554,0.9778082148795539
UAA,25,1.0162790598307752,-0.019420058370955767,-0.23363146036711183,0.08312261687891036,-0.0016142460717350321,-1.6142460717350322
APTV,25,1.4621566709284368,-0.01824605415526231,-0.41743357384361546,0.04371007819820907,-0.0007975364539352731,-0.7975364539352731
IPGP,25,0.3092706040875246,0.0038037624205287585,0.07613302706504158,0.049962054146082326,0.000190043784013291,0.190043784013291
TXN,25,0.6532861934408821,0.008966673181373647,0.28480564045846074,0.03148348174193357,0.0002823020913916626,0.28230209139166257
WY,25,1.5670189677570296,-0.00852801665366327,-0.2471196987861354,0.03450965947090954,-0.00029429895068016493,-0.29429895068016493
DISCA,25,0.37048988563279606,-0.000674441521974579,-0.015322865275246105,0.04401536591619916,-2.9685790378789372e-05,-0.02968579037878937
LHX,25,0.6154959935173807,0.0031681081958734973,0.0849907308557268,0.03727592602129066,0.0001180941667368251,0.1180941667368251
IEX,25,0.8444871228778664,0.0016680801932319033,0.0688820646828745,0.024216466229802523,4.039500766800285e-05,0.04039500766800285
DHR,25,0.5895852581863803,0.0009333276524025533,0.0469401225689424,0.01988336632550855,1.8557695614446878e-05,0.018557695614446878
PPG,25,0.7624648915649922,-0.005754441383996377,-0.18969891535194694,0.03033460351273072,-0.00017455869782077952,-0.1745586978207795
MA,25,0.47586392595321636,0.0006365604111034833,0.025079599768845537,0.02538160165913945,1.615692278660666e-05,0.016156922786606662
HUM,25,0.7488276952082216,-0.00014486748301683477,-0.002271631680088923,0.06377243471580918,-9.238552103134691e-06,-0.00923855210313469
PSA,25,0.11464326504409798,-0.003661258397328906,-0.09184440637616985,0.039863705823666405,-0.00014595132769554785,-0.14595132769554786
VNO,25,0.930376110705327,-0.003614941403587053,-0.1459987495136302,0.024760084696818365,-8.95062553268509e-05,-0.0895062553268509
MMC,25,0.5833756994503565,0.005651428817778719,0.24652700800863797,0.022924177206501854,0.00012955435568869062,0.12955435568869061
FBHS,25,1.1813968261859775,-0.008796947912147217,-0.2388268877630449,0.03683399300029911,-0.00032402671782002645,-0.32402671782002646
STZ,25,-0.10083971697284203,0.004630712576978688,0.13871566446096825,0.03338276607024202,0.00015458599469580716,0.15458599469580717
COST,25,0.46597642872094147,-0.002375040158580904,-0.08753504641803524,0.027132448725035053,-6.44406553225955e-05,-0.0644406553225955
WYNN,25,0.6417941724114432,0.005942086714547178,0.07070031011369508,0.08404611952891787,0.000499409330262027,0.49940933026202694
PLD,25,0.7183809021869827,0.005259929797569175,0.16752924526235816,0.03139708406930321,0.00016514645805291238,0.1651464580529124
TWTR,25,0.9477199255559481,-0.019348213345339947,-0.15836241973873544,0.12217679786189434,-0.002363902750882405,-2.363902750882405
MHK,25,1.3326145484951866,-0.006003449070274095,-0.1978713243056832,0.030340167234134522,-0.00018214564877372546,-0.18214564877372547
CERN,25,0.22029533749765484,-0.009273296004113927,-0.18777907235698812,0.049384076125823,-0.00045795315580445233,-0.45795315580445234
BSX,25,0.4924800567060949,0.0040868425245987,0.12730432216937929,0.032102936137243854,0.0001311996445701645,0.1311996445701645
