Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,0.2060965651121872,0.00402381728415001,0.09550507281130524,0.04213197441459568,0.0001695313668648161,0.1695313668648161
BRK.B,25,0.48448083491891225,-0.0035516073557384123,-0.13590506114218678,0.0261330028910597,-9.281416529542082e-05,-0.09281416529542082
DD,25,0.8088477786301779,-0.007062563210372535,-0.11240626612267571,0.06283068955128121,-0.00044374571650721673,-0.4437457165072167
UHS,25,1.1998188170741275,-0.004140235229695175,-0.04912420154055228,0.08428096742249112,-0.0003489430305153891,-0.3489430305153891
IT,25,0.9321807504610318,-0.004594611197769327,-0.0692708188019522,0.06632823571647808,-0.00030475245455121366,-0.30475245455121364
RHI,25,0.6546772123163951,0.002336221753154815,0.0617684011627036,0.0378222798255858,8.836123288244205e-05,0.08836123288244205
SHW,25,0.6423020602492145,0.013901701091230734,0.28863360065927923,0.04816383490860841,0.0006695592363068585,0.6695592363068585
IPG,25,0.8208751295654552,-0.0029638449970147565,-0.06656963999318379,0.04452247296692954,-0.00013195770875775885,-0.13195770875775883
NTAP,25,0.467104088214693,-0.00832333766682511,-0.13005755054622897,0.06399734295985053,-0.0005326714952344488,-0.5326714952344488
CPRT,25,0.6333116789651627,0.008723011655666022,0.2109980056972326,0.04134167821558909,0.0003606239409393777,0.3606239409393777
SNPS,25,0.5747991672219956,0.020085242022967915,0.3784936763266316,0.05306625520906933,0.0010658485791267393,1.0658485791267394
CERN,25,0.4603102712312805,0.0006139312925103105,0.018119529253654353,0.033882298150019134,2.080140309646095e-05,0.02080140309646095
ZION,25,0.8446038988466091,-0.005147064685303975,-0.10818805118756301,0.0475751677639579,-0.00024487246589527975,-0.24487246589527975
VRSN,25,0.38052550069960467,0.002038896652351816,0.042627749007333744,0.0478302678380001,9.752097297598914e-05,0.09752097297598913
MOS,25,1.6529737632704422,-0.013706646329527826,-0.12838279053364549,0.10676389158199286,-0.001463374902678429,-1.463374902678429
LH,25,1.0130344186977005,0.005440256192677536,0.08434461281359804,0.06450033986996331,0.0003508983734073737,0.3508983734073737
PNW,25,0.6725165241902252,-0.0034601423288282028,-0.05907783786878834,0.058569210615208464,-0.00020265780481573692,-0.20265780481573692
ISRG,25,0.7071597968417099,0.007777809431820924,0.18536517679024112,0.041959388308529376,0.0003263521261395164,0.32635212613951636
AJG,25,0.6145008552168242,0.009133549665341967,0.17593356555162387,0.0519147647392045,0.0004741660821100682,0.47416608211006817
ACN,25,0.5096935077651767,0.01018466945213213,0.27719721684637194,0.03674160068416802,0.000374201058110483,0.374201058110483
GILD,25,0.009803389899836472,0.005494477426671832,0.1012385524096131,0.05427257992035556,0.0002981994652596365,0.29819946525963653
GPC,25,0.7659019949059733,0.0004483464398929507,0.011172012863226624,0.04013121407769865,1.7992686960318054e-05,0.017992686960318055
FLT,25,0.6538418614160606,-8.866260292847081e-05,-0.0013937712025608635,0.06361345589976707,-5.640134581348836e-06,-0.005640134581348836
RTX,25,1.0734595275061511,-0.0017095019355738515,-0.029856855878972407,0.057256596022819,-9.788026172537915e-05,-0.09788026172537916
TTWO,25,0.14333920026264071,0.008883566396790282,0.17006277541677764,0.05223698351987421,0.00046405071146684223,0.46405071146684224
LVS,25,0.9160066998768179,-0.0021851592872536444,-0.045704862584777406,0.04781021457400552,-0.0001044729344019777,-0.1044729344019777
TDG,25,1.4454271871384217,0.012536151964029445,0.12013873960643456,0.10434729051675531,0.0013081134909527733,1.3081134909527734
QCOM,25,0.6297860484125926,0.012531668828897499,0.26984986255529797,0.04643941156845872,0.000581963326384796,0.5819633263847961
MXIM,25,0.6651418930369339,0.005128780745435027,0.12134515014975074,0.04226605463098982,0.00021677332717692557,0.21677332717692557
KO,25,0.47395561132469743,-0.00045683090832253923,-0.0124418054533315,0.03671741292178903,-1.677364909631462e-05,-0.01677364909631462
MMC,25,0.5877096295546114,0.007558678717395496,0.16590428232718013,0.045560479882544636,0.0003443770296425158,0.3443770296425158
ADM,25,0.505198377934547,0.0042927503400592825,0.13214475940873088,0.032485210607418595,0.0001394508988818936,0.13945089888189358
ADSK,25,0.7515816872439239,0.020135168403727234,0.4328515331573413,0.04651749355455814,0.0009366375664403244,0.9366375664403244
MAA,25,0.6298194100472313,0.004082076265884699,0.08523672207119487,0.04789105172856251,0.00019549492560942143,0.19549492560942144
STZ,25,0.8067643636493436,0.002129913751142894,0.041518389641986786,0.05130049044553866,0.00010926562004032745,0.10926562004032744
ABMD,25,0.45855392397666284,0.00039705471820388393,0.0036468226725229,0.10887689198476942,4.3230083665927333e-05,0.04323008366592734
XLNX,25,0.4319342841247901,-0.006519841186396546,-0.12096695270997082,0.05389770545041713,-0.0003514044798478992,-0.3514044798478992
DGX,25,0.7261644473953444,0.009920977184358054,0.18196889607886402,0.05452018118557126,0.0005408934736291197,0.5408934736291198
TSLA,25,1.4425881123683126,0.07174917766354974,0.46386729127262577,0.15467608734969213,0.0110978820715558,11.0978820715558
MNST,25,0.46594196426273365,0.006874596736320666,0.15635205417461998,0.043968701099653305,0.0003022670890799355,0.3022670890799355
SBUX,25,0.6542379503916,0.0006801051916508344,0.012278320686595056,0.05539073371762835,3.7671525570707966e-05,0.037671525570707964
WHR,25,0.886520344154693,0.003999099579043652,0.09274032449133321,0.04312147494607243,0.00017244707230457964,0.17244707230457965
HD,25,0.7693045479418147,0.013843423347964286,0.2502420402609631,0.055320134592603924,0.00076582004283178,0.76582004283178
CDNS,25,0.5981785192550313,0.016089527385896266,0.27166554879114363,0.05922549788698414,0.0009529102701959728,0.9529102701959727
WFC,25,0.7728526599297213,-0.01623726541181973,-0.3490988466293614,0.046511942301140995,-0.0007552267519628715,-0.7552267519628716
WST,25,0.24023830797685405,0.024665230999729296,0.45646203819709774,0.05403566766943057,0.001332802225291109,1.332802225291109
PWR,25,0.8540921250195506,0.00789503766737299,0.1414354977130326,0.055820764907206895,0.00044070704156397083,0.44070704156397084
TRV,25,0.8176095866804617,-0.003761398815920341,-0.05900615794142433,0.06374586902699711,-0.00023977363627796004,-0.23977363627796006
EIX,25,0.6203205310686468,-0.001482645265280469,-0.027324364957208847,0.05426092308466661,-8.044970070122865e-05,-0.08044970070122864
CTXS,25,-0.12474964172814074,0.014574300577347755,0.28098326939134693,0.051868926605195875,0.0007559533269685145,0.7559533269685145
COF,25,1.383512823652991,-0.0032548460437472598,-0.05310833641158261,0.06128691395118521,-0.00019947946940749393,-0.19947946940749392
SIVB,25,0.9343317855988523,0.00412790643650761,0.06079103376817018,0.06790321171785957,0.0002802981047096915,0.2802981047096915
AWK,25,0.1460387121678272,0.0049370326309519565,0.08958101482886276,0.05511248829212033,0.0002720921530711557,0.2720921530711557
MHK,25,1.2409159157275242,-0.0057748426559149895,-0.07628462164058822,0.07570126890217686,-0.00043716291676318186,-0.43716291676318186
HLT,25,1.0552769366740433,-0.002613808299619099,-0.053846187095620966,0.04854212416150199,-0.0001268798070144747,-0.1268798070144747
TSN,25,0.6956446470746871,-0.005992880774547515,-0.06901489308578779,0.0868346020198592,-0.0005203894170102989,-0.520389417010299
XOM,25,0.9118193666224258,-0.012350069877091476,-0.2455042120305629,0.050304920534536536,-0.0006212692837630601,-0.62126928376306
AES,25,1.0916607817763213,0.003729270657153151,0.04053797255146931,0.09199450348480692,0.00034307240246526374,0.3430724024652637
CVS,25,0.3272942958899598,0.010554945399434103,0.26705714167905215,0.03952317220604039,0.00041716492464718784,0.41716492464718785
DIS,25,0.640080934100635,-0.0034316746758029813,-0.08889414893167547,0.03860405568920611,-0.0001324765602919366,-0.1324765602919366
ES,25,0.2714243877662307,0.006893287338297564,0.12370058968708827,0.055725581872606685,0.00038413244794170394,0.3841324479417039
WM,25,0.312360672286067,-0.001110117310396004,-0.02602983312730003,0.04264788425522849,-4.7344154563494334e-05,-0.047344154563494334
AVGO,25,1.0139185091395497,0.012832214418682868,0.1713739901691359,0.07487842470154449,0.0009608560011034186,0.9608560011034186
NWL,25,0.6110334096152117,0.007566144132766714,0.1002209287497227,0.07549465193703514,0.0005712034178086637,0.5712034178086637
MCO,25,0.7521171995067497,0.01913919639117561,0.32411390467551154,0.05905083402804617,0.0011301855095254912,1.1301855095254911
K,25,-0.05463424000737176,0.008885231895311763,0.2300004454622359,0.03863136820215699,0.0003432486649093379,0.3432486649093379
MTD,25,0.37583810242473914,0.0002847915442538767,0.006216466162117106,0.045812449843189836,1.3046998336895307e-05,0.013046998336895307
ANTM,25,0.7297022361057953,0.002397017849822129,0.03694931654606534,0.06487313092337516,0.00015550205279717819,0.1555020527971782
TEL,25,0.9547454438890481,0.0015187240974713113,0.03302037289354219,0.04599354775210091,6.985150929931312e-05,0.06985150929931312
WRB,25,0.6368621552611274,-0.0004247902327825072,-0.007830904829562202,0.05424535759633996,-2.3042898080719598e-05,-0.023042898080719597
HUM,25,0.7621880757111903,0.020644133091072325,0.26352791693556266,0.07833755653341345,0.0016172109431051896,1.6172109431051898
MKC,25,0.1719248579037611,0.007790108123265457,0.17137175266377339,0.04545736390144432,0.00035411777979087536,0.35411777979087533
FB,25,0.6395849345105844,0.010427121345756404,0.2936801912436693,0.03550502096038517,0.00037021516193756076,0.37021516193756077
MGM,25,2.170004296410925,-0.003331705340883607,-0.0233158209105708,0.14289461879393217,-0.00047608276461927085,-0.47608276461927085
ODFL,25,0.5021195689269546,0.024293179211412434,0.481778582575046,0.05042395010913196,0.0012249580565484623,1.2249580565484623
ABC,25,0.2284055428081107,0.008535075661289422,0.2048800518228818,0.04165889058183161,0.0003555617830813101,0.3555617830813101
FTNT,25,0.542604105481204,0.02637899954400729,0.2750795787444343,0.09589588461786541,0.0025296374966068476,2.529637496606848
NWSA,25,0.4492975220809531,-0.0016389940733079543,-0.024113897071721686,0.06796885913683355,-0.00011140055729477338,-0.11140055729477338
