Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,1.101769711348598,-0.015040914431973883,-0.3032491099015991,0.04959920389166019,-0.0007460173816284869,-0.746017381628487
BRK.B,25,0.4053331371868207,0.0016597618382849844,0.047492508127861446,0.03494786659437947,5.800513530282567e-05,0.05800513530282567
DD,25,0.7390340053517482,-0.014682461386781625,-0.2508384549878758,0.0585335346109164,-0.0008594163617566258,-0.8594163617566258
UHS,25,0.4358941188172087,0.0024767876854035137,0.0573980683804182,0.04315106335962499,0.00010687602234118596,0.10687602234118596
IT,25,0.9253486672764462,-0.0006854297256816983,-0.023526897618306262,0.029133876331759352,-1.9969224862122335e-05,-0.019969224862122336
RHI,25,0.6898322475200542,-0.010790629338815742,-0.2304467949687672,0.04682481845876057,-0.0005052692598458227,-0.5052692598458227
SHW,25,0.5890676791278316,-0.00024987339644311386,-0.006362918075707963,0.039270252024313855,-9.81259125249237e-06,-0.00981259125249237
IPG,25,0.47347319512683633,-0.0042051266591444465,-0.1178316508477039,0.03568758163780227,-0.00015007080094551616,-0.15007080094551617
NTAP,25,1.5956546841257253,-0.023147980235463907,-0.5039408770916793,0.04593392060008007,-0.001063277486188022,-1.0632774861880219
CPRT,25,0.7838331711760937,0.004070897071128821,0.06991017527925578,0.05823039428620579,0.0002370499415503916,0.2370499415503916
SNPS,25,1.2409331558992045,0.005134781463854269,0.20301430096390605,0.02529270814654177,0.00012987252896153853,0.12987252896153853
CERN,25,0.5331600851398424,0.0033419882465725885,0.08836819246146832,0.03781890467013699,0.000126390334905847,0.126390334905847
ZION,25,0.7708870518216538,-0.01143551994764972,-0.2599326115364697,0.0439941717203317,-0.0005030962282881804,-0.5030962282881805
VRSN,25,1.013584033939734,0.0076639680192382605,0.2639023072163737,0.029040928440820974,0.00022256874681943878,0.22256874681943878
MOS,25,0.5275414723705533,-0.009130073222565439,-0.13771760627318896,0.06629561368104386,-0.0006052838072428416,-0.6052838072428416
LH,25,0.7115877528558523,-0.007920696241732106,-0.15049463713813288,0.052631086345369386,-0.0004168748478140453,-0.41687484781404527
PNW,25,-0.05223449279066158,0.00803526178559782,0.30677921800779606,0.02619232762172835,0.00021046220921473204,0.21046220921473205
