Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,0.5640762546207253,0.0038471578972162457,0.1355327168933863,0.028385455448683462,0.00010920332909548249,0.10920332909548248
BRK.B,25,0.26341069180256843,0.004698868073960185,0.1825502070252588,0.02574014103040716,0.00012094952690701284,0.12094952690701284
DD,25,0.6960282139337024,0.005838207204173693,0.18450771472008137,0.031642076392474426,0.00018473299834955855,0.18473299834955856
UHS,25,0.5064637556411494,-0.00045324214165014384,-0.0104806071874736,0.043245790395794806,-1.9600814656343258e-05,-0.01960081465634326
IT,25,0.5668886084935701,0.004800861158754015,0.10491824006353412,0.04575811751938284,0.00021967836909650673,0.21967836909650673
RHI,25,0.23759084573516476,0.014610677803013632,0.3913478496129596,0.0373342483354987,0.0005454786734476694,0.5454786734476694
SHW,25,0.5871959958681484,0.00787081105000838,0.31317930618218565,0.02513196400476632,0.00019780893999712758,0.1978089399971276
IPG,25,0.29188743946848367,0.0004741187168692349,0.008021059715294212,0.059109236646774456,2.8024795434088664e-05,0.028024795434088662
NTAP,25,0.9945188163482893,0.0308232193417773,0.5670775790192223,0.05435450189211674,0.0016753807340337636,1.6753807340337636
CPRT,25,0.22555647142184526,0.02353991649564072,0.5459655738212568,0.04311611871584313,0.0010149498341870792,1.0149498341870793
SNPS,25,0.40928175856482424,0.007720707175463056,0.2887737100501035,0.02673618444741206,0.00020642225110763804,0.20642225110763804
CERN,25,0.5684461345638446,-0.0021314060845011914,-0.06305144175702561,0.033804240237911704,-7.2050563325025e-05,-0.072050563325025
ZION,25,-0.02837080084185639,0.007937743077208086,0.2251230971955354,0.0352595676591709,0.0002798813890919339,0.2798813890919339
VRSN,25,0.6457109436358822,0.01767710106211292,0.49281399638521095,0.035869722028543015,0.000634072701368453,0.634072701368453
MOS,25,0.0693030933366865,0.009378742463386542,0.15931393161957874,0.05886956883207036,0.0005521225250065951,0.5521225250065951
LH,25,0.1509376349991704,0.007285295975743299,0.2261010000938409,0.03222142304863584,0.00023474260366894905,0.23474260366894906
