Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,0.017497935194743377,0.013876635505488049,0.363942627333304,0.03812863474434288,0.0005290971666691336,0.5290971666691336
BRK.B,25,0.33523912551607754,0.014827311960099298,0.42417621104839465,0.0349555481281048,0.0005182968168316749,0.518296816831675
DD,25,-0.3249664051354501,0.018964366616674843,0.3223262456788555,0.058835936790483025,0.0011157862755302274,1.1157862755302275
UHS,25,0.15125971813760014,0.018395266375547854,0.30698034449530626,0.059923271002222486,0.001102304532180025,1.102304532180025
IT,25,0.04179294677223839,0.027892677792114507,0.6002527311379572,0.04646822304204374,0.001296123172883837,1.296123172883837
RHI,25,0.6044145358418079,0.01689821932012207,0.2657844232715267,0.06357866692157037,0.0010743662577216864,1.0743662577216864
SHW,25,0.40182584181798087,0.011367455778705949,0.34252261270214535,0.03318746078989824,0.00037725699293670586,0.37725699293670584
IPG,25,-0.09626284453947011,0.02891157525981582,0.5507074653553985,0.052498971012055855,0.001517827951477942,1.517827951477942
NTAP,25,0.4823466486988454,0.021860394746312038,0.3704675918089317,0.05900757645107731,0.0012899289142437364,1.2899289142437365
CPRT,25,0.8679991996602002,0.01105138509691235,0.24970863836359303,0.04425711969491728,0.0004891024730286749,0.4891024730286749
SNPS,25,1.7269970519094964,-0.0027457929031219092,-0.0626814248278712,0.043805527884251225,-0.00012028090758208592,-0.12028090758208593
CERN,25,0.27110874231490023,0.003130621988886763,0.08850924199136485,0.03537056603865383,0.00011073187179998104,0.11073187179998104
ZION,25,0.08917183147348957,0.02108509789542786,0.26764814622265887,0.07877916657747736,0.0016610664394063287,1.6610664394063288
VRSN,25,0.18757021793113587,0.002567377901109001,0.07350176798065533,0.034929471380670735,8.967715292015335e-05,0.08967715292015335
MOS,25,0.5785888229663907,0.030867597283537995,0.3590976247420792,0.08595878991321247,0.0026533413100212904,2.65334131002129
LH,25,0.647130604595713,0.013752777299717325,0.30787087468958,0.04467060196448908,0.0006143448406619336,0.6143448406619336
PNW,25,0.6411777407116197,0.000392738677129645,0.008520824528360477,0.04609162831865208,1.8101965132618703e-05,0.018101965132618702
ISRG,25,0.9620588723744327,0.010487344373611526,0.24235528371999218,0.04327260463497133,0.00045381470675008264,0.4538147067500826
AJG,25,0.006677322150554474,0.01631673643159874,0.4472111147722595,0.036485534220024866,0.0005953248454342224,0.5953248454342224
ACN,25,0.38054317521763525,0.009914160054113717,0.35115931986226034,0.028232655359972998,0.00027990306399140383,0.27990306399140386
GILD,25,0.09255734125495418,-0.0029135354918910267,-0.07260314774231477,0.04012960295098819,-0.00011691902247319897,-0.11691902247319898
GPC,25,-0.37684014291286616,0.02016414282663174,0.5526664516186875,0.03648519422080644,0.00073569266732574,0.73569266732574
FLT,25,0.31058921418050783,-0.00045678106533111364,-0.009637472803975748,0.047396353237196966,-2.1649756724496608e-05,-0.021649756724496608
RTX,25,-0.1894536623406241,0.01638096264857822,0.3117789089380545,0.05254031680453683,0.0008606609671195845,0.8606609671195845
TTWO,25,0.8319215905386032,0.0012431667471262849,0.022027180735071063,0.056437851129398024,7.016165980333127e-05,0.07016165980333126
LVS,25,0.11024046180208527,0.005549619956446931,0.07784799102854396,0.0712879020142227,0.0003956207636713637,0.3956207636713637
TDG,25,-0.1949954538862089,0.018558083102451918,0.36913310601051363,0.05027477297558715,0.0009330034148378502,0.9330034148378502
QCOM,25,0.9591706583794308,0.008940244082348715,0.14445686344394756,0.06188867644781534,0.0005532998733769754,0.5532998733769754
MXIM,25,1.2270428883921525,0.009879665836522736,0.2212934780580104,0.04464508363835674,0.0004410785075905732,0.4410785075905732
KO,25,0.12978529476561337,0.008115327715088877,0.276978334068399,0.02929950366834404,0.00023777507415806063,0.23777507415806062
MMC,25,0.25882713515419165,0.00945538005019203,0.33917247939433415,0.0278777926413035,0.00026359512438397126,0.26359512438397126
ADM,25,0.30504252339501386,0.015679162858329383,0.3599499701836693,0.043559283670252504,0.0006829731026580567,0.6829731026580567
ADSK,25,1.2592926119945729,-0.00346074344757126,-0.0759274711323431,0.0455795958427104,-0.00015773928765560626,-0.15773928765560627
MAA,25,0.3735220182602843,0.014570221742390314,0.45572169395899675,0.031971753672321905,0.000465835540498812,0.465835540498812
STZ,25,0.3424272986847166,0.008164294493003557,0.20804391623212062,0.03924313020475166,0.00032039247181887555,0.32039247181887553
ABMD,25,0.9730376370947257,0.0009852614594757104,0.014624505573768525,0.06737058251343143,6.637763845291223e-05,0.06637763845291224
XLNX,25,1.0548994148770368,0.004288662758648419,0.07444671040174727,0.057607149268314256,0.00024705763569891984,0.24705763569891984
DGX,25,0.44523643369953875,0.002865736632936298,0.06601598240425463,0.04340974001398191,0.00012440088218430858,0.12440088218430859
TSLA,25,3.085690386889858,0.018245753978516327,0.15968875881867248,0.11425822401960357,0.0020847274454838917,2.0847274454838916
MNST,25,0.8812409545864934,0.0029643616948519143,0.09672406663472012,0.030647612305703297,9.085060795769901e-05,0.090850607957699
SBUX,25,0.2994736484317111,0.015066720846164679,0.49650563273732534,0.030345518464914734,0.000457207455643006,0.457207455643006
WHR,25,0.6857513305491596,0.01559587727512559,0.2717200887034149,0.05739685037475695,0.0008951542344234556,0.8951542344234555
HD,25,0.9817956122204686,0.0010843171548209438,0.03536374399303961,0.03066183136701708,3.3247149749483533e-05,0.033247149749483534
CDNS,25,1.1502313851719748,0.003267359063348992,0.06762761592518614,0.04831397674824952,0.00015785910981482552,0.1578591098148255
