Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PKG,25,0.2267759092284627,0.002104068839482253,0.04603195053623554,0.04570887861521243,9.617462718194519e-05,0.0961746271819452
BRK.B,25,0.8663012892123466,-0.008483078942602047,-0.3556454988566719,0.023852625633878185,-0.00020234370624052183,-0.20234370624052184
DD,25,1.266562569809055,-0.015069908804501417,-0.20201543232218075,0.07459780983696057,-0.0011241821912585344,-1.1241821912585344
UHS,25,2.235976081222796,-0.01646684277168385,-0.23695201400694987,0.06949441995965003,-0.001144353686984925,-1.144353686984925
IT,25,1.5378179415409936,-0.013921074872816044,-0.1857292721115113,0.074953585477134,-0.0010434344754131997,-1.0434344754131997
RHI,25,1.0121508158631167,-0.004128551774146838,-0.0810451578770455,0.0509413749358143,-0.00021031410386873538,-0.2103141038687354
SHW,25,1.236829747999237,0.00725281489811333,0.20245504452510088,0.03582432295093595,0.0002598271832133715,0.2598271832133715
IPG,25,1.3295513449941634,-0.011145732571647287,-0.19734919781670707,0.05647721244856116,-0.0006294799063437717,-0.6294799063437717
NTAP,25,0.5963151069266863,-0.012777771034390853,-0.17474577189798499,0.07312206124134667,-0.0009343369561046335,-0.9343369561046335
CPRT,25,1.0347382479837783,0.002399339816995117,0.04944821079454456,0.04852227772131701,0.00011642143294805099,0.11642143294805099
SNPS,25,1.1505890686060452,0.014080163738275694,0.35264357904712995,0.03992746380444918,0.0005621852280207206,0.5621852280207206
CERN,25,0.8665695350311372,-0.0041261471507025695,-0.15031053979632922,0.027450817196808017,-0.0001132661111610665,-0.1132661111610665
ZION,25,1.3036620117490836,-0.01348465167100665,-0.2074923892810115,0.0649886567778835,-0.0008763493992163644,-0.8763493992163645
VRSN,25,0.8077636954478141,-0.0019944173044121583,-0.05209957289739656,0.038280876281652214,-7.634804208418814e-05,-0.07634804208418813
MOS,25,2.8297343304916174,-0.030373824981285484,-0.2667750819804002,0.11385555485844451,-0.0034582286964175415,-3.4582286964175415
LH,25,1.8767585818317805,-0.004953400386999391,-0.09523026512065878,0.05201498053925742,-0.0002576510247329235,-0.2576510247329235
PNW,25,1.370252423198996,-0.010516327811665024,-0.27167120555726804,0.03870976237652169,-0.00040708455066315943,-0.4070845506631594
ISRG,25,1.2795079309528692,0.0005608278005349769,0.01517424322471095,0.03695919409158278,2.0727743531927684e-05,0.020727743531927686
AJG,25,1.1752946652252185,0.002782503339237649,0.06519744101226442,0.042678106625599406,0.00011875197419807077,0.11875197419807076
ACN,25,0.92278641624555,0.004982235776421257,0.14750931223194808,0.0337757372808236,0.00016827868665552457,0.16827868665552456
GILD,25,-0.05693620568258573,0.005488245428394439,0.10132500215975757,0.054164769912772436,0.00029726955085380996,0.29726955085380996
GPC,25,1.2605440721660468,-0.007210775385251219,-0.14529946944230254,0.04962699046960092,-0.0003578490813222952,-0.3578490813222952
FLT,25,1.1979592364927525,-0.006780251646574489,-0.11350444269644548,0.05973556175864842,-0.0004050221409731281,-0.4050221409731281
RTX,25,1.904105606948072,-0.012616831236232692,-0.23223113457472297,0.05432876715405739,-0.0006854568864553239,-0.685456886455324
TTWO,25,0.38269091264684757,0.007265748360204076,0.1483650333586026,0.04897210748197354,0.000355819009632887,0.355819009632887
LVS,25,1.5429035968639886,-0.011389713608736389,-0.2053110318771664,0.055475409697179026,-0.0006318490287781866,-0.6318490287781866
TDG,25,2.684369989852498,-0.002302058251751258,-0.02608699915113974,0.0882454221129026,-0.00020314610215428034,-0.20314610215428033
QCOM,25,1.1486713050236557,0.00609282296729445,0.14521276756488136,0.041957901288343424,0.0002556420646290922,0.2556420646290922
MXIM,25,1.1348208738545926,-0.0015731201034595152,-0.03453961062396079,0.045545391943944254,-7.164837168696176e-05,-0.07164837168696175
KO,25,0.9344852609206558,-0.005390475853352569,-0.21581160604136462,0.024977692128009907,-0.00013464164628851195,-0.13464164628851194
MMC,25,1.1395968782047274,0.001464999830266457,0.043447738585656856,0.03371866702286983,4.9397841465315485e-05,0.049397841465315485
ADM,25,0.8124743900201817,-0.0007354348833700124,-0.018679824223463367,0.039370546241342404,-2.895447308321533e-05,-0.028954473083215332
ADSK,25,1.338384964419254,0.01249184473240829,0.28300706389079877,0.04413969234785037,0.0005513861833456172,0.5513861833456172
MAA,25,1.1999568059192784,-0.002421467166699027,-0.06425993578857894,0.03768237762742053,-9.12466401879528e-05,-0.0912466401879528
STZ,25,1.5468871848119055,-0.0062130933858424945,-0.1892063531617058,0.0328376573091732,-0.00020402343143418645,-0.20402343143418644
ABMD,25,0.6216941658174886,-0.004021440652159704,-0.03542586583001644,0.11351707454253174,-0.00045650217827958057,-0.45650217827958056
XLNX,25,0.7323992281003067,-0.010866264548475179,-0.19666495998749287,0.05525267210369469,-0.0006003901520889011,-0.600390152088901
DGX,25,1.3446664662016572,0.0024713809684421763,0.05231418882006953,0.04724112184826747,0.0001167508094636661,0.1167508094636661
TSLA,25,2.8832770799121743,0.056683589621435646,0.44358323178533604,0.12778569062066492,0.007243351646633508,7.243351646633508
MNST,25,0.8801330892744708,0.0020728048741177818,0.05336996718745722,0.038838413874927834,8.05044535829541e-05,0.0805044535829541
SBUX,25,1.2924582584751976,-0.0061333503547669,-0.15043396378786222,0.04077104797568174,-0.0002500631215658659,-0.2500631215658659
WHR,25,1.5124583066473984,-0.00493330751573001,-0.10129814406558031,0.04870086773293884,-0.00024025635680948034,-0.24025635680948035
HD,25,1.4386847993475715,0.005933502697139195,0.13046551142115995,0.04547947294657101,0.00026985257539294814,0.26985257539294816
CDNS,25,1.1715523793430749,0.009872657721560943,0.20038928816668478,0.0492673925432023,0.00048640010341282025,0.48640010341282025
WFC,25,1.246487145901098,-0.023933862043051514,-0.4175203530144184,0.0573238211508817,-0.001371980427205761,-1.371980427205761
WST,25,0.5025597406060117,0.02212817405259626,0.4321562608538088,0.051204103832437245,0.0011330533218113826,1.1330533218113827
PWR,25,1.4235983236031915,-0.0006684964659615569,-0.01060329247949514,0.06304612149993115,-4.21461094152869e-05,-0.0421461094152869
TRV,25,1.5106234172037782,-0.012144874146745097,-0.21587631626822618,0.05625848336069946,-0.0006832522001024481,-0.6832522001024481
