Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,1.4558171111733613,-0.00549246690893691,-0.08610828335389929,0.06378558130538078,-0.0003503401945871087,-0.35034019458710874
GPN,25,0.9483657118617589,-0.014235783100508806,-0.3145744159053953,0.045254103260546324,-0.0006442275984251658,-0.6442275984251657
HFC,25,0.9831755889427718,-0.018940683754397256,-0.27002836212990233,0.07014331237281467,-0.001328562297139383,-1.328562297139383
UDR,25,0.8953553954646584,-0.00736923720334254,-0.16535501017490645,0.04456615614820278,-0.00032841857589730876,-0.3284185758973088
FFIV,25,0.7148455591830644,-0.003982162576191146,-0.06644707999991022,0.05992983553523385,-0.00023865034826569853,-0.23865034826569853
TT,25,0.533476748446426,0.018382171488134674,0.4332329540944009,0.042430224465632924,0.0007799596624073118,0.7799596624073118
IPGP,25,0.898889370101671,-0.005245726787048564,-0.08244854336703047,0.06362425062740679,-0.0003337554358220792,-0.33375543582207917
LNC,25,1.4045931315307674,-0.00540229561966345,-0.08735733266481548,0.06184135269321597,-0.00033408526876862316,-0.33408526876862316
NWL,25,0.38675656637259587,0.021178564497000556,0.43284043628012764,0.0489292652022329,0.0010362515988763343,1.0362515988763343
GIS,25,0.1355627793354091,4.96178118552606e-05,0.0012601262941082808,0.03937526904029273,1.9537146909915124e-06,0.0019537146909915123
ALK,25,1.3736266252186113,-0.000383151697792794,-0.006843407821872144,0.05598843555227074,-2.1452064138614962e-05,-0.021452064138614963
MLM,25,0.4415514416266022,0.015224315626580612,0.36644551850615803,0.04154591844551313,0.0006325081754106692,0.6325081754106692
FRC,25,0.7352097398250379,0.006802455684824557,0.1840421006675317,0.036961410786725664,0.0002514283589252977,0.2514283589252977
IVZ,25,0.9471164694496675,0.029577679547877694,0.4719335081254108,0.06267340427969309,0.0018537338679593487,1.8537338679593487
BLK,25,0.4004389429893201,0.012829944729199171,0.40421784950174144,0.03174017363412819,0.0004072246734210495,0.40722467342104945
GPC,25,0.5625616138986111,0.006471071337600552,0.17923677039798672,0.036103481016935564,0.00023362820119629735,0.23362820119629735
ZBH,25,0.8682521127113269,-0.005606784920815632,-0.17923111356782226,0.031282430874893755,-0.00017539386171581167,-0.17539386171581167
NCLH,25,1.8346970356689318,-0.01225283752371302,-0.1307692517931204,0.09369815423504338,-0.0011480682601137896,-1.1480682601137895
HCA,25,0.9730870654297855,0.0061815147488813,0.11289553975246648,0.054754286683378464,0.00033846443069777895,0.33846443069777893
CAH,25,0.5337342036516474,-0.0073649076430966146,-0.12230963198046317,0.06021527106117881,-0.0004434799100696102,-0.4434799100696102
XLNX,25,0.628684134377162,0.0003698596206184127,0.007122475840789954,0.051928518802443785,1.920626226354797e-05,0.01920626226354797
PHM,25,0.39349797004634324,0.010514229726291749,0.16972962943982248,0.06194693148740752,0.0006513242684974585,0.6513242684974585
PENN,25,0.977782619278666,0.01734473194248209,0.12541557664715886,0.13829806796072341,0.0023987429169419184,2.3987429169419183
GE,25,0.9724322713029744,0.005106414950839473,0.08969782322611321,0.05692908442122453,0.0002907035278261435,0.2907035278261435
AVB,25,0.8699922154854896,-0.004967418952801093,-0.10146424499769147,0.04895733421082582,-0.0002431915898374735,-0.24319158983747352
CNC,25,0.40278311818078916,-0.0029568418284200357,-0.05295761856499115,0.05583411619597872,-0.00016509265022113446,-0.16509265022113445
CCL,25,1.7925437762434235,-0.014048810226475122,-0.14405819503600734,0.09752177044119999,-0.0013700648458782896,-1.3700648458782896
SRE,25,0.27372480488164197,0.0007870663763923959,0.019622019020758674,0.040111385865019125,3.1570323124857774e-05,0.031570323124857774
DFS,25,1.1338984011917863,0.01263017187869328,0.2917930008035901,0.04328469786427407,0.0005466931737430895,0.5466931737430895
DUK,25,0.16793829321057724,0.006074901504419507,0.14252156247881728,0.042624438006160704,0.00025893926256866166,0.2589392625686617
SYF,25,1.167300815628518,0.009778025067338842,0.21811756960896148,0.044829149182565926,0.0004383405444546022,0.4383405444546022
SBUX,25,0.6233365999006961,0.0032078236151644197,0.09839954214043206,0.03259998517662142,0.0001045750023035762,0.1045750023035762
SYY,25,0.8242069678794776,-0.0003294396346127989,-0.006287404593301955,0.05239676081347695,-1.7261569737286066e-05,-0.017261569737286066
PVH,25,1.477966909082733,0.0004083369242103181,0.005639262671200393,0.07240963012694673,2.9567525649244214e-05,0.029567525649244215
MTD,25,0.32163861137462146,0.01346149903755796,0.3045212652296051,0.04420544827110239,0.000595071599356263,0.5950715993562631
VTR,25,1.0928195987812863,-0.003517753877633173,-0.06300321474905285,0.055834514026699825,-0.0001964120782231871,-0.1964120782231871
BXP,25,0.9228391834528019,-0.005771634462743407,-0.10728499254638812,0.05379722108148402,-0.0003104978951937193,-0.3104978951937193
FB,25,0.13806119717590382,0.011682303127180224,0.20169974937219295,0.05791927438453619,0.0006766305202664766,0.6766305202664766
RE,25,0.8095979954949852,-0.0054191667926069866,-0.12409983244696081,0.043667801041738646,-0.00023664309731155885,-0.23664309731155886
LRCX,25,0.8893282092281073,0.017161284188939967,0.22688766472361122,0.07563780168413037,0.0012980418101280432,1.298041810128043
ILMN,25,0.6781320653426369,-0.009463607592990817,-0.11677793663805099,0.08103934583399026,-0.000766924568565559,-0.766924568565559
DLR,25,-0.1974765149611851,0.008710732333052779,0.20334259314853984,0.042837716378927415,0.00037314788113606764,0.37314788113606767
EQIX,25,0.014311045186028337,0.0037276592894547613,0.08905498331567782,0.041857952813725584,0.00015603218664364324,0.15603218664364324
IEX,25,0.5470299290298969,0.0031799772071160453,0.10679211860033981,0.029777264921738586,9.469102374138485e-05,0.09469102374138486
HOLX,25,-0.19414110578579202,0.011655321571785685,0.18230547692667073,0.06393292054782226,0.0007451587480082931,0.7451587480082931
LUMN,25,0.5099981190647247,0.006315794979566837,0.09822468532188235,0.06429946768340335,0.0004061022551836589,0.4061022551836589
QCOM,25,0.5245458270008835,0.01176909418871119,0.18079401267121112,0.06509670323051163,0.0007661292316944714,0.7661292316944713
ABT,25,0.08282423940338178,0.00964700354934232,0.2544684553894454,0.037910410288686996,0.00036572186261198705,0.365721862611987
MHK,25,0.6932809101758514,0.01614674819302954,0.1752166057099413,0.0921530703531567,0.001487972422206957,1.487972422206957
ATO,25,0.1407003298617182,-0.002050994765946089,-0.04774649356527154,0.04295592435792777,-8.810237602448598e-05,-0.08810237602448598
GS,25,1.0933156605982564,0.0020858091767695652,0.051008785891090966,0.04089117473258398,8.529118750611145e-05,0.08529118750611145
PFE,25,0.27338356124115265,0.0005063944491259659,0.010830116132444846,0.046757988827923105,2.3677985994754187e-05,0.023677985994754187
TSN,25,0.4207025185714497,0.002850320787697617,0.07582685083351469,0.03758986106327661,0.00010714316239532257,0.10714316239532257
TTWO,25,-0.08574850720427686,0.014302710711555549,0.24450705069175843,0.05849610745821183,0.0008366529027268707,0.8366529027268707
BR,25,0.25761847606557237,0.00815575394015595,0.2785127982607065,0.029283228602376903,0.00023882680705432282,0.23882680705432283
CMA,25,0.7823447662145376,0.013536439345874222,0.23095414916314802,0.0586109381230989,0.0007933834089081154,0.7933834089081154
CDNS,25,0.3085354087236404,0.010223232746476447,0.1755995607536248,0.05821901092805219,0.0005951864989871333,0.5951864989871334
DPZ,25,0.09461008061202027,0.003281382347545556,0.06638458158010294,0.04942988672130255,0.00016219835772845868,0.16219835772845867
CLX,25,-0.37947041921259284,0.0035822372154064985,0.09273950789055421,0.03862687323760707,0.00013837062282654535,0.13837062282654536
FISV,25,0.6030158674773372,-0.007775812038918479,-0.2055359083120873,0.037831890800860093,-0.00029417367194437715,-0.29417367194437716
ABMD,25,0.3556947016795882,0.005686958080973995,0.07037056300046014,0.08081444624703099,0.0004595883681439914,0.4595883681439914
DHI,25,0.14947353412641107,0.015938279051806156,0.25034675789458527,0.06366481110379454,0.0010147075251528046,1.0147075251528046
CPB,25,-0.09273631268408089,0.0027409107891541774,0.06349093863739087,0.04317010975074811,0.00011832541958479545,0.11832541958479545
ANSS,25,0.40582358188877093,0.0014698199593369075,0.02334012261673104,0.06297396048310765,9.256038403656529e-05,0.09256038403656529
ANTM,25,0.6844756480645005,-0.00032852349613736453,-0.006250268019764926,0.05256150537840782,-1.7267689509157428e-05,-0.017267689509157427
HUM,25,0.36179019584025496,-0.0026109397583240906,-0.07204158449177177,0.036242120113589384,-9.462599233052774e-05,-0.09462599233052774
ROP,25,0.41284406122604467,-0.0012005074331804767,-0.031100073575541915,0.03860143386041999,-4.634130828085874e-05,-0.046341308280858744
WM,25,0.2673299968389834,0.007629869783936936,0.21300959333711078,0.03581937162737004,0.00027329714125927867,0.2732971412592787
EFX,25,0.6277862070138308,0.006046908742609238,0.0823104354611275,0.07346466713160561,0.00044423413795098354,0.44423413795098354
WELL,25,0.8831476578012846,-0.0006730507191061753,-0.012552641568781433,0.053618253609667335,-3.608780414920388e-05,-0.03608780414920388
UA,25,1.1294397725707905,0.008240297976179287,0.1478638596844382,0.0557289522521948,0.0004592231724583529,0.4592231724583529
JBHT,25,0.4822249346860915,0.004639987520007192,0.10051908956072503,0.046160262098316245,0.00021418304005644837,0.21418304005644836
MA,25,0.7806763745013212,-0.006608202679846544,-0.1567313949901123,0.04216259722733557,-0.00027861898798696937,-0.2786189879869694
SPG,25,1.3379074996585147,0.004127575390553299,0.0594826292245727,0.06939127345850692,0.00028641771264648747,0.28641771264648747
DTE,25,0.32845953761144003,0.0057426248645342575,0.14478223325925346,0.03966387819319833,0.00022777477313611885,0.22777477313611885
WFC,25,1.1055568774047093,-0.0005691514164405664,-0.010591276907263674,0.05373775243759635,-3.058491791619046e-05,-0.030584917916190463
ADM,25,0.5528048957882282,0.01193887580187273,0.4127710693648149,0.02892372234382765,0.0003453167287908095,0.34531672879080955
UPS,25,0.2569333214597749,0.026140203211050934,0.4144485707975647,0.06307224841129681,0.001648721390449183,1.648721390449183
