Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,-0.031041913170674357,0.02271612814644176,0.22802254452848694,0.09962229038981638,0.0022630327147371023,2.2630327147371023
GPN,25,0.28964253186007655,0.00036750487231750496,0.005534898295106107,0.06639776428095319,2.4401501884239492e-05,0.024401501884239493
HFC,25,-0.1420399334795942,0.0015839245120915322,0.01821500764266669,0.08695711487824798,0.00013773350575641623,0.13773350575641624
UDR,25,0.2767084394323831,0.00637813652186116,0.09975991828426094,0.06393486113016829,0.0004077852727944478,0.4077852727944478
FFIV,25,0.6358592637362356,0.001941659988907234,0.029266126523815335,0.06634495984042188,0.00012881935398780444,0.12881935398780445
TT,25,0.3899384557441985,0.02383295241529591,0.49055200096210994,0.04858394699961026,0.0011578988969889697,1.1578988969889696
IPGP,25,0.058419691978951624,0.011226937058567279,0.14171570912434236,0.07922154239595756,0.0008894152701620348,0.8894152701620348
LNC,25,0.040049704929463276,0.02096149585652869,0.21765972378067577,0.09630397159582212,0.0020186753015730818,2.0186753015730816
NWL,25,0.2675243362765458,0.025314945386612806,0.4871075039193933,0.051969935143520045,0.0013156160699040196,1.3156160699040196
GIS,25,0.47523010985693215,-0.0031449182053350177,-0.0884289788179809,0.035564339285297036,-0.00011184693807904202,-0.11184693807904202
ALK,25,-0.025592429237659756,0.026187870313566248,0.286613856420663,0.09136986829809904,0.0023927822615582455,2.3927822615582457
MLM,25,0.05478926049045538,0.02299831640801414,0.48372740563503086,0.047543959966093424,0.0010934310345901738,1.0934310345901739
FRC,25,0.034198287310193184,0.020440982065982195,0.3823392601290796,0.05346294298702472,0.0010928350587924008,1.0928350587924007
IVZ,25,0.08007331280430036,0.04670865465588036,0.5839702660162518,0.0799846454075805,0.0037359751801157247,3.735975180115725
BLK,25,0.4497310154723311,0.015009468168071263,0.4427292829923701,0.033902135559282474,0.0005088530245066871,0.5088530245066871
GPC,25,0.26354917039383463,0.01401669137079879,0.3077317464607065,0.04554840874238026,0.0006384379877729376,0.6384379877729376
ZBH,25,0.5420326480140645,0.0043920565578231254,0.08573302251487802,0.051229461285596606,0.0002250026913931505,0.2250026913931505
NCLH,25,-0.6534088765790246,0.030776257915233113,0.23300353394936552,0.13208494048816086,0.0040650801951818555,4.065080195181856
HCA,25,0.7105775626056762,0.016132385838853364,0.23133897758278785,0.06973483676385735,0.0011249892930840033,1.1249892930840033
CAH,25,0.545393300928803,-0.003801914812666014,-0.060339130459796074,0.06300910841264488,-0.00023955526260691334,-0.23955526260691334
