Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,0.12862244205831466,-0.009802337054419791,-0.09250153326193322,0.10596945487014653,-0.001038748314110303,-1.038748314110303
GPN,25,0.7760482193667604,0.0031353671998773525,0.05999035012011327,0.05226452577122303,0.00016386847982023726,0.16386847982023725
HFC,25,1.1052061688658426,-0.015102450491671875,-0.14734386021108375,0.10249799665921752,-0.001547970920041382,-1.5479709200413818
UDR,25,0.44598794608431297,-0.00744913286268894,-0.1852907062666146,0.04020240956915773,-0.00029947309028089314,-0.29947309028089314
FFIV,25,0.7622559419094229,-0.0031937694860505383,-0.06129334544916448,0.05210630065378613,-0.00016641551305903736,-0.16641551305903737
TT,25,0.8380578003068861,-0.004948125102996239,-0.08558661045923478,0.05781424309767531,-0.00028607210758233427,-0.28607210758233426
IPGP,25,1.1697722037382816,0.0006204223616536209,0.009103446220546239,0.06815247178077946,4.228331749476295e-05,0.042283317494762954
LNC,25,1.713952709212339,-0.026183737568995512,-0.23967025205649298,0.10924900918793923,-0.00286054738624978,-2.86054738624978
NWL,25,0.48019582903386954,-0.002393479155276352,-0.03242497713634866,0.07381590880424223,-0.00017667683905073394,-0.17667683905073395
GIS,25,0.5778505425483438,0.0048576916531630635,0.15989612829382466,0.03038029566442399,0.00014757810866969842,0.14757810866969842
ALK,25,0.950602377767668,-0.025777274699410446,-0.26778465029839654,0.09626121090468193,-0.0024813516763878703,-2.4813516763878702
MLM,25,0.548719045218001,-0.006402964227037624,-0.11054148956704689,0.057923628966063685,-0.0003708829241699061,-0.3708829241699061
FRC,25,1.4153516451850212,-0.005240433332493117,-0.1382311688317731,0.03791064907271896,-0.00019866822905712574,-0.19866822905712575
IVZ,25,0.9462267731492907,-0.03833814984751839,-0.4507997622160327,0.08504474283450475,-0.003260458094532909,-3.2604580945329094
BLK,25,0.9793771449600587,0.0041185676325748545,0.08188083083613315,0.05029953397538529,0.00020716203256462105,0.20716203256462104
GPC,25,1.1828678051544639,-0.01142080514638092,-0.23420481226927814,0.04876417796765761,-0.0005569261746920591,-0.5569261746920591
ZBH,25,1.093530570062676,-0.0003972960723803466,-0.00523889172295394,0.07583590068098066,-3.0129305485979668e-05,-0.03012930548597967
NCLH,25,1.5322898065923383,-0.05733518933842426,-0.2276549236812769,0.25185130376839593,-0.014439942186689985,-14.439942186689985
HCA,25,1.6101777510015325,-0.012566765273754612,-0.21967894087770748,0.057205143212841564,-0.0007188836072072967,-0.7188836072072967
CAH,25,1.0781597311177793,0.001890551276631269,0.038832824950048764,0.048684361208928606,9.20402812355178e-05,0.0920402812355178
XLNX,25,0.8279680161685161,-0.00988538401539746,-0.14515808884206122,0.06810081404525255,-0.0006732026985984944,-0.6732026985984944
PHM,25,0.9838089626520531,-0.0013135396597703107,-0.015534098391740544,0.08455847430892531,-0.00011107090957444231,-0.11107090957444231
PENN,25,1.8635887049860176,0.004517975337555468,0.024882114926388144,0.18157521380001487,0.0008203523378598285,0.8203523378598285
GE,25,0.4454016496096516,-0.014909075311068748,-0.14706472113856658,0.10137764649226237,-0.0015114469664120442,-1.5114469664120442
AVB,25,0.5631995536710909,-0.010972086931175538,-0.2418935977866694,0.04535914563911705,-0.0004976844890762441,-0.49768448907624413
CNC,25,1.4454315447716202,-0.0018329738521280876,-0.02722963188621274,0.06731541064483441,-0.0001233873875572462,-0.1233873875572462
CCL,25,1.1056797009877957,-0.05018086287864865,-0.32452485401748726,0.15462872028884608,-0.007759402609915501,-7.759402609915501
SRE,25,0.4900323997843107,-0.002489983217627032,-0.03690926675712841,0.06746227807806919,-0.00016797994023728033,-0.16797994023728033
DFS,25,0.8414340722272571,-0.025096166678386538,-0.2829787149092813,0.08868570445813209,-0.002225671221071411,-2.225671221071411
DUK,25,0.5611521693174737,-0.003200314678231701,-0.0891415788508953,0.03590148076224654,-0.00011489603585367065,-0.11489603585367066
SYF,25,1.0893415883666726,-0.02735983856415153,-0.3418670603393658,0.08003063687092833,-0.002189625304974832,-2.189625304974832
SBUX,25,0.9425847383605137,-0.002999636570148177,-0.07007777560752408,0.04280439189377057,-0.00012839761928750838,-0.1283976192875084
SYY,25,0.6990204078600044,-0.014606606087204727,-0.17345612071993746,0.0842092284007007,-0.001230011028156488,-1.230011028156488
PVH,25,1.7377496357682418,-0.03898530948344357,-0.3510770276177515,0.11104488877549207,-0.004329119355467127,-4.329119355467127
MTD,25,0.870963448529059,-0.0019924808407375,-0.045386887429394215,0.04389992250156146,-8.746975449422228e-05,-0.08746975449422228
VTR,25,0.4184339174114415,-0.023542941365352687,-0.20217048356629466,0.11645093264879397,-0.0027415974792911915,-2.7415974792911917
BXP,25,0.8203403968562378,-0.020977369876758457,-0.3835709094071742,0.05468967891537945,-0.001147245623049073,-1.1472456230490728
FB,25,1.051107780345576,0.0038470047981112197,0.07561330824202991,0.0508773506615711,0.00019572541211025106,0.19572541211025107
RE,25,0.6305280521892553,-0.00950295806252415,-0.1494508568063979,0.06358583862007898,-0.000604253557777039,-0.6042535577770389
LRCX,25,0.8239070464431254,0.012533207763953239,0.1728408191707246,0.07251300835118979,0.0009088205992547379,0.9088205992547379
ILMN,25,0.891136431240104,0.0003985117281291913,0.005571819713779169,0.07152272481890748,2.850264466809142e-05,0.02850264466809142
DLR,25,0.3658437719429404,0.005506337724219101,0.10556848116759468,0.052158917731112794,0.000287204616357267,0.28720461635726696
EQIX,25,0.6668165591691803,0.008951678968186182,0.2559401421352075,0.03497567397402322,0.0003130910051114005,0.3130910051114005
IEX,25,1.1024742397428697,-0.004220326269246372,-0.11410880399615204,0.03698510650754598,-0.00015608921656467124,-0.15608921656467123
HOLX,25,1.6335272703390507,-0.002468880767254017,-0.044134897972773146,0.055939423917487505,-0.00013810776784115426,-0.13810776784115425
LUMN,25,1.0106196568500867,-0.0025036464092312778,-0.039753880810295496,0.06297866669114933,-0.0001576763127194695,-0.1576763127194695
QCOM,25,1.0814732376895335,0.0028339808179412814,0.05607490857599118,0.05053919640547872,0.00014322711316729365,0.14322711316729364
ABT,25,1.0585718216384683,0.001901468567524666,0.04904600301194597,0.038769083121035,7.371819294639912e-05,0.07371819294639913
MHK,25,1.005465243821049,-0.02173027588231232,-0.2516241535194552,0.08636005557643005,-0.0018766278328876495,-1.8766278328876496
ATO,25,0.6263781977851626,-0.0039548693402378255,-0.11819027369942142,0.03346188494575917,-0.0001323373828385486,-0.1323373828385486
GS,25,1.0769457142069305,-0.0032528815748599236,-0.06423178393423588,0.05064286519257206,-0.0001647352430830326,-0.1647352430830326
PFE,25,1.1697903897406745,-0.008891767966775046,-0.27059650519760536,0.03285987733020335,-0.0002921824046368597,-0.2921824046368597
TSN,25,0.6590310580114471,-0.013175093804813824,-0.18964532643160756,0.06947228309138007,-0.0009153038465635136,-0.9153038465635136
TTWO,25,0.2977564603886993,0.0064945543153413715,0.13777415868465298,0.04713913245666451,0.000306147656117879,0.306147656117879
BR,25,1.1363850400677158,-0.007330914626405919,-0.1766846472443727,0.041491520291893416,-0.00030417079297965946,-0.30417079297965943
CMA,25,1.1188151097432386,-0.030467839139598534,-0.3975771538719597,0.07663377747658696,-0.002334865604816441,-2.334865604816441
CDNS,25,1.1892682766329739,0.005304508248598601,0.12103776187534847,0.04382523409563276,0.00023247131575704865,0.23247131575704866
DPZ,25,-0.06107625435932964,0.010658537240043283,0.20731540173282098,0.05141218236057319,0.0005479786602820657,0.5479786602820658
CLX,25,0.23189607079654959,0.011619968166410255,0.33090660387348003,0.03511555233528393,0.0004080416002819125,0.4080416002819125
FISV,25,0.4733670229639548,0.005198830360827819,0.13204705283859156,0.03937104425331354,0.00020468338020162205,0.20468338020162205
ABMD,25,0.6320439911440671,-0.013381602913697525,-0.12210164575441221,0.10959396026989238,-0.0014665428580712427,-1.4665428580712427
DHI,25,0.7331012303734679,0.006224043017548459,0.07433285952013557,0.08373205413767872,0.0005211519069006087,0.5211519069006088
CPB,25,0.6747060505819,0.007884877585855727,0.1645601613917599,0.047914862984878855,0.0003778028291788195,0.3778028291788195
ANSS,25,0.9840158808145892,0.010928920165706686,0.25325495396826275,0.043153825796735525,0.0004716247169773363,0.4716247169773363
ANTM,25,1.3330390381081407,-0.0052316069739926415,-0.09405122112758195,0.055625082920463996,-0.0002910085717356184,-0.2910085717356184
HUM,25,1.2826038646780689,0.011913016057947397,0.22189208370281757,0.05368833290106296,0.0006395899719747886,0.6395899719747886
ROP,25,0.48416759450604707,0.0005470310667087127,0.01129117274569382,0.04844767492529393,2.650238329394049e-05,0.02650238329394049
WM,25,0.537794716295243,-0.004552472870965872,-0.13649868278340635,0.03335177144668607,-0.0001518330347096925,-0.1518330347096925
EFX,25,0.783295936259126,0.0045511713879190395,0.09092152134267648,0.05005604086590249,0.0002278136209814016,0.2278136209814016
WELL,25,0.3996487486129467,-0.018195623912269986,-0.18295505876701332,0.09945406284415156,-0.001809628724059446,-1.809628724059446
UA,25,1.2707533811901346,-0.04575214533671249,-0.46257250440235,0.09890805203786354,-0.004525255571807455,-4.525255571807455
JBHT,25,0.6805138344268273,0.008479174994488112,0.1392258085926921,0.060902321776374876,0.0005164014439125067,0.5164014439125066
MA,25,0.6976817643602066,0.003822155806679737,0.08487037795675356,0.04503521604001045,0.00017213161249240237,0.17213161249240239
SPG,25,1.3125426509484224,-0.04672718408144144,-0.46577603468958817,0.1003211427839612,-0.004687724506126726,-4.6877245061267265
DTE,25,0.7487391041877363,-0.009591968992906312,-0.20127169592672897,0.04765682004487196,-0.0004571227401709279,-0.45712274017092785
WFC,25,0.5395450283127124,-0.02277446346073421,-0.30836172330078565,0.07385632437434295,-0.0016820381608076069,-1.682038160807607
ADM,25,0.9375653703255774,-0.00492637157718164,-0.11566485484484997,0.042591775901069995,-0.00020982291422072115,-0.20982291422072116
UPS,25,0.2922606820487818,0.0012189051908799377,0.023614532742568004,0.05161673974953212,6.29159120170035e-05,0.0629159120170035
