Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,0.8875490892277457,0.007791331142565998,0.21177609228247055,0.03679041887397652,0.0002866463363208612,0.2866463363208612
GPN,25,0.60592824431935,0.007713497594585802,0.20298803301778962,0.03799976520738935,0.000293111097522023,0.29311109752202297
HFC,25,0.3550704938119417,-0.025726805902635146,-0.42577803886909826,0.06042304570467672,-0.0015544919688902702,-1.55449196889027
UDR,25,0.3552508606213588,0.008092902514731637,0.3204167701331895,0.025257424919949145,0.00020440587765030194,0.20440587765030194
FFIV,25,0.489009698201918,-0.013797456272018796,-0.3191789500722855,0.04322796434067484,-0.000596435947718849,-0.596435947718849
TT,25,0.5230542540431968,0.008156452183312821,0.22623058262954426,0.03605371160922626,0.00029407037477160433,0.2940703747716043
IPGP,25,1.2398493017516974,-0.03606447397036915,-0.4019601476832951,0.08972151636978798,-0.0032357592917002685,-3.2357592917002687
LNC,25,1.1540125837726642,-0.011872200390293585,-0.27575471828951387,0.04305348051317478,-0.0005111395481520108,-0.5111395481520108
NWL,25,0.4589654375365487,-0.02278099853114278,-0.20935722444840948,0.10881400721261734,-0.0024788917384783956,-2.4788917384783957
GIS,25,0.4657370758792269,0.006459180635971595,0.1457995117848899,0.04430179879821106,0.0002861533209361146,0.28615332093611456
ALK,25,0.9688034940672609,-0.008005149500094726,-0.15358507336778734,0.05212192385991145,-0.00041724379273114546,-0.4172437927311455
MLM,25,0.6430272576296249,-0.005969220034051615,-0.1344390257047112,0.04440094684383326,-0.0002650390214310703,-0.26503902143107033
FRC,25,0.7793219329535214,-0.006184562219345098,-0.2177809470259547,0.028398086718798378,-0.00017562973422276625,-0.17562973422276626
IVZ,25,1.0162150503286267,-0.019094020426317422,-0.4365402373522215,0.04373942833341032,-0.0008351615380335836,-0.8351615380335836
BLK,25,0.6845979353185014,-0.013107872141356112,-0.3043482401790553,0.043068664151448485,-0.0005645385429961943,-0.5645385429961943
GPC,25,0.005454721499310997,0.004106082580734153,0.12125165170585799,0.0338641372960017,0.00013904894426270233,0.13904894426270234
ZBH,25,0.6153900277440406,-0.003524805854832321,-0.07648656274054026,0.04608398820050602,-0.00016243711142316722,-0.16243711142316722
NCLH,25,0.8218776955282012,-0.005865851660550399,-0.09323210436184348,0.06291664980320963,-0.00036905973472442516,-0.36905973472442516
HCA,25,0.6269728859043896,0.0023812555449057487,0.04871271321299238,0.048883656603028916,0.00011640447834123112,0.11640447834123112
CAH,25,1.0131950511955337,-0.01208591465493196,-0.2523882661483292,0.04788619867069826,-0.0005787485102831754,-0.5787485102831754
XLNX,25,0.20387254959908332,0.013295728887011658,0.18340874632545937,0.07249233830658407,0.0009638384765098716,0.9638384765098715
PHM,25,0.21643810988014384,0.0008983243742248861,0.016701075914971674,0.05378841332129888,4.831944273740534e-05,0.04831944273740534
PENN,25,1.3495081361128811,-0.030709948625458068,-0.3552558846242366,0.08644458812537555,-0.0026547088602791656,-2.6547088602791655
GE,25,0.8062296555564257,-0.021729519004405923,-0.2698307297105783,0.08053018656441802,-0.0017498822193798757,-1.7498822193798758
AVB,25,0.34674822342461115,0.0079943558663357,0.3292316948843347,0.024281853753917185,0.00019411778000313337,0.19411778000313337
CNC,25,0.7931795679166085,-0.008155240124055193,-0.15952333290527318,0.051122553519477115,-0.0004169166997061988,-0.41691669970619877
CCL,25,1.1240747088797665,-0.016651191317924474,-0.36201539522396337,0.04599580995063234,-0.0007658850313108734,-0.7658850313108734
SRE,25,0.256640462744994,0.010224864499065279,0.30511102532744916,0.033511946964524864,0.0003426551168121287,0.3426551168121287
DFS,25,1.0989902107535559,-0.007733053532246643,-0.20677704555168383,0.037398026998667844,-0.0002892009447811037,-0.2892009447811037
