Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FE,25,-0.054015872421075126,0.0033205444343424907,0.08593946732238295,0.03863817798504849,0.0001282997868613873,0.12829978686138732
ATVI,25,0.11782298921971128,0.015527079364807485,0.4525121123106924,0.034313069070174805,0.0005327817467027252,0.5327817467027253
AZO,25,0.4442859112592235,-0.006954222259367513,-0.1250628606517864,0.05560581473288232,-0.00038669519456567623,-0.38669519456567625
CMI,25,0.33404959208915674,0.0008027759310785072,0.024715826730091078,0.03248023785913428,2.60743531890179e-05,0.0260743531890179
DE,25,0.5954565581660305,0.009137313734808451,0.32521649188163376,0.0280960958712207,0.00025672284269859995,0.25672284269859996
APD,25,0.3605114806194104,0.0018237235640567208,0.08346293340464182,0.021850700540502376,3.984963746686111e-05,0.039849637466861106
PHM,25,1.0145701465887802,-0.0015132505295686188,-0.07555402167198634,0.020028722443635277,-3.0308474844413964e-05,-0.030308474844413964
DG,25,0.09765777007866487,0.007878313213635538,0.20792806282813875,0.03788961002415193,0.00029850621531277366,0.29850621531277366
MGM,25,0.21849932841565273,0.008310034213165472,0.18575433491095772,0.044736690625007104,0.00037176342967760805,0.37176342967760806
KEYS,25,0.2433868542589175,0.004413218550011113,0.12248979534131832,0.036029275236468976,0.0001590050658170409,0.1590050658170409
KMX,25,0.43835953039116954,-0.009019149216514602,-0.19649019034797557,0.045901269679377285,-0.00041399040046578107,-0.41399040046578106
MO,25,0.3981391921816864,-0.010474407497449741,-0.2812074850133649,0.037247968335380285,-0.0003901503987968778,-0.3901503987968778
BAX,25,0.3422123776281432,0.00730115098020415,0.28412831814090733,0.02569666771681414,0.0001876152506885979,0.18761525068859788
HWM,25,0.5646322490341094,-0.014480128748452979,-0.22935241196074135,0.0631348439925348,-0.000914200669525397,-0.914200669525397
AAP,25,0.31196439560406963,-0.018319292492073785,-0.21270332084234425,0.08612602953036191,-0.001577767926147684,-1.577767926147684
PXD,25,0.3326123021326361,-0.006283465385363614,-0.11047334291570274,0.056877661339154416,-0.000357388816225011,-0.357388816225011
AON,25,0.042727669131610184,0.006920387665787186,0.28233740361996784,0.024511055131406445,0.00016962600360681488,0.16962600360681487
IVZ,25,0.5286929171096034,-0.005492336530457739,-0.1545697153940616,0.03553307008721288,-0.00019515957887931447,-0.19515957887931448
BLK,25,0.5050083966081821,0.007097451240189415,0.21191386853229183,0.03349215079383958,0.00023770890718834763,0.23770890718834764
FIS,25,0.10000696001660504,0.00541115353496531,0.247339928166825,0.02187739591852559,0.00011838194826036539,0.11838194826036538
HES,25,0.5983991754542547,-0.011632229901124527,-0.15499059067972845,0.07505120052843266,-0.0008730128189021273,-0.8730128189021272
HST,25,0.491462463874942,-0.002551696173455965,-0.10301305773747348,0.02477060898394946,-6.320706815851778e-05,-0.06320706815851777
PVH,25,0.05071543636515827,0.018910545688605923,0.5758668213007799,0.03283840115304853,0.0006209920853454936,0.6209920853454935
LMT,25,-0.08079932959092107,0.013716004791257768,0.7285288456128559,0.018826989313950274,0.00025823107563510076,0.2582310756351008
SLB,25,0.4087506757505552,-0.012800135786681953,-0.2600596185788719,0.04922000523045402,-0.0006300227503710075,-0.6300227503710074
HCA,25,-0.36706517029236757,0.010774157620164173,0.28618347754405454,0.03764772764879699,0.0004056225517291515,0.40562255172915146
REG,25,0.21653001474760886,-0.009587093904844097,-0.21044630942614803,0.04555600870828527,-0.00043674973341622635,-0.43674973341622636
ZION,25,0.13086613540339342,0.006921135862123621,0.16527851889701592,0.04187559223250385,0.00028982666314804773,0.2898266631480477
IT,25,0.5686234675571591,-0.0034587379547510646,-0.08767764863578957,0.0394483429764245,-0.000136441481104597,-0.136441481104597
TXN,25,0.4931325653796073,0.0060891609380567206,0.2416986296980022,0.02519319594680785,0.00015340542466411126,0.15340542466411125
CE,25,0.4617781721813528,0.00018958204621604031,0.007371372298015188,0.02571869097794546,4.875802061596915e-06,0.0048758020615969145
O,25,0.12803593319343912,-0.009893633463829756,-0.26199124127417567,0.037763222219616116,-0.0003736154790540334,-0.3736154790540334
GM,25,0.4124205713547668,0.00010257840063157032,0.002542435188845824,0.04034651545164355,4.138681026086534e-06,0.004138681026086534
PCAR,25,0.3879351409050112,-0.002304756195575672,-0.06014855859421824,0.038317729459226235,-8.83130243715441e-05,-0.08831302437154409
AMP,25,0.705077955485062,-0.0008886367547751,-0.02702603227944876,0.03288077012513748,-2.9219060858508228e-05,-0.029219060858508228
PNR,25,0.4337372836352053,0.002913219325849323,0.10913186800115515,0.02669448786323796,7.776689793683502e-05,0.07776689793683503
KIM,25,0.16606064703290152,-0.019474417339234548,-0.39051838892416785,0.04986811861250445,-0.0009711525537823617,-0.9711525537823618
SEE,25,0.3473145619921332,-0.008957702464176896,-0.26532024870575516,0.03376185009577293,-0.0003024286077980761,-0.3024286077980761
CTAS,25,0.2481168309836592,0.010589506412397058,0.3177726401855356,0.03332416033744831,0.0003528864095811566,0.3528864095811566
IQV,25,0.2645974286298146,0.005850171868100555,0.22785209397716558,0.02567530438709436,0.00015020494343029819,0.1502049434302982
DISCA,25,0.01888495996301207,-0.008533470286952506,-0.10514680325022195,0.08115767691619757,-0.0006925566245224634,-0.6925566245224634
AME,25,0.1630025554890288,0.01144958558832458,0.5229249989251635,0.02189527295856656,0.0002506918017188366,0.2506918017188366
PKI,25,0.32497714564976277,0.008652595423196938,0.29234928505614094,0.029596772988637027,0.0002560889025028795,0.2560889025028795
ANET,25,0.2198149463824427,0.025291588262614767,0.3678761223054341,0.06875028502561002,0.0017388039018051383,1.7388039018051382
COST,25,0.0655458071266493,0.003140268576680593,0.06962294529425807,0.045103931805935485,0.00014163845973492355,0.14163845973492356
TFX,25,0.5018965424694782,0.0043257735666748336,0.12104607472343479,0.03573658688692161,0.000154588382918624,0.15458838291862398
COG,25,0.7380513655404657,-0.0076274237097651715,-0.14312353045010048,0.05329259057387804,-0.0004064851688980053,-0.4064851688980053
SNPS,25,0.39142961217024136,0.0009580130844131767,0.03440930330472859,0.027841687927506648,2.667270132669975e-05,0.02667270132669975
DVN,25,0.7987152976490779,-0.024341532383827233,-0.3173687965842144,0.07669793831596221,-0.0018669453492907776,-1.8669453492907775
HPE,25,0.05601963498299568,0.00815192328698349,0.17160782388430962,0.04750321461146873,0.00038724256139780627,0.3872425613978063
BIO,25,0.2602506983246202,0.006706357257982014,0.14146461993002193,0.0474066042894643,0.00031792562475293015,0.3179256247529301
ILMN,25,0.3910962428632937,0.008594529979861324,0.1956927200012627,0.04391849620060403,0.000377458832266517,0.377458832266517
