Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,0.44337703352037944,0.024156998338596244,0.6546088389869971,0.03690295165579958,0.0008914645418384479,0.8914645418384479
GPN,25,0.8299175355134547,0.016830403535179856,0.5317436787452281,0.03165134670692292,0.0005327049375093988,0.5327049375093988
HFC,25,0.46414065079647526,-0.0051476711647545845,-0.08695979631903754,0.0591959892117139,-0.0003047214867342631,-0.30472148673426314
UDR,25,0.42196609605140434,0.01294157792304735,0.524634783119329,0.024667784789449938,0.0003192400590416285,0.3192400590416285
FFIV,25,0.3662284111983448,0.001991604660804694,0.05488150528162149,0.03628917702939965,7.227369410851898e-05,0.07227369410851898
TT,25,0.47491208111235605,0.019151060009090205,0.5739092027001972,0.03336949454545421,0.0006390611925130019,0.6390611925130019
IPGP,25,1.1532102812551086,0.0010677960646547826,0.01169309718629323,0.09131849737009491,9.750953212197546e-05,0.09750953212197547
LNC,25,0.8744806384394611,0.005800727478729686,0.12606571265412353,0.04601352228614834,0.0002669119031184015,0.2669119031184015
NWL,25,0.896993761776361,-0.016975521520682,-0.16951487164070736,0.10014178317441201,-0.0016999589953967018,-1.6999589953967018
GIS,25,0.6140453131157759,0.012837426665403212,0.31582654601075066,0.040647079314752185,0.000521803899865959,0.521803899865959
ALK,25,0.6894666273051456,0.0036319146571378532,0.07037240209813646,0.0516099287341796,0.00018744285662350692,0.18744285662350693
MLM,25,0.5809926225556203,0.008913022573125332,0.19789045984085213,0.045040183242251196,0.0004014441699358862,0.4014441699358862
FRC,25,0.6403743820641549,0.010609932152587364,0.3270379826623009,0.03244250733879792,0.0003442128017244636,0.3442128017244636
IVZ,25,0.9153881719706628,-0.001636097345289805,-0.046001560524932227,0.035566127031778895,-5.8189646018933424e-05,-0.05818964601893342
BLK,25,0.7935279097259537,0.004220470045538856,0.10579441658522636,0.03989312651617026,0.00016836774548438844,0.16836774548438843
GPC,25,0.3181230305160287,0.009727735030534784,0.28089649605486194,0.03463103017360124,0.0003368814853632479,0.3368814853632479
ZBH,25,0.46669562089488875,0.006054027803933586,0.15861894629722265,0.03816711650945818,0.00023106478454423243,0.23106478454423243
NCLH,25,0.5336096461545127,0.006958760193747358,0.12549121928284743,0.055452168155788295,0.0003858783404194844,0.38587834041948443
HCA,25,0.5196171626495328,0.01548432648033762,0.34414688944038796,0.044993364622636714,0.0006966919472657795,0.6966919472657795
CAH,25,0.5437050989350701,-0.006086678663767359,-0.11174051691408726,0.05447154561176013,-0.0003315507944575309,-0.3315507944575309
XLNX,25,0.691868204094803,0.029643468382889712,0.4726943546191121,0.06271170385941216,0.001858992410593627,1.858992410593627
PHM,25,0.5822035483841937,0.006592959824129838,0.13514193216306394,0.04878544888772709,0.0003216405045189244,0.3216405045189244
PENN,25,0.5039603687408023,-0.008677072800541103,-0.09888124173377326,0.08775246597229387,-0.0007614345356685998,-0.7614345356685999
GE,25,0.43680157340252007,-0.008799460030616964,-0.10976739857327722,0.08016460392602567,-0.0007054052281173027,-0.7054052281173027
AVB,25,0.4277749425297678,0.012589237562707484,0.5289616506881076,0.02379990599759092,0.00029962267057377873,0.2996226705737787
CNC,25,0.6179901133669339,0.0035082343941651856,0.06720136970867345,0.052204804892725123,0.00018314669206534123,0.18314669206534123
CCL,25,0.4283445055480966,-0.0010869481507658255,-0.02166532443704923,0.05016994570859357,-5.453212971197765e-05,-0.05453212971197765
SRE,25,0.3526829372578691,0.01014302502651824,0.3183955776172145,0.03185667684967822,0.00032312307054799044,0.32312307054799044
DFS,25,0.7168195811741627,0.012017184589345782,0.29405483414941963,0.04086715535252662,0.0004911081495127829,0.49110814951278287
DUK,25,-0.07756976963877338,0.005587759228422597,0.19246740550395966,0.029032236465138195,0.00016222514722982298,0.16222514722982298
SYF,25,0.8691568307590057,0.00958901476625519,0.23001821163118868,0.04168806764583589,0.00039974749623256556,0.39974749623256556
SBUX,25,0.03868607883869234,0.012813837382766407,0.290363162498284,0.044130382354690516,0.0005654795431323084,0.5654795431323083
