Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,0.3585928740480331,0.013519007106790056,0.419694868664971,0.0322115139262802,0.0004354676856898489,0.4354676856898489
GPN,25,0.642381808587247,0.0010947256970127326,0.028696860878562158,0.0381479250167931,4.176151380359829e-05,0.04176151380359829
HFC,25,1.0228164983966865,-0.01456044901461075,-0.2005131984777635,0.07261591319249477,-0.0010573203016887203,-1.0573203016887203
UDR,25,0.33291179516866687,0.0018597815028337105,0.057441841533365276,0.03237677367556976,6.021372480325804e-05,0.06021372480325804
FFIV,25,-0.16393976259218548,0.009637979938044551,0.18223854429496944,0.05288661614002258,0.0005097201453486008,0.5097201453486009
TT,25,0.8644873922857161,0.00809522580032127,0.2494672621940807,0.03245005268075352,0.0002626905036830203,0.2626905036830203
IPGP,25,0.23170167594667712,0.01390970118973378,0.29966345516519693,0.046417742804392724,0.0006456569323110181,0.6456569323110181
LNC,25,0.8848573971194053,0.012323271888527325,0.21375523246454647,0.05765132271356804,0.0007104529245325299,0.71045292453253
NWL,25,0.4766798551113793,-0.0013776108622413422,-0.04145519649331092,0.033231319081158596,-4.577982613281206e-05,-0.045779826132812056
GIS,25,0.3425464533003015,-0.0037083711772823978,-0.12448538944811992,0.029789609798569053,-0.00011047093035950277,-0.11047093035950277
ALK,25,0.8911705076168086,0.0035179432885769782,0.06327143572663904,0.05560081335558861,0.00019560050818371417,0.19560050818371416
MLM,25,0.6161954869899037,0.006992961612518698,0.16042366565173535,0.04359058611526655,0.0003048272953712495,0.30482729537124953
FRC,25,0.7851302604206184,0.006579964554631973,0.1916229054214715,0.034338089907150954,0.00022594341446281917,0.22594341446281918
IVZ,25,1.4159914785388226,-0.003486285898526802,-0.06015737926147252,0.05795275561080793,-0.0002020398746667297,-0.20203987466672968
BLK,25,0.7635142880658902,-0.0004739385708494152,-0.015500497645406383,0.030575700322103414,-1.4491003713377696e-05,-0.014491003713377696
GPC,25,0.713911541010137,-0.004601577489653268,-0.1472976590266348,0.03123999064249349,-0.0001437532377174768,-0.1437532377174768
ZBH,25,0.7759627788966593,-0.002412764065021337,-0.04786853451236007,0.05040396765015524,-0.00012161288188079253,-0.12161288188079253
NCLH,25,1.2945417839137578,-0.00351750406095871,-0.06208575548608587,0.05665557314104075,-0.00019928620859955407,-0.19928620859955407
HCA,25,0.1913212110692173,0.0004629478402537893,0.01020513489999209,0.04536420584250661,2.1001261119616765e-05,0.021001261119616765
CAH,25,0.7317903690852319,-0.006472445760679191,-0.1429427590882233,0.04527998341409124,-0.00029307223669215894,-0.2930722366921589
XLNX,25,0.7326869590948677,0.010883726734563559,0.29441774141368293,0.03696695274647516,0.00040233821190215947,0.40233821190215946
PHM,25,0.723425113640295,0.00526462156934404,0.13259343479914582,0.03970499427304945,0.00020903176926057775,0.20903176926057776
PENN,25,1.062851252002523,-0.0008301422472224915,-0.014300582575538704,0.05804954048812378,-4.818937599104408e-05,-0.04818937599104408
GE,25,0.4194447115521052,-0.003472248767472088,-0.12876533702149734,0.026965710243063292,-9.363165415548598e-05,-0.09363165415548598
AVB,25,0.30107769685194,0.0016169361446263656,0.044857274745766534,0.03604624119032033,5.828447025854865e-05,0.058284470258548646
CNC,25,0.06614889247284234,0.006394124404266315,0.11829829112961411,0.05405086027202676,0.0003456079247369549,0.3456079247369549
CCL,25,0.5447951178247733,0.00711797588946999,0.21890329089694394,0.03251653211929562,0.00023145189163432278,0.23145189163432278
SRE,25,0.14515200433768724,0.004534603140681012,0.17826612524763932,0.025437267649037327,0.00011534791377166816,0.11534791377166816
DFS,25,0.7659292613682924,0.001013301653215129,0.022903069436957288,0.04424305030399226,4.483155601631547e-05,0.04483155601631547
DUK,25,-0.06923965741730882,0.003841262806078461,0.13845122193866224,0.02774452079433613,0.00010657399579975382,0.10657399579975382
SYF,25,0.7178654306168978,-0.007968442722709298,-0.10925977980584477,0.07293116219773886,-0.0005811477886733037,-0.5811477886733037
SBUX,25,0.546715034267797,-0.0003332300205791329,-0.009645179617341274,0.03454886625232065,-1.151271941224652e-05,-0.01151271941224652
SYY,25,0.5349500624454532,0.0016136509644179768,0.053378441031124345,0.03023038764802209,4.878129418296014e-05,0.048781294182960136
PVH,25,0.23712318006695376,0.0005036005967475707,0.008514018093969601,0.05914958027917116,2.9787763925958937e-05,0.029787763925958936
MTD,25,0.666138750731039,0.010431247348946696,0.4823168707036263,0.021627373999439637,0.0002256004876963334,0.22560048769633342
VTR,25,0.06770669654633085,0.0023877760918119923,0.05889982145135374,0.04053961511214585,9.6799523736042e-05,0.09679952373604199
BXP,25,0.44259876837081424,-0.0028177991353869098,-0.07668502281056355,0.03674510396049267,-0.00010354032216957837,-0.10354032216957837
FB,25,0.5211223001958202,0.006782708674556858,0.20514757722380533,0.033062582392368575,0.00022425386439596919,0.2242538643959692
RE,25,0.33333556563740546,0.011318005006068572,0.3731260190482119,0.0303329288987648,0.0003433082411249421,0.34330824112494207
LRCX,25,0.8254746667206717,0.02183192152180708,0.5159261757171786,0.0423159795904113,0.0009238391455362496,0.9238391455362496
ILMN,25,0.8962223598030477,0.007676470791928328,0.10444408219761374,0.07349837951952164,0.0005642081636356711,0.5642081636356711
DLR,25,0.1521296005926492,0.01062929462064843,0.24465068660631312,0.04344682113135809,0.00046180906213581904,0.461809062135819
EQIX,25,0.17829027551786353,0.008896488555447026,0.2767536250020398,0.03214587904812974,0.00028598544505647057,0.28598544505647056
IEX,25,0.7027296832265993,0.006407875428114896,0.17944983468584633,0.03570844988145482,0.00022881529857144664,0.22881529857144664
HOLX,25,0.6458610688882096,0.008012321995140122,0.3653161835942606,0.021932567882180194,0.00017573079605229618,0.1757307960522962
LUMN,25,0.8030077483099037,-0.008973519402248338,-0.1709855791372308,0.052481147518565335,-0.00047094059551010324,-0.47094059551010325
QCOM,25,0.36550302912156596,0.0015228033695523224,0.0268593000019515,0.0566955717178661,8.633620765066185e-05,0.08633620765066186
ABT,25,0.9075318268419187,0.0009640213063598713,0.03027980656950777,0.031837102530590654,3.069164517225317e-05,0.030691645172253167
MHK,25,0.9087420040281454,0.0025234409962701454,0.07535516622249452,0.03348729918290413,8.450322361250402e-05,0.08450322361250402
ATO,25,0.08381755466179258,0.004705811360468937,0.16417842247592412,0.028662788261100622,0.00013488167462180297,0.13488167462180298
GS,25,0.9765061787951196,0.007415636507461219,0.1546196584700533,0.047960502440881264,0.00035565765281678197,0.35565765281678197
PFE,25,0.6807208725110245,-0.0006888384877487327,-0.0265710213195378,0.025924426444316855,-1.7857742707656476e-05,-0.017857742707656474
TSN,25,0.2762651906894201,-0.0024355979269409717,-0.049071239188533546,0.04963391932254478,-0.00012088827100794551,-0.12088827100794551
TTWO,25,0.2562316119306715,0.021605434249631395,0.555157068533942,0.03891769640380694,0.000840833730799567,0.840833730799567
BR,25,0.39999068585432884,0.004188664356001888,0.18083052785083217,0.023163480225292122,9.702404398063569e-05,0.09702404398063569
CMA,25,1.1539441847499208,0.01337006883460491,0.25570763342738134,0.052286545596621346,0.0006990747137505356,0.6990747137505356
CDNS,25,0.7366212447080207,0.009186394623910181,0.25262590787874284,0.03636362834297871,0.0003340506399158075,0.33405063991580747
DPZ,25,0.06212980788457627,0.0164974686752521,0.40488563537711014,0.04074599648339307,0.0006722058006267093,0.6722058006267093
CLX,25,0.37230069586164266,0.001150756820142732,0.04265548008001206,0.026977936199151235,3.104504407454877e-05,0.03104504407454877
FISV,25,0.5907903048556454,0.004318108542319382,0.17394328921690058,0.02482480676178813,0.00010719621013950529,0.1071962101395053
ABMD,25,1.2204169023668565,0.004592233196814424,0.08866294273870136,0.051794279041111904,0.00023785140761766366,0.23785140761766366
DHI,25,0.6031626954734642,0.0002118898520906713,0.006386056272272038,0.03318007907488809,7.030522047534815e-06,0.007030522047534815
CPB,25,0.37966092790871553,-0.004432820565820154,-0.11353812676156609,0.03904257267806811,-0.00017306871910986838,-0.17306871910986837
ANSS,25,1.0226623847950018,0.001824304322715126,0.06152744915182983,0.029650251194606386,5.409108142390976e-05,0.054091081423909754
ANTM,25,0.8475502990637178,0.005070352812477328,0.14688677907822648,0.03451878272704887,0.00017502240708338604,0.17502240708338604
HUM,25,0.5195765466827779,0.006502267642626375,0.11285034271408924,0.057618501514879086,0.00037465091801681705,0.37465091801681705
ROP,25,0.6253402422451436,0.005403796563018085,0.23594106262839398,0.022903162776413525,0.00012376403229342716,0.12376403229342715
WM,25,0.32857691936010336,0.007037607823532195,0.31744291192769236,0.022169680150663538,0.00015602151447351612,0.15602151447351612
EFX,25,0.518110651278079,0.002163884642722794,0.06732034015563446,0.032143103224377946,6.955396743668495e-05,0.06955396743668495
WELL,25,0.032624676757578554,0.002451651862469433,0.06277563553554869,0.039054194219684285,9.574728799593194e-05,0.09574728799593195
UA,25,1.0986969704926952,-0.0345794811952372,-0.39347937041367065,0.08788130660797612,-0.0030388899892633847,-3.0388899892633847
