Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,1.6060026781258667,-0.020317907682843955,-0.29942209657081026,0.06785707506406087,-0.0013787137867794013,-1.3787137867794013
GPN,25,1.0022108645059424,0.0018461293822756015,0.04446257737372517,0.04152097092253941,7.66530844007109e-05,0.07665308440071089
HFC,25,1.573694205848735,-0.021701586066005557,-0.26639530406767997,0.08146384615132737,-0.0017678946685208666,-1.7678946685208665
UDR,25,0.7688859280446653,-0.007686152195421983,-0.26168877074291597,0.02937134892567816,-0.0002257526580276063,-0.2257526580276063
FFIV,25,0.9625626684848394,-0.006814605288369167,-0.1447716711499612,0.04707140032465525,-0.0003207730135833378,-0.3207730135833378
TT,25,0.3902733678694183,-0.0035758551543783297,-0.07593340344426705,0.04709199103663127,-0.00016839413887827603,-0.16839413887827603
IPGP,25,0.892435426175225,-0.013813029326096684,-0.20965017464915767,0.06588608547172599,-0.0009100864308026638,-0.9100864308026638
LNC,25,2.6932507956482756,-0.03303332429338021,-0.6564937288381505,0.05031780631300459,-0.0016621644136689746,-1.6621644136689746
NWL,25,1.015892057144633,-0.000766000227831519,-0.01237998302870432,0.06187409353110301,-4.739556974169362e-05,-0.04739556974169362
GIS,25,0.08678220721187564,0.007988786026279265,0.2164941471434137,0.03690070208220086,0.00029479181315418036,0.29479181315418035
ALK,25,1.2641081918225594,-0.02932097844615011,-0.4074010981732012,0.07197078892920579,-0.002110253950945662,-2.110253950945662
MLM,25,1.002808102562523,-0.008645185387304927,-0.1814566757693254,0.04764324790284936,-0.0004118847105734594,-0.4118847105734594
FRC,25,0.9569122511737573,-0.002622810123912921,-0.06944429443822096,0.03776854736779312,-9.90597284017325e-05,-0.0990597284017325
IVZ,25,1.6597969140396631,-0.03950530911301445,-0.7726540876658408,0.05112936014142955,-0.0020198811771378142,-2.0198811771378145
BLK,25,1.3063220781265115,-0.0011758421565974536,-0.029149185678132288,0.04033876519163176,-4.743202065740658e-05,-0.04743202065740658
GPC,25,0.7252345317205431,-0.010917217655227386,-0.22674429329721457,0.048147706372116655,-0.0005256389900643761,-0.5256389900643761
ZBH,25,1.4094845032124268,-0.006177129917579205,-0.14093707033717895,0.04382899334292242,-0.00027073738603594595,-0.27073738603594594
NCLH,25,3.3045391596163083,-0.06700354878258274,-0.5795007590798097,0.11562288354717223,-0.007747143518135839,-7.747143518135839
HCA,25,1.6259727734490896,-0.009801444442045285,-0.23099612596110705,0.042431207022474306,-0.00041588711823970366,-0.41588711823970365
CAH,25,0.9104534732577935,0.0014241208561655756,0.03234026808495404,0.044035530330935393,6.271191715659689e-05,0.0627119171565969
XLNX,25,0.9143933751642482,-0.01579938019539344,-0.2849101177531114,0.055453910587634436,-0.00087613741669539,-0.87613741669539
PHM,25,1.5086633424605598,-0.006675665575784056,-0.10193787830857119,0.06548758603329445,-0.0004371732237236605,-0.43717322372366046
PENN,25,3.795349413416504,-0.022220276185935663,-0.2411729412175615,0.09213420076794937,-0.0020472473872342805,-2.0472473872342807
GE,25,1.5990031520815544,-0.020101388318724968,-0.2376255494074848,0.08459270633501925,-0.0017004308389720875,-1.7004308389720875
AVB,25,0.7197632019643161,-0.009092242752050197,-0.22821224356900754,0.03984116982444395,-0.00036224558756950154,-0.36224558756950154
CNC,25,0.45165395006230513,0.009405737099498927,0.15671860972555285,0.060016721153731176,0.0005645015007459314,0.5645015007459314
CCL,25,2.13950916877175,-0.05715054527814454,-0.5161308404385268,0.1107287935547254,-0.006328210929643653,-6.328210929643653
SRE,25,1.6598703791787033,-0.0021674149727826456,-0.044775882388134694,0.048405857287069254,-0.00010491557985437383,-0.10491557985437383
DFS,25,1.5644899941502732,-0.03159880301508184,-0.4193054107139974,0.07535987422932389,-0.0023812818210137477,-2.3812818210137476
DUK,25,0.7901010611980452,-0.00194091433607399,-0.06933810219797609,0.027992031430745495,-5.433013509976765e-05,-0.054330135099767654
SYF,25,1.3536588059429486,-0.027117896677181588,-0.35475232791693956,0.07644177231031694,-0.0020729400833318155,-2.0729400833318157
SBUX,25,1.2202447733731228,-0.0019333875797121695,-0.05327720262842612,0.03628920972439736,-7.016110735871993e-05,-0.07016110735871993
SYY,25,1.8017944216572326,-0.012872887714176941,-0.1892406838718412,0.0680238913261104,-0.0008756639149223941,-0.875663914922394
PVH,25,1.8767505127547692,-0.042196892254926587,-0.4564920654278076,0.09243729617815198,-0.0039005666271662164,-3.9005666271662163
