Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
LYV,25,1.4945939627524274,-0.008045230344412471,-0.09779826779793704,0.0822635259863179,-0.0006618290155034886,-0.6618290155034886
GPN,25,0.5476609989365017,-0.001194586030099658,-0.021778838082667656,0.054850769612468465,-6.552396311926967e-05,-0.06552396311926967
HFC,25,1.3665712782947241,-0.02584353332854762,-0.36063952600940946,0.07166029085750666,-0.0018519551151093899,-1.8519551151093898
UDR,25,0.62009300429962,-0.0039484849466882455,-0.08464545394245973,0.04664733618620967,-0.00018418630473435475,-0.18418630473435474
FFIV,25,0.8077490038663653,-0.005954490381162027,-0.11240811145798404,0.05297207028860813,-0.0003154216830037559,-0.3154216830037559
TT,25,0.8231166189704011,0.009974603831715265,0.17875923197611826,0.05579909759876259,0.0005565738927148713,0.5565738927148713
IPGP,25,0.496197938100838,0.011623139127693569,0.17565722336105877,0.06616943445475347,0.0007690965426684001,0.7690965426684001
LNC,25,1.2171105490625296,-0.0008246760138404564,-0.010540179156356267,0.07824117613248867,-6.452362125112981e-05,-0.06452362125112981
NWL,25,0.6176551220003246,0.014082044081686038,0.22038914090965334,0.06389627013183401,0.0008997900926518054,0.8997900926518054
GIS,25,-0.11707545741408171,0.004080750753674479,0.1171849174823972,0.03482317384647614,0.00014210469291934492,0.1421046929193449
ALK,25,1.3883189340749538,-0.0006098263422871161,-0.00649469132329823,0.09389612406974641,-5.72603298963907e-05,-0.057260329896390696
MLM,25,0.9344055456256523,0.004452690392279312,0.07156737316535042,0.06221676436260619,0.00027703198891608244,0.27703198891608244
FRC,25,0.9171671475507504,0.0025502915380494137,0.060599471345302094,0.042084385910193624,0.00010732745327077277,0.10732745327077277
IVZ,25,1.0753591409383423,0.0258179006745423,0.35853290306119784,0.07200985029297423,0.0018591431624526693,1.8591431624526693
BLK,25,0.5646845799957833,0.007969638404507132,0.2410516444816987,0.033061954095534946,0.00026349181908782716,0.26349181908782715
GPC,25,0.6371798070625163,0.004830177534391017,0.09721372849022328,0.04968616685529951,0.00023999300691447128,0.23999300691447129
ZBH,25,0.8358280125286909,-0.0014101483210586518,-0.04061659905507293,0.03471852281739791,-4.8958266660590156e-05,-0.04895826666059015
NCLH,25,1.9832011410648753,-0.0165831519175316,-0.11530414953978667,0.143820946459602,-0.0023850046040627586,-2.385004604062759
HCA,25,0.971729480680744,0.0025049300840065264,0.0416574818974803,0.06013157708790938,0.00015062539644626177,0.15062539644626177
CAH,25,0.47393282222775407,-0.0020609295313535492,-0.03654210183024657,0.056398768218846124,-0.00011623388695418399,-0.11623388695418399
XLNX,25,0.9049149171024627,-0.004291969474958754,-0.09342153823483883,0.045941969657679965,-0.0001971815313902437,-0.1971815313902437
PHM,25,0.9884792688146642,0.006486235057889606,0.09136300504024523,0.07099410811884342,0.0004604844729840473,0.4604844729840473
PENN,25,2.5914443072376354,0.010689523756494027,0.07829957593898552,0.1365208384375386,0.0014593427457345516,1.4593427457345516
GE,25,0.9660295860726178,0.008059155606904778,0.12740101155697617,0.06325817596275968,0.0005098074834928438,0.5098074834928438
AVB,25,0.43990659505085744,-0.0017760074780714319,-0.03543230671145535,0.050123958694939956,-8.902052547275693e-05,-0.08902052547275692
CNC,25,0.36309100127168975,-0.011766998767177704,-0.21917485763435166,0.05368772173133349,-0.0006317433554251808,-0.6317433554251808
