Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.10619322959806708,-0.013915405337725884,-0.2619132889033872,0.05312981787212371,-0.0007393229512101543,-0.7393229512101543
SLB,25,1.8450226990598468,0.01304097689903589,0.15472486841348473,0.08428494419000152,0.001099158010118339,1.099158010118339
PNW,25,0.5791866319781903,-0.013683733692850072,-0.40055650880969224,0.03416180586732478,-0.00046746105395531533,-0.46746105395531534
PNR,25,0.7376231418915428,0.007877706291854443,0.22324059192187345,0.03528796543691019,0.00027798822734908954,0.27798822734908957
GPN,25,0.8375088699815789,-0.011064489031397208,-0.2442955707562016,0.04529140252992626,-0.0005011262265089649,-0.5011262265089649
ITW,25,0.7669360618854494,-0.002717789966785924,-0.10866170874189852,0.025011478268222555,-6.797594469185943e-05,-0.06797594469185943
HES,25,1.286232911273939,0.020671854592510214,0.24798136342622104,0.08336051672149333,0.0017232164804232264,1.7232164804232264
LNC,25,2.000529061042102,0.009602776161670358,0.21898373389230125,0.04385155002605406,0.0004210966192424871,0.4210966192424871
JBHT,25,0.7850973561597365,0.009061711352290024,0.24349649605331822,0.037214955858361876,0.00033723118797668994,0.33723118797668994
DTE,25,0.3933898755276863,0.0009070751259375063,0.03559764238076442,0.025481325876447775,2.3113476878433505e-05,0.023113476878433504
ALB,25,1.497428671715798,0.019932760059938204,0.3300281447358876,0.06039715211528351,0.0012038819414175353,1.2038819414175352
K,25,0.20170958069036007,-0.0021452898397731086,-0.07434094199421981,0.028857447622064165,-6.19075891853989e-05,-0.061907589185398904
SWK,25,0.9547087189178458,-0.005769074015994506,-0.20001799186168764,0.02884277540384376,-0.0001663961061314805,-0.1663961061314805
JNPR,25,0.3665766893606646,0.008488364718285756,0.23070298587348395,0.03679347575909018,0.0003123164414965633,0.3123164414965633
APTV,25,1.2035900428824116,0.008676594440496621,0.15688106437790608,0.05530683052733397,0.00047987493827495473,0.47987493827495475
CDW,25,0.9179308255630824,0.007435871594221747,0.15884451820144813,0.046812264460971226,0.0003480899875665321,0.34808998756653214
PVH,25,1.6241158821792265,0.005622267746829411,0.09100978270961411,0.06177652093477073,0.00034732414116289337,0.3473241411628934
CCL,25,1.9831443936247841,-0.001808565922603006,-0.01802577657308373,0.10033220567615238,-0.0001814574081254851,-0.18145740812548508
TT,25,0.9108072796697201,0.002884235443907689,0.09507015826627775,0.030337968259496983,8.750184335018766e-05,0.08750184335018767
SCHW,25,1.3624300918225385,0.0146159108038952,0.3199411722080933,0.04568311950294677,0.0006677003998987552,0.6677003998987552
LYV,25,1.141064896157621,0.014408824108569862,0.19538267343885704,0.07374668313707435,0.0010626029859125393,1.0626029859125392
DLR,25,-0.29543695380930896,0.006883504900614229,0.1454376673464555,0.047329588174820164,0.00032579345214542787,0.3257934521454279
KEYS,25,0.5795411880774095,0.014101840621212445,0.3189673035810056,0.04421092840204266,0.0006234554660414402,0.6234554660414402
QRVO,25,1.1171278843596815,-0.0027491217807593445,-0.056074475258739945,0.04902625959626537,-0.00013477915808525497,-0.13477915808525498
HD,25,0.22561138722248103,0.010623763666991862,0.26609977034043486,0.03992398660622798,0.00042414299834871454,0.42414299834871455
MPWR,25,0.25287219356433666,0.0188442190192511,0.24173382448434025,0.07795441560339789,0.0014689900811481551,1.468990081148155
PGR,25,0.49950760191152327,-0.0022041460024299605,-0.06320949847754302,0.03487048711853087,-7.685964478509525e-05,-0.07685964478509524
DLTR,25,0.5278553517010999,-0.0006906152000333218,-0.011673751432976717,0.059159662941120225,-4.085656245598564e-05,-0.04085656245598564
CNP,25,0.5608416482062302,0.0030362548310687723,0.07730391952596027,0.039276854908361206,0.00011925454046469894,0.11925454046469894
ABMD,25,-0.3041073540358355,0.012098114437628588,0.1876700208770667,0.06446482171786756,0.0007799027903440865,0.7799027903440865
CL,25,0.3922444447012434,-0.004350746635071755,-0.17243582018697837,0.025231107030743865,-0.00010977415401314417,-0.10977415401314417
CVX,25,1.3875155012841025,0.006231147035551072,0.1314133842926298,0.04741638052388656,0.00029545843893797734,0.29545843893797735
DPZ,25,0.02184036768143032,0.007793555695974083,0.2067919944672269,0.03768789848975141,0.0002937227359440951,0.2937227359440951
DVN,25,2.380944573264037,0.037621230424131805,0.4167857557756984,0.0902651539856809,0.0033958861573650406,3.3958861573650405
FRC,25,0.7556758218763537,0.01278257363411686,0.2553628719786716,0.05005650796089294,0.0006398509988768708,0.6398509988768708
WAB,25,1.1414965605728704,0.005596682490531963,0.13153783888609583,0.0425480799891989,0.00023812809428130287,0.23812809428130285
