Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.37580700631965697,0.016240038557394483,0.2849011952933892,0.057002353186586696,0.0009257204136123862,0.9257204136123862
SLB,25,1.2206929864617428,-0.043208773647480755,-0.4380760891267433,0.09863303366685161,-0.0042618124258753404,-4.26181242587534
PNW,25,0.7426676395047795,-0.008764332761811572,-0.14925912644227793,0.05871890698222027,-0.0005146320402020394,-0.5146320402020395
PNR,25,1.193081475425051,-0.0033529406077607224,-0.06676143152983101,0.05022271888017452,-0.00016839379356548828,-0.16839379356548828
GPN,25,0.8717841066725367,-0.0076285531952040115,-0.17903938442804523,0.04260824074867101,-0.00032503923110529604,-0.32503923110529603
ITW,25,0.7238476627620435,-0.00011529267831303543,-0.0039099504486714174,0.029486992182269557,-3.3996343040893945e-06,-0.0033996343040893946
HES,25,0.9430169588720295,-0.03175148249240472,-0.37247113100821216,0.08524548575471926,-0.0027066705484975044,-2.706670548497504
LNC,25,1.8650197786225648,-0.04009016195980339,-0.4658287713873825,0.08606201338831532,-0.0034502400553243287,-3.4502400553243286
JBHT,25,0.6336079895094319,-0.0031908286011914995,-0.06564300173396054,0.04860881612518822,-0.00015510240076230914,-0.15510240076230913
DTE,25,0.7677777412260245,-0.005519360375693553,-0.12069868389093197,0.04572842219788462,-0.00025239164152198986,-0.25239164152198984
ALB,25,1.149297525026319,0.006475631733564538,0.11342937674124191,0.05708954699043194,0.00036969088214606496,0.36969088214606494
K,25,0.3947216460722596,-0.0009216287245800113,-0.025440942716394695,0.03622620179031706,-3.338710815238804e-05,-0.03338710815238804
SWK,25,1.330668584745643,-0.008694086794113131,-0.15072781562742146,0.057680705833379316,-0.0005014810628611074,-0.5014810628611074
JNPR,25,0.46045035326478134,-0.007720150373069439,-0.1891533301842757,0.040814245065357115,-0.00031509210926786423,-0.31509210926786424
APTV,25,1.3358599444530894,-0.009821293782072171,-0.17642835559906567,0.055667320305309145,-0.0005467251067791527,-0.5467251067791526
CDW,25,0.5794803550365681,-0.005871969729923123,-0.12877692662903156,0.04559799556980064,-0.000267750049731038,-0.267750049731038
PVH,25,1.970902646137751,-0.03330662933982671,-0.2830262504282449,0.1176803539934218,-0.003919535931038496,-3.9195359310384963
CCL,25,1.8209227820627243,-0.0628226129144155,-0.5307545336090684,0.11836472217623677,-0.0074359811240000545,-7.435981124000055
TT,25,1.0283131742641678,-7.157095346455901e-05,-0.0011068150985340528,0.06466387525735133,-4.628055206881941e-06,-0.004628055206881941
SCHW,25,0.4712396176201617,-0.006208537239043712,-0.0767133999511834,0.08093158748008193,-0.0005024667746850126,-0.5024667746850126
LYV,25,0.8497674231122974,-0.01998809355708778,-0.24358667567139086,0.08205741755781666,-0.001640171339198657,-1.640171339198657
DLR,25,0.4424934856142026,0.0028925600483904867,0.04544914126945208,0.06364388781828702,0.000184093767227423,0.18409376722742302
KEYS,25,0.3500797600536359,-0.0023381538298968742,-0.07616372756883714,0.030699046705449647,-7.177909362853012e-05,-0.07177909362853012
QRVO,25,0.731053293223491,0.013019991505669433,0.19355879251482172,0.06726633978496446,0.0008758071726177112,0.8758071726177111
HD,25,0.890811366071709,-0.0006964517530973881,-0.06593001515833259,0.010563500575949234,-7.356968494965113e-06,-0.007356968494965113
MPWR,25,0.34317975696609904,0.02683930339396781,0.553654376310463,0.048476639113419755,0.0013010792246849596,1.3010792246849596
PGR,25,0.4986666066062623,0.00854676353062378,0.17867118719312067,0.0478351527456177,0.0004088357389680633,0.4088357389680633
DLTR,25,0.4755680016042198,-0.012187432596243395,-0.24139309841910295,0.050487908213033346,-0.0006153179782716672,-0.6153179782716672
CNP,25,1.201157668791283,-0.020259660661034858,-0.3144168921193733,0.06443566223325864,-0.0013054446513148796,-1.3054446513148796
ABMD,25,0.7021347129312944,0.011466442313028248,0.15362480446331656,0.07463926384209832,0.0008558468131323156,0.8558468131323156
CL,25,0.5401594761398402,0.0018290499722952358,0.048510707467832474,0.037704046544942305,6.8962585288445e-05,0.068962585288445
CVX,25,1.0576928618713946,-0.029139072958477858,-0.6341204619205314,0.04595195188974929,-0.0013389972786998691,-1.3389972786998692
DPZ,25,-0.031847161859352095,0.017089138381710514,0.23952681323360553,0.07134540868726806,0.0012192315619564153,1.2192315619564154
DVN,25,1.4544011016246172,-0.047400728320804275,-0.3372263555598532,0.1405605687079558,-0.006662673329943556,-6.662673329943556
FRC,25,0.6942235050608867,-0.0003123506450559638,-0.005566183998346665,0.05611575994410928,-1.7527793816348148e-05,-0.01752779381634815
WAB,25,1.175247142689194,-0.017855270841561813,-0.350598645495475,0.050927951579300273,-0.000909332368854352,-0.909332368854352
DOV,25,1.0630465938262068,-0.006843652738868999,-0.16485142629529165,0.04151406446802737,-0.0002841078409981997,-0.2841078409981997
ABT,25,0.5117732685311306,0.006347903010280899,0.11806061154397562,0.0537681698177246,0.00034131512704322855,0.34131512704322853
FMC,25,1.0006737473016083,-0.0003663614584503601,-0.007724314339863609,0.04742964130287182,-1.7376392561497558e-05,-0.017376392561497558
CLX,25,0.22341610236240833,0.012973509920615958,0.4234667571192964,0.030636430611154543,0.0003974620364660759,0.39746203646607586
RJF,25,0.8909158101701644,-0.010794947223491693,-0.18749626287475826,0.057574199389256016,-0.0006215104438418063,-0.6215104438418063
LMT,25,0.8910227795687221,-0.008336211825290598,-0.15406343487364701,0.05410895734038012,-0.00045106373003502123,-0.45106373003502126
LHX,25,0.6681839746483846,-0.013573884404944479,-0.2845903715029883,0.04769621801769898,-0.0006474229499252761,-0.647422949925276
