Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,-0.029898891768942802,0.006824928762517936,0.11598421132734538,0.058843601938679005,0.0004016033913614465,0.4016033913614465
SLB,25,0.4328330291082576,-0.0045365425347716135,-0.15201302045229684,0.02984311818338762,-0.0001353845750091541,-0.1353845750091541
PNW,25,-0.03900807953230305,0.00760397167377865,0.364924967690385,0.020837082543034225,0.00015844458542141985,0.15844458542141984
PNR,25,-0.14536030237282693,0.009645869726956783,0.3268882804119118,0.02950815402376012,0.0002846318095961657,0.2846318095961657
GPN,25,0.1646427599445146,0.0150400028736193,0.42415209141853194,0.03545898553351369,0.0005333032443196711,0.5333032443196711
ITW,25,0.001267952356232628,0.014794639023634083,0.4863079223211237,0.030422368924240432,0.00045008796647796033,0.45008796647796034
HES,25,0.45742657518082047,0.0001555477518786711,0.0023416124304605195,0.06642762476627265,1.0332667695033645e-05,0.010332667695033645
LNC,25,0.1754902640239977,0.02025613116709896,0.34649740555371794,0.058459690729080006,0.0011841671633962836,1.1841671633962836
JBHT,25,0.33860470155625305,0.014305271221746843,0.3390720162661224,0.04218947756077658,0.0006035319192107114,0.6035319192107114
DTE,25,0.0020115579479467022,0.007743434136486838,0.41494715959650263,0.018661253505185105,0.000144502187421685,0.144502187421685
ALB,25,0.5978820903095241,0.025231808201320614,0.6407076468167018,0.03938115664247583,0.0009936577911491135,0.9936577911491135
K,25,0.11449345992991891,-0.006836052538126491,-0.22264992241867407,0.030703143589117812,-0.00020988830266085092,-0.20988830266085093
SWK,25,-0.03700884783213238,0.01533040329576966,0.5657239128366486,0.027098736588489016,0.0004154345607073659,0.4154345607073659
JNPR,25,0.8662250422579247,0.005423905273817864,0.19976367492577904,0.02715160939962224,0.00014726775741525375,0.14726775741525375
APTV,25,0.6029914906477895,0.021283815126601352,0.5573994290581628,0.038184135140871225,0.0008127040731074652,0.8127040731074652
CDW,25,0.46397215630484623,0.020909557350371887,0.5079744058768412,0.04116261982585285,0.0008606921599402249,0.860692159940225
PVH,25,-0.06587667718137698,0.0066582971871115915,0.16577900696474612,0.040163693274670884,0.0002674218059547539,0.2674218059547539
CCL,25,-0.207723054527752,0.012726405209886995,0.5080514448000817,0.02504944202037421,0.00031878934943285254,0.31878934943285253
TT,25,0.11435918595338396,0.013701337479509544,0.38417227414868216,0.03566456613734405,0.000488652256708039,0.48865225670803897
SCHW,25,0.06790832424888432,0.01477484032597836,0.31571471639987314,0.046798072938941074,0.0006914340552363432,0.6914340552363432
LYV,25,0.2504527495751632,0.020475530777904396,0.7205111723304634,0.028418061460000883,0.0005818748920726268,0.5818748920726269
DLR,25,0.003371033339653294,0.011819153985690192,0.38528601707542115,0.030676311783660055,0.0003625680526841207,0.3625680526841207
KEYS,25,0.1304252666073823,0.013069320913003347,0.4545514650757643,0.02875212581445527,0.00037577075920016366,0.3757707592001637
QRVO,25,-0.17335757624671388,0.009813431429281639,0.1821435528876709,0.05387745694920998,0.0005287227293551456,0.5287227293551456
HD,25,0.1759265763379473,0.01545083298368829,0.6341046770773118,0.024366375997892983,0.00037648080596119557,0.3764808059611956
MPWR,25,-0.12730525961179187,0.01778530929875424,0.5525078775201712,0.032190146099962035,0.0005725117047599123,0.5725117047599123
PGR,25,0.03297051749766593,0.01883717004847389,0.7696183871483174,0.024475987532303685,0.0004610583392503313,0.4610583392503313
DLTR,25,0.0023809226127673266,0.008774884232188416,0.17409399333485318,0.05040314179772282,0.00044228173421359486,0.44228173421359485
