Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.25770623407512405,0.006478113964013559,0.12828570160469377,0.05049755259534345,0.00032712890061640355,0.32712890061640354
SLB,25,0.5035660466069017,-0.008053857939099199,-0.1471733711358223,0.054723608468997514,-0.0004407361685241918,-0.4407361685241918
PNW,25,0.057261084603366104,-0.0009577221874275347,-0.02508611334917567,0.0381773842004507,-3.656332790671705e-05,-0.03656332790671705
PNR,25,0.6151252371056448,-0.009690179610569474,-0.2989786170046193,0.03241094532997909,-0.0003140678815958453,-0.31406788159584526
GPN,25,1.012468946772228,0.00020974705942871513,0.00667070837790117,0.03144299638754537,6.595076031915354e-06,0.006595076031915354
ITW,25,0.58582883959295,-0.012082790517363384,-0.3386933451445013,0.035674720777901146,-0.00043105017792481045,-0.43105017792481043
HES,25,0.7821899923122971,0.009449516109672405,0.12920663227730872,0.07313491531449759,0.0006910895604438721,0.691089560443872
LNC,25,0.6518280013878273,-0.012531722744091789,-0.29766198985955344,0.04210051390842566,-0.0005275919676841705,-0.5275919676841705
JBHT,25,0.4175577387087555,-0.0023284585244615495,-0.05291147987531246,0.04400667926787597,-0.00010246772747453114,-0.10246772747453115
DTE,25,0.09007032033159154,0.002433160479729903,0.07032135299251914,0.0346005925111928,8.418879427347277e-05,0.08418879427347277
ALB,25,0.5632714929615747,-0.01705691448597436,-0.2859913704838192,0.059641360706509175,-0.0010172975893980784,-1.0172975893980785
K,25,0.38168311705673147,0.005994330022804526,0.15700875280670104,0.03817831755013273,0.00022885343511092553,0.22885343511092554
SWK,25,0.6965369012073238,-0.016816379987162348,-0.4216169917111399,0.039885441805636856,-0.0006707287453594401,-0.67072874535944
JNPR,25,0.848645878106498,0.0022964268080709624,0.05598401564583516,0.04101932992085753,9.419788887936458e-05,0.09419788887936459
APTV,25,0.8180921223350296,-0.0077104872860980795,-0.18592667012324945,0.04147058235909271,-0.00031975839802686766,-0.3197583980268677
CDW,25,0.7446156474469601,0.0032348779626385146,0.10507100838927501,0.030787540847173507,9.959393741035468e-05,0.09959393741035469
PVH,25,0.6494077947704523,-0.004876383912647282,-0.09438340309988315,0.05166569282829048,-0.0002519417533436517,-0.2519417533436517
CCL,25,0.47342149798532246,-0.008332372693753743,-0.20795445985034142,0.040068256770017345,-0.0003338636485968061,-0.3338636485968061
TT,25,0.3924918558679814,0.0009606552629107664,0.03030615389418995,0.031698356256777784,3.0451192763694e-05,0.030451192763694002
SCHW,25,0.8557805778912003,-0.005027360430366456,-0.09850000791601972,0.0510391880846623,-0.00025659239457486235,-0.2565923945748623
LYV,25,0.7050614672988986,0.003299527157992768,0.06242037446559561,0.05285977833746218,0.00017441227418993428,0.17441227418993427
DLR,25,0.45387769418247254,-0.0004942941426607232,-0.012936156511432192,0.03821027847211774,-1.8887116838202928e-05,-0.01888711683820293
KEYS,25,0.799445764139121,0.008198042807919626,0.1877222535323539,0.04367112930756872,0.0003580177875336418,0.3580177875336418
QRVO,25,0.6544423492491,-0.004404684465159471,-0.06612777817625666,0.06660868679753985,-0.00029339024798179654,-0.2933902479817965
HD,25,0.6446907856602598,0.0007213010254469754,0.019119758281650686,0.03772542596101809,2.7211388431106298e-05,0.027211388431106296
MPWR,25,1.2727238486852044,-0.009611958523471756,-0.2547905681197518,0.03772493854228594,-0.0003626105445689735,-0.3626105445689735
PGR,25,0.6439115837453734,0.011750968256114809,0.4762573135406298,0.02467357019413483,0.0002899383401162989,0.2899383401162989
