Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.4754918257481707,0.022104372749172367,0.33552219409980494,0.06588050846674294,0.001456247316053892,1.456247316053892
SLB,25,1.4514840624469492,-0.028606484998012854,-0.357281704401754,0.08006703014897625,-0.002290436296792132,-2.290436296792132
PNW,25,0.2502641046519678,0.008173347984256884,0.29433755897088715,0.027768620534986865,0.0002269625986752292,0.2269625986752292
PNR,25,0.9271181541084977,-0.009574905279762408,-0.19197490267010714,0.04987581786258844,-0.00047755623178496624,-0.47755623178496626
GPN,25,1.0805423927821438,0.003250338473996076,0.12068495574772668,0.026932424624577136,8.753949595526239e-05,0.08753949595526239
ITW,25,0.9155578561441563,0.0005120003850983797,0.017932602008841107,0.02855137167745952,1.4618313293946246e-05,0.014618313293946247
HES,25,2.412086879784068,-0.018595976866796187,-0.24913253298445953,0.07464290851149566,-0.0013880577999501576,-1.3880577999501575
LNC,25,1.4664787295452406,-0.011305756748818428,-0.18656349758616278,0.06060004714264621,-0.0006851293919616873,-0.6851293919616873
JBHT,25,0.8608741541953813,-0.006973797645204647,-0.13618677240134244,0.05120759910994046,-0.0003571114340894863,-0.3571114340894863
DTE,25,0.3798419327367849,0.0071324405482626595,0.3428184862820385,0.02080529736192454,0.00014839254652285273,0.14839254652285272
ALB,25,1.0614876669848081,-0.019237890267106164,-0.321839653659536,0.05977476687026677,-0.001149940405792045,-1.149940405792045
K,25,0.23646728442539935,-0.002953007055480298,-0.08531800289466958,0.03461176955965519,-0.00010220879971231999,-0.10220879971231998
SWK,25,1.340425401130041,-0.006714308869925995,-0.11928311511122917,0.05628884577389712,-0.0003779406964575738,-0.3779406964575738
JNPR,25,0.760139002872411,-0.010457358158967093,-0.24808180857223738,0.042152861667493366,-0.000440807571882373,-0.44080757188237296
APTV,25,1.3119726025221998,-0.004853519752051619,-0.08660382551345878,0.05604278706253398,-0.0002720047739680316,-0.2720047739680316
CDW,25,1.3127194486593428,0.006696341941581282,0.1641351280504207,0.04079773794384973,0.000273195603715043,0.27319560371504303
PVH,25,1.5752722063005096,-0.027842981044378847,-0.3467989897345839,0.08028564635003103,-0.002235391729459618,-2.235391729459618
CCL,25,1.0091888129170978,-0.018865007861894857,-0.29974827782882396,0.06293616763552523,-0.001187291297241716,-1.187291297241716
TT,25,1.0318323751418383,0.002825263576959334,0.10619780523428764,0.026603784990908205,7.516270474407036e-05,0.07516270474407036
SCHW,25,0.8623507893801814,-0.010347220499156921,-0.17081752852386717,0.060574699731188154,-0.0006267797747888254,-0.6267797747888254
LYV,25,1.2740661698531919,0.0012540702789993535,0.044137622281134305,0.02841272851110014,3.5631558371048235e-05,0.035631558371048234
DLR,25,0.5339980786867643,0.004379173710645877,0.11772385135310232,0.037198695594072365,0.00016289954981588034,0.16289954981588034
KEYS,25,1.0922935059301762,0.009650373182311676,0.17319686857039487,0.05571909735994642,0.0005377100829050403,0.5377100829050403
QRVO,25,0.510607435462067,-0.00411458901198326,-0.07750973031828062,0.053084806192556656,-0.00021842216026315454,-0.21842216026315453
HD,25,1.136703201790504,-0.0003240768191739591,-0.008232413638599369,0.03936595431192356,-1.2757593257155586e-05,-0.012757593257155586
