Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
MKTX,25,0.3493300960973049,-0.004532841177555678,-0.09780420672525279,0.046346075790882214,-0.00021007940076302723,-0.21007940076302722
SLB,25,0.44767585108302316,-0.00849859868389196,-0.15867508003764857,0.05355975671715755,-0.0004551828779460087,-0.4551828779460087
PNW,25,0.1791474364234318,-0.0036042820613398545,-0.09853220391367179,0.03657973655494114,-0.00013184368827351208,-0.1318436882735121
PNR,25,0.5298256857591714,-0.006457438760205629,-0.20811336666788874,0.03102846714555597,-0.00020036442641548004,-0.20036442641548005
GPN,25,0.936693232446371,0.0022229517001627133,0.07284546664298597,0.030515992313665183,6.78355769958143e-05,0.0678355769958143
ITW,25,0.5294375149914856,-0.0060163549920298634,-0.1737534426999566,0.034625817471824784,-0.0002083212097997279,-0.2083212097997279
HES,25,0.6079421103952816,0.011645809283159041,0.16268497571505858,0.07158503255738,0.0008336656366919781,0.8336656366919781
LNC,25,0.6676927488716556,-0.009063960383755076,-0.2220978599040033,0.04081066061452715,-0.00036990621104494766,-0.36990621104494764
JBHT,25,0.33330221093410145,-0.0004072898273222111,-0.008825410953865886,0.046149672740599314,-1.8796292241495246e-05,-0.018796292241495247
DTE,25,0.1755994446043338,-0.0003838350707874019,-0.011604252767580942,0.03307710358220828,-1.269615239491914e-05,-0.01269615239491914
ALB,25,0.5638690783661026,-0.017100902606174903,-0.2874960796169179,0.0594822114755842,-0.0010171995052438644,-1.0171995052438645
K,25,0.33607149933489366,0.0026640588691139028,0.06914542365809506,0.038528346898081565,0.00010264178426613132,0.10264178426613133
SWK,25,0.598393898323951,-0.006203457821797048,-0.19440009188246798,0.03191077618187334,-0.0001979571541050571,-0.1979571541050571
JNPR,25,0.7221914366752201,-0.003643333620027083,-0.08437565216435841,0.043179916558512645,-0.00015731884170759326,-0.15731884170759325
APTV,25,0.6920249183884011,-0.00576668279994412,-0.14592131606607583,0.039519125480836956,-0.00022789426117917589,-0.22789426117917588
CDW,25,0.6632698461311929,0.005549151317619776,0.18864158809296566,0.029416372994512024,0.0001632359049620912,0.1632359049620912
PVH,25,0.4509130077970959,0.000900824138062889,0.019065783422449127,0.04724820995303072,4.2562328005953314e-05,0.04256232800595331
CCL,25,0.36765745619619017,-0.0030026722260378487,-0.07667528122292205,0.03916088963936138,-0.00011758731566704376,-0.11758731566704375
TT,25,0.3092624254023847,0.003396300347545053,0.11049981431335532,0.03073580140065961,0.00010438801297913596,0.10438801297913596
SCHW,25,0.8575589217007463,-0.0024282827647716665,-0.05185350784451871,0.04682967200700875,-0.00011371568541452953,-0.11371568541452953
LYV,25,0.6232074742561399,0.0023430705970112,0.04394826578551835,0.053314290225833644,0.00012491914582867244,0.12491914582867243
DLR,25,0.44807276409251673,-0.005367995457990696,-0.1490450841042455,0.03601591753429586,-0.00019333328173946765,-0.19333328173946765
KEYS,25,0.7313317601113506,0.010932877125717217,0.25513405399696487,0.04285150082649209,0.0004684901931886078,0.4684901931886078
