Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
AMZN,25,0.862622646794566,0.005404315038825484,0.11864931550689961,0.04554864067893604,0.00024615920381923224,0.24615920381923223
KDP,25,0.9224478980071245,0.003795696998385345,0.1447335528129247,0.0262254116244315,9.954371618427479e-05,0.09954371618427478
CNC,25,0.8461133398397976,0.0020182917000510616,0.04217515935663076,0.04785498693637411,9.658532293973585e-05,0.09658532293973585
TPR,25,-0.00280156244348396,0.04465259050684986,0.6117969546099014,0.07298596400389339,0.0032590123634135353,3.2590123634135355
MGM,25,-0.2571002524102813,0.038238568443204606,0.3997123294333894,0.09566522127903718,0.003658101111512777,3.658101111512777
ALK,25,0.3024268686673688,0.0208877522963908,0.25197239912176345,0.08289698542060148,0.0017315316975830431,1.731531697583043
MA,25,0.16403699339853076,0.009570414351421393,0.1924235442389197,0.04973619205110596,0.0004759959661909551,0.4759959661909551
LPX,25,0.7585590841649652,0.01979551845849034,0.28680911192970493,0.06901983805640768,0.0013662834782476325,1.3662834782476325
FOX,25,0.020419279218305462,0.01204639564284487,0.1697140311858285,0.07098055215985448,0.000855059814265194,0.8550598142651941
APA,25,-0.31837832747600603,0.015238268217599838,0.12724048526354115,0.11975958898646337,0.0018249287386052444,1.8249287386052444
TRMB,25,0.3463024441426464,0.023652351804200382,0.5357987339451775,0.04414409797134845,0.001044111735297422,1.044111735297422
AMD,25,0.8531157169960659,0.009298767434627712,0.13333060780693284,0.0697421813908824,0.000648516325137436,0.648516325137436
JBL,25,1.0123390928256804,0.019367096151194266,0.39868104595475273,0.048577920489835086,0.0009408132569517062,0.9408132569517063
NEM,25,0.8114179735983288,-0.006779248795877034,-0.11775841245911808,0.057569125248105486,-0.0003902754230179133,-0.3902754230179133
CF,25,0.1168476834681266,0.019085277667273366,0.23338258989919558,0.08177678410166254,0.001560732631316896,1.5607326313168959
TDY,25,0.9302045179780639,0.012058359493724885,0.25569487363485954,0.04715917578756236,0.0005686622950741933,0.5686622950741933
TSN,25,0.46481958636772797,0.005804615978433838,0.12314712885121022,0.04713561763544757,0.0002736041592800668,0.27360415928006676
BEN,25,1.1854678749312175,0.012547999091101608,0.18928219825725684,0.06629254735327723,0.000831838823935733,0.831838823935733
CLF,25,2.450449408345164,0.04595503776319072,0.4152451634840772,0.11066965206195085,0.00508582803974613,5.085828039746129
DUK,25,0.915507152584158,0.006975913266328279,0.34833720587985223,0.02002632262237987,0.00013970188965722985,0.13970188965722985
BF.B,25,0.4380395962746983,0.0007313207773152744,0.016350171377009476,0.04472863069457541,3.271097696780473e-05,0.03271097696780473
LVS,25,-0.23243740293159412,0.0018100958339509227,0.02473677851471829,0.07317427501216145,0.00013245245035189255,0.13245245035189254
ADP,25,0.6964968438261896,0.012116097054178324,0.30380884813383385,0.03988065893604567,0.00048319793425371344,0.48319793425371343
AVGO,25,0.4779140641871691,0.017694375206012768,0.46621391045957744,0.03795334032090606,0.0006715606439596049,0.6715606439596049
URI,25,0.9407196273203388,0.025876645596716836,0.37082679054149453,0.06978094964209795,0.0018056969032909133,1.8056969032909134
BK,25,0.6324819543787755,0.012247262665564808,0.26078660658859676,0.046962774759692495,0.0005751654379857112,0.5751654379857112
ETSY,25,1.145553883583517,0.023996321497191685,0.2023998318997669,0.11855899914519306,0.0028449798598733267,2.8449798598733267
LIN,25,0.5902618673799219,0.0066846798468150875,0.23893416983366025,0.02797707775103405,0.00018701780781511608,0.1870178078151161
MMM,25,0.5013341083740842,0.010040061399014193,0.3939880075625103,0.025483164985475433,0.000255852541095382,0.25585254109538197
EFX,25,0.7208287482816311,0.015923843440462264,0.2529369185965562,0.06295578964437923,0.0010024981379677703,1.0024981379677704
FOSL,25,-0.44581690051223094,0.05202614952350646,0.27604179415313757,0.1884720017963813,0.009805472546453111,9.80547254645311
KMI,25,0.789310006108686,0.009570134985082364,0.1703702215016791,0.056172580517470566,0.000537579178012601,0.537579178012601
WMT,25,0.812294164883385,0.0010003434160246465,0.03166694758054383,0.031589511855549264,3.160036020013122e-05,0.03160036020013122
TGNA,25,0.8806054127090992,0.01376455227603687,0.26518075765491805,0.05190630118776868,0.0007144669961547566,0.7144669961547566
LDOS,25,0.7499643083807688,0.004607234572656643,0.09676727036805985,0.047611496688216605,0.00021935733359787878,0.2193573335978788
AOS,25,0.19262935658098748,0.011670098410808558,0.3385870196164282,0.03446705790443222,0.00040223395767576095,0.402233957675761
CI,25,0.6963439783961224,0.008413497772715613,0.15312383277384686,0.054945710411662414,0.0004622856121687988,0.46228561216879877
LNT,25,0.9996451622433227,0.0012780445454239732,0.055281910126906156,0.023118675575610013,2.954669721683481e-05,0.02954669721683481
RTX,25,0.29213889319382647,0.013777250438012052,0.26564446110250556,0.051863495970637816,0.0007145363725783061,0.714536372578306
PANW,25,0.5755726802072403,0.017554426441649243,0.24657465441338655,0.07119315033985185,0.0012497549207902052,1.2497549207902052
AMP,25,0.8055614471292416,0.017645194667466176,0.41222931407775026,0.04280431804550932,0.0007552905245211473,0.7552905245211473
URBN,25,0.659778940146998,0.03244845380215234,0.319399125391437,0.10159218113820882,0.003296509196323061,3.2965091963230613
UNP,25,0.41321039245462515,0.008661723732294454,0.2639540402214343,0.03281527240510517,0.0002842368237730068,0.2842368237730068
APH,25,0.8634812579607953,0.009611237169078454,0.3404909036398299,0.02822758865606932,0.00027130204928467076,0.2713020492846708
MO,25,0.8014146434396249,0.004743889901228064,0.10710413792823291,0.044292312071143265,0.0002101178519363384,0.21011785193633842
NFLX,25,0.5587421128257168,0.0002995538496975052,0.005791358408702756,0.051724280998972784,1.549420749607782e-05,0.015494207496077819
TMO,25,0.5738320478757929,0.00856510768527012,0.17506189426040003,0.04892616820728413,0.00041905789932302796,0.41905789932302795
HES,25,0.2593200194949008,0.01797930399398538,0.19294932947390836,0.0931814795262952,0.001675338147012586,1.675338147012586
WY,25,0.8243931608598017,0.007386236038494833,0.15280130283327645,0.048338828933638445,0.000357042000328277,0.35704200032827704
GP,25,0.05826137722717752,0.04921958784731092,0.17724617205156734,0.27769055476691,0.01366781465471843,13.66781465471843
ANF,25,1.094228536173514,0.05113396622877483,0.4669815811815825,0.10949889308137775,0.005599112700911396,5.5991127009113955
LEN,25,0.9634159831500714,0.011682264167650804,0.21495924652617016,0.05434641382699744,0.0006348891628914544,0.6348891628914544
SHW,25,0.45256161131029177,0.010825722101326554,0.3621865921228319,0.02988990298584858,0.0003235797833604075,0.32357978336040755
CZR,25,-0.784421275612474,0.04771220640169399,0.5225571830085153,0.09130523501179488,0.004356374218437934,4.356374218437934
DG,25,0.6643544331932381,0.005635490337792801,0.16640175093400725,0.033866773072765095,0.00019085587242378908,0.19085587242378907
DLTR,25,0.8044426210418077,-0.0007577578820346098,-0.01402654467832745,0.054023132525676754,-4.093645448353186e-05,-0.04093645448353186
CBRE,25,0.23139426817003464,0.029473001761841675,0.5564532584686287,0.05296581754764454,0.0015610616338991123,1.5610616338991123
ANSS,25,1.20994647338264,0.003714727306232759,0.06479474367282549,0.05733068912178893,0.00021296787636585073,0.21296787636585074
SLB,25,-0.013148692883383781,0.018112639325986717,0.20175778631688054,0.08977417752561492,0.0016260472983085658,1.6260472983085659
HCA,25,0.9835416159889361,0.024263332704416163,0.5322629205590695,0.0455852394882793,0.0011060498321146103,1.1060498321146104
DOV,25,0.4284601706886461,0.016806790020555407,0.496877490634404,0.03382481665469854,0.0005684865909993037,0.5684865909993038
