Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.8555491266328423,-0.016467398702517108,-0.33752203870059905,0.048789106530387524,-0.0008034296695754725,-0.8034296695754725
SRE,25,0.7181197157327752,0.008593382912063055,0.21334012967323668,0.04028019916002276,0.00034614317515623623,0.3461431751562362
NTRS,25,0.801672289538531,-0.014462518463757316,-0.2522830908712572,0.05732654699056979,-0.000829086244314567,-0.829086244314567
DLTR,25,1.4306038499759246,-0.007165791133708738,-0.10380653792178077,0.06903024874125203,-0.0004946563443877726,-0.4946563443877726
PAYC,25,1.183156301551018,-0.020271080260929837,-0.25072256564532397,0.08085064146003365,-0.0016389298421840036,-1.6389298421840037
CRL,25,0.8792682233897232,-0.023251937599183956,-0.3274240087873758,0.0710147606013932,-0.001651230782124582,-1.651230782124582
EMR,25,1.078757091717663,-0.00407058385600688,-0.11604369772912786,0.03507802608555736,-0.000142788046684458,-0.142788046684458
L,25,0.7411407775758677,-0.002393022532660176,-0.07308728602175191,0.03274198103276096,-7.835229837532907e-05,-0.07835229837532906
EBAY,25,1.052927953583947,-0.024779575504413127,-0.48436675615321056,0.05115870399779268,-0.0012676909684212255,-1.2676909684212254
NRG,25,0.6137869155764256,0.00311771650853612,0.04079346834347075,0.07642685545356748,0.00023827726894309111,0.23827726894309112
GD,25,0.9747559827288956,0.0052787263466043685,0.23982067296558865,0.02201113974591257,0.00011619078329553927,0.11619078329553927
UNH,25,0.5203922058733773,0.003605025069071708,0.09478173582123799,0.038035018432991397,0.0001371171949535385,0.1371171949535385
NWS,25,0.8594117373989952,-0.010789692255302862,-0.17318860655803062,0.062300242895525236,-0.0006722004482733358,-0.6722004482733358
AOS,25,1.0277242325034874,-0.017041932817357823,-0.3444667293202785,0.04947337831722077,-0.0008431219895298035,-0.8431219895298036
SPG,25,0.9952763620566252,-0.01610766200917741,-0.3732443869445787,0.04315580507730224,-0.0006951391219191269,-0.695139121919127
JPM,25,1.044499775038756,-0.011677339872341942,-0.2473378439473399,0.04721210343706293,-0.000551311777922747,-0.551311777922747
LUV,25,0.9822135230050782,-0.010963969030726075,-0.17425339429639802,0.0629196870166948,-0.0006898494998740193,-0.6898494998740193
PAYX,25,1.005374410081091,-0.006195894959783507,-0.13511716884769842,0.045855719244438924,-0.00028411721974386673,-0.2841172197438667
ON,25,1.3282162562616526,-0.0033708910163055914,-0.03682984201091792,0.09152607864313718,-0.0003085244362558302,-0.3085244362558302
LKQ,25,0.7590716791809836,-0.007148507239201002,-0.12616177459508093,0.05666143538440465,-0.00040504468102893644,-0.4050446810289364
