Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.39951015588135347,0.00490793658660307,0.17024479696164715,0.028828702399103172,0.00014148944324885015,0.14148944324885016
SRE,25,0.12725365383032677,0.00023189657442665359,0.0067801300147978414,0.03420237870373167,7.931414458638503e-06,0.007931414458638503
NTRS,25,0.16749017973752597,0.0007616317967838822,0.02385091824697216,0.03193301779400339,2.4321201719178484e-05,0.024321201719178485
DLTR,25,0.07131006319975222,-0.005887678301222118,-0.11423842863032703,0.05153850916730054,-0.0003034421621016526,-0.3034421621016526
PAYC,25,0.6188929890927555,0.021455006183563833,0.3683421014918942,0.05824749898712291,0.0012497004509458502,1.2497004509458502
CRL,25,0.30932524548272694,0.010667865028328364,0.25297461651076125,0.04216970530667675,0.0004498607244960099,0.4498607244960099
EMR,25,0.5112591795332468,0.004258950127490673,0.13168089405137887,0.032342961810609576,0.0001377470613267216,0.1377470613267216
L,25,0.16886628893000513,-0.0013226682018673667,-0.050163540509855574,0.026367122185235382,-3.487495408916244e-05,-0.034874954089162434
EBAY,25,0.5787231978129713,-0.005276663971681305,-0.12435259717909462,0.04243308215012002,-0.00022390511578893139,-0.22390511578893138
NRG,25,0.004666637963056636,0.013277450243555708,0.2547011383775026,0.05212952846671881,0.0006921472204368798,0.6921472204368798
GD,25,0.9462497056828395,-0.0006684469341278463,-0.040148126198426344,0.016649517609468083,-1.1129319000756528e-05,-0.011129319000756529
UNH,25,0.043505679746163164,0.00933565985504915,0.2841571469189186,0.032853862576657226,0.00030671248594020046,0.30671248594020045
NWS,25,0.07623263486835956,-0.006825910063873113,-0.18525134355849057,0.03684675065105763,-0.00025151260609007745,-0.2515126060900775
AOS,25,0.5320075076760795,-0.009564424441424045,-0.2261643046167496,0.04228971701627096,-0.0004044768030513283,-0.4044768030513283
SPG,25,-0.4123953630527043,0.0057756370167906645,0.26866285124556827,0.02149771354697456,0.00012416299013826842,0.12416299013826843
JPM,25,0.3354436013949119,0.0038869231823529067,0.1460779652748397,0.026608552323684274,0.00010342539887577871,0.10342539887577872
LUV,25,0.636415334326816,-0.002400549056903282,-0.04607084453966631,0.052105601294902354,-0.00012508205204785628,-0.12508205204785627
PAYX,25,0.2091905291493183,0.003745151433388347,0.11458778833483116,0.032683687221930054,0.00012240535804762772,0.12240535804762773
ON,25,0.3548843726586882,-0.001757975778427879,-0.029370981001818463,0.05985417301243824,-0.00010522218639369806,-0.10522218639369806
LKQ,25,0.5224938935543628,-0.012306542902310497,-0.27325930588333475,0.045036134679946264,-0.0005542391235929924,-0.5542391235929924
ALLE,25,0.42107588835481335,0.004908651246725959,0.13345562928401597,0.03678114795951788,0.0001805458277874994,0.18054582778749942
BBY,25,0.05744193469535213,0.003520077955615004,0.06807789237548031,0.05170662358640871,0.00018201134584580015,0.18201134584580014
EW,25,0.40340513511565895,0.014643256246002049,0.3607738541088978,0.040588463047496935,0.0005943472650358828,0.5943472650358829
