Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.17901023672066754,0.014663535016280038,0.4152500935912863,0.035312538738914184,0.0005178066483118135,0.5178066483118136
SRE,25,0.504051714306757,0.010111887569219182,0.44534087905934633,0.02270594963250986,0.00022960000983629332,0.2296000098362933
NTRS,25,-0.028691790173061473,0.005262031690823422,0.10185596640139072,0.05166149688361875,0.0002718444337969773,0.2718444337969773
DLTR,25,0.17625724145223626,0.0002927657821596803,0.004523176602770891,0.06472570228196096,1.8949470854412905e-05,0.018949470854412905
PAYC,25,0.4565853606651043,0.02708109002234862,0.4039438436884999,0.06704171989617479,0.00181556285176139,1.8155628517613902
CRL,25,0.3369911443363356,0.0015074909021992574,0.031258173893378385,0.04822709437030161,7.270190600273469e-05,0.07270190600273468
EMR,25,0.12633872942028107,0.004152147240225031,0.08776552919415975,0.0473095448560382,0.0001964361961103013,0.1964361961103013
L,25,-0.08812740137176381,0.0030913384382711333,0.10217412855627318,0.030255588982768325,9.353026519496434e-05,0.09353026519496434
EBAY,25,0.42535341580610125,0.005454447252694988,0.12497618785709515,0.043643892058316834,0.00023805330713440285,0.23805330713440284
NRG,25,0.4971314176696303,-0.0018899033482966355,-0.05140696133690074,0.036763568574126805,-6.947959134357521e-05,-0.06947959134357522
GD,25,0.30308298125179334,-0.0009858353202268364,-0.026135125579263913,0.03772070339730895,-3.718640171286759e-05,-0.037186401712867585
UNH,25,0.3563789303781601,-0.0018689439898419466,-0.038595807427050315,0.048423497639592736,-9.050080488064253e-05,-0.09050080488064252
NWS,25,0.7432863655731473,-0.005141842321235724,-0.1263850402681375,0.04068394732736432,-0.0002091904421627669,-0.2091904421627669
AOS,25,-0.013953734217250033,0.0021291501740421004,0.036274233369860624,0.05869593858353349,0.00012497246785069476,0.12497246785069475
SPG,25,0.4382799998601248,-0.008587602784395715,-0.30722443678238515,0.027952212637559593,-0.00024004249907632783,-0.24004249907632783
JPM,25,0.08362722244597298,0.007929376578874995,0.18375290353479515,0.04315238794239516,0.00034217153427295596,0.34217153427295594
LUV,25,0.6725649824105256,-0.000316043485247127,-0.006667984331887043,0.04739715474971527,-1.4979561977897433e-05,-0.014979561977897434
PAYX,25,0.2593444674557307,0.007979132681337268,0.3328545870074148,0.023971827316772176,0.00019127439077463033,0.19127439077463032
ON,25,0.5140475019590017,0.00287899967315679,0.03581275351774397,0.0803903467442219,0.00023144378200157584,0.23144378200157584
LKQ,25,0.3803302224200216,0.007292694445358747,0.12641674756444865,0.0576877240228068,0.0004206989445465115,0.42069894454651147
ALLE,25,0.5347667956515795,0.007977745236924379,0.18289209855448818,0.04361995570053349,0.0003479888938247834,0.34798889382478343
BBY,25,0.06496645604769355,0.009995702170821385,0.16244193734866835,0.061533999987739785,0.0006150755372567737,0.6150755372567737
EW,25,0.4860209933799725,0.01343093114546301,0.3334893993365435,0.04027393725912433,0.0005409164782839961,0.540916478283996
MTB,25,0.22385778138338278,-0.001033234015563556,-0.02058129216092914,0.050202582397863925,-5.1871015802605235e-05,-0.05187101580260524
LNT,25,0.42772938656876913,0.005466037238876771,0.339186375338746,0.016115143874566983,8.808597652824002e-05,0.08808597652824002
MPC,25,0.36357321666737824,-0.003370229014128003,-0.05417972374662534,0.062204617909996686,-0.00020964380809301725,-0.20964380809301725
RSG,25,0.23941371462524738,0.005066796028123238,0.26423052282130516,0.01917566515034991,9.715918402041412e-05,0.09715918402041412
PM,25,0.8501759563250755,-0.004615200932199238,-0.07479709833216272,0.06170294082403867,-0.00028477147001053767,-0.28477147001053765
SJM,25,0.5822223003835937,-0.0016093379755734002,-0.0395691396514037,0.0406715432721396,-6.54542591130311e-05,-0.0654542591130311
CBOE,25,-0.09649487347852426,0.004671569957607736,0.1667483613954158,0.028015687341777774,0.00013087724332758036,0.13087724332758036
TTWO,25,-0.01297826831125628,0.003317027509730496,0.07270868499562672,0.04562078807958098,0.0001513254090755552,0.1513254090755552
CTLT,25,0.5522588132868843,0.007563578693624513,0.12498071151748519,0.06051796794712875,0.0004577324129463542,0.45773241294635425
FISV,25,0.2552887465463019,0.014205085708054963,0.41029417573943566,0.034621709368538894,0.0004918043489394644,0.49180434893946445
WST,25,0.3215655403529381,0.010331626981738317,0.2649292270930094,0.038997686646747985,0.00040290955158491757,0.4029095515849176
KO,25,0.43125274980776385,0.0021240268432813096,0.07839730035541755,0.027093112054266438,5.7546497271290335e-05,0.05754649727129033
