Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.27990774774706845,0.004326985769242651,0.14094400430513077,0.030700034319126664,0.00013283861161412206,0.13283861161412205
SRE,25,0.05991904570364822,-1.9407155854196504e-05,-0.0005630893177166292,0.03446550173051413,-6.688773636771671e-07,-0.0006688773636771671
NTRS,25,0.4052398188066854,0.0011704640356434513,0.041233941813170465,0.028385936055950762,3.322471727156508e-05,0.03322471727156508
DLTR,25,-0.04791186003919987,-0.006213165236002911,-0.12046632913162114,0.051575948904481236,-0.00032044989274718525,-0.32044989274718527
PAYC,25,0.8689065959196742,0.021541453380127324,0.4085564967065417,0.05272576388768121,0.0011357895847180855,1.1357895847180854
CRL,25,0.549067820691915,0.010971184702241938,0.288117090642985,0.03807890978545483,0.00041777075251623285,0.41777075251623286
EMR,25,0.7933999582019545,0.0045016975817979985,0.21208334701549497,0.021226077601788795,9.555338221102928e-05,0.09555338221102927
L,25,0.4544439335610542,-0.0008065207366316873,-0.03952944173011661,0.02040303888271756,-1.6455473949214324e-05,-0.016455473949214323
EBAY,25,0.48449686601264097,-0.005939134981754241,-0.13536019281396192,0.04387652572212974,-0.0002605886087941405,-0.2605886087941405
NRG,25,0.5045416306256503,0.01440659369442341,0.298947811468231,0.04819099903648028,0.0006942681428469214,0.6942681428469214
GD,25,0.7451180549471296,-0.0018582846085271813,-0.06913026877634831,0.02688091108887689,-4.9952383339647554e-05,-0.049952383339647556
UNH,25,0.34663718777327257,0.009988834683609105,0.3337735953703154,0.02992697691537488,0.00029893562498786567,0.2989356249878657
NWS,25,0.31151554863479364,-0.006351874491319587,-0.18218749766944461,0.03486449165048763,-0.00022145487516755713,-0.22145487516755713
AOS,25,0.8236801467862522,-0.009316172441417005,-0.2748990479133928,0.03388943145540494,-0.0003157197873801341,-0.31571978738013406
SPG,25,-0.03237586124250667,0.006956713102088888,0.261299345984693,0.026623538133526036,0.00018521231655746373,0.18521231655746373
JPM,25,0.4522579667527201,0.00389141465689369,0.16521212604959812,0.023554049874798255,9.165857491199492e-05,0.09165857491199492
LUV,25,0.9330649739310811,-0.002222013220615096,-0.05025582486742058,0.04421404337660298,-9.824418891966115e-05,-0.09824418891966115
PAYX,25,0.4944533579339579,0.0042293039122222684,0.15416462081712315,0.027433686729196154,0.00011602539861046942,0.11602539861046943
ON,25,0.7787027173159785,-0.0010728657068664628,-0.02018487384166657,0.05315196494574084,-5.7024920442853705e-05,-0.057024920442853705
LKQ,25,0.6342497914771538,-0.012458618907723195,-0.29345865244724767,0.042454426897372756,-0.0005289235256601604,-0.5289235256601604
ALLE,25,0.6195887556939779,0.005031849823763018,0.1578782794577156,0.031871704208118724,0.00016037362920264924,0.16037362920264925
BBY,25,-0.008455740814612206,0.003326186985408256,0.06427152221460716,0.051752111523076766,0.00017213719981545457,0.17213719981545456
EW,25,0.29839356588209215,0.014092348102189746,0.3371806708268663,0.04179464993539267,0.0005889847556987157,0.5889847556987157
MTB,25,0.11943485568955385,0.0006585119675365304,0.027334510921965142,0.024090863356452854,1.586412182851147e-05,0.01586412182851147
LNT,25,-0.34049531402904754,0.0003698305647825488,0.011676287338652936,0.031673643689657194,1.1713881534467132e-05,0.011713881534467133
MPC,25,0.6931307617609138,0.003886213380049937,0.07114618468851827,0.054622934414037566,0.00021227637857742298,0.21227637857742299
RSG,25,0.29268057195809205,0.008642152402636473,0.38737019838665654,0.022309801937861626,0.0001928047084196347,0.1928047084196347
PM,25,0.15024408104255385,-0.004756802684196599,-0.09389722711978518,0.0506596715377795,-0.00024097806155142754,-0.24097806155142754
SJM,25,-0.00015006767524872446,-0.003312218923328996,-0.0889977638667896,0.037216878036246744,-0.00012327044769888375,-0.12327044769888375
CBOE,25,-0.07728183176465443,-0.0054383879501118775,-0.092116216817258,0.05903833372684704,-0.0003210733627347686,-0.3210733627347686
TTWO,25,0.38330766991710097,0.0012817829674532672,0.018486035373052892,0.06933790515849186,8.88761458310449e-05,0.0888761458310449
CTLT,25,0.5378481446265787,0.0020553661313063546,0.043042970944045716,0.047751493129464855,9.814680169761014e-05,0.09814680169761014
FISV,25,0.22203900216565703,0.007895074919025618,0.3703418822715733,0.02131834204276179,0.00016830990757701796,0.16830990757701797
WST,25,0.8407044125354667,0.005856621575903694,0.14732865270821577,0.03975208805786561,0.00023281293660691932,0.23281293660691932
KO,25,0.19075886390556968,0.004329739228223129,0.1742382702910602,0.024849530593883992,0.0001075919874152703,0.10759198741527029
WFC,25,0.31669866924536777,0.00029997728303913596,0.007688182362738408,0.03901797185418074,1.1704505186514615e-05,0.011704505186514615
BK,25,0.38096183970060854,-0.0012083067938469204,-0.041982820962943944,0.028780981509399527,-3.477625549139004e-05,-0.03477625549139004
PCAR,25,0.9273419889585188,-0.0016450773826483423,-0.06601277111461391,0.024920592710645274,-4.0996303430473684e-05,-0.04099630343047368
AMZN,25,0.649280358751719,0.016050936633986778,0.3349395907163511,0.04792188525595879,0.0007691911436245798,0.7691911436245799
PTC,25,0.8100169061626233,0.0152186760405398,0.3472351785376224,0.04382815158485124,0.0006670064404255219,0.6670064404255219
V,25,0.47988352154447944,0.010477806995915776,0.562219929224099,0.018636491613479175,0.0001952695622070378,0.19526956220703778
COO,25,0.29106308868717806,0.0067830759090109025,0.18359947361599607,0.03694496381399172,0.0002506004940059668,0.2506004940059668
DD,25,0.8762188149159177,-0.005714693338558561,-0.2053683714303923,0.027826550401873852,-0.00015902020221665255,-0.15902020221665256
TGT,25,0.291860141628279,0.009129743142033499,0.1774169436764141,0.051459251595974885,0.00046980974935252807,0.46980974935252806
WBA,25,-0.12895121273197355,0.007531496313386828,0.1980627303734589,0.0380258128280154,0.00028639126912773555,0.28639126912773555
BRK.B,25,0.6197136781162114,0.005899424077423861,0.2590151069723347,0.022776370638697828,0.00013436746934226385,0.13436746934226385
T,25,0.5498574923631334,-0.0028023674449714443,-0.10223302174247918,0.027411568172468714,-7.681728626214171e-05,-0.07681728626214171
USB,25,0.33366518426136316,0.0011130575258985302,0.06474015419644616,0.017192691919161823,1.913645513107791e-05,0.01913645513107791
DFS,25,0.5609869322048734,0.002115000308857827,0.08676604472692802,0.02437589860773534,5.1555033084047326e-05,0.051555033084047325
ISRG,25,0.5905742367488397,0.012243583101748444,0.2764395186720095,0.04429027788995406,0.0005422716979451842,0.5422716979451842
HAS,25,0.3631604417043102,0.004010753577918766,0.1075494556459371,0.03729217924749469,0.0001495697413452773,0.14956974134527729
AJG,25,0.15933041907745724,0.007419703947581827,0.2843864974619995,0.026090211785013695,0.000193581647374512,0.193581647374512
ANSS,25,0.6388678113166844,0.004812468270704968,0.12620842069952912,0.038131118700568005,0.0001835047988729684,0.1835047988729684
D,25,-0.24094118669330664,-0.004106059157089236,-0.1374436971453583,0.029874481277571658,-0.00012266638741306404,-0.12266638741306404
LMT,25,0.6774941103801038,0.0008111269759044178,0.025375596215894518,0.03196484405739212,2.592754729552877e-05,0.02592754729552877
MOS,25,0.6886889730783852,0.017649578351778033,0.3633523175915585,0.04857428313314843,0.0008573156160399534,0.8573156160399534
AWK,25,-0.29314590514360367,0.0007247323485612933,0.022027519864758628,0.03290122324305686,2.3844580791480007e-05,0.023844580791480007
EIX,25,-0.522439445982539,-0.015243540344687325,-0.2380706278429167,0.06402948773145291,-0.0009760360794840645,-0.9760360794840646
UAL,25,0.48512680074775294,0.01783244411037084,0.39243197641676536,0.04544085391102958,0.0008103214876959612,0.8103214876959612
IVZ,25,0.27529294536207444,-0.0207950455332554,-0.6103599493081932,0.03407013444578949,-0.0007084899971243257,-0.7084899971243257
DOV,25,0.5866336876270587,0.005051096846552187,0.2008357409965455,0.025150388180354158,0.00012703704642735028,0.12703704642735028
NTAP,25,0.45961239205386617,0.00882565443920793,0.15621103272370845,0.05649827854872406,0.0004986342828811526,0.49863428288115264
GILD,25,0.5892196721685897,-0.000600523062277006,-0.013354748292524246,0.044967007174007784,-2.7003724849567252e-05,-0.027003724849567253
TECH,25,0.6077960609283521,0.009618604323627895,0.2536670699567842,0.037918222200723814,0.0003647203760041653,0.36472037600416535
BIIB,25,0.8383931475905202,0.0027990396336781687,0.05237161727915578,0.05344573605123712,0.00014959673345851484,0.14959673345851485
ROL,25,0.3050320847785915,0.013581468416979327,0.5122920273698635,0.02651118442484331,0.00036006081396272366,0.36006081396272366
TROW,25,0.5871173352071429,0.0003113305797729272,0.00825392713851196,0.03771908505471187,1.1743104618587801e-05,0.011743104618587802
LYV,25,0.31911193045798836,0.009673926796233343,0.20309265064551432,0.04763307173098343,0.00046079884900526556,0.4607988490052656
MMM,25,0.8596046180661219,-0.003588018119801293,-0.14666830338252224,0.02446348690925718,-8.777543430393649e-05,-0.08777543430393649
ITW,25,0.9001233164529266,-0.004798309122992901,-0.21986830841439223,0.021823559555246987,-0.00010471618491012052,-0.10471618491012052
GPC,25,0.4039413483188597,0.006295848873751163,0.22324530400621853,0.028201484021253102,0.00017755228141331776,0.17755228141331778
ADM,25,0.2240383169342869,0.0064937653608515495,0.2511742676194533,0.02585362514399788,0.0001678873754125341,0.1678873754125341
AFL,25,0.3783128802198496,0.0032027741980578217,0.1570450502587846,0.02039398371855829,6.53173248494098e-05,0.06531732484940979
COF,25,0.47995313353021557,8.366746561663829e-05,0.0039997588528669185,0.02091812749077803,1.750166712599127e-06,0.001750166712599127
ABMD,25,0.6052024782507051,0.02273779025045808,0.29801737576871046,0.0762968608518476,0.001734822018817697,1.734822018817697
BLK,25,0.6904210125462134,-0.004606591365845482,-0.12298354918095303,0.03745697206272303,-0.00017254896409485534,-0.17254896409485534
DXC,25,0.6796350484363552,-0.00945448540643235,-0.1626344412313423,0.058133353149863544,-0.0005496209389823629,-0.5496209389823629
WELL,25,0.07100970634695329,0.004465835593166521,0.1107659338468131,0.04031777134062423,0.00018005253829010877,0.18005253829010875
APD,25,0.6783946795718008,0.001988031015828596,0.1062548369005636,0.018710028397945347,3.719611676214917e-05,0.03719611676214917
AMCR,25,0.351230008338574,-0.0029887189248014524,-0.09989268837415174,0.029919296131135198,-8.942036656386265e-05,-0.08942036656386265
ATO,25,-0.23699187499914795,0.0008785092041211881,0.031304623768639094,0.02806324109224008,2.4653815597004856e-05,0.024653815597004854
PWR,25,0.8619074331897679,-0.0014038640877558754,-0.048058911291132565,0.029211316903362827,-4.1008718756687236e-05,-0.04100871875668723
AIG,25,0.6582944416089312,-0.010426956653704427,-0.2569790758945052,0.0405751192676282,-0.00042307500982244654,-0.42307500982244656
STZ,25,0.055522027483906215,-0.0036810028700636818,-0.08526820844631719,0.043169698732220374,-0.00015890778493308767,-0.15890778493308766
WMT,25,-0.029911702722997792,0.0008363389072345167,0.02142900320079948,0.03902836260733371,3.264093813416995e-05,0.03264093813416995
MHK,25,0.7577052795243691,-0.030470276993274405,-0.5398657613390028,0.05644046941910237,-0.0017197567368304825,-1.7197567368304825
LOW,25,0.9106199408880763,0.006848129521632509,0.16664383520925585,0.04109440660095985,0.00028141981901800303,0.28141981901800306
XOM,25,0.5887114314924095,0.0007954121759642408,0.0253272513052723,0.03140538885870581,2.4980228689106312e-05,0.024980228689106314
AZO,25,0.5794755791798399,0.009179219671254924,0.21185269428083542,0.0433283121671646,0.00039772009536711135,0.39772009536711134
WEC,25,-0.2038285596807045,0.0019684123614298835,0.06127046009581085,0.032126613026110876,6.323842221147096e-05,0.06323842221147097
NOW,25,0.5483007090398074,0.016383621205682458,0.37523288681045835,0.043662540735557455,0.0007153505282890533,0.7153505282890532
ADI,25,0.6884204945517827,0.004247508313221966,0.12970632368704707,0.03274711820119328,0.00013909365679363084,0.13909365679363084
MNST,25,0.44355778465433726,-0.001703745403450924,-0.02890719015547943,0.05893846459262229,-0.00010041613813613526,-0.10041613813613526
IEX,25,0.9097780820719816,0.0026578831981199217,0.10774401791708442,0.024668498998852303,6.556598901188765e-05,0.06556598901188765
CDW,25,0.3732154686395287,0.012897878463264335,0.36797091851136376,0.035051352741252075,0.0004520880876296764,0.45208808762967645
NKE,25,0.45478114015872073,0.010015996931667074,0.28969982031798086,0.03457370778025785,0.00034629015104341667,0.34629015104341665
