Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.16065418595247719,0.0029992078667501003,0.09260437568424346,0.03238732343465723,9.713631522820384e-05,0.09713631522820383
SRE,25,0.18131996343913104,-0.0009378760369172064,-0.027370914010846036,0.03426542630419877,-3.213672222546054e-05,-0.03213672222546054
NTRS,25,0.3317085642939195,-0.0011797023179966814,-0.03738032189154762,0.031559447813728804,-3.723075374055117e-05,-0.03723075374055117
DLTR,25,0.45107979035538875,-0.008051725858622679,-0.159634462225209,0.0504385190164231,-0.00040611712783516563,-0.4061171278351656
PAYC,25,1.5143611483146617,0.01303553028710721,0.25545092364803307,0.05102948973896803,0.0006651964590279443,0.6651964590279443
CRL,25,0.19596274233981908,0.008881051738278325,0.20399236309608257,0.04353619715702423,0.0003866472194394179,0.38664721943941793
EMR,25,0.9998520715534355,-0.001612187810489584,-0.05562371399748579,0.028983821730466534,-4.6727364095261266e-05,-0.046727364095261265
L,25,0.6175788125123095,-0.004502177240983779,-0.19883916328002874,0.022642306307853865,-0.00010193967614260314,-0.10193967614260314
EBAY,25,0.6528672956249745,-0.009855220700150638,-0.21825230652412056,0.04515517318971138,-0.0004450141975381307,-0.4450141975381307
NRG,25,0.7782871147131813,0.009903696810915352,0.2038003785482241,0.04859508545305227,0.0004812709928275528,0.4812709928275528
GD,25,0.296848272651757,-0.00482816879441725,-0.1233295745674708,0.03914850765803841,-0.00018901560302254578,-0.18901560302254578
UNH,25,0.548831876779322,0.006834231756636229,0.22716623253414037,0.03008471673099181,0.0002056059264723495,0.20560592647234952
NWS,25,0.28792316014916464,-0.008300648555914687,-0.22868967263470338,0.036296560576103046,-0.00030128499313069966,-0.3012849931306997
AOS,25,0.8969603190820514,-0.01505453250155539,-0.3620791399733481,0.041578016625491106,-0.0006259376026386662,-0.6259376026386662
SPG,25,0.5619367879633308,0.004604420552045681,0.20098507907143429,0.02290926556995395,0.0001054838932225685,0.1054838932225685
JPM,25,0.5164078083249601,0.0006374270457636835,0.023829409588719996,0.02674959458774921,1.7050915053445195e-05,0.017050915053445196
LUV,25,1.3755597187496273,-0.010274174234598196,-0.21933957031921236,0.04684140768419414,-0.00048125678394125734,-0.4812567839412573
PAYX,25,0.7390898255138676,-8.153277528074633e-05,-0.0028629452299838254,0.02847863606570181,-2.3219422346470233e-06,-0.002321942234647023
ON,25,0.8705903105399578,-0.006595473777519504,-0.11445073015284571,0.05762718829937944,-0.00038007860930073584,-0.38007860930073584
LKQ,25,0.5884757864292854,-0.016436106069614174,-0.3485810754240591,0.04715145837914227,-0.0007749863712565805,-0.7749863712565804
ALLE,25,0.7631315793229047,0.00033366583162156146,0.009365110924972516,0.035628604326706434,1.1888047892186065e-05,0.011888047892186065
BBY,25,0.4930376743664638,0.001217099474964809,0.024170930131890093,0.05035385350599396,6.128564866460015e-05,0.06128564866460015
EW,25,-0.17860146509512634,0.014187112325823266,0.32840407618694895,0.043200171235837644,0.0006128856818176279,0.6128856818176279
MTB,25,0.3500229217391347,-0.0011230493940658716,-0.048759173247664,0.02303257662638231,-2.586672122403441e-05,-0.025866721224034408
LNT,25,-0.03531382314886233,0.0012938607054672818,0.03762667909410288,0.03438678981558234,4.4491716129544504e-05,0.0444917161295445
