Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FMC,25,-0.3834927380693486,0.0191996057594554,0.45244565396813474,0.04243516451327789,0.0008147384289925676,0.8147384289925675
DLR,25,-0.2726920283528513,0.0030497927131224204,0.0842356185237964,0.03620550031648263,0.00011041927104016022,0.11041927104016022
O,25,-0.523663126502052,0.0006091448886995721,0.019890840298659767,0.030624391908702617,1.8654691800718732e-05,0.018654691800718732
XYL,25,0.5117499034288177,0.01323291544709761,0.5796288257465072,0.022829981635324754,0.0003021072166390437,0.3021072166390437
TSCO,25,0.6592142788451222,-0.000325187757888376,-0.006319271330809061,0.05145969224377994,-1.673406194238065e-05,-0.01673406194238065
KMB,25,0.15374710559873214,-0.0005528348482615358,-0.017558276063389753,0.03148571341888373,-1.7406399600334788e-05,-0.01740639960033479
NCLH,25,0.45003015943449143,0.006069362242261862,0.133941042028496,0.04531368541220251,0.00027502517129855404,0.275025171298554
JBHT,25,0.78040361699351,0.0038012075364164816,0.11410042261448973,0.03331457894121562,0.00012663562854389062,0.12663562854389063
GILD,25,0.8297675265797527,0.0033081100217210065,0.07240266997176435,0.045690442396821906,0.00015114901038979292,0.15114901038979292
DISH,25,0.3591940180373562,-0.012505458726101992,-0.36703767701198003,0.034071321581772694,-0.00042607750578460644,-0.42607750578460646
NEE,25,-0.2084053819616908,0.01178362412199605,0.5663602500834838,0.02080588127478773,0.0002451686844689746,0.24516868446897458
NTAP,25,1.2958714944453928,0.01247918710875367,0.22209716192064277,0.056187962965562756,0.0007011801031069794,0.7011801031069793
MMM,25,0.5013363961935697,0.012323514064069886,0.490703795074112,0.025113957111761568,0.0003094922036712416,0.30949220367124164
UHS,25,1.0445374954580637,-0.003364711054617545,-0.07835171074330052,0.04294368333119319,-0.00014449308603046093,-0.14449308603046093
LNC,25,0.6195147630208493,0.004774138725932665,0.12052477890469032,0.039611263088962,0.00018910966509612064,0.18910966509612065
ZTS,25,0.09604471745858661,0.013607492651657414,0.46393436685474126,0.02933064162482696,0.0003991164903782299,0.39911649037822994
ABC,25,1.0536049358072281,4.4662415510862696e-05,0.000974029479418204,0.045853248237969074,2.0479168253269076e-06,0.0020479168253269074
MAS,25,1.0606165660887505,0.005569444910527699,0.2318141108363179,0.024025478390572348,0.00013380857834536638,0.13380857834536639
TFX,25,0.5557294348223047,0.01755898966637843,0.486915210956468,0.036061698774796064,0.0006332069961386957,0.6332069961386957
BIO,25,0.10449221814841031,0.01185944687684963,0.2474667594969575,0.04792339343254477,0.0005683449385716292,0.5683449385716292
SEDG,25,-1.1344605781545698,0.04840902941230204,0.8358170447749377,0.05791821274156624,0.002803764464114447,2.8037644641144466
SWK,25,0.5239575106315065,0.009653795720428144,0.5037152184730929,0.019165185736677963,0.00018501678804595223,0.18501678804595223
ATO,25,-0.16989908006872434,0.005960619620568651,0.22430286177991646,0.026573979365529212,0.00015839738280275988,0.1583973828027599
FISV,25,0.36868862494435956,0.009818320173593157,0.4735371762685352,0.020734000762012712,0.00020357305796096532,0.2035730579609653
