Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FMC,25,1.1208353843665124,-0.0002446580905789359,-0.004936171457316439,0.04956434206034343,-1.2126317289284865e-05,-0.012126317289284864
DLR,25,0.663570321285449,0.0042307565268565285,0.11018975629095966,0.03839518907442791,0.00016244069677652637,0.16244069677652637
O,25,0.6458701290423552,0.014179323873960231,0.5739038554069837,0.024706793203026958,0.00035032562271267853,0.35032562271267853
XYL,25,0.49331230477245536,0.0010773794631667864,0.02072972197828851,0.05197269236390103,5.599431139835223e-05,0.05599431139835223
TSCO,25,0.9869305929336133,0.010348208534317968,0.2001188143870997,0.051710323019908154,0.0005351092059869524,0.5351092059869524
KMB,25,0.6324434016827393,0.00042318992539994377,0.012273461238260359,0.034480080002267294,1.4591622483943588e-05,0.014591622483943589
NCLH,25,0.9813818062815592,-0.004239508787189164,-0.060649952348599726,0.06990127152650673,-0.00029634705487232096,-0.29634705487232094
JBHT,25,0.3648880840704998,-0.0036286539787401297,-0.09269329805461192,0.039146886073707754,-0.0001420505039066462,-0.1420505039066462
GILD,25,1.118109137332134,-0.0031844040534051562,-0.07286098529198429,0.04370520163354811,-0.00013917502123676024,-0.13917502123676023
DISH,25,2.2344254344434864,-0.00926039850243377,-0.13461795496567697,0.06879021824982305,-0.0006370248340627536,-0.6370248340627536
NEE,25,0.46667965475035006,0.007337519044532406,0.3677269730429365,0.01995371452851152,0.00014641076036211624,0.14641076036211623
NTAP,25,1.0274893862072274,0.005226473099108804,0.09291380320979432,0.05625077134457312,0.0002939931432365318,0.2939931432365318
MMM,25,0.7830073085732826,-0.00549701929904318,-0.1448402234153182,0.0379522978453361,-0.00020862451369884743,-0.20862451369884744
UHS,25,1.1887968748251851,0.00819683629403797,0.2482751003304519,0.033015136367392686,0.00027061966802885727,0.2706196680288573
LNC,25,1.0523566079439879,-0.009504915649827996,-0.18586289764805353,0.05113939236988721,-0.00048607561085923536,-0.48607561085923534
ZTS,25,0.9280970059063632,0.00707449512085793,0.21615037306281595,0.03272950687344867,0.00023154473668429872,0.23154473668429873
ABC,25,1.1207806593886007,-0.004802597712758989,-0.09628005069594336,0.04988154532578928,-0.0002395609954905194,-0.2395609954905194
MAS,25,0.7869085596510184,-0.009156456410983588,-0.1975510704532791,0.046349819264325846,-0.000424400099750767,-0.42440009975076703
TFX,25,0.4950078511397672,0.000273273801041395,0.005439423825520402,0.050239475688447624,1.3729132483708837e-05,0.013729132483708837
BIO,25,0.6265763623670075,-0.0006005574036451779,-0.01140675677450021,0.052649268807740617,-3.1618908178993754e-05,-0.03161890817899375
SEDG,25,-0.10036566301107978,0.006141191187640843,0.054728843876201055,0.11221123547817811,0.000689110650472879,0.689110650472879
SWK,25,0.49028487823796624,-0.009210480684328648,-0.1624825840750321,0.05668595644734072,-0.0005221049069309266,-0.5221049069309266
ATO,25,0.43334404684178307,0.008249656503126914,0.35553444729743283,0.023203536438834632,0.00019142120527817445,0.19142120527817444
FISV,25,0.6202682642875541,0.0089656734743233,0.29075290781976587,0.030836057811263612,0.00027646602557114595,0.27646602557114597
CLX,25,1.0474595106507614,0.006636944291745777,0.20246358944475518,0.032780927721113795,0.00021756519111677713,0.21756519111677713
LOW,25,0.2665491346860635,-0.0028510712107091205,-0.05383334030953759,0.052961068258363296,-0.0001509957769998202,-0.15099577699982022
LYB,25,0.3496342045440661,-0.009463021731511312,-0.20863262009052272,0.04535734501826916,-0.00042921754159153737,-0.42921754159153735
DFS,25,0.6147557483778997,-0.0037510934879639458,-0.07930315355676788,0.0473006850260852,-0.0001774292915775819,-0.1774292915775819
CVX,25,0.6337864968089236,-0.0003877793593088318,-0.010567148528341987,0.03669668863542277,-1.423021840779993e-05,-0.01423021840779993
PGR,25,0.3553711445147999,0.010599977738239098,0.26578193523794436,0.03988223552044403,0.00042275080866791535,0.42275080866791537
CRL,25,1.1052408951090922,0.009297462453124933,0.21067676349200068,0.044131409174025756,0.00041031011979899765,0.4103101197989977
BA,25,0.025577840548079756,0.003981910158594162,0.08538855852967688,0.04663283028967219,0.00018568774065444324,0.18568774065444324
EW,25,0.5655172948392831,0.01316477769312278,0.25144734313529926,0.052356002370003374,0.0006892551321017039,0.6892551321017039
NOC,25,0.18704585577387448,-0.006286912887142245,-0.11317885725860798,0.05554847468354417,-0.0003492284213490686,-0.34922842134906856
TSLA,25,1.7929832833001957,0.0014061510450594965,0.016854455596354127,0.08342903969936996,0.00011731383136157929,0.11731383136157929
WY,25,0.9082922263578904,-0.008754122917283367,-0.17406396976211466,0.05029256157519118,-0.00044026726585426595,-0.44026726585426595
MTB,25,0.6955918764075609,-0.0013542728497052607,-0.0344101059956315,0.03935683458450233,-5.329989252813253e-05,-0.05329989252813253
NKE,25,0.4444209956429138,0.009300471726821939,0.2914225647358017,0.031914041163056725,0.0002968156375256406,0.2968156375256406
GIS,25,1.170689500876356,-0.00518420098270482,-0.10988666010076202,0.04717770999638263,-0.00024457873052500986,-0.24457873052500986
HSY,25,0.8189443901444825,0.0028178386967811237,0.10926753574335107,0.02578843457584417,7.2667648877222e-05,0.072667648877222
PYPL,25,0.8863227195849418,0.007029683357403482,0.15812775267664253,0.04445572164538739,0.0003125096465919415,0.31250964659194147
OXY,25,0.6887329612660422,-0.00014512054808209045,-0.0025813532740275426,0.056218786301832635,-8.158501080631871e-06,-0.008158501080631871
MCD,25,0.5632088573991926,0.005517383642181824,0.18756456219968362,0.029415917257909024,0.00016229890069856126,0.16229890069856126
CVS,25,1.5257844315390026,-0.0005641099337013646,-0.010247597360189724,0.05504801895250505,-3.105313432168909e-05,-0.031053134321689088
APD,25,0.3393451445547376,0.001281805039480618,0.03734397248440783,0.03432428191767247,4.399703753862602e-05,0.04399703753862602
CTRA,25,1.110169031788292,0.003379554526819504,0.08330267522330771,0.04056957976151431,0.00013710710693419064,0.13710710693419065
TT,25,0.7509408431773952,0.005710571148397313,0.19960063774928394,0.02860998448096291,0.00016337935193308167,0.16337935193308167
ICE,25,0.5685174053786433,0.003821606631451241,0.11190377234632336,0.03415082933597637,0.00013051103585992688,0.13051103585992688
VNO,25,0.8895732562625638,0.0037377773636370504,0.11071317555833887,0.03376090826396247,0.00012619075868486594,0.12619075868486596
WAT,25,0.9386923152049151,0.006508077978010713,0.1512531785492202,0.04302771049464511,0.0002800276951144203,0.2800276951144203
GOOG,25,0.7196608943926182,-0.0007271582991762956,-0.01653516314340637,0.04397648168752785,-3.197786362766026e-05,-0.03197786362766026
DVA,25,1.25840359791867,-0.008083838809106719,-0.1837257769288582,0.04399948087979468,-0.0003556847111166333,-0.3556847111166333
ALB,25,1.0928562409386653,-0.00899829913598343,-0.22550760024688615,0.039902420699488954,-0.00035905391770385883,-0.35905391770385886
MOS,25,1.292790160173599,0.01173053221580431,0.1934294806261431,0.06064500704769437,0.0007113982089006583,0.7113982089006583
A,25,0.6496322377435582,0.003372228143848986,0.0782692829647287,0.043084950009937464,0.00014529228099983776,0.14529228099983776
BSX,25,0.6466961611788535,0.013794548724566978,0.4117410657224998,0.03350297036891642,0.00046215835717174124,0.46215835717174125
