Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FMC,25,0.9210407346512616,0.007020698003231183,0.15729208951388998,0.044634781220903086,0.000313367319392255,0.313367319392255
DLR,25,0.2655307991822359,0.005428961680341644,0.17756304910923962,0.03057483923359336,0.0001659896305817846,0.16598963058178462
O,25,0.11613144337534416,0.006094456881787605,0.22583774598253986,0.026985997647438368,0.00016446499907433486,0.16446499907433487
XYL,25,1.3582702161870215,-0.0031837908250378754,-0.10488865523658603,0.030354005567680715,-9.664080442953044e-05,-0.09664080442953045
TSCO,25,1.4799894798864246,-0.006692629689644363,-0.14360780980853768,0.04660352176227171,-0.00031190011338816685,-0.31190011338816687
KMB,25,0.5390974278287067,0.007697602965393779,0.31375776460390237,0.024533585567552325,0.0001888498010165328,0.18884980101653281
NCLH,25,0.45108936805844263,-0.0008165225732455726,-0.020399342562572805,0.04002690629567972,-3.268287252760781e-05,-0.03268287252760781
JBHT,25,1.1034479521327356,-0.006114867452277515,-0.1130318450432592,0.05409862547972434,-0.00033080592415891746,-0.33080592415891746
GILD,25,-0.22076986244755434,-0.0004166083295078808,-0.016965715790339703,0.024555894644014843,-1.0230190247214541e-05,-0.01023019024721454
DISH,25,1.892835612779544,-0.006465887611023639,-0.09897377665170135,0.0653293006467536,-0.00042241191568868273,-0.42241191568868275
NEE,25,-0.07395982593063016,0.017948715214564325,0.9748685239750459,0.01841142141032319,0.0003304613595892232,0.3304613595892232
NTAP,25,2.975436016262601,-0.02693715378784206,-0.43973080551537913,0.06125828222626072,-0.001650123769107817,-1.650123769107817
MMM,25,1.5776341729835848,-0.018773380780225446,-0.40498536939787283,0.046355701214929004,-0.0008702532302422215,-0.8702532302422216
UHS,25,-0.05504974946789673,0.0030444969866105305,0.09603237582391094,0.03170281855978498,9.651913557232577e-05,0.09651913557232578
LNC,25,1.3915755847816846,-0.011022296146243088,-0.1999950566493801,0.055112842941747044,-0.000607470076365319,-0.607470076365319
ZTS,25,0.8424912671017775,0.01281603200844778,0.45956284096703454,0.027887441859919877,0.00035740634751045964,0.35740634751045963
ABC,25,0.08118784526400524,0.002722293374741239,0.07081941737975878,0.038439928983647786,0.0001046447639977081,0.1046447639977081
MAS,25,1.5035063679113283,0.005578107437081484,0.1809036799601906,0.030834681960637808,0.00017199916876467605,0.17199916876467605
TFX,25,0.17925863056841562,0.012045292544204642,0.33142240558166314,0.03634423123284179,0.00043777689749379875,0.4377768974937988
BIO,25,0.6893091678042809,0.010262745729063884,0.23226229496319184,0.04418601706613762,0.00045346985792984773,0.45346985792984773
SEDG,25,-1.9754506208965301,0.04899195217345951,0.6598448097908817,0.0742476889209541,0.0036375392246052827,3.6375392246052827
SWK,25,1.8053791899964466,-0.0019517545676495905,-0.05787930373395383,0.03372111345051702,-6.581533720327665e-05,-0.06581533720327665
ATO,25,-0.2611514240868276,0.010127407617119992,0.49511472236070353,0.020454668705532697,0.00020715276765407775,0.20715276765407775
FISV,25,-0.023207995378034998,0.015360332743447232,0.5253331965660741,0.029239219687338523,0.00044912414355627284,0.44912414355627284
CLX,25,1.2366791909258368,-0.006176369728731786,-0.2855478213393624,0.021629896175574082,-0.00013359423597442718,-0.13359423597442718
LOW,25,1.740442918724877,-0.0034161070745631593,-0.08191119315142374,0.04170500932940912,-0.00014246877741491706,-0.14246877741491706
LYB,25,1.447539093800466,-0.010427926445887767,-0.1806534005139502,0.057723388633819345,-0.000601935250880862,-0.6019352508808621
DFS,25,1.3246664525105425,-0.004048111462725378,-0.08803923018712251,0.045980768506509444,-0.00018613527605612295,-0.18613527605612296
CVX,25,0.1943492298355793,-0.001000305976802232,-0.030219247150080737,0.03310161804608555,-3.3111746373323994e-05,-0.033111746373323994
PGR,25,0.779985238620522,0.004935451014268342,0.11171130800806944,0.04418040664166094,0.00021805023277037328,0.21805023277037328
CRL,25,1.3670719676689704,-0.0004906837035822745,-0.014463441224726703,0.03392579234486752,-1.6646833434742772e-05,-0.016646833434742773
BA,25,0.513184762302216,-0.009956837268999857,-0.1666072578530883,0.0597623260673292,-0.000595043755469305,-0.595043755469305
EW,25,0.9152113659569766,0.005869610815526682,0.1432980245471874,0.040960863445775174,0.00024042432709463346,0.24042432709463346
NOC,25,-0.39786921426928434,0.01695569455800927,0.49055986298350557,0.03456396627087974,0.0005860560548023716,0.5860560548023716
TSLA,25,1.4712631920569534,0.018484818882514506,0.17916165626100036,0.10317396740062541,0.0019071521007910167,1.9071521007910166
WY,25,1.1392962362497776,-0.0009408723171527638,-0.02435202222310207,0.03863631153638588,-3.635183596147544e-05,-0.03635183596147544
