Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FMC,25,0.6607945581486925,-0.006462851223808757,-0.1328113453094337,0.04866189111141919,-0.000314494562522284,-0.31449456252228397
DLR,25,0.7061649045318589,-0.00508841007054044,-0.12406173445923027,0.04101514534453503,-0.00020870187861581188,-0.20870187861581188
O,25,0.9615909122410485,-0.0015910186814230912,-0.08535815221247536,0.018639328994173785,-2.965552063892157e-05,-0.02965552063892157
XYL,25,0.8651257544037789,-0.0062125147787410245,-0.1841915997099843,0.033728545647699636,-0.00020953908830177525,-0.20953908830177526
TSCO,25,0.4979731262175951,0.010434618417980032,0.2567437431486554,0.04064215271621383,0.00042408535527896206,0.4240853552789621
KMB,25,0.18470033812038936,0.00026318198268743894,0.008925169072371456,0.029487618727822077,7.76060996151947e-06,0.00776060996151947
NCLH,25,0.9872393592539507,-0.0134068613604214,-0.13910853424073324,0.09637698674346072,-0.001292112899604749,-1.292112899604749
JBHT,25,0.8770400142833308,0.006089458525685237,0.1691410248865364,0.036002256281527104,0.0002192342464574501,0.2192342464574501
GILD,25,0.3413007362831745,-0.0008203818870786699,-0.025985177979198554,0.03157114751091547,-2.5900397572243884e-05,-0.025900397572243883
DISH,25,0.9864516474459394,-0.008027642855406648,-0.11308163728649344,0.07098980036050005,-0.0005698807636707125,-0.5698807636707125
NEE,25,0.9067991939709219,-0.012926029468547845,-0.32186856635228717,0.0401593408608911,-0.000519100823405336,-0.519100823405336
NTAP,25,0.8900968890193488,0.0013889001982673559,0.03276921524456437,0.04238429843075785,5.886756049390235e-05,0.058867560493902356
MMM,25,0.6330102463248388,-0.006797400988346395,-0.26993243238439263,0.025181860987592158,-0.00017117120676546046,-0.17117120676546047
UHS,25,0.7783631248953613,-0.0064379841154906265,-0.16398049344261642,0.03926067046348744,-0.00025275957280744413,-0.25275957280744416
LNC,25,0.8340223696109835,0.00940086091474805,0.19002680582719067,0.04947123577553127,0.0004650722068064774,0.46507220680647743
ZTS,25,0.8931832115053254,-0.0007445370929804636,-0.01763123324541871,0.04222830488468093,-3.1440539360333045e-05,-0.031440539360333045
ABC,25,0.6174201020947885,0.003216735558854238,0.10893393562852902,0.029529232927225646,9.498773358269615e-05,0.09498773358269615
MAS,25,0.7151219102174806,-0.0014563537140666475,-0.04224926702278844,0.03447050840624332,-5.020125294319805e-05,-0.050201252943198056
TFX,25,0.8089034394327713,-0.017623712680410606,-0.4054370319687008,0.043468433544006244,-0.0007660751834470885,-0.7660751834470886
BIO,25,1.1546450040556717,-0.012105615127297624,-0.18810744667791193,0.06435478946256462,-0.000779054312832076,-0.779054312832076
SEDG,25,1.6794899545035673,-0.029334446445528232,-0.29849885569788037,0.09827322914503399,-0.0028827907773841237,-2.8827907773841237
SWK,25,0.6144077206932363,-0.005404384321951824,-0.14197256031833128,0.038066400365212104,-0.00020572545732689348,-0.20572545732689348
ATO,25,0.7456335031156016,-0.0005824043827770756,-0.019194401025650145,0.03034240985164311,-1.7671552481615264e-05,-0.017671552481615265
FISV,25,0.5821377299183254,-0.007116529809062369,-0.1626163250855966,0.04376270220911972,-0.0003114385747963201,-0.3114385747963201
CLX,25,-0.0892754609985291,-0.007648054369072611,-0.18319361854745106,0.0417484759006035,-0.0003192946135137332,-0.3192946135137332
LOW,25,0.5273375508719568,0.00759234337788078,0.17176018705850943,0.04420316202435479,0.0003356055844770013,0.3356055844770013
LYB,25,0.6485772446995137,-0.0017484721344641794,-0.036950149529965594,0.047319758017385416,-8.273727830298635e-05,-0.08273727830298634
DFS,25,0.7861429363229206,0.0060498131429939355,0.11358647872309066,0.05326173688104733,0.00032222355580164495,0.32222355580164497
CVX,25,0.2584761260476147,0.017078320023915503,0.39774548499898227,0.04293780990112107,0.0007333056586173932,0.7333056586173933
PGR,25,0.11462133672207532,0.007989301043346922,0.22574460028127652,0.03539088435954746,0.0002827484293387028,0.2827484293387028
CRL,25,1.1103103745882115,-0.004229880624462806,-0.07504512379154658,0.05636449659557066,-0.00023841509205720416,-0.23841509205720415
BA,25,1.1166365153150435,-0.011574510124486875,-0.20969544481699554,0.05519676469170863,-0.0006388755117631012,-0.6388755117631012
EW,25,0.7852023772017305,0.002816590804793512,0.0541470529682536,0.05201743493676153,0.0001465118289318273,0.14651182893182732
NOC,25,0.26480052594810655,0.011615892898386155,0.30203955716366576,0.038458184111599215,0.0004467261477067526,0.44672614770675256
TSLA,25,0.9103787685030924,-0.0027847989690775914,-0.02644103891261063,0.10532108735521077,-0.0002932980554889219,-0.2932980554889219
WY,25,0.7557141200102613,0.0014656621837398874,0.03797759958947063,0.03859280732809257,5.656401826514488e-05,0.05656401826514488
MTB,25,0.2608036269742227,0.00792933908787805,0.14264598295465217,0.05558753862980373,0.0004407724428562338,0.4407724428562338
NKE,25,0.7647858424582035,-0.004640868278982675,-0.08728898292641969,0.053166712721291504,-0.00024673971056602637,-0.24673971056602637
GIS,25,-0.057204463120866675,0.008076361734290454,0.2613642954824551,0.030900784360703183,0.0002495659123703441,0.2495659123703441
HSY,25,0.20982361340914266,0.010173351780896444,0.37608837706885057,0.027050428572627773,0.0002751935256933548,0.2751935256933548
PYPL,25,1.3223729606320547,-0.029747650535056597,-0.36241329431704133,0.08208211729957449,-0.002441750140605265,-2.441750140605265
OXY,25,0.6847416243875484,0.01750458051474682,0.1846808164095952,0.09478288462795295,0.0016591346353899612,1.6591346353899612
MCD,25,0.4018972977991202,0.004097351243329432,0.22374351707586232,0.018312714919646977,7.503362524475298e-05,0.07503362524475299
