Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FMC,25,0.5959675766849583,-0.009680051803473403,-0.18508027987849776,0.05230190817643134,-0.0005062851805683645,-0.5062851805683645
DLR,25,-0.2758552696250539,0.014562242914727495,0.3637868550428853,0.04002960171007502,0.0005829207838819035,0.5829207838819035
O,25,0.200053006821769,0.00618816724253721,0.1787857769712208,0.03461218978024925,0.0002141860189906196,0.2141860189906196
XYL,25,0.47973910333820813,0.0002645183994357467,0.008078894149712966,0.032741906817178035,8.660836785754296e-06,0.008660836785754297
TSCO,25,0.4642614224275348,0.012998026906521437,0.3159700621154944,0.04113689385474234,0.0005346984531746573,0.5346984531746574
KMB,25,-0.01750347249390531,0.0035629472384557455,0.13127592223043494,0.02714090427185522,9.67016099245983e-05,0.09670160992459831
NCLH,25,1.0945093886217803,-0.022115175287910026,-0.2393398843409247,0.09240071018171105,-0.0020434579023959126,-2.0434579023959127
JBHT,25,0.7458852432379492,0.0058377389116710515,0.13425458348127714,0.04348260417109089,0.0002538400903503673,0.2538400903503673
GILD,25,-0.06365349923368031,0.012716502493209748,0.36220727558940335,0.03510835742467283,0.000446455514723351,0.44645551472335104
DISH,25,0.954349572745941,-0.012146850551896474,-0.19210315861078747,0.06323087366047282,-0.0007680559726196105,-0.7680559726196106
NEE,25,0.17955620197074945,0.005819397241772013,0.15741656045869906,0.036968138706720326,0.00021513228442333345,0.21513228442333346
NTAP,25,0.2419558727988637,0.011763811731045338,0.2791396673108247,0.0421431029289944,0.0004957635286187554,0.4957635286187554
MMM,25,0.07150248663025226,0.001019105971564679,0.030986507044274088,0.03288870120496517,3.351707179498646e-05,0.03351707179498646
UHS,25,0.46161552473536255,-0.008091074700862597,-0.18683369548534579,0.04330629268903594,-0.00035039444916440957,-0.3503944491644096
LNC,25,1.1511563185628435,-0.002564663058542088,-0.07212684943217712,0.03555767482889589,-9.119345508132113e-05,-0.09119345508132112
ZTS,25,0.08118594747006526,0.014913882994132372,0.43489424436344515,0.03429312571372801,0.0005114436643976117,0.5114436643976117
ABC,25,0.33081265889156847,0.008274865385235905,0.24747951804167972,0.03343656659232009,0.0002766830874959248,0.2766830874959248
MAS,25,0.37978498666494837,0.004626026195935616,0.13679181141479518,0.03381800524527064,0.00015644297815891006,0.15644297815891006
TFX,25,0.22958227553434352,-0.01161257228469495,-0.2500644889772339,0.04643831010228793,-0.0005392682328418983,-0.5392682328418983
BIO,25,0.28378430103070545,0.006416747999889034,0.10513594411696714,0.061032866102863875,0.000391632521493047,0.391632521493047
SEDG,25,0.9061804806037315,-0.018501020140785834,-0.18471126555933867,0.10016183953242616,-0.0018530962105275752,-1.8530962105275752
SWK,25,0.16337121688896214,5.6013332980462804e-05,0.0014342950143263603,0.039052867381520084,2.187481264482939e-06,0.002187481264482939
ATO,25,0.1295017646221409,0.0032240781990939575,0.08011739200519029,0.04024192648314227,0.00012974311786384077,0.12974311786384077
FISV,25,0.25858959900446027,-0.006748289171367602,-0.15625958904762208,0.04318640035147524,-0.00029143431784220636,-0.29143431784220636
CLX,25,-0.4489991004441783,0.0012207688527550616,0.034040064189565296,0.03586270713112457,4.378007584115371e-05,0.04378007584115371
LOW,25,0.17489090309010552,0.01638887805345099,0.3848017122490265,0.04259044991682583,0.0006980096899284705,0.6980096899284705
LYB,25,0.8762105659744238,-0.01022106579440876,-0.24442375039736275,0.041816991097600974,-0.00042741421733278494,-0.42741421733278495
DFS,25,0.8297189024386671,-0.0008462109586922714,-0.01615708071198268,0.052374000834488045,-4.431945345670195e-05,-0.04431945345670195
CVX,25,0.6854095052151988,0.005288872651998195,0.12439360166095383,0.04251724028711302,0.00022486826939294792,0.22486826939294793
PGR,25,0.3095121353485532,0.000513193010330283,0.014848811694032196,0.034561217483587425,1.7736575241081837e-05,0.017736575241081836
CRL,25,0.3289792292447543,0.011362169092887037,0.197111365714762,0.05764339895716173,0.0006549540460400199,0.6549540460400199
BA,25,0.7916435722197346,-0.013442011458959355,-0.2604264149173796,0.051615391868846484,-0.0006938146889597119,-0.693814688959712
EW,25,-0.0019474536213421744,0.014696973139362331,0.28315504005925074,0.05190433176215744,0.000762836569724979,0.762836569724979
NOC,25,0.1909024923443645,0.007613627954690426,0.1885628865449468,0.0403771287881489,0.000307416436471586,0.307416436471586
TSLA,25,0.7919786861099861,0.006505409314055941,0.061172531043020235,0.10634526973358259,0.0006918195082306395,0.6918195082306395
WY,25,0.40071250449180934,0.0022920375146910955,0.05648281618461008,0.0405793774021418,9.30094553285171e-05,0.0930094553285171
MTB,25,0.9303547670474203,-0.004075460899718299,-0.08838901617465932,0.04610822787828148,-0.0001879122798732374,-0.1879122798732374
NKE,25,0.2508596495628778,0.003136883011261998,0.058619391531307304,0.05351271873210521,0.0001678631382771825,0.16786313827718252
GIS,25,-0.17817320643866066,0.009246938016006767,0.29373196707528476,0.03148087049591282,0.00029110165816564204,0.29110165816564204
HSY,25,-0.023234270932200082,0.010656685138043616,0.36900317004616195,0.028879657420586586,0.0003077614160257561,0.3077614160257561
PYPL,25,0.284137353173345,-0.011991576233007277,-0.14334299776112658,0.0836565191205963,-0.0010031735264226613,-1.0031735264226613
OXY,25,1.2579319531753923,0.001793401940237565,0.017821168952757163,0.10063323820069069,0.0001804758446415077,0.1804758446415077
MCD,25,0.051747369500266385,0.009597321628758967,0.5157401838000739,0.018608830434820953,0.00017859493081801527,0.17859493081801528
CVS,25,0.35809011560629217,0.012490670974449551,0.27941662530378353,0.04470267637392591,0.0005583664222640081,0.5583664222640081
APD,25,0.28877271693145096,0.001255635014560874,0.032347962873106255,0.038816509697579604,4.873936871932267e-05,0.04873936871932267
CTRA,25,0.18751733023044095,0.007236338401396927,0.09528122205994283,0.07594716193757926,0.0005495793644060159,0.549579364406016
TT,25,0.3886220332552423,0.00810703061893047,0.23474490280834623,0.03453549159936106,0.0002799802878358362,0.27998028783583623
ICE,25,0.18540322092948552,0.005593773437633045,0.1509551425840729,0.0370558653509777,0.00020728211530880576,0.20728211530880575
VNO,25,0.3233045379800174,0.0026390258216859655,0.049228191624516214,0.05360801879164905,0.00014147294584058832,0.1414729458405883
WAT,25,0.16896457528672143,0.013687294257555339,0.2995728435160811,0.04568936922622161,0.0006253638410413886,0.6253638410413886
GOOG,25,0.21502939702453647,0.01773087971067198,0.49497439833217477,0.03582181173494327,0.0006351522348906171,0.6351522348906171
DVA,25,0.08307318654124143,-0.0022326152073943815,-0.04017135482181148,0.0555772942510308,-0.0001240827123306837,-0.12408271233068369
ALB,25,0.9614149305917719,0.00419141944511651,0.05608531427675396,0.0747329224979266,0.0003132370245481946,0.3132370245481946
MOS,25,0.8768508365973667,0.011134915740580474,0.14500020027993132,0.07679241628000424,0.0008550770847934275,0.8550770847934275
A,25,0.33709013337817917,0.007535074097409233,0.18582301598002463,0.04054973522881164,0.0003055452595794212,0.30554525957942125
BSX,25,0.22697135573531513,0.004550999121827311,0.13702643934567899,0.03321256206874373,0.00015115034080848778,0.15115034080848777
CAG,25,-0.07636228064341921,-2.580947195763867e-05,-0.0007359390178298804,0.03507012311121244,-9.051413589897733e-07,-0.0009051413589897733
SNA,25,0.26459791592724474,0.0066336906121699495,0.14027190024084288,0.047291657137174946,0.0003137182219848374,0.3137182219848374
KO,25,0.046202961240735294,0.003711804736800323,0.10860798352753895,0.03417616842006046,0.00012685526382726601,0.126855263827266
NUE,25,0.9034981023479016,0.018311241216071143,0.23961317528057938,0.07642000985392086,0.0013993452341696786,1.3993452341696786
HSIC,25,0.5815694251480336,-0.002214045556002347,-0.05426633618391006,0.04079961375131145,-9.033220351270335e-05,-0.09033220351270335
XLNX,25,0.6665916547995673,0.007893913388424052,0.1250605057824123,0.0631207537426592,0.0004982697630565951,0.4982697630565951
PSA,25,-0.006644742653349621,0.020443886235674037,0.6116818675319954,0.03342241665289297,0.0006832840837730414,0.6832840837730414
SHW,25,0.27140090452976373,0.010906161817932903,0.3553872916248104,0.03068810302155306,0.0003346894174384533,0.3346894174384533
ACN,25,0.22638046996149236,0.016328036330800794,0.5072058270634878,0.032192130806803575,0.0005256342813793803,0.5256342813793803
USB,25,0.6790106364771733,-0.0006439293217595666,-0.01806911074362946,0.035637023365225305,-2.2947724285099357e-05,-0.022947724285099357
BKNG,25,0.7462297364958003,-0.007624418179474452,-0.15207705943469513,0.050135228862368465,-0.00038225195037035436,-0.38225195037035437
