Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
TRV,25,0.2668009283377785,0.008462164117928614,0.3080547311086891,0.027469677506569312,0.0002324529193271616,0.23245291932716158
DG,25,0.5179096728700698,0.012091017490845474,0.33856211135270486,0.03571284879615303,0.00043180467944220604,0.431804679442206
NCLH,25,0.5279631568301622,0.00408271943485631,0.08324407555031278,0.049045165170808,0.00020023764902859562,0.20023764902859562
NSC,25,0.49311875702943275,0.010979809793934115,0.22676680701635085,0.048418946045937064,0.0005316308180071472,0.5316308180071472
VRSN,25,0.8444870036587713,0.015229146312327671,0.5750333146022608,0.026483937409541865,0.00040332775773644134,0.40332775773644136
HAS,25,0.5607968668758788,0.00544223611095396,0.1018429211572813,0.05343754920923009,0.00029081975998735126,0.29081975998735127
SEDG,25,0.7627082406771782,0.009237394278004941,0.11077034274893055,0.0833923056367371,0.0007703276069184345,0.7703276069184345
ACN,25,0.5181694312460541,0.004597822356746353,0.17056101415336317,0.026957053342870803,0.00012394374253185537,0.12394374253185536
AVY,25,0.443069478093908,0.004994254784679344,0.10975156583126297,0.04550508912426578,0.00022726400908612435,0.22726400908612435
NWSA,25,0.3795853317244018,-0.005616017101834913,-0.12325291912657536,0.045564982489927956,-0.00025589372090824373,-0.25589372090824375
RRD,25,1.2718180287298564,-0.045285371939986746,-0.34520467194744653,0.13118412240631822,-0.005940721775790869,-5.94072177579087
GL,25,0.31646682896204514,0.003501049183943644,0.10415029330341348,0.03361535597162739,0.00011768901459244118,0.11768901459244117
DRE,25,0.32019363086289315,0.0028092750958025004,0.08758981633891294,0.032073078963112775,9.01021019767798e-05,0.0901021019767798
FLR,25,0.7790558521806211,-0.01538739302694468,-0.14759787602614613,0.1042521304589701,-0.0016041685052684835,-1.6041685052684835
ITT,25,0.5550819412354605,0.008379050875711395,0.15109276478775796,0.055456334308804,0.000464671446553928,0.464671446553928
INTC,25,0.47761373417469616,-0.0014068326601194385,-0.02870421153990801,0.04901136748394891,-6.89507924935352e-05,-0.0689507924935352
ALK,25,0.48076415046053333,0.0021924991100112073,0.0447017956741637,0.049047226782399846,0.00010753600106892951,0.10753600106892951
FOSL,25,1.3040299863988043,-0.03637575789992861,-0.4121645256166126,0.08825543111821475,-0.003210358195710006,-3.210358195710006
HFC,25,0.6575454996851418,-0.016868969906771253,-0.27222880908890396,0.06196614518216629,-0.0010453050383165815,-1.0453050383165816
AN,25,0.5481492452824721,-0.006900001986660335,-0.15475835500253732,0.044585650878411105,-0.00030764107963758075,-0.30764107963758075
WU,25,0.2342277713282022,0.0003128011803152981,0.010636776233007884,0.029407517227317256,9.1987060988473e-06,0.0091987060988473
SLM,25,0.9566025545429647,-0.008120827060931207,-0.19701622376709266,0.04121907782849108,-0.0003347330026562399,-0.3347330026562399
IRM,25,0.38177886033719594,-0.0023702340355135883,-0.06079662728280889,0.03898627508542411,-9.240659612536767e-05,-0.09240659612536767
FTV,25,0.5440752194465384,0.0013487758496917648,0.03662596245024895,0.036825676636453746,4.9669583295807076e-05,0.04966958329580708
DE,25,0.6858975192269849,0.006287453930785256,0.14880900923427126,0.04225183651943321,0.0002656564756070064,0.2656564756070064
EXPE,25,0.6959676800116037,0.0031765638388295348,0.07591185794917335,0.041845423424577456,0.0001329246588710231,0.1329246588710231
HWM,25,0.7573598919509067,0.015685864405096034,0.2558559519411724,0.06130740475680863,0.0009616596380436397,0.9616596380436397
THC,25,0.9759403871446145,-0.02123537092397355,-0.22469563502643014,0.0945072694512989,-0.0020068969218102464,-2.0068969218102466
EP,25,1.3693015263793085,0.004958852527822682,0.019875782422086846,0.24949219218218982,0.0012371949878746743,1.2371949878746742
MTG,25,0.6092741196662148,0.006986030523124004,0.14745362303318738,0.04737781533893988,0.00033098286407676664,0.33098286407676664
AZO,25,0.40903220264314855,0.018994779601804835,0.5318249169319063,0.03571622727153434,0.0006784218652307661,0.6784218652307661
