Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
TRV,25,0.2798035101164171,0.005778533873174387,0.1877746515374928,0.030773769653464608,0.00017782727034781125,0.17782727034781126
DG,25,0.11556699382601011,0.005103703468085224,0.11493074297049029,0.04440677347222627,0.00022663900377667613,0.22663900377667612
NCLH,25,1.1822115150476837,-0.031144793130256674,-0.3188934467690465,0.09766520273717882,-0.0030417625352740126,-3.0417625352740125
NSC,25,0.1679214755874561,-0.004946451006686702,-0.11743485673028117,0.04212080760695674,-0.00020834851118988805,-0.20834851118988804
VRSN,25,0.5617356075569453,-0.012680830258672053,-0.2105456344034798,0.06022841696337956,-0.0007637463322611406,-0.7637463322611406
HAS,25,-0.09348999536347796,-0.0033638896395625857,-0.09309116362088446,0.03613543443566879,-0.00012155561351923933,-0.12155561351923933
SEDG,25,1.1245856345755627,0.0008780673353387867,0.008445212376606682,0.10397220296922804,9.129459521049356e-05,0.09129459521049356
ACN,25,0.01626457173213211,-0.0012669479566111883,-0.023220779152529115,0.05456095802337439,-6.912589427846301e-05,-0.06912589427846301
AVY,25,-0.06670930875186899,-0.009319174333348113,-0.2500801970382089,0.03726474324524092,-0.00034727663878985666,-0.34727663878985665
NWSA,25,0.8111660789957591,-0.018586713816201555,-0.49087459717648657,0.037864484988859554,-0.0007037763462857923,-0.7037763462857923
RRD,25,-0.3292334556431037,0.02114369575932128,0.1989375445231099,0.10628308402019654,0.002247217192885417,2.247217192885417
GL,25,0.5138379567948473,0.002217025903902652,0.06072313780176041,0.036510397587497176,8.094449721326613e-05,0.08094449721326613
DRE,25,0.18142267227786157,0.00625379155774929,0.11917435782498095,0.052475982853069675,0.00032817385855112366,0.32817385855112363
FLR,25,0.3467063302968806,0.013040196389138748,0.1675093801279238,0.07784755921835657,0.0010151474606224782,1.0151474606224782
ITT,25,0.2752964576523584,-0.010884076651195779,-0.25748977333057943,0.04226993759951082,-0.0004600692408743383,-0.4600692408743383
INTC,25,0.7910795004498653,-0.014073448651196734,-0.33624969925066,0.04185415981801539,-0.0005890323690378213,-0.5890323690378213
ALK,25,0.703409457554717,-0.014598486627503847,-0.23630348468182238,0.06177854993192503,-0.0009018733350477863,-0.9018733350477862
FOSL,25,1.8662672214789493,-0.032747588930474136,-0.2736256827954915,0.11968024564035448,-0.003919239487328498,-3.9192394873284977
HFC,25,-0.10576144210489774,0.00434478881655009,0.06102345593540365,0.07119866860948132,0.0003093431791277304,0.3093431791277304
AN,25,-0.10701305082774806,0.008391794889894699,0.12420804423057051,0.06756241064642157,0.0005669698924116078,0.5669698924116078
WU,25,0.35089626474555335,-0.010694934203996925,-0.20668791028001596,0.051744362742395904,-0.000553402554957674,-0.553402554957674
SLM,25,0.54489135907918,-0.008176104914166633,-0.1566789097736624,0.0521838256723754,-0.00042666043351992345,-0.42666043351992344
IRM,25,0.3884142772091749,0.008550403588029458,0.14500096635627016,0.05896790761394619,0.0005041994088408751,0.5041994088408751
FTV,25,0.24042343733251348,-0.009312515249838099,-0.23472147744388852,0.0396747470715129,-0.00036947168713693336,-0.36947168713693335
DE,25,0.4799344568768423,-0.003861350970768484,-0.08830507256415035,0.043727397063892975,-0.0001688468271018421,-0.1688468271018421
EXPE,25,1.2160328485811374,-0.018021323179336045,-0.1929846213057928,0.09338217241041424,-0.001682870308196553,-1.682870308196553
HWM,25,0.7751381019449733,-0.0010594639105162968,-0.030570509155297125,0.034656403828089904,-3.6717209124140084e-05,-0.03671720912414008
THC,25,0.6563377347544018,-0.006083420792639662,-0.0887435039003456,0.06855060399092458,-0.000417022169666398,-0.417022169666398
EP,25,0.6156605303068621,0.018237105225198374,0.10875385603513134,0.1676915733388538,0.0030582088683597467,3.058208868359747
MTG,25,0.6156917858660422,-0.0011323447735346287,-0.028011095262918895,0.04042486603633909,-4.5774885777086085e-05,-0.045774885777086084
AZO,25,0.2316450067794639,0.014468078090347567,0.3711448883072322,0.038982291137931425,0.0005639988323242558,0.5639988323242557
BX,25,0.5284046225613201,0.00048354857150339657,0.005202157753386897,0.09295153942392063,4.494658410747847e-05,0.04494658410747847
IGT,25,0.7851682769284858,-0.004749282974045091,-0.06061616907090043,0.07835010108425089,-0.00037210680109414456,-0.37210680109414457
FRT,25,0.2852486218634575,-0.0053269352721059034,-0.14662911529443612,0.036329314689031854,-0.00019352390782843888,-0.1935239078284389
ATVI,25,0.9073392047710908,-0.007133745438342924,-0.12732121079454692,0.05602951302320208,-0.0003997002829418433,-0.3997002829418433
CSX,25,0.30736618550297784,-0.0023262742120049576,-0.05676994012871149,0.04097721799125944,-9.532424549277242e-05,-0.09532424549277242
ADS,25,-0.08861928995108385,-0.023730754409005298,-0.48487500076574613,0.048942004375412525,-0.0011614306861173773,-1.1614306861173773
TGT,25,0.11055091683807582,-0.01983813215023048,-0.2698616982913643,0.07351221857653784,-0.0014583451067779855,-1.4583451067779856
VRTS,25,0.641688401901468,-0.013650189177434338,-0.2261887962449266,0.06034865300159849,-0.0008237705300751599,-0.8237705300751599
MBI,25,1.063698429228774,0.00846725820563253,0.0823400421697763,0.10283281356808094,0.0008707119844926135,0.8707119844926136
JPM,25,0.19288382048135522,-0.010169417683433362,-0.22788329150892297,0.04462555203629385,-0.00045381587801086236,-0.4538158780108624
MDT,25,0.46256545793649795,-0.011738399489639501,-0.33955930705784265,0.03456951185154795,-0.0004057907402752971,-0.4057907402752971
BG,25,0.9535935375315939,0.007398155450000165,0.1516570976402492,0.04878212470839692,0.0003608977417740144,0.3608977417740144
DVA,25,0.5699022699138815,-0.015003170777458467,-0.2751496482856674,0.054527312213322514,-0.0008180825771722745,-0.8180825771722745
CNX,25,1.1498029910551069,0.011745469229661592,0.14321573152708134,0.08201242352653546,0.0009632743969808966,0.9632743969808966
NUE,25,1.0834138019939985,0.007181934182552145,0.08386879114504497,0.0856329760391027,0.0006150103977689005,0.6150103977689005
AFL,25,0.5271515704691485,0.0034069020831937226,0.08529441484673304,0.039942850763624346,0.00013608138147528775,0.13608138147528775
CMS,25,0.20524461944822558,0.006311660481174929,0.23632779402738072,0.026707228860451623,0.00016856696096020704,0.16856696096020704
MTD,25,0.04348848098602574,-0.00841798035052837,-0.17857735766937693,0.04713912480502513,-0.000396816226349806,-0.396816226349806
DPZ,25,0.1793122061041059,-0.006217715387426285,-0.1051313977139603,0.05914232591431286,-0.00036773014988560336,-0.3677301498856034
SBAC,25,0.11257399588474888,-0.0004224518129887228,-0.00879089355976802,0.048055616885420545,-2.0301182477537388e-05,-0.02030118247753739
PLD,25,0.5257869513941283,0.0007088081928467373,0.00940237787915947,0.07538605679929358,5.343425468574878e-05,0.05343425468574878
FICO,25,0.1558690201651421,-0.009513651617000456,-0.13423945941107676,0.07087075334434367,-0.0006742396571524556,-0.6742396571524556
LOW,25,-0.08126269576185624,-0.0037318197003795507,-0.08788494394130404,0.04246255994510199,-0.0001584626177316792,-0.15846261773167922
