Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
TRV,25,-0.02723599177860605,0.004937655791458461,0.15192984676669238,0.03249957724923438,0.00016047172582463377,0.16047172582463376
DG,25,0.2904014962599711,0.00995377481051834,0.24369022526806777,0.040846015877611996,0.0004065720439526065,0.4065720439526065
NCLH,25,0.6566270100521296,-0.021401347097391263,-0.21521304484700743,0.09944261098394497,-0.0021282058339382594,-2.1282058339382592
NSC,25,0.3614240326443187,0.0010577914497006471,0.029173324367832043,0.03625885882470839,3.835431084067939e-05,0.03835431084067939
VRSN,25,0.7357159490928985,-0.0007506430263502072,-0.016751540626337224,0.044810387479825346,-3.3636604869781535e-05,-0.03363660486978153
HAS,25,0.1044256466504798,-0.0014404936193783756,-0.04031733534541487,0.035728889497212195,-5.146723734820922e-05,-0.051467237348209224
SEDG,25,0.7268448887641187,0.011907885588343131,0.11566706211887595,0.10294966752163975,0.0012259128622056509,1.2259128622056508
ACN,25,0.559093650607421,0.008344515969405952,0.1977143793512489,0.04220490182244928,0.00035217947724463833,0.35217947724463833
AVY,25,0.2981843721359413,-0.004092924089669196,-0.1260211739483961,0.032478066672710026,-0.00013293026147061715,-0.13293026147061715
NWSA,25,0.41708512096319517,-0.012477737346433985,-0.3017682798792276,0.04134873735379931,-0.0005159386843073916,-0.5159386843073916
RRD,25,0.4782901525183397,0.02982178933435405,0.2899844152813053,0.10283928295051585,0.0030668514314463116,3.066851431446312
GL,25,-0.0016526343932174118,0.0015061219213940115,0.03641297057784988,0.041362237068078976,6.22965719661297e-05,0.062296571966129706
DRE,25,0.34251786019789615,0.011914353703119576,0.24567278906953333,0.048496839020081416,0.0005778084935685009,0.577808493568501
FLR,25,0.3277730083128423,0.018227194236818775,0.23889878597768058,0.0762967219034829,0.0013906751697673283,1.3906751697673283
ITT,25,0.29919021496076437,-0.0060947146409517485,-0.1546712689034608,0.03940431008396142,-0.00024015802558532227,-0.24015802558532226
INTC,25,0.1875975267234249,-0.01189181769204904,-0.2372360594181325,0.050126518376742694,-0.0005960954180733701,-0.5960954180733701
ALK,25,0.4696795571452331,-0.00744020735291007,-0.1226384547746184,0.06066781717515505,-0.0004513811394315924,-0.4513811394315924
FOSL,25,1.0097385472552463,-0.017828602103323203,-0.14363672298738822,0.12412286866840183,-0.0022129372374119784,-2.2129372374119782
HFC,25,-0.17737852658599298,0.0014290564775675625,0.020281279716823645,0.0704618494257114,0.00010069396234320311,0.10069396234320312
AN,25,0.16226066779423357,0.011329636052961915,0.16926260984623728,0.06693525559634264,0.0007583520850185444,0.7583520850185445
WU,25,0.30639355293123244,-0.005881864497326768,-0.11776724409247062,0.04994482585249544,-0.00029376869800696107,-0.29376869800696104
SLM,25,0.3859831944426798,-0.0022493679331394133,-0.04430161724684459,0.05077394625587006,-0.0001142092865468981,-0.1142092865468981
IRM,25,0.39227934615365195,0.014793439520572084,0.2655131931631329,0.05571640092280804,0.0008242372073555073,0.8242372073555073
FTV,25,0.40921656818153956,-0.002581107581249296,-0.08097368470143218,0.03187588153813685,-8.22750794970895e-05,-0.0822750794970895
DE,25,0.17890736214263123,-0.0014162172123959433,-0.030763808746703248,0.04603517152432271,-6.519580228834542e-05,-0.06519580228834541
EXPE,25,0.6831394949196957,-0.007865990854443224,-0.08268209958022554,0.09513535450089701,-0.0007483338284382699,-0.7483338284382699
HWM,25,0.15490752314382802,0.0005800970349669498,0.013072830218632566,0.04437424989579867,2.574137079343529e-05,0.02574137079343529
THC,25,0.3043519697756513,-0.0017111846911401106,-0.02429419537276582,0.07043594837713275,-0.00012052891656888468,-0.12052891656888469
EP,25,0.7567557027984319,0.030458185127273763,0.18720319295783314,0.16270120528411267,0.004955583430974075,4.955583430974075
MTG,25,0.06397473040570816,-0.0008477755072801285,-0.018237077915746344,0.0464863675637498,-3.9410003842968496e-05,-0.03941000384296849
AZO,25,0.18589410180889765,0.017363345714132908,0.4537694423995741,0.03826468706732202,0.0006644029901930228,0.6644029901930227
BX,25,1.0115991367138706,0.017211411538173255,0.24044171012538237,0.07158247015128147,0.0012320353526927086,1.2320353526927086
IGT,25,0.23940721615250465,-0.00166713135125401,-0.020214478577835027,0.08247214217447106,-0.00013749189382413876,-0.13749189382413876
FRT,25,0.27899292568962625,-0.000898785763069892,-0.02663801602757297,0.03374071710669294,-3.0325676171264378e-05,-0.030325676171264377
ATVI,25,-0.38165241340888295,-0.014914574932244901,-0.24322646650433652,0.06131970400506964,-0.0009145573202066889,-0.9145573202066889
CSX,25,0.36602082636996713,0.003571973165628227,0.09900307956680023,0.03607941471374245,0.00012887470118906025,0.12887470118906025
ADS,25,-0.16638712889602328,-0.02647987383254815,-0.5520678742843488,0.04796488813422495,-0.0012701041861865625,-1.2701041861865625
TGT,25,0.21036583430502293,-0.016360396413219336,-0.22574739505805885,0.07247213820124784,-0.0011856729098860313,-1.1856729098860312
VRTS,25,0.49838472142338935,-0.005915354130004061,-0.10327359246012728,0.057278477383150096,-0.0003388224777487611,-0.33882247774876106
MBI,25,0.5404701996335675,0.016366744565071728,0.155513987478892,0.1052429098526793,0.0017224838228436727,1.7224838228436727
JPM,25,0.34246456249683876,-0.0045249954250010166,-0.11326892342009434,0.03994913422297316,-0.00018076964959170508,-0.18076964959170508
MDT,25,0.12418038405395822,-0.01021313213919241,-0.26893036167892653,0.037976865369280154,-0.0003878627442487784,-0.38786274424877837
BG,25,0.26753931290345806,0.010741331130265104,0.1840195875293104,0.05837058584078306,0.0006269777907834146,0.6269777907834145
DVA,25,0.1929144370243095,-0.012436184563347677,-0.2166301389800453,0.05740745319141962,-0.000713929683200237,-0.713929683200237
CNX,25,0.3697090015365184,0.016588420708183053,0.18437327419299282,0.08997193753157041,0.0014924923517040548,1.4924923517040547
NUE,25,0.7731471930155696,0.01906421172224679,0.23246296062774605,0.08200967444777242,0.0015634497969448662,1.5634497969448662
AFL,25,0.10856464153442104,0.004577336530710123,0.10370936362388175,0.0441361934040069,0.00020202621039464797,0.20202621039464796
CMS,25,0.09316269873589936,0.007644248129175738,0.28094169578104783,0.02720937562480327,0.00020799521871594232,0.20799521871594231
MTD,25,0.5168450373429394,0.00042939279515087983,0.01238153492065874,0.03468009401923446,1.4891382507014397e-05,0.014891382507014397
DPZ,25,0.5096007070814204,0.0023244516649786936,0.04602934580856894,0.050499341760055334,0.0001173832790344887,0.1173832790344887
SBAC,25,0.4040542796385762,0.006389807874357096,0.15484773021607653,0.04126510518068734,0.0002636760940197298,0.2636760940197298
PLD,25,0.6967210851961078,0.012014865693974643,0.18492411824933658,0.06497186958477087,0.0007806282869474581,0.7806282869474581
FICO,25,0.2602711563931529,-0.00523624485530041,-0.07559255679800067,0.06926931800035241,-0.00036271111000951337,-0.3627111100095134
LOW,25,0.256175498700602,0.0007899549583177115,0.01999136755006286,0.0395148033939893,3.1214914868031385e-05,0.031214914868031386
TEL,25,0.38704800008417134,0.0007511900276185781,0.020623427507570454,0.03642411172162489,2.7361429490149572e-05,0.027361429490149573
CR,25,0.39148450822344233,0.0056183599131607535,0.13812812706480795,0.04067498801692063,0.00022852672214256086,0.22852672214256087
CNP,25,0.16466116988843083,0.010676907143421196,0.30112839297162575,0.035456328239453806,0.000378563924259311,0.378563924259311
WRB,25,0.05584904899635314,0.01541656691449564,0.4853923284741948,0.03176104361384698,0.0004896462541470865,0.48964625414708646
