Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
TRV,25,-0.05916484534621492,0.005108578248484365,0.15726399303421248,0.032484093465520766,0.00016594753329969247,0.16594753329969247
DG,25,0.5683453201350497,0.007816188011198464,0.19322428595582627,0.040451374797603606,0.000316175550729525,0.316175550729525
NCLH,25,1.6098191791247105,-0.0245971284513872,-0.263824935662281,0.09323276584770471,-0.0022932583174340984,-2.2932583174340984
NSC,25,0.44387769451982706,-0.0029311458684258755,-0.07332163722899841,0.039976546885761834,-0.0001171770902381341,-0.1171770902381341
VRSN,25,1.3894578186784414,-0.0064203163228504475,-0.1450681915088647,0.044257230038316976,-0.00028414541641915363,-0.28414541641915364
HAS,25,0.11936074911426736,-0.0026378302749800013,-0.07308634670212312,0.036091970580099796,-9.520449267987477e-05,-0.09520449267987477
SEDG,25,0.9103796560354416,0.003975232904104035,0.03673565586329749,0.10821183971498605,0.00043016726584864433,0.43016726584864434
ACN,25,1.350851416749744,0.005523328626925424,0.17705634685695382,0.0311953156437131,0.00017230197992089508,0.17230197992089508
AVY,25,0.43698069983037435,-0.007027034643106608,-0.20410601515215923,0.03442835644930903,-0.00024192925347451733,-0.24192925347451733
NWSA,25,0.7271764949086013,-0.015997125301546834,-0.3776251660950144,0.04236244492646391,-0.0006776773395685201,-0.6776773395685202
RRD,25,0.130485400844693,0.022238944368272336,0.2079904301768035,0.10692292116213227,0.0023778528954178286,2.3778528954178286
GL,25,0.06016655169893079,0.0018379956217787574,0.04448814871625589,0.04131427525792183,7.593545704102277e-05,0.07593545704102277
DRE,25,0.9999278744085552,0.01105513492305216,0.2679125451330871,0.04126396887297852,0.00045617874335140214,0.4561787433514021
FLR,25,0.28960328091251447,0.014040104288723487,0.17917643786100954,0.07835909931201253,0.0011001699263110969,1.100169926311097
ITT,25,0.5020035482777722,-0.008718267863361674,-0.21671214046494766,0.040229715994023044,-0.00035073344010285823,-0.35073344010285823
INTC,25,0.28670309287601425,-0.013678338489434179,-0.2704979640232615,0.050567251176271,-0.0006916759780692734,-0.6916759780692734
ALK,25,0.9846783940732795,-0.01056729305151453,-0.17965539166745137,0.0588197935694297,-0.0006215659958777536,-0.6215659958777535
FOSL,25,1.292401509282426,-0.028709048090533942,-0.21718668715563938,0.1321860398835615,-0.0037949353759144052,-3.794935375914405
HFC,25,-0.36347361004902123,0.0026523788419345975,0.03773679429787907,0.07028627871773596,0.00018642583854924086,0.18642583854924086
AN,25,-0.01821971459655306,0.008442043449257985,0.12473304668982196,0.06768088869224136,0.0005713650030242949,0.5713650030242949
WU,25,0.7793858473045007,-0.0072307864773778555,-0.15463457077056394,0.04676047821225174,-0.0003381150335328717,-0.3381150335328717
SLM,25,0.373006991135672,-0.007018830901002648,-0.1282477604212366,0.05472868202882392,-0.0003841313645950576,-0.3841313645950576
IRM,25,0.8733363330592425,0.01243848343412686,0.23277220189689407,0.05343629236121785,0.0006646664373161679,0.6646664373161679
FTV,25,0.33167123350493427,-0.00795931861117224,-0.2030869349097609,0.039191682196143544,-0.00031193908550691303,-0.311939085506913
DE,25,-0.1122297148865899,-0.005064688821320578,-0.10730193727570085,0.04720034838054603,-0.0002390550768053883,-0.23905507680538832
EXPE,25,1.6788497559286908,-0.011170479315239209,-0.12696323465371998,0.08798200003099808,-0.0009828011114596394,-0.9828011114596394
HWM,25,0.2202372625843073,-0.0009783461875374523,-0.02183493918676985,0.0448064535087072,-4.383622296731779e-05,-0.04383622296731779
THC,25,0.4883095937031846,-0.004492727741527997,-0.06319787627418985,0.07108985311525155,-0.0003193873552320412,-0.3193873552320412
EP,25,0.09236925044057301,0.017885231233679705,0.10565879181417957,0.16927347858694217,0.003027495306256791,3.027495306256791
MTG,25,-0.07072386857370229,-0.0023066826016591552,-0.049504313938932225,0.04659558769978398,-0.00010748123146117505,-0.10748123146117505
