Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NSC,25,0.6685390994189353,-0.0028474555574408565,-0.035983114370299836,0.0791331047151139,-0.0002253279987986003,-0.2253279987986003
DG,25,0.4460643421908718,0.016656020856058044,0.4076822326785516,0.040855400409835735,0.0006804884013088264,0.6804884013088264
NCLH,25,2.650577733083587,-0.05020809549512744,-0.1716553910600593,0.2924935545867038,-0.014685544320398494,-14.685544320398494
TRV,25,0.7477316399480971,-0.011423700936439116,-0.11448056480781266,0.0997872517105149,-0.001139939720810095,-1.139939720810095
VRSN,25,0.40727686263325197,0.004622598665785351,0.08016206471136195,0.05766566370801271,0.0002665652201182863,0.2665652201182863
HAS,25,1.097226343982792,-0.00925981249686763,-0.06649808070750429,0.13924931965476503,-0.0012894225903195085,-1.2894225903195085
SEDG,25,0.5792767389255812,0.038920576298197784,0.26143790321176025,0.14887120735004053,0.005794153184272075,5.794153184272075
ACN,25,0.6072825282741894,0.005434745351011107,0.09812379545410663,0.055386619788397665,0.000301012174403214,0.301012174403214
CCL,25,2.5355678567637012,-0.045974365706010906,-0.19497004981415916,0.23580219500293806,-0.010840856347345171,-10.840856347345172
AVY,25,0.6563611060529613,0.0032171076397428207,0.06718095386305116,0.0478871980040789,0.0001540582705447994,0.1540582705447994
NWSA,25,0.7354684287008111,0.0035286761207733598,0.04668831459331167,0.0755794282040513,0.00026669532352534037,0.26669532352534037
GL,25,0.9841116764511328,-0.00391178257883367,-0.049575647282212934,0.07890532536197796,-0.00030866047712818797,-0.30866047712818795
DRE,25,0.6101528236205741,0.005408185325217766,0.10026857874650656,0.05393698996063801,0.00029170123759154047,0.2917012375915405
INTC,25,0.9168323464974872,0.01512814436398019,0.2587803007346809,0.05845941256359614,0.0008843824326955596,0.8843824326955596
ALK,25,1.6383082034700907,-0.020725314987923342,-0.15345380347062956,0.13505898530491675,-0.0027991400123937096,-2.7991400123937096
IRM,25,0.6676702432754211,-0.0037925812796018865,-0.06604691432371838,0.05742253545734409,-0.00021777963300279875,-0.21777963300279876
FTV,25,0.8112058843145622,-0.008770665501485076,-0.08248769432145996,0.10632695668889977,-0.0009325581709092311,-0.9325581709092311
DE,25,0.8459027070720126,0.003983463167650038,0.04383996122127212,0.09086374751894566,0.0003619523915163726,0.3619523915163726
EXPE,25,1.5467939379707658,-0.014481632272680045,-0.08781375146444188,0.16491303504490457,-0.002388209930491905,-2.388209930491905
HWM,25,0.9306962715059545,-0.020579129580379104,-0.14201080115725764,0.14491242505977076,-0.0029821715731119984,-2.9821715731119984
AZO,25,0.9300129071805411,0.004386145320505254,0.06875575692192248,0.06379313554043284,0.0002798059629310269,0.2798059629310269
FRT,25,0.8315760329993646,-0.01839463839142684,-0.17726082897711976,0.10377159182642184,-0.001908840906949775,-1.908840906949775
ATVI,25,0.5586705058359093,0.020491065980719297,0.392279727857239,0.05223585244297033,0.0010703682989680224,1.0703682989680223
CSX,25,0.7957351636228709,-0.00107181912995042,-0.013458323904299324,0.07963986730977862,-8.535953328933382e-05,-0.08535953328933382
TGT,25,0.34972656744238534,0.01772530651683836,0.24344701870141403,0.07280970870536031,0.001290574404204226,1.290574404204226
JPM,25,0.9309322618510263,-0.0021960306738253994,-0.030927763254144546,0.07100515662189426,-0.00015592950194145646,-0.15592950194145647
MDT,25,0.6348768103959609,0.0033331010794100933,0.04578574224057912,0.072797795040571,0.00024264240922840195,0.24264240922840194
DVA,25,0.6632999463746642,0.024878704913703097,0.5334280235615033,0.04663929117858696,0.0011603251626163408,1.1603251626163407
NUE,25,0.9534593125458947,-0.003784766786816407,-0.039838492772258156,0.0950027604822429,-0.0003595632925290672,-0.35956329252906716
