Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NSC,25,0.6160351417714881,-0.005965715694559123,-0.1511457244734172,0.039469959969713496,-0.00023546655965494013,-0.23546655965494012
DG,25,0.620502086368913,-0.0003064983342120043,-0.0065455851628340575,0.046825199976360705,-1.435184579189854e-05,-0.01435184579189854
NCLH,25,0.5976085087338436,-0.03285725747082138,-0.3592892970450456,0.0914506993140459,-0.0030048191732482744,-3.0048191732482743
TRV,25,0.2568042298976173,0.004590606506964077,0.13787854745188022,0.03329456678941446,0.00015284225495003608,0.1528422549500361
VRSN,25,0.9261991146885052,-0.008730162755467143,-0.19350407151794083,0.04511617087425327,-0.0003938715146356974,-0.3938715146356974
HAS,25,0.17833178937208144,-0.004106353921106576,-0.09942525101685781,0.04130091580468157,-0.0001695961775598467,-0.1695961775598467
SEDG,25,1.1822352755688363,0.000995274074796573,0.009144049481314295,0.10884390737718536,0.00010832951921207204,0.10832951921207204
ACN,25,1.064496857488067,0.0016325944119146812,0.04464898203461883,0.03656509818407148,5.969597496642675e-05,0.05969597496642675
CCL,25,0.4310323857714014,-0.03484215098184858,-0.3708853943294329,0.0939431735909789,-0.003273182237970897,-3.273182237970897
AVY,25,0.5757944582768791,-0.010161590932183178,-0.27802998408799934,0.036548543372095184,-0.000371391346914386,-0.37139134691438597
NWSA,25,0.588277993606124,-0.0176136224717327,-0.3921206149073026,0.04491888924507722,-0.0007911843570123644,-0.7911843570123644
GL,25,0.15679493406137113,-0.0035121626952811513,-0.0770825343720908,0.04556366398550586,-0.00016002700091021898,-0.16002700091021899
DRE,25,0.8758298254609225,0.005159458991882303,0.13541363062153125,0.03810147448378015,0.00019658299512931364,0.19658299512931363
INTC,25,0.2692587701048464,-0.010565697498359852,-0.19068427046029374,0.055409381554415896,-0.0005854387640751586,-0.5854387640751586
ALK,25,0.28760491020697576,-0.016655921245413825,-0.2798235818043332,0.05952293633729729,-0.0009914093399298045,-0.9914093399298045
IRM,25,0.8413837569007167,0.009864587941881494,0.1858943597858023,0.053065558058071345,0.000523469864148863,0.523469864148863
FTV,25,0.5109074893840163,-0.007303959305341304,-0.1696518579157457,0.043052633758768936,-0.00031445468496181154,-0.31445468496181156
DE,25,0.26419932740736757,-0.0012334422707255218,-0.025398353972230326,0.04856386646450099,-5.990072572718512e-05,-0.05990072572718512
EXPE,25,0.7076748163948245,-0.013287895561334953,-0.16167857455110407,0.08218711476290791,-0.0010920937974569704,-1.0920937974569704
HWM,25,0.20928387967527387,-0.001356476257838461,-0.026615862243656044,0.050964956364011105,-6.913275328955424e-05,-0.06913275328955425
AZO,25,0.8089979472724531,0.014534902393048795,0.3976064488113684,0.03655600264155779,0.0005313379302750764,0.5313379302750764
FRT,25,0.6756203867465187,0.0015862049850536351,0.05424307765251002,0.029242532940610824,4.6384651525992027e-05,0.04638465152599203
ATVI,25,-0.29973570779514863,-0.009168157234376502,-0.1371605344699409,0.06684253068717612,-0.0006128228312836671,-0.6128228312836671
CSX,25,0.6476175238529628,-0.0014875115252482385,-0.04069316659144279,0.03655433208682859,-5.4374990276909016e-05,-0.054374990276909015
TGT,25,0.2465747992928356,-0.013914126710323127,-0.18716117867049506,0.0743430171211922,-0.0010344181602519901,-1.0344181602519902
JPM,25,0.3233931179661898,-0.008738563089120674,-0.20009553090724516,0.04367195533803031,-0.00038163013694663826,-0.3816301369466383
MDT,25,0.24799487433128825,-0.0060261494068481955,-0.15745542533778795,0.038272097604260646,-0.00023063337827675153,-0.23063337827675154
DVA,25,0.15670734509776665,-0.008964998161668942,-0.17813245954276877,0.05032770661046471,-0.00045118779724383,-0.45118779724383
NUE,25,1.0456523943188694,0.011222386122781362,0.14379199855828614,0.07804597081410176,0.0008758620198031749,0.8758620198031749
AFL,25,0.4816808999043552,0.0024774470385190246,0.06144745411056762,0.040318139691534555,9.988605577738862e-05,0.09988605577738863
CMS,25,0.37201346922925344,0.006347325018438358,0.21716647843844114,0.02922792257847288,0.00018551912421932028,0.1855191242193203
DPZ,25,0.8930298398968188,-0.006017942298622538,-0.10133417963948053,0.059387092489747696,-0.00035738809588626154,-0.3573880958862615
MTD,25,0.7149640447133164,-0.0012096424156773867,-0.02708054447172048,0.044668319610064906,-5.40326940373685e-05,-0.054032694037368496
SBAC,25,0.8508944251953713,0.00753666571707992,0.16375457831149445,0.046024152697237274,0.00034686865379091953,0.3468686537909195
PLD,25,1.3381377334723423,0.0034262597315728852,0.05938320559929542,0.057697453295002615,0.00019768646083897473,0.19768646083897473
LOW,25,0.6813729086392144,0.0002778844081849852,0.008755216202456081,0.031739297095488166,8.81985578958715e-06,0.008819855789587149
TEL,25,0.5526474992616283,-0.002758079369852372,-0.061992983468872866,0.0444901860746422,-0.00012270746437336393,-0.12270746437336393
CNP,25,0.547044115319147,0.010949636341908575,0.3332788416355641,0.032854279882195025,0.0003597424169853184,0.35974241698531845
WRB,25,0.331859472531622,0.012865500655982454,0.4347444937328198,0.029593245783324822,0.0003807319230380155,0.3807319230380155
NFLX,25,1.606899209272439,-0.03706473739416753,-0.2860082302420332,0.12959325458152607,-0.004803339949119762,-4.803339949119763
KR,25,0.27455811502034855,0.014117152393587936,0.21622343413168338,0.06528965026515292,0.0009217039425172228,0.9217039425172228
