Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NSC,25,-0.03356977885851029,0.009587525719923776,0.24909776764914812,0.03848900698872467,0.0003690143444387238,0.3690143444387238
DG,25,0.302272077196895,0.008318501276546318,0.2121898477716623,0.03920310685880629,0.00032611109444956185,0.3261110944495619
NCLH,25,-0.12104821888495089,0.0016641238318740289,0.03981985351306842,0.04179130973768857,6.954591449971672e-05,0.06954591449971671
TRV,25,0.692316508331574,0.0009945778703612043,0.038483695954543776,0.025844135956587463,2.5704005701028184e-05,0.025704005701028185
VRSN,25,0.4498143471971961,0.013026785501316942,0.329572434959231,0.039526319920925396,0.0005149008912663259,0.5149008912663259
HAS,25,-0.08827441280403761,-0.0068127107014170395,-0.1720897470920074,0.03958812664054088,-0.00026970245401306583,-0.2697024540130658
SEDG,25,-0.9052448254171955,0.048089358666436446,0.48976271138522315,0.09818909759467526,0.0047218507313640705,4.7218507313640705
ACN,25,0.4106750917340393,0.008683286384898263,0.3326801350271727,0.02610100655450626,0.00022664251484688452,0.22664251484688452
CCL,25,0.1920135252532057,-0.0008851032320989333,-0.0339315783955813,0.026084941342257004,-2.308786589114276e-05,-0.023087865891142763
AVY,25,-0.09386026604473155,0.009725225862183986,0.3078900524504099,0.03158668422309738,0.0003071876383071055,0.3071876383071055
NWSA,25,0.19324879297740713,0.005218247328854817,0.1526938961999197,0.03417456400498582,0.00017833132733379524,0.17833132733379523
GL,25,0.05491786294314266,0.004396997084287599,0.20755446429560453,0.02118478684238408,9.31494459772171e-05,0.0931494459772171
DRE,25,0.4048461338953393,-0.0017668186226730105,-0.06332474990656187,0.027900917497187434,-4.9295860623694e-05,-0.049295860623694
INTC,25,0.1096673956975067,0.018129221828861165,0.38967990590919277,0.04652336842096709,0.0008434324663295468,0.8434324663295468
ALK,25,0.8422493612951661,-0.016193274485092453,-0.2615069882234563,0.06192291301697601,-0.001002734727400397,-1.002734727400397
