Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NSC,25,0.31913666488361325,-0.004425262538917072,-0.10155053941099856,0.04357694764187326,-0.00019283943395993238,-0.1928394339599324
DG,25,0.361617618626104,0.0015510598089139784,0.031200008176221268,0.04971344238608569,7.710852244781814e-05,0.07710852244781814
NCLH,25,0.5670662182059794,-0.029401793559378095,-0.32605765655895885,0.09017360263724267,-0.002651265649245601,-2.6512656492456013
TRV,25,-0.00957127310758641,0.004146576612910808,0.11915989463678629,0.034798424633976664,0.00014429433375338699,0.144294333753387
VRSN,25,0.8138992665029764,-0.003869543419925358,-0.09256059551670048,0.04180551560115217,-0.00016176825781102528,-0.16176825781102527
HAS,25,0.18336538026519614,-0.0029674548973368416,-0.07255214285517504,0.04090099589836136,-0.00012137186058454648,-0.12137186058454648
SEDG,25,0.9276207125789457,0.006352045164651338,0.05819449961030526,0.1091519852767408,0.0006933383402892155,0.6933383402892155
ACN,25,0.8574590903111283,0.006625125959334316,0.1837959287788296,0.036046097448146665,0.0002388099359364109,0.2388099359364109
CCL,25,0.449054183409099,-0.03204480473065011,-0.3451375004718073,0.09284648781092887,-0.0029752475718279017,-2.975247571827902
AVY,25,0.4584266496582472,-0.007502066130630959,-0.205176531884871,0.03656395817646694,-0.00027430523223747954,-0.27430523223747955
NWSA,25,0.4873249881344041,-0.014752031512643902,-0.3319888940507797,0.04443531629219949,-0.0006555111862168258,-0.6555111862168258
GL,25,0.03644373792647069,-0.0034611827227186576,-0.07533123461775361,0.045946183416233924,-0.00015902813621513137,-0.15902813621513137
DRE,25,0.6083037833602355,0.00852693211297977,0.20447775775134872,0.04170102512249173,0.00035558181026115087,0.3555818102611509
INTC,25,0.5098477953549418,-0.007071517856357484,-0.1401399315939328,0.05046040608074365,-0.0003568316626390285,-0.3568316626390285
ALK,25,0.3237622211221055,-0.014605595019207104,-0.24993590972839103,0.05843736114221928,-0.0008535124308344047,-0.8535124308344046
IRM,25,0.6784062477312284,0.013815784576412303,0.26155205415797583,0.05282231340484007,0.0007297817028290062,0.7297817028290062
FTV,25,0.7067770091507197,-0.002659074910353737,-0.08261124627683185,0.032187807716193104,-8.55897919174195e-05,-0.0855897919174195
DE,25,0.07278353438341201,-0.0010608955976458283,-0.02141543966781178,0.04953881937994459,-5.255551539275505e-05,-0.052555515392755055
EXPE,25,0.46972239678321387,-0.010732926898457968,-0.128341973789131,0.08362756611560633,-0.0008975685538147633,-0.8975685538147633
HWM,25,0.11887812181259806,-0.0007534825146745824,-0.014689783091793925,0.05129296395775213,-3.86483514679998e-05,-0.038648351467999796
AZO,25,0.4097717364739043,0.01648682015347924,0.3739775994387892,0.044085047281495586,0.0007268222459876466,0.7268222459876466
FRT,25,0.4931893618960572,0.0043662367379266355,0.1402189677784979,0.03113870260993451,0.00013595894730686806,0.13595894730686806
ATVI,25,-0.001553047579428919,-0.008746812994429476,-0.12885655349177824,0.06788023392995352,-0.00059373571220343,-0.59373571220343
CSX,25,0.4404779560899139,0.0009315076797948882,0.023943064862113058,0.03890511449387935,3.624041293434803e-05,0.03624041293434803
TGT,25,0.4212034930539406,-0.01106233298621271,-0.15360052131258164,0.07202015261198581,-0.0007967109099116441,-0.7967109099116442
JPM,25,0.3002532118903273,-0.006919016181857745,-0.16090087432789665,0.04300173141233292,-0.000297529675489832,-0.297529675489832
MDT,25,0.3286342641344207,-0.0038814709833177247,-0.10782286974970913,0.03599858724153644,-0.00013972747181845534,-0.13972747181845535
DVA,25,0.1820931207941304,-0.007804538136380835,-0.15640801777369145,0.049898580951734266,-0.0003894353779890964,-0.3894353779890964
NUE,25,0.44260955976447547,0.01308240736327836,0.15298418643972475,0.08551476899498225,0.0011187390435690038,1.1187390435690037
AFL,25,0.20038424661109222,0.003307576786955092,0.07611682118070849,0.043453953221490864,0.00014372728697683562,0.14372728697683562
CMS,25,0.06828202504233676,0.006329774233596014,0.1945814569661392,0.03253020268368898,0.00020590883876087042,0.2059088387608704
DPZ,25,0.9283966061122546,-0.0002373065284259684,-0.004604220949792226,0.0515410817625243,-1.2231035184383636e-05,-0.012231035184383636
MTD,25,0.8483937625311829,0.004218981287569265,0.13161511386230088,0.03205544685379578,0.00013524133044083548,0.13524133044083547
SBAC,25,0.6134675455650831,0.010979505399157536,0.22780144813034564,0.04819769799213557,0.0005291868853316168,0.5291868853316168
PLD,25,0.8602765880012048,0.008044789681003146,0.12264524939974873,0.06559397710368738,0.0005276897501397008,0.5276897501397008
LOW,25,0.3407177567751595,0.0018882870832302979,0.04966618936550429,0.03801956838955335,7.179185989998453e-05,0.07179185989998453
TEL,25,0.5440875352259278,0.0005873419667651023,0.014123158690639764,0.04158715338618746,2.4425880462005327e-05,0.024425880462005327
CNP,25,0.17435617733841502,0.01148705877044905,0.29954176997891047,0.03834877109545626,0.0004405145873480038,0.4405145873480038
WRB,25,0.0011013601872421743,0.012394291348590079,0.38301835508822796,0.032359523202837276,0.00040107335847742597,0.401073358477426
NFLX,25,1.7769394237282328,-0.025852760620322122,-0.2260676243514251,0.11435852742953438,-0.002956483634528294,-2.956483634528294
KR,25,-0.12497189445507532,0.012768504198096409,0.19377857504399207,0.0658922390940158,0.0008413453314939131,0.8413453314939131
TYL,25,1.1034148752617632,0.0018479143055013985,0.0590788458040596,0.03127878143777851,5.7800507677522514e-05,0.05780050767752251
UA,25,1.3040429560291247,-0.020981227980712766,-0.2165190545369372,0.09690245519307614,-0.002033132504296734,-2.0331325042967343
ZTS,25,0.6882100228963218,0.002256687507846331,0.05875204950080568,0.03841036231111196,8.668018479933788e-05,0.08668018479933788
ZBH,25,0.4153455955726217,-0.009200205303297803,-0.18374678593088167,0.05007002030913651,-0.0004606544663843464,-0.46065446638434643
MSCI,25,1.0879474570493808,0.003955220308224522,0.09702138822020574,0.040766478204244096,0.00016124040248821858,0.16124040248821858
CHD,25,0.09646430983232962,0.0031681964120019654,0.08625639907639973,0.03672998694503586,0.00011636781285214164,0.11636781285214164
COO,25,0.7293309401851182,-0.00029820128932786516,-0.006485396125979486,0.04598042795463446,-1.371142289991901e-05,-0.01371142289991901
SIVB,25,0.6940823151053889,-0.004822437081768296,-0.07104180947478057,0.06788167583879226,-0.0003273551107375668,-0.3273551107375668
SBUX,25,0.9031300869128187,-0.01038044812433402,-0.29202127181413307,0.03554689033386928,-0.00036899265109212044,-0.3689926510921204
MTB,25,-0.05479815078524707,0.0035948449273835413,0.05524750080759095,0.06506800986171692,0.0002339094051863353,0.2339094051863353
ABC,25,0.08971498356362495,0.01306943118448849,0.330494305639725,0.039545102476699255,0.0005168319955027663,0.5168319955027663
AAP,25,0.37582472220146046,0.0027761046182846207,0.06340919465613888,0.04378078973150711,0.00012154005256578479,0.12154005256578479
GLW,25,0.327457147588911,-0.00707855892119086,-0.15325518767459081,0.04618805424205853,-0.0003269448634075708,-0.3269448634075708
SPG,25,0.8075215411643822,0.001445156837149267,0.039492806715906256,0.03659291292070185,5.2882498298560034e-05,0.05288249829856003
HAL,25,-0.1214944798611639,0.021316276116570488,0.274220226141506,0.07773414972523085,0.0016570025992298527,1.6570025992298527
JCI,25,0.9044933520138331,-0.0024530701680527626,-0.06772274967679895,0.036222247025701565,-8.885571359858642e-05,-0.08885571359858642
