Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
FMC,25,-0.09204086362911325,0.01436107993339041,0.29302547844070626,0.049009662947436756,0.0007038316870966615,0.7038316870966616
DLR,25,-0.0521797889087401,-0.0012497833410754972,-0.0318095282816044,0.03928959052807623,-4.910347571966732e-05,-0.04910347571966732
O,25,0.37160625757085025,-0.009423722856717989,-0.2559077535802251,0.03682468672745284,-0.0003470256420049769,-0.3470256420049769
XYL,25,0.46434590981780993,0.013856751104264157,0.6869757842725869,0.02017065436875123,0.00027949973719792423,0.27949973719792426
TSCO,25,0.6589661132372184,-0.008408697783335951,-0.1323779841865578,0.06352036431893185,-0.0005341235466452943,-0.5341235466452943
KMB,25,0.050192765416992115,-0.005980894573343608,-0.19881342830118515,0.0300829507566414,-0.00017992295693055954,-0.17992295693055954
NCLH,25,0.6615555534119466,-0.0012365524145313469,-0.034265193701519966,0.036087711200549696,-4.462434641994966e-05,-0.044624346419949654
JBHT,25,0.36248392993349565,0.0050033090974592725,0.1274713757838561,0.03925045185001391,0.00019638214282056174,0.19638214282056174
GILD,25,0.6837554069934539,0.0012588320390120155,0.023975213776250354,0.05250556056601272,6.609568186678267e-05,0.06609568186678266
DISH,25,0.37152326101311994,-0.01692136309267637,-0.4519302431257204,0.03744242247573835,-0.000633576825781355,-0.633576825781355
NEE,25,0.15501253712582178,0.006225725789728679,0.29801808977214694,0.020890429149749357,0.00013005808351609433,0.13005808351609432
NTAP,25,1.164892031683274,0.005257229239606934,0.08888644262273487,0.05914545665777684,0.000310941224131169,0.310941224131169
MMM,25,0.6946908152860145,0.005021472691996105,0.18313976192164683,0.027418801025549302,0.00013768276059707062,0.13768276059707063
UHS,25,0.30961701769756705,-0.004910885429133108,-0.10204688255493508,0.04812381629090357,-0.00023633054821727684,-0.23633054821727684
LNC,25,1.0999846654164056,-0.0047296365018180625,-0.11579415920211818,0.040845207862017494,-0.00019318298602854405,-0.19318298602854406
ZTS,25,0.8410679530675228,0.01037970545308724,0.3437390165763565,0.030196471603570623,0.000313430480967576,0.313430480967576
ABC,25,0.8754199827215268,-0.003809669879804271,-0.06490022547764729,0.05870041054196929,-0.0002236291859738855,-0.2236291859738855
MAS,25,0.5186516489154585,0.0041019426386805,0.12694231879486936,0.03231343713918584,0.00013254786560354842,0.13254786560354842
TFX,25,0.8219269743845757,0.004349495316176125,0.1037629170398999,0.041917627609713556,0.00018232052495366415,0.18232052495366416
BIO,25,1.0066699318332903,0.002557323291067331,0.0579144033191574,0.04415694791802161,0.00011292359137320376,0.11292359137320376
SEDG,25,1.4727882862436612,0.0391897280188826,0.4669981072319909,0.08391838727392163,0.003288738773048247,3.288738773048247
SWK,25,0.4888991823963332,0.005637451084110585,0.2534836889319966,0.022239896807020883,0.0001253763303652474,0.1253763303652474
ATO,25,0.11950732955265249,0.0011764448826754213,0.04877114438578712,0.024121740375201463,2.8377898025630857e-05,0.028377898025630857
FISV,25,0.4364115364876335,0.004941623172288086,0.27286586174175176,0.018110082150785804,8.949320160836399e-05,0.08949320160836399
CLX,25,0.28224999375060483,-0.00328450041849625,-0.09687704248314091,0.033903805631430556,-0.00011135706378504918,-0.11135706378504918
LOW,25,0.5437233170753489,0.003019105561635694,0.07704093851554912,0.039188327917712866,0.00011831369876757025,0.11831369876757024
LYB,25,0.6520211367083002,0.002710122100505881,0.08027849629916017,0.03375900428436691,9.149102360213549e-05,0.09149102360213549
DFS,25,0.7335243650275992,-0.0010938965520336302,-0.03114045465174858,0.03512782855186112,-3.842621053330939e-05,-0.038426210533309385
CVX,25,0.40683210442925893,-0.0016756389030629529,-0.04529445610434165,0.036994348694747575,-6.198916986639521e-05,-0.06198916986639521
PGR,25,0.4322829655100853,0.012850026712655612,0.34046203428019967,0.03774290645893299,0.00048499735621055094,0.48499735621055096
CRL,25,0.3346297965395249,0.005766846306861323,0.13523884918517534,0.04264193566868561,0.00024590948922837775,0.24590948922837774
BA,25,0.34421495030911986,0.025663292271223402,0.7001072401219633,0.03665623036086969,0.0009407195533122918,0.9407195533122918
EW,25,0.7985214898656308,0.008379777909832135,0.21972969232048478,0.038136757127980155,0.0003195775549336813,0.3195775549336813
NOC,25,0.40039617205394745,0.012006372854657516,0.6976895501214803,0.017208761192663687,0.00020661480324588098,0.20661480324588097
TSLA,25,0.582259912478487,0.009049209441102168,0.12320413466809803,0.07344891034282255,0.0006646545729129365,0.6646545729129365
WY,25,0.5919238147379186,-0.0020974539630085093,-0.0725044462986823,0.028928625347582698,-6.067645987967574e-05,-0.060676459879675744
MTB,25,0.7040163156704984,-0.00032819992908852697,-0.01020976315413645,0.032145694678094264,-1.0550214713851976e-05,-0.010550214713851976
NKE,25,0.5659955657688281,0.0025567688521445104,0.06580154193351355,0.03885575895361072,9.934519421902707e-05,0.09934519421902707
GIS,25,0.08889249639416211,-0.006326690445990982,-0.16657782673646707,0.037980387725913035,-0.00024029015616056716,-0.24029015616056718
HSY,25,0.1673488168089723,-0.00464881737892019,-0.1365399726738285,0.03404729976052836,-0.00015827967883204946,-0.15827967883204946
PYPL,25,0.9077465734442326,0.018055759222007136,0.5700768032834339,0.0316725029294519,0.0005718710868524992,0.5718710868524992
OXY,25,0.18555157542101153,0.0007847277124553348,0.02315429880426368,0.0338912319949345,2.6595388955678e-05,0.026595388955678
MCD,25,0.28168014902905814,0.007305342392003672,0.27843175974796325,0.026237460836423532,0.00019167363490686095,0.19167363490686096
CVS,25,0.8708748366737439,-0.012434447819229408,-0.2483901883886562,0.05006014086101188,-0.0006224702093595262,-0.6224702093595262
APD,25,0.43746367343133774,0.002823026227538867,0.16118470299666407,0.017514231655080155,4.944313531748273e-05,0.049443135317482734
CTRA,25,0.3526545443264307,0.0003584739243082955,0.007849041394494116,0.045671045200469315,1.637187880027378e-05,0.016371878800273777
TT,25,0.40168737299488055,0.0019377451731664437,0.06812863373274454,0.02844244874728948,5.511421777309415e-05,0.05511421777309415
ICE,25,0.6126106720832674,0.0045416323166946266,0.16597478705107532,0.02736338691789996,0.00012427444232055343,0.12427444232055343
VNO,25,0.307294088485829,-0.01252182973530124,-0.38452808428572427,0.032564148750177824,-0.0004077627261247494,-0.4077627261247494
WAT,25,0.6687360615332973,0.0059992909235855475,0.1799497966819206,0.03333869242536516,0.00020000851487170346,0.20000851487170346
GOOG,25,0.8468299345312704,0.0051044566145965,0.157240926080522,0.03246264660119429,0.00016570417117077476,0.16570417117077477
DVA,25,0.39750104281650295,-0.0005617418224717987,-0.009002570622150619,0.06239793566180374,-3.505153009713967e-05,-0.035051530097139676
ALB,25,0.24478905181907884,0.0018729955835314793,0.0321046427207674,0.058340334132418244,0.00010927118817177019,0.10927118817177019
MOS,25,1.190496713551282,-0.014448434264630593,-0.3069089661038102,0.04707726348973296,-0.0006801927468901005,-0.6801927468901005
A,25,0.4130410555728606,0.008433462395411461,0.3001331453113327,0.028099070453092748,0.00023697245401217498,0.23697245401217498
BSX,25,0.6033125679549741,-0.0008754125541091105,-0.025862514146887863,0.033848702764825836,-2.9631579340636294e-05,-0.029631579340636295
CAG,25,0.17999976986936517,-0.005651720168377422,-0.15597667583804203,0.03623439298222941,-0.0002047866496065793,-0.2047866496065793
SNA,25,0.6867205543056851,-0.008287343863314573,-0.22601471237624973,0.036667276108638985,-0.0003038743256433904,-0.3038743256433904
