Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WELL,25,0.7081326183835733,0.00342256483311721,0.036961139345600906,0.09259900786918145,0.0003169261079146042,0.3169261079146042
ALB,25,0.6251538146500767,0.02509685949422452,0.2610425776183652,0.096140866073255,0.0024128338074935383,2.4128338074935383
ABMD,25,0.7548643778994486,0.011898688925156515,0.1772091279189953,0.06714489860023219,0.0007989362613553399,0.7989362613553399
MS,25,0.6548029324670304,0.014736777714985636,0.22855317658886692,0.06447855127165833,0.0009502060774747332,0.9502060774747332
PLD,25,0.3339239525384566,0.003261005399171381,0.07376098016356399,0.0442104401533188,0.0001441704840397158,0.1441704840397158
GPC,25,0.23504050634173396,0.013579678464061308,0.24570309395443604,0.055268650652724655,0.0007505305050065329,0.750530505006533
NTAP,25,0.5977734816396069,0.011595264991124704,0.18954268962494286,0.0611749522710098,0.0007093397824017647,0.7093397824017647
FRC,25,0.2209493938434005,0.016849854514298133,0.2881092032422712,0.05848426334416357,0.0009854513287250552,0.9854513287250553
OKE,25,0.4162327737101274,0.015116673063043424,0.15289234165177287,0.0988713554892966,0.0014946059562316405,1.4946059562316405
CE,25,0.3338794999073573,0.019128724051006966,0.2957365838667232,0.06468162917452082,0.0012372770356489703,1.2372770356489702
FLT,25,0.4735833685046252,-0.0025354739731654665,-0.04924305831186323,0.05148896230424911,-0.00013054892382772143,-0.13054892382772143
EA,25,0.5796406567390784,-0.0029998763146996833,-0.07529304941300861,0.03984267257186405,-0.00011952308976266968,-0.11952308976266968
DTE,25,0.14767944884046372,0.007982788449724087,0.17315897126885837,0.04610092328008503,0.00036801391788187905,0.36801391788187904
CDW,25,0.5755115815680008,0.008884022307661851,0.16699521278083496,0.05319926337841355,0.0004726234426050041,0.4726234426050041
MSCI,25,0.36276199750375676,0.00898637505157575,0.17333212283098878,0.05184483351847083,0.00046589711848348447,0.4658971184834845
V,25,0.5854180212781126,-0.001338963764777235,-0.033240049312549626,0.040281641949060386,-5.393565895552249e-05,-0.05393565895552249
DLTR,25,0.5179784638917678,0.002296017669335716,0.03884422612863182,0.059108338565749846,0.00013571378975203938,0.13571378975203938
PEP,25,0.26894791834855214,-0.0030623912665224892,-0.09580653623849358,0.031964325052929614,-9.788726988237766e-05,-0.09788726988237766
ETSY,25,1.3640316764139935,0.014511451463600184,0.13979145034195087,0.10380786112529054,0.001506402738259802,1.506402738259802
NCLH,25,1.3623580002095383,0.0027188941441617584,0.018433276017700655,0.14749923679062393,0.000401034811178356,0.40103481117835604
EW,25,0.475762333921764,0.0012327490273158596,0.021391601525627916,0.05762771084899752,7.10405044955413e-05,0.0710405044955413
PAYC,25,0.9262537248895445,-0.0001430109335284549,-0.0021640481692510203,0.06608491232334775,-9.450865003508055e-06,-0.009450865003508056
PSX,25,0.5634970232987767,-0.004792968814885836,-0.05203631053084545,0.09210815997503739,-0.00044147153835686996,-0.44147153835687
DRI,25,0.44448163799661,0.016158098735493946,0.23635464853447283,0.06836378652031146,0.0011046288125274226,1.1046288125274226
PKI,25,0.35540874024313895,0.008887177273392654,0.1653289331276785,0.05375451897780867,0.0004777259394017353,0.4777259394017353
POOL,25,0.16563407182234946,0.022439515810177873,0.3898621321883461,0.057557567040999846,0.0012915639356118889,1.2915639356118889
SNA,25,0.17270764924067214,0.022809683247448097,0.47466429727353426,0.048054347837970184,0.0010961044528467923,1.0961044528467923
MAS,25,0.22965057622012255,0.011910578274305108,0.28390189381903824,0.04195314837137727,0.0004996862575308248,0.49968625753082485
MKTX,25,0.4239569025563888,-0.004866936308507761,-0.08216190876802099,0.059235920653319424,-0.00028829745299552506,-0.28829745299552506
NEM,25,-0.09321480562884413,0.004082017164599138,0.08581534660881121,0.04756744948204884,0.0001941711452619258,0.19417114526192578
SHW,25,0.1686241845668029,0.015024315089232536,0.48555769798860243,0.03094238882725983,0.0004648881993543001,0.4648881993543001
PAYX,25,0.23169203333915764,0.010721040044807601,0.23776759310741252,0.04509041751524282,0.00048341617181801237,0.4834161718180124
NSC,25,0.37584190611688084,0.01224056135811458,0.24640242443672372,0.04967711411970284,0.0006080757634762828,0.6080757634762828
PH,25,0.6701901345837377,0.01658790580943347,0.2948001351467712,0.05626831141435842,0.0009333734497972477,0.9333734497972477
AAP,25,0.026440779910047625,0.01920850252333193,0.36662859750865673,0.052392264689276956,0.0010063769484870506,1.0063769484870506
REGN,25,0.3960318438935903,-0.011931696848107179,-0.2730057134097823,0.043704934593063516,-0.0005214740303307863,-0.5214740303307863
KMX,25,0.24282180541655413,0.017866335313396986,0.30088905915532926,0.059378481103807,0.0010608758538008228,1.0608758538008227
