Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WELL,25,-0.007416680508340508,0.010548209332524108,0.2866411952013366,0.03679934883440272,0.00038816723480585697,0.38816723480585696
ALB,25,0.40411386321050713,0.009861866869301458,0.11128619221492593,0.08861716510396304,0.0008739306845901904,0.8739306845901904
ABMD,25,0.3533407673100574,-0.0031958969671406295,-0.0372419209496563,0.08581450380770769,-0.00027425431245573103,-0.274254312455731
MS,25,0.33279057887914426,0.00477981523478257,0.09885096595643968,0.048353753436146236,0.00023112200733301183,0.23112200733301183
PLD,25,-0.0022828138094440243,0.015797100337463146,0.35820069731360865,0.044101255122997736,0.0006966719521860559,0.6966719521860558
GPC,25,0.15377870455015408,0.005218711187112288,0.17073086583795394,0.030566887606986847,0.00015951975830978622,0.15951975830978624
NTAP,25,0.23192336956480772,0.003199265896970586,0.05906213770878411,0.054167797189209596,0.00017329718626145742,0.17329718626145743
FRC,25,0.34027664856655576,-0.003548737844566454,-0.06683505071510125,0.05309695745865012,-0.0001884271823648467,-0.1884271823648467
OKE,25,0.1553917272059066,0.012762759116950777,0.2666087263035682,0.04787074787049071,0.0006109628238193574,0.6109628238193574
CE,25,0.2066269260878283,-0.0016598823826324055,-0.03612313732187011,0.04595067055893452,-7.627270853092096e-05,-0.07627270853092097
FLT,25,0.42409168678943976,-0.002643121655731744,-0.05940138975402933,0.04449595652014952,-0.00011760822627090528,-0.11760822627090528
EA,25,0.357457220768351,-0.0016084992452716157,-0.036946375222416984,0.043536050169697534,-7.002770384006568e-05,-0.07002770384006568
DTE,25,-0.0799256766650704,0.006733902550979976,0.21513806625114587,0.031300376861800996,0.00021077368759631635,0.21077368759631634
CDW,25,0.12367213603047864,-0.0011979539615401462,-0.028248993528037177,0.0424069608126454,-5.0801586702386296e-05,-0.0508015867023863
MSCI,25,0.2207125549852432,0.0001985051824603039,0.0030114380755338283,0.06591707266805262,1.3084880537220895e-05,0.013084880537220895
V,25,0.3643950207013036,-0.001087648447772743,-0.025357649412129375,0.04289232136999599,-4.665176675944579e-05,-0.04665176675944579
