Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WELL,25,-0.01293043529772416,-0.00963850676435191,-0.32352720737297236,0.029791951170401367,-0.00028714992287915536,-0.28714992287915536
ALB,25,0.8025322320406932,-0.012840763270215692,-0.2585056274705472,0.04967305120535027,-0.000637839891437205,-0.6378398914372051
ABMD,25,0.20779415107000881,0.03040695981010423,0.7167254826774987,0.04242483425664146,0.00129001023019203,1.29001023019203
MS,25,0.3507974836359283,0.003887406797854396,0.10760859596613354,0.0361254299710205,0.00014043424204475803,0.14043424204475805
PLD,25,-0.03321579645462985,0.009317704529642468,0.3212296283347303,0.029006367121071283,0.00027027275831247824,0.27027275831247827
GPC,25,0.5141184630417197,-0.004381677159923557,-0.1129952766288025,0.03877752496077935,-0.0001699105954390125,-0.1699105954390125
NTAP,25,0.7288298062955066,0.013678069472910144,0.2529134805951569,0.05408201034093897,0.000739737494678008,0.7397374946780081
FRC,25,0.2509598214297948,-0.002543381986849161,-0.060376643965826676,0.04212526268085919,-0.00010714063429378646,-0.10714063429378647
OKE,25,0.14628931845835222,0.005470908024321124,0.16323543462873458,0.033515443731713335,0.00018335991005051362,0.1833599100505136
CE,25,0.3566056822558598,0.005800221946263932,0.19971213325513826,0.029042912174264215,0.00016845533657658323,0.16845533657658324
FLT,25,0.15767523346452783,0.011850190361515574,0.269216950780669,0.044017251986372595,0.0005216128152293148,0.5216128152293148
EA,25,-0.26721198085861125,0.01139667780935641,0.24025652681532345,0.047435455595829144,0.0005406066041656973,0.5406066041656973
DTE,25,-0.05562391508840424,0.0024969053060612265,0.10459504267367094,0.02387211900521321,5.960642061104191e-05,0.05960642061104191
CDW,25,0.3842129144510175,0.0039842780087478834,0.11797902156897025,0.03377107180380102,0.00013455333871973012,0.13455333871973013
MSCI,25,0.204905484021868,0.014341286116790667,0.5112875598923433,0.028049354691536733,0.0004022638210226729,0.4022638210226729
V,25,0.08211218175028477,0.012314317925925177,0.6088213899290534,0.020226486995406284,0.0002490753913860241,0.24907539138602408
DLTR,25,0.31765801685269757,0.004133438680442267,0.08567123275274169,0.04824768533881039,0.00019942884882124615,0.19942884882124615
PEP,25,0.10173147705010098,-0.003901837299825352,-0.1258417360811462,0.03100590806621851,-0.00012098000860772713,-0.12098000860772713
ETSY,25,-0.608433160384328,0.04565652448518092,0.6707168217562902,0.06807123812047546,0.0031078961499840683,3.1078961499840685
NCLH,25,0.2697722374890394,-0.002953473318012574,-0.07937282406477617,0.037210132722532895,-0.00010989913415570748,-0.10989913415570748
EW,25,0.08024658013752375,0.00565349972768396,0.14016396933003322,0.040334900293613286,0.0002280333478261024,0.2280333478261024
PAYC,25,-0.08760408383474301,0.025915467437607292,0.7873998321807837,0.03291271648589482,0.0008529484323734079,0.8529484323734079
PSX,25,0.5571541637030959,0.00886055327632233,0.2886535553344588,0.030696151537283965,0.00027198488607416816,0.27198488607416815
DRI,25,0.22074358411418213,0.0027301018967078364,0.06187701542530924,0.04412142179034635,0.00012045597731527104,0.12045597731527104
PKI,25,0.33237303449104594,0.005144069970730044,0.18877469235054217,0.02724978601039299,0.00014017480592488224,0.14017480592488224
POOL,25,0.14346627419621072,0.005032298669756883,0.15228244605487484,0.03304582241832062,0.00016629644819673702,0.16629644819673703
SNA,25,0.6542364024627109,-0.011285960450631962,-0.3982785971608908,0.028336848957195716,-0.0003198085566264424,-0.3198085566264424
MAS,25,0.538834524883263,-0.0038727613954946264,-0.16955678351168765,0.022840498122728748,-8.845579938357137e-05,-0.08845579938357137
MKTX,25,0.46177685770800025,-0.0031112199984082625,-0.06791519281118921,0.04581036833772605,-0.00014252613410678196,-0.14252613410678197
NEM,25,0.04645349566611988,0.008617217286644652,0.2156486912128311,0.03995951581333747,0.00034433983043264196,0.34433983043264194
SHW,25,0.430912855424467,0.0006548010985003667,0.027605021002648597,0.02372036226444244,1.5532119267583554e-05,0.015532119267583555
PAYX,25,0.3708315953490456,-0.0010556359969662531,-0.033986694689252216,0.031060272457153128,-3.278834168135029e-05,-0.032788341681350294
NSC,25,0.32154069034375676,0.006196993091417361,0.17882398385702697,0.034654149615478705,0.00021475152575606513,0.21475152575606513
PH,25,0.5179157860877652,-0.0034919425383388623,-0.10432940848855102,0.03347035691017134,-0.00011687656306801139,-0.11687656306801139
AAP,25,0.3208640760009004,-0.010848171989636104,-0.14336410206813185,0.07566867739652607,-0.0008208668266258047,-0.8208668266258047
REGN,25,0.17062954203134373,-0.011218058363218803,-0.2005599846285139,0.0559336818059564,-0.0006274673069689286,-0.6274673069689286
KMX,25,0.3541411783124391,-0.0006181140019690281,-0.013656195363554125,0.045262533635002086,-2.797740580438888e-05,-0.027977405804388882
HPE,25,-0.0022160309146140537,0.007821494315922451,0.15074636795057525,0.05188512613774456,0.0004058192191672885,0.4058192191672885
ILMN,25,0.5231474245440405,0.00524154726342912,0.11558973527743578,0.0453461308726807,0.00023768388818279823,0.23768388818279823
CLX,25,0.047000664195392866,-0.004239793026452197,-0.12289744083618462,0.03449862745395653,-0.0001462670401014572,-0.1462670401014572
RL,25,0.16210237104770656,0.012626122563106638,0.2262831695964318,0.05579788627508131,0.0007045109508714623,0.7045109508714623
BXP,25,0.1019186571812805,-0.0015221349652706365,-0.05097504219228878,0.029860396378463352,-4.545155340449975e-05,-0.04545155340449975
MCK,25,0.35617841704316994,0.0018953726728456795,0.03186176853161229,0.05948736558565943,0.00011275072711063941,0.11275072711063941
CRM,25,-0.10508446189647454,0.01420107465045757,0.37674090748278416,0.037694538523418815,0.0005353029554856193,0.5353029554856193
CSCO,25,0.23708390191791456,0.009821692469823057,0.339301530397291,0.028946796845633897,0.0002843065366042603,0.28430653660426025
DIS,25,0.2224202625989459,-0.007532450379833525,-0.29769309427794505,0.025302738036646406,-0.0001905916187349654,-0.1905916187349654
ENPH,25,-0.19722576158117594,0.05275712665008657,0.2514173664219335,0.2098388325393105,0.01107049386438271,11.07049386438271
WMB,25,0.5918945446918652,-0.011978787342732843,-0.3346136506263344,0.035798860328354165,-0.0004288269349855498,-0.4288269349855498
FITB,25,0.4228846754421557,0.00883565851583399,0.24650232620399143,0.03584411819514473,0.00031670638817349057,0.31670638817349056
ZION,25,0.39786220901115465,0.008944802352964154,0.25679080375634683,0.03483303226641766,0.000311574588977529,0.311574588977529
ADBE,25,0.07209306963187449,0.019085471170085855,0.5064054845541184,0.037688120986466594,0.0007192955465419159,0.7192955465419159
LEN,25,1.1274823822244835,-0.007624535309619946,-0.3197756276669041,0.023843390958994792,-0.00018179477626792878,-0.18179477626792878
AMT,25,-0.18317399210032326,0.005086413408806143,0.13610634715671519,0.0373708759000751,0.00019008372427697234,0.19008372427697234
ZBRA,25,0.09572762977450755,0.013148431653733783,0.22530448808567913,0.058358498605379214,0.0007673227303273469,0.7673227303273469
CTRA,25,0.4000983668246863,-0.004217976009240658,-0.0941329621601445,0.04480870369366249,-0.0001890020371850416,-0.1890020371850416
PCAR,25,0.4101759090129151,-0.004134305624765794,-0.11616187958142253,0.0355908981471662,-0.0001471436504002957,-0.1471436504002957
BRO,25,0.22561214736529678,0.008250960527552375,0.36570212229591254,0.022561970588937424,0.00018615792875312028,0.1861579287531203
DRE,25,-0.029261057442214546,-0.0010261990357785275,-0.04319505307796702,0.02375732781080832,-2.4379746892125894e-05,-0.024379746892125895
MMC,25,0.053200180463266473,0.0043152310229005435,0.20390828951116624,0.021162607136990558,9.132153884299811e-05,0.09132153884299811
BF.B,25,-0.09123628163890647,0.016619095872109833,0.5531735106865813,0.030043188169807233,0.0004992906244978624,0.4992906244978624
NI,25,-0.0948049760219549,0.002884527580940395,0.09626685744294686,0.0299638697840524,8.643160882380567e-05,0.08643160882380567
INTC,25,0.016549242365971127,0.015854154328631853,0.32134860999609716,0.04933630902845482,0.0007821854573421957,0.7821854573421957
LHX,25,0.03657490290656708,0.014935607977289923,0.5723885634720554,0.02609347728174708,0.0003897219474444951,0.38972194744449506
ORCL,25,0.0893843114901303,0.00011345929392943775,0.0023528914921346813,0.048221218151671255,5.471145363906008e-06,0.005471145363906008
MPWR,25,0.39125974212516346,0.006990241658110848,0.1942169262745267,0.03599192816093744,0.0002515922755863179,0.2515922755863179
J,25,0.623968516132047,-0.0031351886193854398,-0.09381203966797737,0.03341989610802197,-0.00010477767793891424,-0.10477767793891424
AWK,25,0.06566490998733199,0.0038810632676561825,0.13006662353845974,0.029839040655257578,0.00011580720462921965,0.11580720462921966
HST,25,0.3596398273219459,0.0015880369694691826,0.05525260772940947,0.028741394021551552,4.564239626030441e-05,0.04564239626030441
GNRC,25,0.611414908850302,0.0030210560399352984,0.06733188228321786,0.04486813582944022,0.00013554915274816774,0.13554915274816773
AES,25,-0.26968191985457957,0.007583567083372631,0.18986513930039292,0.039941861424989546,0.0003029017855511818,0.3029017855511818
L,25,0.37065240565882607,-2.910704693690879e-05,-0.0012089364835627852,0.024076572535166724,-7.007979268609869e-07,-0.0007007979268609869
MO,25,0.28237137230085657,-0.010737923225934415,-0.25847972244171696,0.04154261357331674,-0.0004460813951549361,-0.4460813951549361
WAT,25,0.23686688589288224,0.0013457312683900057,0.037874876856051565,0.03553097409411082,4.781514283480019e-05,0.04781514283480019
NKE,25,0.15450447716216464,0.008299290573662662,0.20537293197307654,0.040410829674237016,0.00033538121778928264,0.33538121778928265
VRTX,25,-0.2906862143441041,0.013365769281139514,0.2287106955303626,0.05843963374841442,0.0007810906615556014,0.7810906615556015
ULTA,25,0.5170933760303977,-0.010632755624937141,-0.21775552620040264,0.04882886698889886,-0.0005191854101355218,-0.5191854101355218
