Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.496528176573572,0.017171142323369665,0.3369147712425875,0.050965834059575825,0.0008751415902662176,0.8751415902662176
SRE,25,0.7775253022141818,0.009431646452260932,0.20598959619004456,0.045787003939555086,0.00043184683326616207,0.4318468332661621
NTRS,25,0.9817282508797255,0.006497435051084178,0.12134182561948588,0.05354654108682519,0.00034791517292185703,0.34791517292185703
DLTR,25,0.5361570164316622,0.0007714974540432564,0.014849555363854338,0.0519542461130639,4.0082568602965554e-05,0.04008256860296555
PAYC,25,0.937312932073365,0.03686486742208493,0.39672500186870935,0.09292297497873565,0.0034255931530568053,3.425593153056805
CRL,25,0.5920606681955588,0.03159161563885686,0.6308103325798506,0.050081005346972275,0.0015821398717290834,1.5821398717290833
EMR,25,0.9590779822135977,0.012308227294100842,0.3718503342094396,0.03309994952745801,0.00040740170220721897,0.40740170220721894
L,25,1.0023083259132577,0.0010280793326264935,0.022290981022153808,0.04612086527751922,4.741590839466838e-05,0.04741590839466838
EBAY,25,0.17412335255941777,0.016633438239659213,0.22615856719054847,0.07354768137368334,0.0012233508157992962,1.2233508157992963
NRG,25,0.6462255461689448,0.0010425705251153189,0.018728611217829205,0.055667262937404344,5.803704755238218e-05,0.058037047552382176
GD,25,0.7573109044375481,0.000705034852308585,0.025148404867404286,0.028034973034111003,1.9765633072579617e-05,0.019765633072579617
UNH,25,0.27453194170125705,0.012162187614236543,0.253472621806729,0.04798225357652283,0.0005835691701515431,0.5835691701515431
NWS,25,0.7611850606409389,0.008740641062472692,0.12410981393837944,0.07042667122853333,0.0006155742544333825,0.6155742544333824
AOS,25,0.3815725066277372,0.00946739835043725,0.18165516230182688,0.05211741978852664,0.0004934163741349429,0.4934163741349429
SPG,25,1.3447720085650603,-0.01159945139045274,-0.09336434359454945,0.1242385577177657,-0.0014410991110671803,-1.4410991110671802
JPM,25,0.9928828154250051,0.0063850131181324935,0.18929433266238205,0.03373060898511184,0.00021537038085253686,0.21537038085253687
LUV,25,1.1093664138847257,0.003060973362018455,0.047355640905944865,0.06463798828312745,0.0001978551603091141,0.1978551603091141
PAYX,25,0.5575855843641262,0.008885502851517825,0.34623788350347395,0.02566300013623054,0.0002280286608889788,0.2280286608889788
ON,25,0.9581278642125217,0.02291768937489903,0.34523501902725484,0.06638286417024739,0.001521341860869844,1.521341860869844
LKQ,25,0.691480818895808,0.007643807122385129,0.11664085534687381,0.06553284524237671,0.0005009204292138415,0.5009204292138415
ALLE,25,0.6261304289046714,0.0032057244879456544,0.06454925041960834,0.0496632333777162,0.0001592066433895048,0.1592066433895048
BBY,25,0.7847999355539447,0.03080714108874947,0.49550935767506693,0.06217267264799352,0.0019153622981313715,1.9153622981313714
EW,25,0.4820605985571647,0.003844776729199984,0.07843601013205098,0.04901800490268575,0.0001884632845616569,0.18846328456165692
MTB,25,1.0661854577248095,-0.0006013367278545415,-0.016464981322968517,0.036522162768303994,-2.1962117853262886e-05,-0.021962117853262887
LNT,25,0.4297909474643965,0.009253341216446243,0.2514684614984235,0.03679722364112151,0.00034049726616917973,0.34049726616917975
