Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.5367674977754135,-0.006740109190219447,-0.1409948855551185,0.047803926813959265,-0.0003222036864473447,-0.32220368644734465
SRE,25,0.5083762296366069,-0.017858811822383792,-0.24674159571925977,0.07237860227954178,-0.001292595838077495,-1.2925958380774951
NTRS,25,0.6235762321540183,-0.02740053178459346,-0.3048489284043763,0.08988232934920203,-0.0024628236222061077,-2.4628236222061077
DLTR,25,0.46181148105864134,-0.02144762052534784,-0.3675482912072977,0.05835320429568085,-0.0012515373821718602,-1.2515373821718603
PAYC,25,0.5548098430587624,0.005740091868685758,0.04887667853936878,0.11744030159623627,0.0006741181202485589,0.6741181202485589
CRL,25,0.53285830360006,0.006355967909482365,0.11305715117979928,0.056219070117680715,0.0003573266055689176,0.3573266055689176
EMR,25,0.8141990198733396,-0.02707392864222264,-0.45605234459841604,0.05936583588022776,-0.0016072664044071868,-1.6072664044071867
L,25,0.7009515588681021,-0.03554597007550565,-0.43076313521365894,0.08251859820333701,-0.002933203622408492,-2.933203622408492
EBAY,25,0.48613097861020904,-0.0008572253503494245,-0.014250216911312528,0.060155249262831674,-5.156660462468784e-05,-0.051566604624687845
NRG,25,0.6050519107733964,-0.02721837934710474,-0.4515431842166532,0.060278574228340466,-0.0016406850998495822,-1.640685099849582
GD,25,0.5884453529998407,-0.028727273850730355,-0.5348156724802723,0.05371434557537208,-0.00154306671505648,-1.54306671505648
UNH,25,0.3084480107367149,-0.001415045818225314,-0.0305515469143852,0.04631666678583269,-6.554020564942785e-05,-0.06554020564942785
NWS,25,0.8075270413571277,-0.02744661579878248,-0.4117110692214954,0.06666475072113387,-0.0018297218003645688,-1.8297218003645688
AOS,25,0.42847978179825225,-0.009396512311452485,-0.19122685074724668,0.04913803827618479,-0.0004617261816227938,-0.46172618162279383
SPG,25,1.1094831590333212,-0.06583658748841562,-0.4560422229319036,0.14436511396938428,-0.00950450645612046,-9.50450645612046
JPM,25,0.7068344633976583,-0.030226393907458897,-0.4046463487471879,0.07469829889987104,-0.0022578602067646054,-2.2578602067646054
LUV,25,0.6662747411448919,-0.034071235611403676,-0.32063172504979215,0.10626283349257663,-0.0036205060366609363,-3.6205060366609363
PAYX,25,0.46630372028756434,-0.013794796365110516,-0.3518338766585986,0.039208266401521856,-0.0005408700508379985,-0.5408700508379984
