Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
SPGI,25,0.8712778592772971,0.005771366854847613,0.13691897741243528,0.04215169411806785,0.00024327289030869187,0.24327289030869187
SRE,25,1.063469047500324,-0.00707436456643654,-0.12934521408205835,0.0546936708608984,-0.00038692296714668234,-0.38692296714668234
NTRS,25,1.35618621864292,-0.014403561127256076,-0.22359012067447562,0.0644194881410981,-0.0009278700352268544,-0.9278700352268544
DLTR,25,0.8671904170537871,-0.01120895688471837,-0.23515450501053112,0.047666349765301715,-0.0005342900593711726,-0.5342900593711726
PAYC,25,1.3299639902324678,0.0167523986040643,0.1724502943359464,0.09714334596280445,0.0016273840533014207,1.6273840533014208
CRL,25,1.009214426011787,0.018131283875537956,0.4556743037805158,0.03979000730370619,0.0007214439178332255,0.7214439178332256
EMR,25,1.3919813740793325,-0.008410460720087323,-0.21063667646608514,0.03992875723825571,-0.000335819244354252,-0.33581924435425203
L,25,1.3138590529715084,-0.019994733341104368,-0.307644915888365,0.0649928937826486,-0.0012995155802507786,-1.2995155802507787
EBAY,25,0.5999905970977646,0.011319351301526719,0.1736907273486252,0.06516957741104372,0.0007376773408876439,0.7376773408876439
NRG,25,1.1025298084665414,-0.01365359719923359,-0.3061960985920021,0.044591022753123426,-0.0006088278633730072,-0.6088278633730072
GD,25,1.0843137148149404,-0.015588644786298816,-0.4452506592860179,0.03501094150269424,-0.0005457731307193874,-0.5457731307193874
UNH,25,0.49512284715359667,0.0057993514151436325,0.12969924095762483,0.04471384236580374,0.0002593112850006332,0.2593112850006332
NWS,25,1.261712158896691,-0.008404687581085793,-0.13641833056411434,0.06160966452478123,-0.0005178099823062907,-0.5178099823062907
AOS,25,0.6100588328238541,0.0009729008086034403,0.019324859982661452,0.05034452045067034,4.898022465520961e-05,0.04898022465520961
SPG,25,1.7565385336018313,-0.039777366114438654,-0.28634436632694477,0.13891443587551258,-0.0055256503744009755,-5.525650374400976
JPM,25,1.3686919733506577,-0.014740483243306006,-0.29591413334392663,0.04981338024221323,-0.0007342732967527746,-0.7342732967527746
LUV,25,1.1563153866256892,-0.018875591395792698,-0.1902654127174393,0.09920663522710034,-0.0018725839102982,-1.8725839102982
PAYX,25,0.7125143718653912,-0.0027273142972086503,-0.07255010087664926,0.03759215031066145,-0.00010252560900508358,-0.10252560900508359
ON,25,1.4938609085032306,0.0017578889180678622,0.02882593960842472,0.06098288353986902,0.00010720113516655879,0.1072011351665588
LKQ,25,1.1771463217784577,-0.008069939283856698,-0.14618542952270866,0.055203444763303876,-0.0004454884474995993,-0.4454884474995993
ALLE,25,0.8663684576464612,-0.01013091850245802,-0.1856331598042727,0.05457493969902698,-0.0005528942663674031,-0.5528942663674031
BBY,25,1.3151756300438768,0.013065876846178454,0.2624318873833134,0.04978768767948601,0.0006505197956761606,0.6505197956761606
EW,25,0.7409832728039331,-0.0067538272407436095,-0.14108023599101346,0.047872242297452745,-0.00032332085410401477,-0.3233208541040148
MTB,25,1.3943525202312945,-0.022949454027010478,-0.3751335988148696,0.061176749028913714,-0.0014039729893610131,-1.4039729893610131
LNT,25,0.6342918551489017,-7.827115433079812e-05,-0.002090701090139888,0.03743775458861076,-2.9302962672036985e-06,-0.0029302962672036986
MPC,25,2.3782733068559567,-0.040491967425831145,-0.42724934277802107,0.09477362132975566,-0.0038375703877125216,-3.8375703877125216
RSG,25,0.6961128965690832,-0.0023902350969793756,-0.06927877827459988,0.034501692387028174,-8.246715604866087e-05,-0.08246715604866087
PM,25,0.6696096062930387,-0.0061621868584976905,-0.1928373322324542,0.03195536251802909,-0.00019691491496712856,-0.19691491496712857
SJM,25,0.42284306351824186,0.0014467537599319482,0.039962090556280506,0.036203155035005395,5.2377050668293295e-05,0.0523770506682933
CBOE,25,0.5859592133444576,-0.017580664693366898,-0.36769789420593907,0.04781279678343867,-0.0008405807483017266,-0.8405807483017267
TTWO,25,0.19204268886844608,0.01121879676290879,0.23136943659714923,0.04848867217688086,0.0005439845584557365,0.5439845584557365
CTLT,25,0.8814076252214634,0.020393771447622527,0.35926674280967497,0.05676498550389432,0.0011576521405940266,1.1576521405940265
FISV,25,0.5670306700978327,-0.006647403238159606,-0.20653285590849152,0.032185693694686865,-0.0002139512844884747,-0.2139512844884747
WST,25,0.46378997668611066,0.0239836025245604,0.5084280339395233,0.04717206944456805,0.0011313561638194808,1.131356163819481
KO,25,0.6979123996040258,-0.006799395076049273,-0.17959417267488303,0.037859775597274686,-0.00025742357177643995,-0.25742357177643993
WFC,25,1.6083881089639687,-0.04112898537689275,-0.4805524319958105,0.08558688425751494,-0.003520101711081145,-3.520101711081145
BK,25,1.325733607853433,-0.01699976714278338,-0.32183481128600105,0.05282140572318761,-0.0008979515974486748,-0.8979515974486748
PCAR,25,0.8629000695271699,0.002695230051025331,0.09826246501983196,0.027428887016841704,7.39271605539703e-05,0.0739271605539703
AMZN,25,0.6991206096544088,0.020549682818340125,0.3052683090727981,0.06731679053340446,0.0013833386938101027,1.3833386938101027
PTC,25,1.407518980693765,0.0036868510733808497,0.08627741956457002,0.04273251439354431,0.00015754841656010144,0.15754841656010143
V,25,0.6769655165830353,-0.0014526307713474192,-0.04388188390912352,0.03310319981602707,-4.808672668282315e-05,-0.04808672668282315
COO,25,0.6377430785978798,0.0014703982934776505,0.03325389335891427,0.04421732750530654,6.501708290594512e-05,0.06501708290594511
DD,25,1.317298668956854,-0.01012710945297436,-0.20485016166554462,0.0494366681023602,-0.000500650548862968,-0.500650548862968
TGT,25,0.6607459606163325,0.012580360007583988,0.23038988335488972,0.05460465461586852,0.0006869462131574087,0.6869462131574088
WBA,25,0.7170777767938669,-0.021296744565291816,-0.36642069617591694,0.05812101987565502,-0.0012377885141660735,-1.2377885141660736
BRK.B,25,0.7996380835995667,-0.005714115199074434,-0.16271102193718662,0.03511818149160372,-0.00020066933462502729,-0.20066933462502728
T,25,0.5823118559254128,-0.013644722305196817,-0.5689456473071777,0.023982470680243975,-0.00032723415262445363,-0.32723415262445366
USB,25,1.5458015377842866,-0.02138413090544122,-0.34033018384914887,0.06283348324731526,-0.0013436394310054375,-1.3436394310054376
DFS,25,1.5595993340724996,-0.014784522103111833,-0.1630262293932598,0.09068799639257981,-0.0013407786871530224,-1.3407786871530223
ISRG,25,0.8683483839444892,0.004757878699888593,0.11161305743953334,0.04262833407700695,0.00020282044271672646,0.20282044271672647
HAS,25,1.5540594158885739,-0.011882890414193475,-0.16913879827180664,0.07025526097860545,-0.0008348355672293316,-0.8348355672293316
AJG,25,0.764998748973395,0.0021451576808992176,0.048512044214188775,0.044219074162861256,9.485688658271397e-05,0.09485688658271398
ANSS,25,0.9538426549877186,0.009535713816046173,0.18188177097577685,0.05242808976890898,0.0004999392599582944,0.4999392599582944
D,25,0.5225598855387018,-0.0013260957267964442,-0.03527499008139613,0.037593085745354214,-4.9852030364006546e-05,-0.049852030364006546
LMT,25,0.9363859302863684,-0.005867008428173989,-0.12930356220747538,0.04537391180886432,-0.00026620912300183024,-0.26620912300183025
MOS,25,2.074266342594616,-0.012101762512766527,-0.14594780381804115,0.08291842834342522,-0.001003459127743981,-1.0034591277439808
AWK,25,0.4623482319084398,0.007010325222196053,0.17178576900950432,0.040808532992090835,0.0002860810881152741,0.2860810881152741
EIX,25,1.0578727055628352,-0.007564792320378079,-0.1380529962050649,0.05479629220898099,-0.0004145225704876925,-0.41452257048769253
