date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-04-01,56.84,57.82,56.285,56.8,56.8,463839,463839,-0.04,-0.07037298,56.84,"April 01, 22",-0.0007037298
2022-03-31,56.6,57.64,56.11,56.15,56.15,1474353,1474353,-0.45,-0.79505,56.84,"March 31, 22",-0.0079505
2022-03-30,58.4,59.19,56.61,57.05,57.05,507516,507516,-1.35,-2.31,57.41,"March 30, 22",-0.0231
2022-03-29,57.2,59.16,57.2,58.71,58.71,584542,584542,1.51,2.64,58.46,"March 29, 22",0.0264
2022-03-28,58.24,58.49,55.7,56.27,56.27,972386,972386,-1.97,-3.38,56.46,"March 28, 22",-0.0338
2022-03-25,58.99,60.13,58.53,59.7,59.7,543011,543011,0.71,1.2,59.54,"March 25, 22",0.012
2022-03-24,58.59,58.74,57.5,58.64,58.64,441985,441985,0.05,0.0853388,58.42,"March 24, 22",0.000853388
2022-03-23,60.26,60.98,57.87,58.2,58.2,661632,661632,-2.06,-3.42,58.89,"March 23, 22",-0.0342
2022-03-22,60.2,62.0,60.2,61.0,61.0,554418,554418,0.8,1.33,61.04,"March 22, 22",0.0133
2022-03-21,61.77,62.075,59.15,59.47,59.47,744691,744691,-2.3,-3.72,59.93,"March 21, 22",-0.0372
2022-03-18,61.86,62.75,60.77,62.53,62.53,943630,943630,0.67,1.08,62.27,"March 18, 22",0.0108
2022-03-17,59.9,62.44,59.22,62.06,62.06,689014,689014,2.16,3.61,61.63,"March 17, 22",0.0361
2022-03-16,59.52,62.91,59.0613,62.24,62.24,1026721,1026721,2.72,4.57,61.66,"March 16, 22",0.0457
2022-03-15,56.73,59.14,56.62,58.3,58.3,1197537,1197537,1.57,2.77,58.03,"March 15, 22",0.0277
2022-03-14,56.2,56.55,55.18,55.83,55.83,533674,533674,-0.37,-0.65836,55.8,"March 14, 22",-0.0065836
2022-03-11,55.94,56.345,54.56,55.47,55.47,537838,537838,-0.47,-0.84019,55.7,"March 11, 22",-0.0084019
2022-03-10,55.79,56.95,54.03,55.13,55.13,684463,684463,-0.66,-1.18,55.28,"March 10, 22",-0.0118
2022-03-09,55.78,59.85,55.54,57.31,57.31,2516816,2516816,1.53,2.74,57.71,"March 09, 22",0.0274
2022-03-08,55.47,56.44,53.3,53.59,53.59,3301653,3301653,-1.88,-3.39,54.32,"March 08, 22",-0.0339
2022-03-07,59.955,59.955,55.08,55.09,55.09,1175877,1175877,-4.865,-8.11,57.34,"March 07, 22",-0.0811
2022-03-04,61.57,63.2,59.92,60.98,60.98,1309623,1309623,-0.59,-0.95826,61.54,"March 04, 22",-0.0095826
2022-03-03,65.12,65.12,61.53,63.05,63.05,728746,728746,-2.07,-3.18,62.99,"March 03, 22",-0.0318
2022-03-02,63.966,65.38,62.7,64.33,64.33,743749,743749,0.364,0.56905,64.3,"March 02, 22",0.0056905
2022-03-01,68.09,68.63,62.99,63.5,63.5,894168,894168,-4.59,-6.74,64.41,"March 01, 22",-0.0674
2022-02-28,66.22,68.52,66.11,67.45,67.45,854703,854703,1.23,1.86,67.36,"February 28, 22",0.0186
2022-02-25,64.97,67.71,64.39,67.65,67.65,779927,779927,2.68,4.12,66.86,"February 25, 22",0.0412
2022-02-24,63.87,65.16,61.77,64.89,64.89,1863185,1863185,1.02,1.6,63.6,"February 24, 22",0.016
2022-02-23,69.3,69.69,66.86,66.93,66.93,469700,469700,-2.37,-3.42,67.46,"February 23, 22",-0.0342
2022-02-22,70.0,70.44,67.92,68.69,68.69,590278,590278,-1.31,-1.87,68.96,"February 22, 22",-0.0187
2022-02-18,70.03,71.29,69.6,70.5,70.5,669575,669575,0.47,0.67114,70.46,"February 18, 22",0.0067114
2022-02-17,71.79,72.45,69.47,70.38,70.38,557943,557943,-1.41,-1.96,70.35,"February 17, 22",-0.0196
2022-02-16,71.99,73.27,71.69,72.82,72.82,427433,427433,0.83,1.15,72.84,"February 16, 22",0.0115
2022-02-15,71.09,72.5,70.72,72.42,72.42,827381,827381,1.33,1.87,71.85,"February 15, 22",0.0187
2022-02-14,70.5,72.0,69.35,70.03,70.03,681617,681617,-0.47,-0.66667,70.21,"February 14, 22",-0.0066667
2022-02-11,72.19,73.49,70.528,71.16,71.16,609562,609562,-1.03,-1.43,71.83,"February 11, 22",-0.0143
2022-02-10,72.32,74.8,71.925,72.25,72.25,955829,955829,-0.07,-0.09679204,72.86,"February 10, 22",-0.0009679204
2022-02-09,73.78,74.55,73.27,73.6,73.6,616252,616252,-0.18,-0.24397,73.75,"February 09, 22",-0.0024397
2022-02-08,71.0,73.26,70.85,72.9,72.9,1153840,1153840,1.9,2.68,72.46,"February 08, 22",0.0268
2022-02-07,69.29,70.71,68.63,70.04,70.04,1247103,1247103,0.75,1.08,70.07,"February 07, 22",0.0108
2022-02-04,68.81,69.675,67.51,69.2,69.2,430153,430153,0.39,0.56678,68.76,"February 04, 22",0.0056678
2022-02-03,69.45,70.46,68.32,68.61,68.61,517585,517585,-0.84,-1.21,68.91,"February 03, 22",-0.0121
2022-02-02,69.38,70.23,67.58,69.86,69.86,961768,961768,0.48,0.69184,69.35,"February 02, 22",0.0069184
2022-02-01,68.83,70.01,67.84,69.75,69.75,728677,728677,0.92,1.34,69.52,"February 01, 22",0.0134
2022-01-31,67.88,69.12,66.835,69.04,69.04,1105236,1105236,1.16,1.71,68.52,"January 31, 22",0.0171
2022-01-28,66.47,68.86,65.95,67.6,67.6,1578554,1578554,1.13,1.7,67.57,"January 28, 22",0.017
2022-01-27,65.61,69.1,65.0,66.05,66.05,1127859,1127859,0.44,0.67063,66.51,"January 27, 22",0.0067063
2022-01-26,68.08,68.87,65.46,66.46,66.46,760286,760286,-1.62,-2.38,67.11,"January 26, 22",-0.0238
2022-01-25,66.09,67.64,64.92,66.62,66.62,1028350,1028350,0.53,0.80194,66.66,"January 25, 22",0.0080194
2022-01-24,62.73,67.46,62.49,67.17,67.17,1316817,1316817,4.44,7.08,65.42,"January 24, 22",0.0708
2022-01-21,64.66,66.13,63.83,64.61,64.61,797505,797505,-0.05,-0.07732756,64.96,"January 21, 22",-0.0007732756
2022-01-20,65.82,68.67,64.8245,65.54,65.54,1199169,1199169,-0.28,-0.4254,66.92,"January 20, 22",-0.004254
2022-01-19,66.02,67.02,64.05,65.69,65.69,3699869,3699869,-0.33,-0.49985,65.57,"January 19, 22",-0.0049985
2022-01-18,71.89,72.1,68.695,69.06,69.06,879347,879347,-2.83,-3.94,69.25,"January 18, 22",-0.0394
2022-01-14,74.01,74.32,71.2,72.37,72.37,845546,845546,-1.64,-2.22,72.39,"January 14, 22",-0.0222
2022-01-13,72.74,75.6,72.485,74.87,74.87,1031662,1031662,2.13,2.93,74.65,"January 13, 22",0.0293
2022-01-12,73.0,73.79,71.09,71.94,71.94,2986989,2986989,-1.06,-1.45,71.95,"January 12, 22",-0.0145
2022-01-11,71.8,73.0,70.41,72.29,72.29,493809,493809,0.49,0.68245,72.02,"January 11, 22",0.0068245
2022-01-10,70.0,72.07,68.9,71.8,71.8,1639342,1639342,1.8,2.57,71.34,"January 10, 22",0.0257
2022-01-07,68.94,71.475,68.94,70.4,70.4,1448735,1448735,1.46,2.12,70.46,"January 07, 22",0.0212
2022-01-06,69.97,70.53,68.64,69.34,69.34,570729,570729,-0.63,-0.90039,69.63,"January 06, 22",-0.0090039
2022-01-05,70.99,72.0,68.97,69.01,69.01,876867,876867,-1.98,-2.79,69.96,"January 05, 22",-0.0279
2022-01-04,70.16,71.85,69.92,70.99,70.99,827708,827708,0.83,1.18,71.14,"January 04, 22",0.0118
2022-01-03,66.85,69.7414,66.6,68.63,68.63,582893,582893,1.78,2.66,68.6,"January 03, 22",0.0266
2021-12-31,66.2,67.4,66.14,66.57,66.57,678765,678765,0.37,0.55891,66.73,"December 31, 21",0.0055891
2021-12-30,66.92,67.9,66.55,67.0,67.0,422678,422678,0.08,0.11955,67.05,"December 30, 21",0.0011955
2021-12-29,67.5,68.04,66.74,66.81,66.81,418305,418305,-0.69,-1.02,67.23,"December 29, 21",-0.0102
2021-12-28,67.5,69.5578,67.5,67.83,67.83,837470,837470,0.33,0.48889,68.04,"December 28, 21",0.0048889
2021-12-27,68.7,68.73,67.1,68.05,68.05,1109947,1109947,-0.65,-0.94614,67.94,"December 27, 21",-0.0094614
2021-12-23,68.46,69.5074,68.37,69.07,69.07,668299,668299,0.61,0.89103,69.02,"December 23, 21",0.0089103
2021-12-22,67.28,68.73,66.9077,68.21,68.21,356662,356662,0.93,1.38,68.05,"December 22, 21",0.0138
2021-12-21,66.0,67.8,66.0,67.64,67.64,640723,640723,1.64,2.48,67.38,"December 21, 21",0.0248
2021-12-20,65.0,65.7,63.44,65.13,65.13,1179602,1179602,0.13,0.2,64.83,"December 20, 21",0.002
2021-12-17,68.06,68.29,65.9,66.97,66.97,1109868,1109868,-1.09,-1.6,67.1,"December 17, 21",-0.016
2021-12-16,69.51,70.67,68.06,68.37,68.37,635346,635346,-1.14,-1.64,68.92,"December 16, 21",-0.0164
2021-12-15,69.14,69.39,66.1,68.94,68.94,721350,721350,-0.2,-0.28927,67.84,"December 15, 21",-0.0028927
2021-12-14,69.59,72.34,69.0,69.46,69.46,711829,711829,-0.13,-0.18681,69.96,"December 14, 21",-0.0018681
