date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-24,25.88,25.885,25.12,25.18,25.18,3201770,3201770,-0.7,-2.7,25.29,"January 24, 24",-0.027
2024-01-23,25.58,25.73,25.49,25.68,25.68,3724761,3724800,0.1,0.39093,25.65,"January 23, 24",0.0039093
2024-01-22,25.69,26.03,25.465,25.59,25.59,5487457,5487500,-0.1,-0.38926,25.63,"January 22, 24",-0.0038926
2024-01-19,25.77,25.77,25.465,25.6,25.6,3988499,3988500,-0.17,-0.65968,25.63,"January 19, 24",-0.0065968
2024-01-18,25.79,25.88,25.425,25.65,25.65,4347956,4348000,-0.14,-0.54285,25.61,"January 18, 24",-0.0054285
2024-01-17,26.1,26.37,25.73,25.94,25.94,2746733,2746500,-0.16,-0.61303,25.97,"January 17, 24",-0.0061303
2024-01-16,26.57,26.67,26.255,26.28,26.28,3178748,3178700,-0.29,-1.09,26.4,"January 16, 24",-0.0109
2024-01-12,26.67,26.78,26.5,26.74,26.74,2731234,2731100,0.07,0.26247,26.68,"January 12, 24",0.0026247
2024-01-11,27.23,27.27,26.41,26.5,26.5,3223233,3223100,-0.73,-2.68,26.55,"January 11, 24",-0.0268
2024-01-10,27.13,27.505,27.08,27.34,27.34,4248357,4248400,0.21,0.77405,27.32,"January 10, 24",0.0077405
2024-01-09,27.14,27.355,26.995,27.14,27.14,3779590,3779600,0.0,0.0,27.14,"January 09, 24",0.0
2024-01-08,26.97,27.32,26.85,27.29,27.29,4061333,4061300,0.32,1.19,27.14,"January 08, 24",0.0119
2024-01-05,26.8,27.13,26.7,27.04,27.04,3669287,3669300,0.24,0.89552,26.96,"January 05, 24",0.0089552
2024-01-04,26.95,27.02,26.73,26.86,26.86,2719969,2720000,-0.09,-0.33395,26.89,"January 04, 24",-0.0033395
2024-01-03,27.03,27.04,26.745,26.89,26.89,3725400,3725400,-0.14,-0.51794,26.87,"January 03, 24",-0.0051794
2024-01-02,26.35,27.07,26.35,27.01,27.01,3317592,3317600,0.66,2.5,26.94,"January 02, 24",0.025
2023-12-29,26.41,26.57,26.365,26.55,26.55,2197891,2197900,0.14,0.5301,26.49,"December 29, 23",0.005301
2023-12-28,26.21,26.59,26.18,26.55,26.55,2735823,2735800,0.34,1.3,26.51,"December 28, 23",0.013
2023-12-27,26.38,26.425,26.215,26.28,26.28,1928194,1928200,-0.1,-0.37908,26.3,"December 27, 23",-0.0037908
2023-12-26,26.17,26.52,26.15,26.43,26.43,1946777,1946800,0.26,0.9935,26.43,"December 26, 23",0.009935
2023-12-22,26.17,26.445,26.17,26.25,26.25,3440115,3440000,0.08,0.30569,26.31,"December 22, 23",0.0030569
2023-12-21,26.17,26.34,25.885,26.04,26.04,3082825,3082800,-0.13,-0.49675,26.07,"December 21, 23",-0.0049675
2023-12-20,26.49,26.645,26.05,26.08,26.08,5029406,5029400,-0.41,-1.55,26.38,"December 20, 23",-0.0155
2023-12-19,26.52,26.65,26.4,26.54,26.54,5211599,5211600,0.02,0.07541478,26.52,"December 19, 23",0.0007541478
2023-12-18,26.48,26.71,26.345,26.39,26.39,4262619,4262600,-0.09,-0.33988,26.45,"December 18, 23",-0.0033988
2023-12-15,26.48,26.64,26.235,26.48,26.48,9785812,9785800,0.0,0.0,26.47,"December 15, 23",0.0
2023-12-14,27.24,27.355,26.6,26.68,26.68,5716726,5716700,-0.56,-2.06,26.82,"December 14, 23",-0.0206
2023-12-13,26.25,27.13,26.05,27.03,27.03,5804089,5804100,0.78,2.97,26.74,"December 13, 23",0.0297
2023-12-12,26.39,26.42,26.1,26.18,26.18,3048250,3048300,-0.21,-0.79576,26.22,"December 12, 23",-0.0079576
2023-12-11,26.19,26.435,26.145,26.34,26.34,3337090,3337100,0.15,0.57274,26.32,"December 11, 23",0.0057274
2023-12-08,26.44,26.48,26.09,26.3,26.3,4011734,4011700,-0.14,-0.5295,26.25,"December 08, 23",-0.005295
2023-12-07,26.5,26.75,26.38,26.43,26.43,4085930,4085900,-0.07,-0.26415,26.53,"December 07, 23",-0.0026415
2023-12-06,26.32,26.43,26.18,26.41,26.41,4465851,4465900,0.09,0.34195,26.35,"December 06, 23",0.0034195
2023-12-05,26.46,26.47,26.075,26.14,26.14,3965007,3965000,-0.32,-1.21,26.18,"December 05, 23",-0.0121
2023-12-04,26.0,26.62,25.92,26.44,26.44,7242664,7242700,0.44,1.69,26.45,"December 04, 23",0.0169
2023-12-01,25.6,26.21,25.48,26.2,26.2,8937383,8937100,0.6,2.34,25.97,"December 01, 23",0.0234
2023-11-30,25.89,25.9,25.48,25.64,25.64,11197903,11197900,-0.25,-0.96562,25.65,"November 30, 23",-0.0096562
2023-11-29,26.24,26.24,25.755,25.81,25.81,6136155,6136200,-0.43,-1.64,25.88,"November 29, 23",-0.0164
2023-11-28,26.24,26.47,26.13,26.18,26.18,4604642,4604600,-0.06,-0.22866,26.23,"November 28, 23",-0.0022866
2023-11-27,26.09,26.22,25.88,26.2,26.2,6925834,6925700,0.11,0.42162,26.17,"November 27, 23",0.0042162
2023-11-24,26.2,26.23,25.9914,26.1,26.1,2349672,2349700,-0.1,-0.38168,26.09,"November 24, 23",-0.0038168
2023-11-22,26.14,26.22,25.845,26.19,26.19,4514951,4515000,0.05,0.19128,26.13,"November 22, 23",0.0019128
2023-11-21,26.07,26.115,25.75,26.01,26.01,5089053,5089000,-0.06,-0.23015,25.96,"November 21, 23",-0.0023015
2023-11-20,25.97,26.11,25.62,26.06,26.06,5482544,5482500,0.09,0.34655,25.99,"November 20, 23",0.0034655
2023-11-17,25.94,26.11,25.79,26.08,26.08,11175519,11175500,0.14,0.53971,26.03,"November 17, 23",0.0053971
2023-11-16,26.02,26.16,25.7613,25.77,25.77,6235289,6235300,-0.25,-0.9608,25.91,"November 16, 23",-0.009608
2023-11-15,25.92,26.23,25.64,25.75,25.75,8515891,8515900,-0.17,-0.65586,25.82,"November 15, 23",-0.0065586
2023-11-14,25.45,26.015,25.4,25.97,25.97,11983594,11983600,0.52,2.04,25.82,"November 14, 23",0.0204
2023-11-13,24.86,24.98,24.61,24.81,24.81,7709682,7709500,-0.05,-0.20113,24.8,"November 13, 23",-0.0020113
2023-11-10,25.0,25.09,24.78,25.0,25.0,5785256,5785200,0.0,0.0,24.94,"November 10, 23",0.0
