date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-24,79.5,79.5,76.22,76.26,76.26,1338600,1338600,-3.24,-4.08,77.33,"January 24, 24",-0.0408
2024-01-23,80.5,80.5,78.86,78.89,78.89,1202800,1202800,-1.61,-2.0,79.42,"January 23, 24",-0.02
2024-01-22,77.66,79.76,77.5,79.69,79.69,1496100,1496100,2.03,2.61,78.98,"January 22, 24",0.0261
2024-01-19,75.87,77.68,75.87,77.55,77.55,1280800,1280800,1.68,2.21,77.03,"January 19, 24",0.0221
2024-01-18,75.84,76.58,75.03,76.01,76.01,1253400,1253400,0.17,0.22416,75.87,"January 18, 24",0.0022416
2024-01-17,74.47,75.98,74.27,75.88,75.88,1469100,1469100,1.41,1.89,75.38,"January 17, 24",0.0189
2024-01-16,74.36,75.28,73.91,74.55,74.55,1342700,1342700,0.19,0.25551,74.58,"January 16, 24",0.0025551
2024-01-12,76.21,76.42,75.0,75.76,75.76,1066100,1066100,-0.45,-0.59047,75.73,"January 12, 24",-0.0059047
2024-01-11,76.4,76.59,74.96,76.08,76.08,1020100,1020100,-0.32,-0.41885,75.88,"January 11, 24",-0.0041885
2024-01-10,76.4,76.73,75.0,76.43,76.43,1625000,1625000,0.03,0.03926702,76.05,"January 10, 24",0.0003926702
2024-01-09,77.5,77.57,76.72,76.74,76.74,2100300,2100300,-0.76,-0.98065,77.01,"January 09, 24",-0.0098065
2024-01-08,76.47,77.84,76.47,77.51,77.51,1555800,1555800,1.04,1.36,77.27,"January 08, 24",0.0136
2024-01-05,76.61,77.64,76.25,76.9,76.9,1899300,1899300,0.29,0.37854,76.93,"January 05, 24",0.0037854
2024-01-04,77.45,78.28,76.57,76.61,76.61,1388500,1388500,-0.84,-1.08,77.15,"January 04, 24",-0.0108
2024-01-03,80.6,80.9,77.75,78.05,78.05,1198300,1198300,-2.55,-3.16,78.9,"January 03, 24",-0.0316
2024-01-02,81.1,82.0,79.95,81.02,81.02,1129600,1129600,-0.08,-0.09864365,80.99,"January 02, 24",-0.0009864365
2023-12-29,82.84,83.36,81.86,82.26,82.26,675000,675000,-0.58,-0.70014,82.49,"December 29, 23",-0.0070014
2023-12-28,83.0,83.44,82.27,83.04,83.04,799300,799300,0.04,0.04819277,82.92,"December 28, 23",0.0004819277
2023-12-27,82.14,83.5,81.98,83.22,83.13,1018100,1018100,1.08,1.31,82.9,"December 27, 23",0.0131
2023-12-26,81.7,82.33,81.39,82.13,82.04,700200,700200,0.43,0.52632,81.95,"December 26, 23",0.0052632
2023-12-22,80.64,81.79,80.03,81.64,81.55,712700,712700,1.0,1.24,81.15,"December 22, 23",0.0124
2023-12-21,81.32,81.98,79.81,81.12,81.03,919300,919300,-0.2,-0.24594,80.97,"December 21, 23",-0.0024594
2023-12-20,83.55,83.89,80.62,80.64,80.55,1704100,1704100,-2.91,-3.48,81.72,"December 20, 23",-0.0348
2023-12-19,81.6,83.62,80.99,83.44,83.35,2902900,2902900,1.84,2.25,82.68,"December 19, 23",0.0225
2023-12-18,79.19,80.92,78.43,80.84,80.75,1955000,1955000,1.65,2.08,80.06,"December 18, 23",0.0208
2023-12-15,78.87,79.93,78.03,78.85,78.76,6727600,6727600,-0.02,-0.02535818,78.94,"December 15, 23",-0.0002535818
2023-12-14,78.51,79.72,77.63,79.33,79.24,3231000,3231000,0.82,1.04,78.89,"December 14, 23",0.0104
2023-12-13,77.17,78.7,76.3,77.74,77.66,3854100,3854100,0.57,0.73863,77.58,"December 13, 23",0.0073863
2023-12-12,76.37,77.88,75.78,77.45,77.37,2329300,2329300,1.08,1.41,77.04,"December 12, 23",0.0141
2023-12-11,75.0,77.36,74.65,76.82,76.74,1649000,1649000,1.82,2.43,76.28,"December 11, 23",0.0243
2023-12-08,74.6,75.64,74.27,75.43,75.35,1131300,1131300,0.83,1.11,75.11,"December 08, 23",0.0111
2023-12-07,75.8,76.29,74.62,74.63,74.55,1296000,1296000,-1.17,-1.54,75.18,"December 07, 23",-0.0154
2023-12-06,75.55,76.49,75.02,75.83,75.75,2001200,2001200,0.28,0.37062,75.78,"December 06, 23",0.0037062
2023-12-05,75.4,76.14,75.22,75.55,75.47,1411400,1411400,0.15,0.19894,75.64,"December 05, 23",0.0019894
2023-12-04,75.97,76.92,75.49,75.78,75.7,1625800,1625800,-0.19,-0.2501,76.06,"December 04, 23",-0.002501
2023-12-01,77.17,77.17,75.97,76.51,76.43,2039400,2039400,-0.66,-0.85525,76.55,"December 01, 23",-0.0085525
2023-11-30,74.7,77.62,74.7,77.25,77.17,8454100,8454100,2.55,3.41,76.52,"November 30, 23",0.0341
2023-11-29,73.4,75.25,73.24,74.22,74.14,2519200,2519200,0.82,1.12,74.24,"November 29, 23",0.0112
2023-11-28,72.93,74.54,72.85,73.32,73.24,2062100,2062100,0.39,0.53476,73.57,"November 28, 23",0.0053476
2023-11-27,73.82,73.99,73.0,73.5,73.42,1649900,1649900,-0.32,-0.43349,73.5,"November 27, 23",-0.0043349
2023-11-24,72.66,74.13,72.23,74.01,73.93,823400,823400,1.35,1.86,73.46,"November 24, 23",0.0186
2023-11-22,72.8,73.83,72.34,72.94,72.86,1906300,1906300,0.14,0.19231,73.04,"November 22, 23",0.0019231
2023-11-21,70.8,72.8,70.47,72.31,72.23,1767600,1767600,1.51,2.13,71.86,"November 21, 23",0.0213
2023-11-20,71.0,71.35,70.58,70.76,70.68,1814300,1814300,-0.24,-0.33803,70.9,"November 20, 23",-0.0033803
2023-11-17,70.9,71.37,70.06,70.99,70.91,1500400,1500400,0.09,0.12694,70.81,"November 17, 23",0.0012694
2023-11-16,72.74,73.06,70.58,70.88,70.8,2446600,2446600,-1.86,-2.56,71.51,"November 16, 23",-0.0256
2023-11-15,73.47,74.64,73.01,73.91,73.83,3437100,3437100,0.44,0.59888,73.85,"November 15, 23",0.0059888
2023-11-14,73.85,74.1,73.01,73.63,73.55,2814500,2814500,-0.22,-0.2979,73.58,"November 14, 23",-0.002979
2023-11-13,70.28,73.2,70.18,72.98,72.9,2964300,2964300,2.7,3.84,72.12,"November 13, 23",0.0384
2023-11-10,69.31,70.78,69.14,70.55,70.47,1645300,1645300,1.24,1.79,70.16,"November 10, 23",0.0179
2023-11-09,69.09,70.32,69.09,69.63,69.55,2020500,2020500,0.54,0.78159,69.68,"November 09, 23",0.0078159
2023-11-08,69.8,70.32,69.55,69.8,69.72,2053800,2053800,0.0,0.0,69.89,"November 08, 23",0.0
2023-11-07,67.75,70.25,67.36,70.07,69.99,2133600,2133600,2.32,3.42,69.23,"November 07, 23",0.0342
2023-11-06,70.05,70.07,68.08,68.26,68.19,2855000,2855000,-1.79,-2.56,68.8,"November 06, 23",-0.0256
2023-11-03,70.47,71.09,69.06,70.8,70.72,2225900,2225900,0.33,0.46828,70.32,"November 03, 23",0.0046828
2023-11-02,68.0,70.54,66.69,70.28,70.2,2848700,2848700,2.28,3.35,69.17,"November 02, 23",0.0335
2023-11-01,68.16,69.19,67.47,67.51,67.44,2503500,2503500,-0.65,-0.95364,68.06,"November 01, 23",-0.0095364
2023-10-31,68.92,69.73,67.65,69.0,68.93,3370700,3370700,0.08,0.11608,68.79,"October 31, 23",0.0011608
2023-10-30,68.48,69.33,67.42,68.36,68.29,3393700,3393700,-0.12,-0.17523,68.37,"October 30, 23",-0.0017523
2023-10-27,68.64,69.44,67.75,67.99,67.92,3412000,3412000,-0.65,-0.94697,68.39,"October 27, 23",-0.0094697
2023-10-26,66.33,72.23,65.51,70.0,69.92,3537100,3537100,3.67,5.53,69.25,"October 26, 23",0.0553
2023-10-25,71.3,72.33,69.78,70.79,70.71,3298200,3298200,-0.51,-0.71529,70.97,"October 25, 23",-0.0071529
2023-10-24,72.29,73.71,71.79,72.01,71.93,3432200,3432200,-0.28,-0.38733,72.5,"October 24, 23",-0.0038733
2023-10-23,69.3,72.47,67.65,71.9,71.82,4089800,4089800,2.6,3.75,70.67,"October 23, 23",0.0375
2023-10-20,70.4,70.78,68.9,69.93,69.85,3151500,3151500,-0.47,-0.66761,69.87,"October 20, 23",-0.0066761
2023-10-19,71.82,72.74,69.95,70.29,70.21,2867400,2867400,-1.53,-2.13,70.99,"October 19, 23",-0.0213
2023-10-18,73.5,73.93,72.27,72.45,72.37,2959800,2959800,-1.05,-1.43,72.88,"October 18, 23",-0.0143
2023-10-17,73.13,75.13,73.01,74.48,74.4,2584900,2584900,1.35,1.85,74.21,"October 17, 23",0.0185
2023-10-16,71.62,74.84,71.62,74.21,74.13,4555000,4555000,2.59,3.62,73.56,"October 16, 23",0.0362
2023-10-13,73.63,73.99,70.47,71.85,71.77,5286500,5286500,-1.78,-2.42,72.1,"October 13, 23",-0.0242
2023-10-12,73.75,75.3,72.75,74.23,74.15,4668700,4668700,0.48,0.65085,74.09,"October 12, 23",0.0065085
2023-10-11,74.44,76.56,73.61,74.47,74.39,4602500,4602500,0.03,0.04030091,74.88,"October 11, 23",0.0004030091
2023-10-10,73.96,75.51,72.5,75.0,74.92,5385600,5385600,1.04,1.41,74.34,"October 10, 23",0.0141
2023-10-09,76.65,78.0,73.73,74.61,74.53,7000900,7000900,-2.04,-2.66,75.45,"October 09, 23",-0.0266
2023-10-06,73.04,78.47,73.04,77.98,77.9,7781100,7781100,4.94,6.76,76.5,"October 06, 23",0.0676
2023-10-05,76.0,76.99,72.65,74.45,74.37,15351900,15351900,-1.55,-2.04,74.7,"October 05, 23",-0.0204
2023-10-04,76.67,80.62,76.35,77.8,77.72,8358300,8358300,1.13,1.47,78.26,"October 04, 23",0.0147
2023-10-03,82.65,83.25,76.0115,77.05,77.05,12671218,12671218,-5.6,-6.78,78.19,"October 03, 23",-0.0678
2023-10-02,83.11,89.0,81.53,85.12,85.12,23045074,23045074,2.01,2.42,85.33,"October 02, 23",0.0242
2023-09-29,85.94,86.99,84.5,84.56,84.56,991246,991246,-1.38,-1.61,85.35,"September 29, 23",-0.0161
2023-09-28,81.5,87.5,81.01,84.65,84.65,926153,926153,3.15,3.87,84.39,"September 28, 23",0.0387
2023-09-27,77.25,83.9,77.25,80.6,80.6,850237,850237,3.35,4.34,80.58,"September 27, 23",0.0434
